FID,SHAPE,BEZIRK,KREUZUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AMPELOGD.fid-7d8850_14a347986c2_33c6,POINT (16.29173518998633 48.14171484546569),23,Breitenfurter Str.-Carlbergerg.,149,
AMPELOGD.fid-7d8850_14a347986c2_33c7,POINT (16.280886061333142 48.19170358727692),13,Hietzinger Kai-Guldenbr./Mantlerg.,151,
AMPELOGD.fid-7d8850_14a347986c2_33c8,POINT (16.424520857800914 48.2091692316596),2,Engerthstr.-Marathonweg,154,
AMPELOGD.fid-7d8850_14a347986c2_33c9,POINT (16.382562998292265 48.24510089209749),20,Handelskai-Fr.Engels Platz (Süd),155,
AMPELOGD.fid-7d8850_14a347986c2_33ca,POINT (16.399050143654097 48.20409721923372),2,Schüttelstr.-Halmg.,156,
AMPELOGD.fid-7d8850_14a347986c2_33cb,POINT (16.413491037338172 48.23689911015295),22,Donau City-L. Bernst. N-Portal,157,
AMPELOGD.fid-7d8850_14a347986c2_33cc,POINT (16.3587560779167 48.13960975897698),23,Laxenburger Str.-Heizwerkstr./Tenschert,160,
AMPELOGD.fid-7d8850_14a347986c2_33cd,POINT (16.315964844282792 48.20932876927331),16,Koppstr.-Zagorskig.Pfenniggeldg,164,
AMPELOGD.fid-7d8850_14a347986c2_33ce,POINT (16.311263617411445 48.17090941689675),12,Edelsinnstr.-Schönbrunner Allee,166,
AMPELOGD.fid-7d8850_14a347986c2_33cf,POINT (16.3874484390794 48.20505348075695),3,Landstr. Hptstr.-Beatrixg./Gärtnerg.,167,
AMPELOGD.fid-7d8850_14a347986c2_33d0,POINT (16.384695265867446 48.18383801380077),3,Arsenalstr.-Ghegastr.,170,
AMPELOGD.fid-7d8850_14a347986c2_33d1,POINT (16.418374050710675 48.207609846903395),2,Meiereistraße-Zufahrt Parkplatz Trabrennbahn Krieau,1,
AMPELOGD.fid-7d8850_14a347986c2_33d2,POINT (16.224225919330898 48.20565905416004),14,Wientalstraße-Aufschließungsstraße,6,
AMPELOGD.fid-7d8850_14a347986c2_33d3,POINT (16.434723292798633 48.24470915278604),22,Dr.-Adolf-Schärf-Platz-Prandaugasse,10,
AMPELOGD.fid-7d8850_14a347986c2_33d4,POINT (16.460722497312638 48.227141032778974),22,Erzherzog Karl-Str.-ON 139,26,
AMPELOGD.fid-7d8850_14a347986c2_33d5,POINT (16.45911798086836 48.27765773584086),21,Seyringer Straße-Ernst klein Gasse,29,
AMPELOGD.fid-7d8850_14a347986c2_33d6,POINT (16.457679873935096 48.274637733872666),21,Seyringer Straße-Oswald-Redlich-Straße,30,
AMPELOGD.fid-7d8850_14a347986c2_33d7,POINT (16.29350671338657 48.25201136419328),19,Hameaustr.-An der Zwerchwiese,32,
AMPELOGD.fid-7d8850_14a347986c2_33d8,POINT (16.34124348267415 48.25491967398572),19,Strassergasse-ON 9,33,
AMPELOGD.fid-7d8850_14a347986c2_33d9,POINT (16.301205570228614 48.1857628867833),13,Am Platz-ON 3,40,
AMPELOGD.fid-7d8850_14a347986c2_33da,POINT (16.258559977227446 48.19759930802276),14,Hadikg.-Hütteldorfer Br.,41,
AMPELOGD.fid-7d8850_14a347986c2_33db,POINT (16.26655474153035 48.13394087306467),23,Ketzerg.-Kaiser F.Josef-Str.,341,
AMPELOGD.fid-7d8850_14a347986c2_33dc,POINT (16.30171931499358 48.14729742111752),23,Erlaaer Str.-Josef Österreicher G.,342,
AMPELOGD.fid-7d8850_14a347986c2_33dd,POINT (16.356126349478057 48.22997598534204),9,Liechtensteinstr.-Althanstr./Rufg.,345,
AMPELOGD.fid-7d8850_14a347986c2_33de,POINT (16.379515782823965 48.23695772990749),20,Dresdner Str.-Hellwagstr.,346,
AMPELOGD.fid-7d8850_14a347986c2_33df,POINT (16.37389467408656 48.22351128210684),2,Ob.Augartenstr.-Rembrandtstr.,352,
AMPELOGD.fid-7d8850_14a347986c2_33e0,POINT (16.430872678783146 48.26637073808805),21,Siemensstr.-Richard Neutra G.,353,
AMPELOGD.fid-7d8850_14a347986c2_33e1,POINT (16.348413531698917 48.18033236423666),12,Gaudenzd. Gürtel-Max-Meidlinger-Str.,364,
AMPELOGD.fid-7d8850_14a347986c2_33e2,POINT (16.321861264059905 48.14815110917934),23,Altmannsdorfer Str.-Rossakg.,377,
AMPELOGD.fid-7d8850_14a347986c2_33e3,POINT (16.295781740608245 48.14589926310183),23,Breitenfurter Str.-Meisgeyerg.,378,
AMPELOGD.fid-7d8850_14a347986c2_33e4,POINT (16.481115238233986 48.239714579702),22,Prinzgasse-Pirquetgasse,383,
AMPELOGD.fid-7d8850_14a347986c2_33e5,POINT (16.477774505839754 48.239638299656036),22,Ziegelhofstraße-Oberfeldgasse,384,
AMPELOGD.fid-7d8850_14a347986c2_33e6,POINT (16.468689149862225 48.24302156173819),22,Süßenbrunner Straße-Oberfeldgasse,385,
AMPELOGD.fid-7d8850_14a347986c2_33e7,POINT (16.363799446427187 48.25196420046032),19,Heiligenst. Str.-Halteraug.,388,
AMPELOGD.fid-7d8850_14a347986c2_33e8,POINT (16.341448994084395 48.17668786584635),12,Eichenstr.-Längenfeldg.,395,
AMPELOGD.fid-7d8850_14a347986c2_33e9,POINT (16.397646875936534 48.19403576714122),3,Landstr. Hptstr.-Oberzellerg./Rabeng.,397,
AMPELOGD.fid-7d8850_14a347986c2_33ea,POINT (16.364178421947702 48.21889410518764),9,Porzellang.-Bergg./Jörg Mauthe Pl.,398,
AMPELOGD.fid-7d8850_14a347986c2_33eb,POINT (16.38936458266027 48.22354534890946),2,Nordbahnstr.-Am Tabor,399,
AMPELOGD.fid-7d8850_14a347986c2_33ec,POINT (16.29792077523688 48.14370790658097),23,Brunner Str.-Reklewskyg.,400,
AMPELOGD.fid-7d8850_14a347986c2_33ed,POINT (16.332999389443742 48.20940584625552),16,Thaliastr.-Kirchstetterng.,401,
AMPELOGD.fid-7d8850_14a347986c2_33ee,POINT (16.30660349656501 48.148039642110994),23,Erlaaer Str.-Gregoryg.,406,
AMPELOGD.fid-7d8850_14a347986c2_33ef,POINT (16.351419187813974 48.21186557172638),8,Florianig.-Lange G.,409,
AMPELOGD.fid-7d8850_14a347986c2_33f0,POINT (16.378193969131686 48.231725925447826),20,Wallensteinstr.-Nordwestbahnstr.,412,
AMPELOGD.fid-7d8850_14a347986c2_33f1,POINT (16.351543419143738 48.17049286065019),10,Knöllg.-Windtenstr.,414,
AMPELOGD.fid-7d8850_14a347986c2_33f2,POINT (16.35462487776087 48.238901925025374),19,Döblinger Hptstr.-Gatterburgg.,415,
