FID,OBJECTID,SHAPE,BASIS_NAME,BASIS_TYP,BETRIEB,VERWALTUNG,BAUJAHR,DENKMAL,KUENSTLER,BETRIEB_VON,BETRIEB_BIS,AKTIV,SE_ANNO_CAD_DATA,BETREIBER
MONUMENTALBRUOGD.17585,17585,POINT (16.343971926524826 48.21436541982557),Isisbrunnen,Monumentalbrunnen,MA31-Abt.4,,1834,Ja,"HAUSER Alois, Gräflich Salmsche Fabrik in Blansko, VEITH Franz",,,07:00-21:00,,MA31-Abt.4
MONUMENTALBRUOGD.17586,17586,POINT (16.364150788154944 48.208531693153546),Wasserwellen-Lebens-Brunnen (Lapislazulibrunnen),Monumentalbrunnen,MA31-Abt.4,,2000,Nein,MUHR Hans,,,07:00-01:00,,MA31-Abt.4
MONUMENTALBRUOGD.17587,17587,POINT (16.38001909538404 48.199054236641835),Marokkanerbrunnen,Monumentalbrunnen,MA31-Abt.4,,1999,Nein,,,,07:00-21:00,,MA31-Abt.4
MONUMENTALBRUOGD.17588,17588,POINT (16.3251200656682 48.19747305508542),Wasserwelt - Lebensbaum,Monumentalbrunnen,MA 31,,1991,Nein,MUHR Hans,,,08:00-21:00,,MA 31
MONUMENTALBRUOGD.17589,17589,POINT (16.32064351210385 48.19771580725013),Wasserwelt - Wasserbecken A,Monumentalbrunnen,MA 31,,1995,Nein,VIEHBÖCK Waltrud,,,,,MA 31
MONUMENTALBRUOGD.17590,17590,POINT (16.324719650539734 48.19735011442346),Wasserwelt - Berliner Trinkbrunnen,Monumentalbrunnen,MA 31,,1991,Nein,,,,08:00-21:00,,MA 31
MONUMENTALBRUOGD.17591,17591,POINT (16.32231460574956 48.19745588465189),Wasserwelt - Spielbrunnen,Monumentalbrunnen,MA 31,,1991,Nein,"GUTTMANN Rudolf, FALKNER Rupert",,,08:00-21:00,,MA 31
MONUMENTALBRUOGD.17592,17592,POINT (16.323522038840736 48.19730240084823),Wasserwelt - Wasserlichtbogen,Monumentalbrunnen,MA 31,,1995,Nein,"GUTTMANN Rudolf, FALKNER Rupert",,,,,MA 31
MONUMENTALBRUOGD.17593,17593,POINT (16.324033978138335 48.19724444130752),Wasserwelt - Denkzeichen,Monumentalbrunnen,MA 31,,1991,Nein,NAKAJIMA Osamu,,,08:00-21:00,,MA 31
MONUMENTALBRUOGD.17594,17594,POINT (16.355802786511887 48.210672093709654),,Monumentalbrunnen,MA 42,,,Nein,,,,,,MA 42
MONUMENTALBRUOGD.17595,17595,POINT (16.312457951013577 48.18800782903542),Jungbrunnen,Monumentalbrunnen,MA31-Abt.4,,1913,Nein,PANHOLZER Rudolf,,,08:00-21:00,,MA31-Abt.4
MONUMENTALBRUOGD.17596,17596,POINT (16.40242764534845 48.21543370710639),Zierbrunnen (Walfischbrunnen),Monumentalbrunnen,MA31-Abt.4,,,Nein,,,,08:00-21:00,,MA31-Abt.4
MONUMENTALBRUOGD.17597,17597,POINT (16.36913825862498 48.2091225630452),Josefsbrunnen,Monumentalbrunnen,MA31-Abt.4,,1804,Ja,FISCHER Johann Martin,,,07:00-01:00,,MA31-Abt.4
MONUMENTALBRUOGD.17598,17598,POINT (16.335635196398684 48.18516514021774),Längenfeldbrunnen,Monumentalbrunnen,MA31-Abt.4,,,Nein,,,,08:00-21:00,,MA31-Abt.4
MONUMENTALBRUOGD.17599,17599,POINT (16.378346835899563 48.203728056294764),Donauweibchenbrunnen,Monumentalbrunnen,MA31-Abt.4,,1873,Ja,GASSER Hans,,,07:00-01:00,,MA31-Abt.4
MONUMENTALBRUOGD.17600,17600,POINT (16.380654058807174 48.20306383084178),Sebastian-Kneipp-Brunnen,Monumentalbrunnen,MA31-Abt.4,,1912,Nein,WOLLEK Carl,,,08:00-24:00,,MA31-Abt.4
MONUMENTALBRUOGD.17601,17601,POINT (16.319248621100467 48.18725977992755),Jungbrunnen,Monumentalbrunnen,MA31-Abt.4,,,Nein,,,,,,MA31-Abt.4
MONUMENTALBRUOGD.17602,17602,POINT (16.380690532716336 48.20484291666953),Befreiung-der-Quelle-Brunnen,Monumentalbrunnen,MA31-Abt.4,,1903,Ja,HEU Josef,,,07:00-01:00,,MA31-Abt.4
MONUMENTALBRUOGD.17603,17603,POINT (16.357370996351914 48.22473649594962),Schubertbrunnen,Monumentalbrunnen,MA31-Abt.4,,1928,Ja,"MATUSCHEK Franz, STUNDL Theodor",,,08:00-21:00,,MA31-Abt.4
MONUMENTALBRUOGD.17604,17604,POINT (16.369461253769128 48.20288925032239),Opernbrunnen,Monumentalbrunnen,,,1868,Nein,"SICARD VON SICCARDSBURG August, VAN DER NÜLL Eduard, GASSER Hans",,,,,
MONUMENTALBRUOGD.17605,17605,POINT (16.30890034155951 48.21387864896697),Alter Ort,Monumentalbrunnen,MA 28,,,Nein,,,,09:00-22:00,,MA 28
MONUMENTALBRUOGD.17606,17606,POINT (16.353203500477353 48.185323707825845),Siebenbrunnen,Monumentalbrunnen,MA31-Abt.4,,1904,Ja,KAUFFUNGEN Richard,,,08:00-21:00,,MA31-Abt.4
