FID,OBJECTID,SHAPE,NAME,ADRESSE,WEITERE_INFORMATIONEN,ANBIETER,SE_ANNO_CAD_DATA
WLANWIENATOGD.504341,504341,POINT (16.332010694503968 48.26606245459377),Krapfenwaldlbad,"19., Krapfenwaldgasse 65-73 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504342,504342,POINT (16.310404884762818 48.22190935751397),Kongressbad,"16., Julius-Meinl-Gasse 7a ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504220,504220,POINT (16.36116716946814 48.202505553759686),Mariahilferstr 2,"7., Mariahilferstrasse 2 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504221,504221,POINT (16.359454849251204 48.20124143701566),Mariahilferstr 12,"7., Mariahilferstrasse 12-16 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504222,504222,POINT (16.35742519399335 48.20075155961123),Mariahilferstr 22,"7., Mariahilferstrasse 22 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504223,504223,POINT (16.355461712338535 48.200128320136756),Mariahilferstr 41,"7., Mariahilferstrasse 41-43 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504224,504224,POINT (16.35327984830746 48.199600497746594),Mariahilferstr 42,"7., Mariahilferstrasse 42-48 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504225,504225,POINT (16.351383789992664 48.198758643819424),Mariahilferstr 67,"6., Mariahilferstrasse 67 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504226,504226,POINT (16.350027685085003 48.19819413412909),Mariahilferstr 75,"6., Mariahilferstrasse 75 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504227,504227,POINT (16.347715996364492 48.19757790851492),Mariahilferstr 84,"7., Mariahilferstrasse 84 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504228,504228,POINT (16.346187487187663 48.19707479429132),Mariahilferstr 97,"6., Mariahilferstrasse 97 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504229,504229,POINT (16.344331720992756 48.19680514708163),Mariahilferstr 102,"7., Mariahilferstrasse 102 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504230,504230,POINT (16.34198256246057 48.19626711247864),Mariahilferstr 119,"6., Mariahilferstrasse 119 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504231,504231,POINT (16.34024763155712 48.19574088006576),Mariahilferstr 125,"6., Mariahilferstrasse 125 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
WLANWIENATOGD.504219,504219,POINT (16.371370924800157 48.20800678900329),Stephansplatz1,"1., Seilergasse 1 ",http://www.wien.gv.at/ikt/egov/wlan/index.html,http://www.wien.gv.at/ikt/egov/wlan/wlan-multimediastationen.html,
