FID,OBJECTID,SHAPE,NAME,ADRESSE,SE_ANNO_CAD_DATA
AMTOGD.481292,481292,POINT (16.357985285186157 48.21130657017448),Magistratsabteilung 9 - Wienbibliothek im Rathaus,"1., Felderstraße 1",
AMTOGD.481293,481293,POINT (16.342426683486458 48.226736404634),Bezirksvorstehung des 18. Bezirks,"18., Martinstraße 100",
AMTOGD.481294,481294,POINT (16.354024986281637 48.20678638807496),"Magistratsabteilung 64 - Rechtl. Bau-, Energie-, Eisenbahn- und Luftfahrtangelegenheiten","8., Lerchenfelder Straße 4",
AMTOGD.481295,481295,POINT (16.350049704446555 48.19112808560601),Magistratsabteilung 31 - Wasserwerke,"6., Grabnergasse 4-6",
AMTOGD.481296,481296,POINT (16.28200735343394 48.134770985507465),Bezirksvorstehung des 23. Bezirks,"23., Perchtoldsdorfer Straße 2",
AMTOGD.481297,481297,POINT (16.384003434083013 48.241872552066035),Magistratsabteilung 25 - Stadterneuerung und Prüfstelle f. Wohnhäuser,"20., Maria-Restituta-Platz 1",
AMTOGD.481298,481298,POINT (16.35510385235676 48.21129296450473),Magistratsabteilung 13 - Bildung und außerschulische Jugendbetreuung,"8., Friedrich-Schmidt-Platz 5",
AMTOGD.481300,481300,POINT (16.282219403263262 48.13496144605671),Magistratisches Bezirksamt für den 23. Bezirk,"23., Perchtoldsdorfer Straße 2",
AMTOGD.481301,481301,POINT (16.334073796630445 48.194117811275696),Bezirksvorstehung des 15. Bezirks,"15., Gasgasse 8-10",
AMTOGD.481302,481302,POINT (16.370876415628235 48.211882908087155),Bezirksvorstehung des 1. Bezirks,"1., Wipplingerstraße 6-8",
AMTOGD.481340,481340,POINT (16.3678912437362 48.211712453639414),Magistratsabteilung 68 - Feuerwehr und Katastrophenschutz,"1., Am Hof 9-10",
AMTOGD.481341,481341,POINT (16.354994108504535 48.21033521871311),Magistratsabteilung 6 - Rechnungs- und Abgabenwesen,"8., Friedrich-Schmidt-Platz 3",
AMTOGD.481342,481342,POINT (16.353564671020322 48.21014037441115),Magistratsabteilung 24 - Gesundheits- und Sozialplanung,"1., Buchfeldgasse 6",
AMTOGD.481343,481343,POINT (16.341845253086074 48.18947395212534),Magistratsabteilung 56 - Wiener Schulen,"6., Mollardgasse 87",
AMTOGD.481344,481344,POINT (16.383010203328737 48.20058855383263),Magistratsabteilung 54 - Zentraler Einkauf,"3., Am Modenapark 1-2",
AMTOGD.481345,481345,POINT (16.354995265681904 48.21040832403098),Magistratsabteilung 17 - Integration und Diversität,"1., Friedrich-Schmidt-Platz 3",
AMTOGD.481346,481346,POINT (16.40174407308634 48.19844789924464),Magistratsabteilung 11 - Amt für Jugend und Familie,"3., Rüdengasse 11",
AMTOGD.481347,481347,POINT (16.387574650360843 48.20111314105196),Magistratsabteilung 65 - Rechtliche Verkehrsangelegenheiten,"3., Ungargasse 33",
AMTOGD.481348,481348,POINT (16.34636789181396 48.21258613819906),Magistratsabteilung 27 - Europäische Angelegenheiten,"8., Schlesingerplatz 2",
AMTOGD.481349,481349,POINT (16.38002766083616 48.2022518273863),Magistratsabteilung 42 - Wiener Stadtgärten,"3., Johannesgasse 35",
AMTOGD.481350,481350,POINT (16.358034221305736 48.20586685818638),Magistratsabteilung 26 - Datenschutz und E-Government,"1., Volksgartenstraße 3",
AMTOGD.481351,481351,POINT (16.37001455667303 48.25208933545934),Magistratsabteilung 50 - Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten,"19., Muthgasse 62",
AMTOGD.481352,481352,POINT (16.357317474651815 48.21025989030216),Magistratsabteilung 53 - Presse- und Informationsdienst,"1., Lichtenfelsgasse 2",
AMTOGD.481353,481353,POINT (16.35700762687495 48.21030599224741),Magistratsdirektion Präsidialabteilung,"1., Lichtenfelsgasse 2, Rathaus, Stiege 5",
AMTOGD.481354,481354,POINT (16.38517174925585 48.232273563292324),"Magistratsabteilung 35 - Einwanderung, Staatsbürgerschaft, Standesamt","20., Dresdner Straße 93",
AMTOGD.481355,481355,POINT (16.35492088995423 48.21034387319342),Magistratsabteilung 55 - Bürgerdienst,"8., Friedrich-Schmidt-Platz 3",
AMTOGD.481356,481356,POINT (16.357679734290475 48.21134538863328),Magistratsabteilung 1 - Allgemeine Personalangelegenheiten,"1., Felderstraße 1, Rathaus, Stiege 4, 2. Stock, Tür 452",
AMTOGD.481357,481357,POINT (16.356679866242633 48.21077819312561),Magistratsabteilung 6 - Stadthauptkasse,"1., Friedrich-Schmidt-Platz 1, Rathaus, Stiege 7, Hochparterre",
AMTOGD.481358,481358,POINT (16.355949463206695 48.20894813891376),Magistratsabteilung 2 - Personalservice,"1., Rathausstraße 4",
AMTOGD.481359,481359,POINT (16.356413434210367 48.21194420538316),Magistratsabteilung 18 - Wiener Planungswerkstatt,"1., Friedrich-Schmidt-Platz 9",
AMTOGD.481360,481360,POINT (16.41300112981271 48.183919228750064),Magistratsabteilung 67 - Parkraumüberwachung,"3., Modecenterstraße 22",
AMTOGD.481361,481361,POINT (16.357822072082346 48.21193738225842),Magistratsabteilung 5 - Finanzwesen,"1., Ebendorferstraße 2",
AMTOGD.481362,481362,POINT (16.34704310154915 48.202580877308264),Magistratsabteilung 3 - Bedienstetenschutz und berufliche Gesundheitsförderung,"7., Hermanngasse 24-26",
AMTOGD.481363,481363,POINT (16.415065064101857 48.185887972157595),Wien Kanal (WKN),"3., Modecenterstraße 14",
AMTOGD.481364,481364,POINT (16.350923768948388 48.19706307364231),Magistratsabteilung 20 - Energieplanung,"6., Amerlingstraße 11",
AMTOGD.481365,481365,POINT (16.419778806199563 48.20748808194004),"Magistratsabteilung 23 - Wirtschaft, Arbeit und Statistik","2., Meiereistraße 7",
AMTOGD.481366,481366,POINT (16.413910272454242 48.1756978581374),Magistratisches Bezirksamt für den 11. Bezirk,"11., Enkplatz 2",
AMTOGD.481367,481367,POINT (16.30545720893156 48.21781843285444),Magistratsabteilung 29 - Brückenbau und Grundbau,"16., Wilhelminenstraße 93",
AMTOGD.481369,481369,POINT (16.34244163295001 48.22703068657625),Magistratisches Bezirksamt für den 18. Bezirk,"18., Martinstraße 100",
AMTOGD.481370,481370,POINT (16.356895591034117 48.21207128241757),Magistratsabteilung 18 - Stadtentwicklung und Stadtplanung,"1., Rathausstraße 14-16",
AMTOGD.481371,481371,POINT (16.332085846154303 48.1811323749016),Magistratsabteilung 19 - Architektur und Stadtgestaltung,"12., Niederhofstraße 21-23",
AMTOGD.481372,481372,POINT (16.305556137948948 48.21778329587209),Magistratsabteilung 45 - Wiener Gewässer,"16., Wilhelminenstraße 93",
AMTOGD.481373,481373,POINT (16.350971387899424 48.197019504437876),Bezirksvorstehung des 6. Bezirks,"6., Amerlingstraße 11",
AMTOGD.481374,481374,POINT (16.37109446846576 48.2117976764978),Magistratsabteilung 63 - Gewerbewesen u. rechtl. Angelegenheiten d. Ernährungswesens,"1., Wipplingerstraße 6-8",
AMTOGD.481375,481375,POINT (16.374864095139376 48.178474420009714),Bezirksvorstehung des 10. Bezirks,"10., Keplerplatz 5",
AMTOGD.481377,481377,POINT (16.40409731750954 48.18959722187907),Magistratsabteilung 38 - Lebensmitteluntersuchungsanstalt d. Stadt Wien,"3., Henneberggasse 3",
AMTOGD.481379,481379,POINT (16.37098914128037 48.21183871741526),Magistratisches Bezirksamt für den 1. u. 8. Bezirk,"1., Wipplingerstraße 6-8",
AMTOGD.481442,481442,POINT (16.35475499490921 48.206882291806146),Magistratsabteilung 62 - Wahlen und verschiedene Rechtsangelegenheiten,"8., Lerchenfelder Straße 4",
AMTOGD.481443,481443,POINT (16.35426605123759 48.19057144508558),Bezirksvorstehung des 5. Bezirks,"5., Schönbrunner Straße 54",
AMTOGD.481444,481444,POINT (16.35795994593391 48.20584196125372),Magistratsabteilung 58 - Wasserrecht,"1., Volksgartenstraße 3",
AMTOGD.481445,481445,POINT (16.39709124575712 48.2578429452782),Bezirksvorstehung des 21. Bezirks,"21., Am Spitz 1",
AMTOGD.481446,481446,POINT (16.318108030138816 48.2220605681307),Magistratsabteilung 28 - Straßenverwaltung u. Straßenbau,"17., Lienfeldergasse 96",
AMTOGD.481447,481447,POINT (16.332245446222313 48.21825451675541),Magistratisches Bezirksamt für den 17. Bezirk,"17., Elterleinplatz 14",
AMTOGD.481448,481448,POINT (16.355093326007974 48.21120852036111),Magistratsabteilung 7 - Kultur,"8., Friedrich-Schmidt-Platz 5",
AMTOGD.481449,481449,POINT (16.35355053779951 48.23890628435672),Bezirksvorstehung des 19. Bezirks,"19., Gatterburggasse 14",
AMTOGD.481450,481450,POINT (16.3275998795343 48.20930050885859),Bezirksvorstehung des 16. Bezirks,"16., Richard-Wagner-Platz 19",
AMTOGD.481454,481454,POINT (16.35327361518136 48.18059902461981),"Magistratsabteilung 48 - Abfallwirtschaft, Strassenreinigung und Fuhrpark","5., Einsiedlergasse 2",
AMTOGD.481455,481455,POINT (16.3698608229998 48.19432644543477),Bezirksvorstehung des 4. Bezirks,"4., Favoritenstraße 18",
AMTOGD.481456,481456,POINT (16.37990784561242 48.216491837898474),Bezirksvorstehung des 2. Bezirks,"2., Karmelitergasse 9",
AMTOGD.481457,481457,POINT (16.35693251491127 48.212209320890175),Magistratsabteilung 21 - Stadtteilplanung u. Flächennutzung,"1., Rathausstraße 14-16",
AMTOGD.481458,481458,POINT (16.332150129800446 48.18105836290412),Magistratsabteilung 46 - Verkehrsorganisation und technische Verkehrsangelegenheiten,"12., Niederhofstraße 21-23",
AMTOGD.481459,481459,POINT (16.412152109239734 48.193062469681664),Magistratsabteilung 10 - Wiener Kindergärten,"3., Thomas-Klestil-Platz 11",
AMTOGD.481460,481460,POINT (16.456467682825156 48.22944735287478),Magistratsabteilung 14 - Informations- und Kommunikationstechnologie,"22., Stadlauer Straße 56",
AMTOGD.479662,479662,POINT (16.35198364430666 48.19886881878778),WIEN ENERGIE Haus,"6., Mariahilfer Straße 63",
AMTOGD.479678,479678,POINT (16.37703802072446 48.18962669113869),Wiener Stadtwerke BESTATTUNG WIEN,"4., Goldeggasse 19",
AMTOGD.481283,481283,POINT (16.410090354219363 48.19450326762917),Wiener Krankenanstaltenverbund Direktion,"3., Thomas-Klestil-Platz 7/1",
AMTOGD.481299,481299,POINT (16.350978350855517 48.21635627819722),WIEN ENERGIE Kundendienstzentrum,"9., Spitalgasse 5-9",
AMTOGD.481303,481303,POINT (16.456102971585466 48.22894065572831),Wiener Krankenanstaltenverbund KAV-IT,"22., Stadlauer Straße 54",
AMTOGD.481368,481368,POINT (16.425218791128025 48.18454181508556),WIEN ENERGIE Gasnetz,"11., Erdbergstraße 236",
AMTOGD.481376,481376,POINT (16.35635581965582 48.208475728263224),Wiener Wohnen Direktion,"1., Doblhoffgasse 6",
AMTOGD.481378,481378,POINT (16.35021204426256 48.216018861671785),WIEN ENERGIE Wienstrom,"9., Mariannengasse 4-6",
AMTOGD.481441,481441,POINT (16.41306702892 48.19230582888299),Wiener Stadtwerke Holding AG,"1., Thomas-Klestil-Platz 14",
AMTOGD.481451,481451,POINT (16.359561970692745 48.23365676591926),WIEN ENERGIE Fernwärme Wien,"9., Spittelauer Lände 45",
AMTOGD.481452,481452,POINT (16.441663138415983 48.15513229634834),Wiener Stadtwerke Friedhöfe Wien GmbH,"11., Simmeringer Hauptstraße 339",
AMTOGD.481453,481453,POINT (16.415220369154447 48.18988831475432),Wiener Stadtwerke WIENER LINIEN,"3., Erdbergstraße 202",
