FID,SHAPE,BEZIRK,STRNAM,GELTUNGSBEREICH,ZEITRAUM,DAUER,SE_SDO_ROWID,SE_ANNO_CAD_DATA,GUELTIG_VON
KURZPARKSTREIFENOGD.354967,"LINESTRING (16.32174555428527 48.21345323827326, 16.32055344688375 48.213449420169006)",16,Ottakringer Straﬂe,99 bis 107,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354967,,2012-09-30
KURZPARKSTREIFENOGD.354968,"LINESTRING (16.320515052910977 48.21353733220573, 16.3198902202641 48.21353907730773)",16,Ottakringer Straﬂe,138 bis 142,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354968,,2012-09-30
KURZPARKSTREIFENOGD.354969,"LINESTRING (16.320454788800934 48.21345123806188, 16.319724128414265 48.213450889310245)",16,Ottakringer Straﬂe,109 bis 115,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354969,,2012-09-30
KURZPARKSTREIFENOGD.354970,"LINESTRING (16.31954769398637 48.21343829054506, 16.31907906962826 48.213441885913625)",16,Ottakringer Straﬂe,117 bis 119,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354970,,2012-09-30
KURZPARKSTREIFENOGD.354971,"LINESTRING (16.31812262164857 48.213500351473584, 16.317053871033952 48.213395778147195)",16,Ottakringer Straﬂe,152 bis 158,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354971,,2012-09-30
KURZPARKSTREIFENOGD.354972,"LINESTRING (16.31788149865852 48.21338858586164, 16.31704842000282 48.213313354851685)",16,Ottakringer Straﬂe,131 bis 139,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354972,,2012-09-30
KURZPARKSTREIFENOGD.354973,"LINESTRING (16.31680449922483 48.213364600072104, 16.315993347639832 48.21328753385123)",16,Ottakringer Straﬂe,160 bis 166,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354973,,2012-09-30
KURZPARKSTREIFENOGD.354974,"LINESTRING (16.316782604355822 48.21328583647773, 16.31600434141705 48.21320877584058)",16,Ottakringer Straﬂe,141 bis 145,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354974,,2012-09-30
KURZPARKSTREIFENOGD.354975,"LINESTRING (16.315705594037144 48.213300304176435, 16.31525614476546 48.21332952912799)",16,Ottakringer Straﬂe,168 bis 170,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354975,,2012-09-30
KURZPARKSTREIFENOGD.354976,"LINESTRING (16.315938573628472 48.213199607059536, 16.315754963915378 48.2131959112005, 16.315423357437727 48.21321600025435, 16.31475466419983 48.21326349941389)",16,Ottakringer Straﬂe,147 bis 153,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354976,,2012-09-30
KURZPARKSTREIFENOGD.354977,"LINESTRING (16.314524415777512 48.213378847887036, 16.313702219956806 48.21349957717956)",16,Ottakringer Straﬂe,176 bis 180,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354977,,2012-09-30
