FID,SHAPE,BEZIRK,STRNAM,GELTUNGSBEREICH,ZEITRAUM,DAUER,SE_SDO_ROWID,SE_ANNO_CAD_DATA,GUELTIG_VON
KURZPARKSTREIFENOGD.355986,"LINESTRING (16.32602690692952 48.21043029053153, 16.325331270447776 48.21053583685821)",16,Thaliastraﬂe,63 bis 67,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355986,,2012-09-30
KURZPARKSTREIFENOGD.355987,"LINESTRING (16.325063401561145 48.2106633167811, 16.32384362023348 48.21084736829778)",16,Thaliastraﬂe,76 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355987,,2012-09-30
KURZPARKSTREIFENOGD.355988,"LINESTRING (16.32403441325196 48.21073147426653, 16.323190391827627 48.2108614635769)",16,Thaliastraﬂe,75 bis 79,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355988,,2012-09-30
KURZPARKSTREIFENOGD.355989,"LINESTRING (16.32365284917765 48.21087568087451, 16.322839656104208 48.21100180835964)",16,Thaliastraﬂe,78 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355989,,2012-09-30
KURZPARKSTREIFENOGD.355990,"LINESTRING (16.32299769123786 48.210889775974735, 16.322147883938374 48.211019756971325)",16,Thaliastraﬂe,81 bis 85,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355990,,2012-09-30
KURZPARKSTREIFENOGD.355991,"LINESTRING (16.3226565876471 48.21103398498336, 16.322153640891955 48.211107336555)",16,Thaliastraﬂe,80 bis 82,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355991,,2012-09-30
KURZPARKSTREIFENOGD.355992,"LINESTRING (16.321953256063154 48.21104935565675, 16.32110151434929 48.21117932867848)",16,Thaliastraﬂe,87 bis 91,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355992,,2012-09-30
KURZPARKSTREIFENOGD.355993,"LINESTRING (16.321943593631442 48.211147237286106, 16.320725715941307 48.211335118509666)",16,Thaliastraﬂe,84 bis 90,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355993,,2012-09-30
KURZPARKSTREIFENOGD.355994,"LINESTRING (16.320908816515345 48.211196046498934, 16.320078267096445 48.211324727578415)",16,Thaliastraﬂe,93 bis 97,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355994,,2012-09-30
KURZPARKSTREIFENOGD.355995,"LINESTRING (16.32051181535546 48.2113685758743, 16.319920216103434 48.211457361545435)",16,Thaliastraﬂe,92 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355995,,2012-09-30
KURZPARKSTREIFENOGD.355996,"LINESTRING (16.31880927599555 48.211620981704584, 16.316941311302493 48.21191089941196)",16,Thaliastraﬂe,94 bis 108,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355996,,2012-09-30
KURZPARKSTREIFENOGD.355997,"LINESTRING (16.317771267345734 48.21169294546264, 16.31693620691737 48.21181988429616)",16,Thaliastraﬂe,105 bis 109,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355997,,2012-09-30
KURZPARKSTREIFENOGD.355998,"LINESTRING (16.31672548128428 48.211936620901774, 16.31567972103985 48.212094426771124)",16,Thaliastraﬂe,110 bis 116,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355998,,2012-09-30
KURZPARKSTREIFENOGD.355712,"LINESTRING (16.4455563110072 48.250831459625644, 16.445332274449125 48.25086223922535)",22,Am langen Felde,1 ,Mo.-Fr. (w.) v. 8-18h,"1,5 h",355712,,2006-10-23
KURZPARKSTREIFENOGD.355713,"LINESTRING (16.319818917929055 48.18472355664457, 16.319731292566622 48.18454379686567)",12,Gr¸nbergstraﬂe,7 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355713,,1983-10-18
KURZPARKSTREIFENOGD.355714,"LINESTRING (16.441619154343307 48.26004154210953, 16.441573052621273 48.26001413187144)",22,Murrstraﬂe,4 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355714,,2006-02-22
KURZPARKSTREIFENOGD.355715,"LINESTRING (16.458039047607212 48.22059509216015, 16.45803670780647 48.22050806334148, 16.458032321468792 48.22045956001639)",22,Hardeggasse,gg¸. 66 ,v. 9-17h,"1,5 h",355715,,2011-03-04
KURZPARKSTREIFENOGD.355716,"LINESTRING (16.33626628400173 48.22042944140182, 16.33650847579223 48.22071438102352)",17,Hildebrandgasse,1 bis 5,Mo.-Fr. (w.) v. 9-19h,3 h,355716,,2012-10-01
KURZPARKSTREIFENOGD.355717,"LINESTRING (16.335468069593844 48.22118852217857, 16.336488010362327 48.22074857421165)",17,Leopold-Ernst-Gasse,1 bis 9,Mo.-Fr. (w.) v. 9-19h,3 h,355717,,2012-10-01
KURZPARKSTREIFENOGD.355718,"LINESTRING (16.33550900254271 48.22124095135775, 16.335758021000824 48.22113609317918)",17,Leopold-Ernst-Gasse,10 ,Mo.-Fr. (w.) v. 9-19h,3 h,355718,,2012-10-01
KURZPARKSTREIFENOGD.355719,"LINESTRING (16.335410076570515 48.22133213133867, 16.335904699893266 48.22193848645481)",17,Leitermayergasse,9 bis 17,Mo.-Fr. (w.) v. 9-19h,3 h,355719,,2012-10-01
KURZPARKSTREIFENOGD.355720,"LINESTRING (16.335495357436077 48.2212956600363, 16.335989979735064 48.22189973502451)",17,Leitermayergasse,8 bis 16,Mo.-Fr. (w.) v. 9-19h,3 h,355720,,2012-10-01
KURZPARKSTREIFENOGD.355721,"LINESTRING (16.33602409220902 48.22207525782404, 16.336617657280247 48.222809264226186)",17,Leitermayergasse,19 bis 27,Mo.-Fr. (w.) v. 9-19h,3 h,355721,,2012-10-01
KURZPARKSTREIFENOGD.355722,"LINESTRING (16.336095729144027 48.222036506312214, 16.336539195429193 48.222574473562055)",17,Leitermayergasse,18 bis 24,Mo.-Fr. (w.) v. 9-19h,3 h,355722,,2012-10-01
KURZPARKSTREIFENOGD.355723,"LINESTRING (16.354791953093645 48.23904007846111, 16.355097187965196 48.23976706200283)",19,Dˆblinger Hauptstraﬂe,66 bis 74,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355723,,2001-04-06
KURZPARKSTREIFENOGD.355724,"LINESTRING (16.35426899471638 48.23786697166739, 16.354364055223684 48.23811471168394, 16.354398805734746 48.23813211347118, 16.354627729781765 48.23866397423973)",19,Dˆblinger Hauptstraﬂe,54 bis 62,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355724,,1982-09-17
KURZPARKSTREIFENOGD.355725,"LINESTRING (16.336610834396062 48.22284801576056, 16.335942219779103 48.22317626943506)",17,Antonigasse,43 bis 49,Mo.-Fr. (w.) v. 9-19h,3 h,355725,,2012-10-01
KURZPARKSTREIFENOGD.355726,"LINESTRING (16.33573754035339 48.22327884721622, 16.33480623707738 48.22373018702297)",17,Antonigasse,51 bis 59,Mo.-Fr. (w.) v. 9-19h,3 h,355726,,2012-10-01
KURZPARKSTREIFENOGD.355727,"LINESTRING (16.33464931297364 48.2238054095665, 16.333888562722425 48.224181519508086)",17,Antonigasse,61 bis 67,Mo.-Fr. (w.) v. 9-19h,3 h,355727,,2012-10-01
KURZPARKSTREIFENOGD.355728,"LINESTRING (16.35192923673519 48.23383299885032, 16.35173160063667 48.233963912085414)",19,Billrothstraﬂe,5 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355728,,2000-03-21
KURZPARKSTREIFENOGD.355729,"LINESTRING (16.35078086222307 48.23497420078844, 16.350471076598904 48.23536212295092)",19,Billrothstraﬂe,8 bis 10,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355729,,1998-09-21
KURZPARKSTREIFENOGD.355730,"LINESTRING (16.353085207172878 48.23362833845839, 16.352985548755587 48.23381300026821, 16.352922966253068 48.23413470295699, 16.35289452519108 48.234306026371264, 16.35290309869273 48.234384076542185, 16.3529316374511 48.23450970646322, 16.353025770811218 48.23483139504642)",19,Dˆblinger Hauptstraﬂe,16 bis 28,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355730,,1997-09-03
KURZPARKSTREIFENOGD.355731,"LINESTRING (16.38876198576633 48.2171115526146, 16.38957598122894 48.217524016686205)",2,Praterstraﬂe,57 bis 63,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355731,,2002-04-17
KURZPARKSTREIFENOGD.355732,"LINESTRING (16.38779128328308 48.21662778363003, 16.388669378121367 48.217073526974126)",2,Praterstraﬂe,51 bis 57,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355732,,2002-04-17
KURZPARKSTREIFENOGD.355733,"LINESTRING (16.387249609610553 48.216122394440966, 16.387889009552993 48.21644570897296)",2,Praterstraﬂe,54 bis 60,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355733,,2002-04-17
KURZPARKSTREIFENOGD.355734,"LINESTRING (16.387999451200542 48.21650276571819, 16.388802725517674 48.21690809957882)",2,Praterstraﬂe,62 bis 68,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355734,,1999-02-27
KURZPARKSTREIFENOGD.355735,"LINESTRING (16.38724631960134 48.21641268626664, 16.38716984644352 48.21648053774557, 16.387399637234207 48.21662201473068)",2,Praterstraﬂe,47 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355735,,1999-02-27
KURZPARKSTREIFENOGD.355736,"LINESTRING (16.387310465246145 48.216465006895554, 16.38740131117953 48.21651968976147)",2,Praterstraﬂe,gg¸. 47 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355736,,1999-02-27
KURZPARKSTREIFENOGD.355737,"LINESTRING (16.386282493689322 48.21563978914405, 16.386432103129728 48.21572419648615, 16.38653719241567 48.21577411641496, 16.386620884521975 48.21580858640952, 16.386745562577726 48.215868012298365)",2,Praterstraﬂe,48 bis 50,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355737,,2002-04-17
KURZPARKSTREIFENOGD.355738,"LINESTRING (16.385515019232194 48.21540932128589, 16.386663850011416 48.216053649239775, 16.38666384766255 48.21605126605209)",2,Praterstraﬂe,41 bis 45,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355738,,2002-04-17
KURZPARKSTREIFENOGD.355739,"LINESTRING (16.38493793007695 48.21508001354048, 16.38535379602754 48.21531780975316)",2,Praterstraﬂe,33 bis 37,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355739,,2009-02-11
KURZPARKSTREIFENOGD.355740,"LINESTRING (16.383285103455698 48.21413844536111, 16.383782047725653 48.2144606541809, 16.383958372044543 48.214558138723376)",2,Praterstraﬂe,25 bis 29,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355740,,2002-05-27
KURZPARKSTREIFENOGD.355741,"LINESTRING (16.383388207880902 48.21399801061031, 16.38355386262899 48.21409907046105)",2,Praterstraﬂe,24 bis 26,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355741,,2002-07-18
KURZPARKSTREIFENOGD.355742,"LINESTRING (16.382763172229645 48.21375080124342, 16.38277208384692 48.21376983616005, 16.382779221461444 48.21379124599346, 16.382800610982134 48.21381503322177, 16.38283802597849 48.21385308608387, 16.3829591464967 48.213931556083324)",2,Praterstraﬂe,21 bis 23,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355742,,2002-05-27
KURZPARKSTREIFENOGD.355743,"LINESTRING (16.382104763489135 48.22194112158338, 16.382188632224977 48.22214928850138)",2,Taborstraﬂe,63 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355743,,2008-10-21
KURZPARKSTREIFENOGD.355744,"LINESTRING (16.381654115674873 48.22050827765116, 16.38202159269684 48.22132428730925)",2,Taborstraﬂe,52 bis 54,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355744,,1999-02-27
KURZPARKSTREIFENOGD.355745,"LINESTRING (16.38129133818169 48.21975866134765, 16.381572909492437 48.220341667737884)",2,Taborstraﬂe,48 bis 50,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355745,,1999-02-27
KURZPARKSTREIFENOGD.355746,"LINESTRING (16.380979240534405 48.21913536891582, 16.381207515710575 48.21959451518557)",2,Taborstraﬂe,44 bis 46a,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355746,,2009-02-27
KURZPARKSTREIFENOGD.355747,"LINESTRING (16.303389791423985 48.16860404722799, 16.30331691806468 48.1685302639467)",12,Boergasse,,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355747,,1995-04-05
KURZPARKSTREIFENOGD.355748,"LINESTRING (16.301735410828407 48.16910919211332, 16.30160375125401 48.16917102621422)",12,Hetzendorfer Straﬂe,131 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355748,,1991-09-19
KURZPARKSTREIFENOGD.355749,"LINESTRING (16.328392715267945 48.23253518622232, 16.328415863145125 48.23247569814768)",18,Gersthofer Straﬂe,8 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355749,,1987-04-03
KURZPARKSTREIFENOGD.355750,"LINESTRING (16.328296517166706 48.232763596505045, 16.328330355990857 48.23268507968911)",18,Gersthofer Straﬂe,10 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355750,,1987-04-03
KURZPARKSTREIFENOGD.355751,"LINESTRING (16.32824485014674 48.232881259232364, 16.32821456545454 48.23295502788575)",18,Gersthofer Straﬂe,12 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355751,,1987-04-03
KURZPARKSTREIFENOGD.355752,"LINESTRING (16.32795155768341 48.233612336082196, 16.327890787632583 48.23376190114491)",18,Gersthofer Straﬂe,20 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355752,,1987-04-03
KURZPARKSTREIFENOGD.355753,"LINESTRING (16.327822718766214 48.233465504975484, 16.327630322894112 48.2339449511556)",18,Gersthofer Straﬂe,67 bis 71,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355753,,1992-10-14
KURZPARKSTREIFENOGD.355754,"LINESTRING (16.32739700617714 48.234075801956465, 16.327275905167387 48.23410197179893)",18,Hˆhnegasse,2 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355754,,2000-09-27
KURZPARKSTREIFENOGD.355755,"LINESTRING (16.32782621405318 48.23391402894359, 16.327742479740316 48.23411865275307)",18,Gersthofer Straﬂe,24 bis 26,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355755,,1987-04-03
KURZPARKSTREIFENOGD.355756,"LINESTRING (16.327705069534993 48.234211450217614, 16.32761576158324 48.23443482195967)",18,Gersthofer Straﬂe,28 bis 30,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355756,,1987-04-03
KURZPARKSTREIFENOGD.355757,"LINESTRING (16.32785450719258 48.23510732115692, 16.328208908449444 48.235003843882396)",18,T¸rkenschanzplatz,2 bis 6,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355757,,1995-07-13
KURZPARKSTREIFENOGD.355758,"LINESTRING (16.329580677117395 48.23021069421057, 16.329481182529346 48.23124074503442)",18,Simonygasse,4 bis 12,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355758,,1999-10-14
KURZPARKSTREIFENOGD.355759,"LINESTRING (16.330462387854592 48.230789413162476, 16.329687723135695 48.231316415943375)",18,Gentzgasse,150 bis 158,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355759,,2001-06-07
KURZPARKSTREIFENOGD.355760,"LINESTRING (16.32841812193802 48.231135513592115, 16.32767198221874 48.23124134688449)",18,Herbeckstraﬂe,2 bis 8,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355760,,1986-06-06
KURZPARKSTREIFENOGD.355761,"LINESTRING (16.333512784693255 48.22945465979546, 16.33276845845026 48.22974254745276)",18,Gentzgasse,124 bis 130,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355761,,1997-09-16
KURZPARKSTREIFENOGD.355762,"LINESTRING (16.334947976303248 48.22890027316639, 16.334677323957628 48.22900378134534)",18,Gentzgasse,112 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355762,,1998-12-10
KURZPARKSTREIFENOGD.355763,"LINESTRING (16.334223275801254 48.22847077831233, 16.334663098869207 48.22843390357233)",18,W‰hringer Straﬂe,166 bis 168,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355763,,1983-10-24
KURZPARKSTREIFENOGD.355764,"LINESTRING (16.33548410598032 48.22822083370498, 16.33537011111207 48.22824483017172)",18,W‰hringer Straﬂe,149 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355764,,2009-11-17
KURZPARKSTREIFENOGD.355765,"LINESTRING (16.335508892819377 48.22828995738953, 16.336007464736564 48.228188830735306)",18,W‰hringer Straﬂe,gg¸. 145 bis gg¸. 147,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355765,,2001-05-08
KURZPARKSTREIFENOGD.355766,"LINESTRING (16.337821868162088 48.22763202444535, 16.337326872318258 48.22774624396525, 16.33672148019461 48.2279318406498)",18,W‰hringer Straﬂe,131 bis 139,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355766,,1982-04-01
KURZPARKSTREIFENOGD.355767,"LINESTRING (16.340549648277065 48.226915726838314, 16.33908606377682 48.22743925690045, 16.338786932259694 48.22751302619837)",18,W‰hringer Straﬂe,134 bis 146,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355767,,1982-04-01
KURZPARKSTREIFENOGD.355768,"LINESTRING (16.340556747359326 48.22683125392377, 16.339908647999913 48.22706446981437)",18,W‰hringer Straﬂe,121 bis 123,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355768,,2002-07-24
KURZPARKSTREIFENOGD.355769,"LINESTRING (16.341796068307637 48.22724880446951, 16.341301081353585 48.227327347305604)",18,Gentzgasse,53 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355769,,1994-06-29
KURZPARKSTREIFENOGD.355770,"LINESTRING (16.34234451194728 48.227480762974366, 16.34250657973136 48.22782457996532)",18,Gymnasiumstraﬂe,1 bis 5-7,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355770,,2002-11-26
KURZPARKSTREIFENOGD.355771,"LINESTRING (16.342205557252022 48.226922799671726, 16.342214491864922 48.22712742927088)",18,Martinstraﬂe,95 bis 97,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355771,,2002-04-09
KURZPARKSTREIFENOGD.355772,"LINESTRING (16.34351604081796 48.22688227087317, 16.34268098566667 48.22707624130082)",18,Gentzgasse,41 bis 47,Mo.-Fr. (w.) v. 8-16h,"1,5 h",355772,,1976-12-01
KURZPARKSTREIFENOGD.355773,"LINESTRING (16.344059037031947 48.2263361523938, 16.343588993044246 48.22644444369375, 16.34236399473569 48.22655278599583)",18,W‰hringer Straﬂe,97 bis 107,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355773,,1999-03-31
KURZPARKSTREIFENOGD.355774,"LINESTRING (16.344755203473454 48.226217122440346, 16.34453086821418 48.226303995035096, 16.343638855942913 48.226513444840926)",18,W‰hringer Straﬂe,110 bis 118,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355774,,1986-09-15
KURZPARKSTREIFENOGD.355775,"LINESTRING (16.3453223145429 48.22576311293414, 16.34511402029253 48.22589756813178)",18,W‰hringer Straﬂe,93 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355775,,2003-09-18
KURZPARKSTREIFENOGD.355776,"LINESTRING (16.34721493373499 48.22541435226835, 16.34603805979047 48.225609575898694)",18,W‰hringer Straﬂe,81 bis 87,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355776,,1997-03-03
KURZPARKSTREIFENOGD.355777,"LINESTRING (16.347774519244826 48.22532091170057, 16.347417725079556 48.22538234376386)",18,W‰hringer Straﬂe,77 bis 79,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355777,,2002-07-08
KURZPARKSTREIFENOGD.355778,"LINESTRING (16.348793642643674 48.225125220234375, 16.348189016642504 48.22522807736443)",18,W‰hringer Straﬂe,71 bis 75,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355778,,1982-04-01
KURZPARKSTREIFENOGD.355779,"LINESTRING (16.34877870299882 48.22523229433755, 16.348250975903245 48.22531943221977)",18,W‰hringer Straﬂe,80 bis 84,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355779,,1998-03-24
KURZPARKSTREIFENOGD.355780,"LINESTRING (16.34904017727115 48.22931217714184, 16.34833721085934 48.22938507189564)",18,Sternwartestraﬂe,6 bis 10,Mo.-Fr. (w.) v. 8-18h,"1,5 h",355780,,2004-03-19
KURZPARKSTREIFENOGD.355781,"LINESTRING (16.346779542045738 48.229615074561444, 16.346356471309758 48.22969934304164)",18,Sternwartestraﬂe,20 bis 24,Mo.-Fr. (w.) v. 8-18h,"1,5 h",355781,,2000-09-25
KURZPARKSTREIFENOGD.355782,"LINESTRING (16.345704797001257 48.22987071898354, 16.345830900828524 48.23006487028026)",18,Edelhofgasse,27 ,Mo.-Fr. (w.) v. 9-18h,"1,5 h",355782,,2003-06-03
KURZPARKSTREIFENOGD.355783,"LINESTRING (16.344258134493153 48.22951392047482, 16.34449963401685 48.229765171407905)",18,Gymnasiumstraﬂe,29 bis 33,"Mo.-Fr. (w.) v. 9-18h, Sa. (w.) v. 9-12h","1,5 h",355783,,1996-03-28
KURZPARKSTREIFENOGD.355784,"LINESTRING (16.34491624476941 48.22943106274653, 16.345339311525922 48.22932395697671)",18,Michaelerstraﬂe,28 bis 30,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355784,,1995-07-13
KURZPARKSTREIFENOGD.355785,"LINESTRING (16.3456563103974 48.2247452767423, 16.34558360277242 48.224435477724406)",18,Hans-Sachs-Gasse,19 bis 21,Mo.-Fr. (w.) v. 8-16h,"1,5 h",355785,,1997-08-12
KURZPARKSTREIFENOGD.355786,"LINESTRING (16.341880846539272 48.223554854833715, 16.34193003071466 48.22397030900012)",18,Martinstraﬂe,68 bis 70,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355786,,1993-10-12
KURZPARKSTREIFENOGD.355787,"LINESTRING (16.34246695748104 48.22009166729709, 16.342144375188354 48.220151651225635)",18,Schumanngasse,2 bis 4,Mo.-Fr. (w.) v. 8-18h,"1,5 h",355787,,1998-07-08
KURZPARKSTREIFENOGD.355788,"LINESTRING (16.342484314534723 48.22210753637982, 16.34223008364216 48.222144665075675)",18,Kreuzgasse,7 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355788,,2000-02-15
KURZPARKSTREIFENOGD.355789,"LINESTRING (16.341290053239902 48.22240026124484, 16.34071961912951 48.22255447345947)",18,Kreuzgasse,16 bis 20,Mo.-Fr. (w.) v. 8-18h,"1,5 h",355789,,1988-03-30
KURZPARKSTREIFENOGD.355790,"LINESTRING (16.33632535506172 48.22402440666114, 16.33584469999073 48.22425893247114)",18,Kreuzgasse,45 bis 49,Mo.-Fr. (w.) v. 8-18h,"1,5 h",355790,,2003-03-21
KURZPARKSTREIFENOGD.355791,"LINESTRING (16.338515343111133 48.22320957619574, 16.337567990620656 48.223587417447874)",18,Kreuzgasse,36 bis 44,Mo.-Fr. (w.) v. 8-18h,"1,5 h",355791,,1988-02-04
KURZPARKSTREIFENOGD.355792,"LINESTRING (16.409896219347846 48.18030126082636, 16.410837018905266 48.17949265435174)",11,Simmeringer Hauptstraﬂe,45 bis 49,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355792,,1999-09-28
KURZPARKSTREIFENOGD.355793,"LINESTRING (16.476159279904227 48.22153039350474, 16.476255067454673 48.221495711532704)",22,Erzherzog-Karl-Straﬂe,220 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355793,,2012-11-07
KURZPARKSTREIFENOGD.355794,"LINESTRING (16.379633334116704 48.17113254249882, 16.379562170376044 48.17130011792637)",10,Favoritenstraﬂe,139 bis 141,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355794,,2012-11-15
KURZPARKSTREIFENOGD.355795,"LINESTRING (16.37941013833579 48.17096813387659, 16.379463049997067 48.17083908907773)",10,Favoritenstraﬂe,152 bis 154,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355795,,2012-11-15
KURZPARKSTREIFENOGD.355796,"LINESTRING (16.455166442499927 48.22068276571688, 16.455232964634945 48.220809293480386)",22,Gemeindeaugasse,27 ,v. 8-18h,"1,5 h",355796,,2012-11-15
KURZPARKSTREIFENOGD.355797,"LINESTRING (16.295299014035102 48.14915118448777, 16.295098097541583 48.149173722154245)",23,Hˆdlgasse,gg¸. 15 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355797,,2006-09-25
KURZPARKSTREIFENOGD.355798,"LINESTRING (16.303777603871335 48.14757159289161, 16.30405492205688 48.14761330928231)",23,Erlaaer Straﬂe,48 bis 50,von 9-21h,"1,5 h",355798,,2006-09-28
KURZPARKSTREIFENOGD.355799,"LINESTRING (16.362166929123763 48.24559354658503, 16.36221394310604 48.24558782526687, 16.36225027852975 48.2455792465515, 16.362344314048865 48.2455563825657)",19,Geistingergasse,1 ,Mo.-Fr. (w.) v. 8-18h,"1,5 h",355799,,2006-09-15
KURZPARKSTREIFENOGD.355800,"LINESTRING (16.341532496765282 48.19626292599957, 16.340870509706438 48.19614635886719)",7,Mariahilfer Straﬂe,122 bis 124,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355800,,1994-06-08
