FID,OBJECTID,SHAPE,ADRESSE,ZEITRAUM,AUSN_TEXT,WEBLINK1,SE_ANNO_CAD_DATA
FUSSGEHERZONEOGD.13983,13983,"POLYGON ((16.347410045549 48.191151956883644, 16.34767870635862 48.19079037624204, 16.347649383555378 48.19078057661106, 16.34775848058961 48.19062810375732, 16.347587453808817 48.190570402657805, 16.347650950213243 48.19045168596529, 16.347939240311824 48.19054749710133, 16.347874124468266 48.19064007087188, 16.34783339605857 48.19062918428216, 16.347740594223747 48.190754433121526, 16.34778781996321 48.19076967179175, 16.347761776369747 48.19080778764765, 16.34776828732354 48.1908132368661, 16.347765041152893 48.19085135039681, 16.347719461314327 48.19091778783143, 16.347639095924187 48.19096609845904, 16.347491100802507 48.1911794140914, 16.347410045549 48.191151956883644))","6., Kurt-Pint-Platz",Mo-Fr. (werkt.) von 7-12h,ausgen. Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13984,13984,"POLYGON ((16.357118291522514 48.19855582088401, 16.357242698014346 48.19859771528876, 16.3572108311356 48.19859909711663, 16.35717279861041 48.19862178494068, 16.357066946269015 48.198688461878334, 16.35653666662114 48.19900949762239, 16.35651506965165 48.19899300795537, 16.35670725228239 48.198878885958266, 16.356678456327614 48.19885690277461, 16.35649141208575 48.19897033133484, 16.356466733010983 48.19894971433162, 16.356701049679057 48.198808794136, 16.35671956558879 48.1988239083642, 16.356729843130214 48.19882459899186, 16.357026842558454 48.198646551934104, 16.357029919948463 48.19863898809808, 16.35700935765113 48.198619755410434, 16.35701038027136 48.19862043870661, 16.357118291522514 48.19855582088401))","6., Stiegengasse",,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13985,13985,"POLYGON ((16.35646936584332 48.1809611800412, 16.356494219872744 48.18093622843242, 16.356635174203742 48.180970854157515, 16.356525382176702 48.18111779599341, 16.35658964269926 48.18114134676644, 16.35647571115597 48.181295223062115, 16.356403166943018 48.181271673692734, 16.356324445876993 48.181372879304924, 16.35626018518291 48.18134931939139, 16.356094357303082 48.181292520269196, 16.356013514658372 48.18126481723307, 16.355851830693464 48.18121217190796, 16.3557751210321 48.18116089676356, 16.35573987002 48.18111100842386, 16.355725329642542 48.18103061152928, 16.355820686163028 48.18107079486319, 16.356052842580034 48.18114699022937, 16.356042493016982 48.18115946562503, 16.356206248982158 48.181214880230826, 16.356216599059774 48.18120378977624, 16.3562953697414 48.18122872312315, 16.356365795318396 48.18113169184836, 16.35641136487575 48.18105544826418, 16.356419650855376 48.18102772070005, 16.356423792610826 48.18102771996617, 16.35646936584332 48.1809611800412))","5., Unbenannte Verkehrsfläche",,ausgen. Fahrräder,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.14021,14021,"POLYGON ((16.392069896682937 48.21921183784939, 16.39194236342375 48.21917581486207, 16.391787804730086 48.21911674997213, 16.391771323576453 48.21913279546323, 16.391729302344768 48.21911076369238, 16.391690266383208 48.21907670210968, 16.391670731047817 48.21904363202026, 16.391657187359325 48.21900354436459, 16.391633157676587 48.218974486492186, 16.39159562886318 48.218946437874294, 16.39154910968512 48.21892741552269, 16.391504104268954 48.21891941803689, 16.391450108998114 48.218923454117, 16.391391632800996 48.21894152525626, 16.391337673646767 48.21897663443413, 16.391304726783957 48.2190257664177, 16.391282235504455 48.21903179095062, 16.391138149339618 48.21894665797573, 16.39096852750831 48.21882645469951, 16.390869441724305 48.218741299881536, 16.390762563576484 48.218634975187186, 16.390771036322338 48.2184368626078, 16.39080882840324 48.21824438916226, 16.390482824807144 48.21822316002452, 16.390458056921844 48.21814034113162, 16.390441192463186 48.21806394770505, 16.390437171113277 48.217980974199065, 16.390456488876954 48.217905085254905, 16.390473750282382 48.217865934347394, 16.39049775740291 48.21782913375327, 16.390524297071916 48.217796136061644, 16.39059890490009 48.21772408434443, 16.390710160188636 48.217634931749764, 16.39080184079303 48.21756722716964, 16.3908903624491 48.21750671405601, 16.391052973472178 48.21740270239711, 16.391219539543012 48.21731067649491, 16.391331865505627 48.21725540811769, 16.391499811636994 48.217181179512835, 16.39160227337496 48.217140956692674, 16.391726248083014 48.21709691745858, 16.391869836120375 48.217052022313275, 16.391900837031848 48.21704651063681, 16.391922350229162 48.217046500184445, 16.391967284570683 48.21705493551066, 16.391985638711148 48.217059155168236, 16.39200905522289 48.21706210342375, 16.3920305702351 48.21706251742757, 16.392058408964186 48.21706207939239, 16.392190640131602 48.21704636949548, 16.392211770686366 48.21704223581034, 16.392233113599254 48.217030490203996, 16.3922530272329 48.21701367134948, 16.39228163977851 48.21713988630027, 16.39231228459427 48.217266247734564, 16.392343367607598 48.21729259148113, 16.39242897942382 48.217298674775954, 16.39242305718951 48.2173698468739, 16.392513282116884 48.21758030106548, 16.392522361643746 48.217589052349375, 16.392542618449404 48.217595384376324, 16.392557171075993 48.21759453186774, 16.39257234965641 48.217587758850655, 16.392703538160948 48.217618752169976, 16.392691248669838 48.21769619115269, 16.39284762707151 48.21770739143405, 16.39285888429079 48.217716406913674, 16.392857770110076 48.21772618123309, 16.393019774440898 48.21773812942946, 16.39302303432097 48.21771443622714, 16.39304092522305 48.217708374962065, 16.39307870123542 48.2176985986498, 16.393127207552787 48.21768139763973, 16.39318414035181 48.21765437188866, 16.39322853344476 48.21762925889656, 16.393266628999562 48.21760441881618, 16.393297556733923 48.217583800085485, 16.393316153300187 48.21758310734419, 16.393328649406726 48.21759043054705, 16.393337456105787 48.21760660306029, 16.393360026734317 48.217671245456195, 16.39339279238137 48.21779496873865, 16.393412195445016 48.217884941943254, 16.393425343904447 48.217994283240245, 16.393416027937192 48.21800295729691, 16.393379280740252 48.21800627611616, 16.393343078729398 48.21801579094063, 16.393311527301375 48.21803243501504, 16.393293916826106 48.21804869442784, 16.393278362901075 48.21807491723766, 16.39325779539521 48.218195804560416, 16.39325109626981 48.21821733752246, 16.393239637997024 48.21822370138773, 16.393221660880137 48.21822498735722, 16.393126492277254 48.21881151555163, 16.393154129347657 48.21882614269423, 16.393138808350475 48.21886122093116, 16.39310555335142 48.21888090997725, 16.393039031646026 48.21891344604963, 16.39297379342853 48.2189494042448, 16.392943126848614 48.21899646444444, 16.39294830986653 48.219052915544474, 16.392964973404975 48.219074290334184, 16.392956046374675 48.21910508913225, 16.392918972792895 48.219146163949695, 16.392874206649367 48.219173556766, 16.392771865322405 48.21922321986656, 16.392638788869892 48.21925835426856, 16.392531289421715 48.219272949067026, 16.392527427483255 48.219252421378506, 16.39237443416661 48.219255793321196, 16.392204923524574 48.219240841471255, 16.392069896682937 48.21921183784939))","2., Praterstern",,ausgen. Fahrräder Straßenbahn und städtische Linienomnibusse,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.14022,14022,"POLYGON ((16.35282625425447 48.199363448559296, 16.35273808662775 48.199483096009, 16.35231403279773 48.1993227847997, 16.351854337082532 48.19915126781292, 16.351442014369738 48.19899843050286, 16.351224430798936 48.19891376154649, 16.35085969085213 48.19875960284594, 16.350559758826147 48.19863424001819, 16.350264750863143 48.19850608790694, 16.350362102247367 48.19840635391758, 16.350384608402667 48.19841577777823, 16.35145242591214 48.19886286573837, 16.35282625425447 48.199363448559296))","7., Mariahilfer Straße",Mo. - Sa. (werkt.) v. 6 - 13.00h,"ausgen. die Zufahrt zur Ladetätigkeit, Taxi und Behindertentransporte zum Aus- u. Einsteigen sowie ausgen. Fahrräder",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.14023,14023,"POLYGON ((16.35282767226943 48.199363963662236, 16.35145242591214 48.19886286573837, 16.350396579221062 48.19842078909064, 16.350362102247367 48.19840635391758, 16.350443578584695 48.19831062560185, 16.350828480791392 48.198473182686534, 16.351091495311916 48.19858034743132, 16.35125311111817 48.19864359328162, 16.35157319826561 48.19877699149441, 16.351714002984743 48.19883308991499, 16.351994862214784 48.19893496575452, 16.35228381094059 48.19904018703007, 16.352596310994436 48.19915709893654, 16.352899820652794 48.199264346326636, 16.35282767226943 48.199363963662236))","6., Mariahilfer Straße",Mo. - Sa. (werkt.) v. 6 - 13.00h,"ausgen. die Zufahrt zur Ladetätigkeit, Taxi und Behindertentransporte zum Aus- u. Einsteigen sowie ausgen. Fahrräder",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.14024,14024,"POLYGON ((16.34779675699777 48.19753074268253, 16.347873337380843 48.19740451715572, 16.347974408768597 48.19743575357085, 16.348146696299942 48.19749312114475, 16.34819792373106 48.197509465370366, 16.34851182652822 48.19760773637869, 16.34875054504698 48.1976883702118, 16.34891020305972 48.19774514448251, 16.349311957781737 48.19788135471827, 16.349779488087076 48.198047772840034, 16.349802540259063 48.198032589575305, 16.34984181807824 48.19802823216525, 16.349862924396056 48.19803042397069, 16.349909001019387 48.19804719972428, 16.350082989467346 48.19806185551195, 16.34989925971215 48.19822347647112, 16.349892030021902 48.19822082075257, 16.348518288821637 48.197741410507426, 16.34779675699777 48.19753074268253))","6., Mariahilfer Straße",Mo. - Sa. (werkt.) v. 6 - 13.00h,"ausgen. die Zufahrt zur Ladetätigkeit, Taxi und Behindertentransporte zum Aus- u. Einsteigen sowie ausgen. Fahrräder",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.14025,14025,"POLYGON ((16.347796588914314 48.1975310106969, 16.348518288821637 48.197741410507426, 16.349850764233278 48.198206420416895, 16.349899344430366 48.1982233730392, 16.349808652291653 48.19833247854846, 16.349578438081547 48.1982494690204, 16.349366001026073 48.19817138794034, 16.349153080961706 48.19809568971784, 16.348929882226944 48.198011232881825, 16.348603219004854 48.19789261281946, 16.348305273427204 48.19781169183317, 16.347963490174163 48.19771442499821, 16.347724071006546 48.19764744396819, 16.347796588914314 48.1975310106969))","7., Mariahilfer Straße",Mo. - Sa. (werkt.) v. 6 - 13.00h,"ausgen. die Zufahrt zur Ladetätigkeit, Taxi und Behindertentransporte zum Aus- u. Einsteigen sowie ausgen. Fahrräder",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.14026,14026,"POLYGON ((16.39466664832917 48.225961839505224, 16.39712502161273 48.22726172103207, 16.397013501053152 48.22733288003961, 16.394571665558363 48.22604117509139, 16.39466664832917 48.225961839505224))","2., Krakauer Straße",,ausgen. Fahrräder,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.14027,14027,"POLYGON ((16.385131004425048 48.2414086425882, 16.384925470041722 48.24131645167927, 16.386132243329655 48.24017072072769, 16.38620311436722 48.24020144633183, 16.386256268070106 48.24021798847518, 16.38631646657778 48.24021086659727, 16.386362508746103 48.24019664631268, 16.386408576907524 48.240222652255355, 16.385297341143588 48.24125477103944, 16.385396566535306 48.24129968513223, 16.385219600795903 48.241446465793366, 16.385134545212946 48.241408641076774, 16.385131004425048 48.2414086425882))","20., Wehlistraße",,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.14028,14028,"POLYGON ((16.34675495715609 48.188775538155916, 16.346758386823137 48.188776014476566, 16.347304438769775 48.188887442126116, 16.3475581404252 48.1889197296081, 16.348394156808485 48.189058578953095, 16.348396577824484 48.18911512797917, 16.34672787167813 48.18884695573511, 16.34675495715609 48.188775538155916))","5., Rechte Wienzeile",,ausgen. Zufahrt zu den genehmigten Stellplätzen und Fahrräder,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.14029,14029,"POLYGON ((16.356446124560932 48.22253346000018, 16.356448627772316 48.222533459556104, 16.356521406613286 48.22320172789658, 16.356493899174858 48.22320506925077, 16.35648643947847 48.22329696261848, 16.356468932188747 48.22330197491527, 16.35646643027026 48.22330532081263, 16.356253925899775 48.22331204026238, 16.356233734712923 48.22285761076001, 16.356266248436203 48.22285426858781, 16.356238620290778 48.222550205902834, 16.356446124560932 48.22253346000018))","9., Boltzmanngasse",,ausgen. Fahrräder sowie Zufahrtsberechtigte der US-Botschaft,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.14030,14030,"POLYGON ((16.3718449443564 48.215725148649284, 16.37229494059756 48.215290448915404, 16.372514754264408 48.21539389974414, 16.372048554985202 48.215824999145646, 16.3718431412069 48.21572514921064, 16.3718449443564 48.215725148649284))","1., Franz-Josefs-Kai",(werkt.) von 6-10.30h,ausgen. Zufahrt zur Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.14031,14031,"POLYGON ((16.370226959583285 48.20307509426026, 16.37022696149762 48.2030779720789, 16.37016653476212 48.202942588628204, 16.37094215720939 48.20276949783642, 16.371006886816605 48.20289911494357, 16.370226959583285 48.20307509426026))","1., Mahlerstraße",(werkt.) von 6-10.30h,ausgen. Zufahrt zur Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.14032,14032,"MULTIPOLYGON (((16.368589110400183 48.20758335678778, 16.368668866539725 48.20756151673799, 16.368734200299123 48.207646330832304, 16.369006384791884 48.20799044902544, 16.369227724924958 48.20820368554556, 16.369637733681834 48.208574418131846, 16.37026847097606 48.208198533186824, 16.37018502064063 48.20812826732018, 16.370021763904425 48.208024084749134, 16.3700000082654 48.20802409117532, 16.369880291248037 48.20794171298541, 16.369956405792635 48.20788594185618, 16.370090637791133 48.20798528579699, 16.370326471652323 48.20817669846227, 16.370478737667348 48.20812090426169, 16.37043516789699 48.208033656500845, 16.370594698281977 48.207997249263094, 16.37062738903323 48.20807238642651, 16.37068541229253 48.20808448277165, 16.37114227545012 48.20799708343527, 16.371142253929058 48.20796558034115, 16.371078713927634 48.20785409330841, 16.371245485185437 48.20780314099174, 16.3713362499096 48.207963092808, 16.371658956517518 48.207912091928996, 16.37150617109227 48.207212604786186, 16.371473526405758 48.20720533936717, 16.37094053228574 48.20729034399566, 16.370893347913594 48.20722976226743, 16.37147712056825 48.207149589544755, 16.371498852421894 48.20711565158271, 16.371429747056723 48.20681511183097, 16.371146923371512 48.206844282455975, 16.371117828822765 48.2067158237666, 16.371407900171768 48.20668180366006, 16.371273292612724 48.20605308679703, 16.37098688363254 48.20612589304214, 16.370954173835347 48.2060216720154, 16.371215215090764 48.20595856826087, 16.371226070813126 48.205936756476945, 16.370953748948715 48.20539630432115, 16.370641956133266 48.20546911741875, 16.370587476648343 48.20534066619916, 16.370884769073434 48.20527271396008, 16.37063056569804 48.20471675123852, 16.370474677954178 48.20475314846354, 16.370427462403008 48.204641665112774, 16.37054709773627 48.20461254532586, 16.370565219931898 48.20459315058486, 16.37041270344441 48.20425869482612, 16.370376423534424 48.204244163686255, 16.370249536001506 48.20427086628861, 16.370195061991677 48.204147262180555, 16.37033282811843 48.204113289902125, 16.37017306393476 48.203779807222375, 16.370376968910783 48.203650946140144, 16.37057537733137 48.20407273900289, 16.371822499598665 48.20374755091463, 16.37188060609186 48.2038663058022, 16.37172108272342 48.20391240950116, 16.371706564983334 48.203890596540376, 16.371351287857596 48.20398281436316, 16.37135492510904 48.2040094780361, 16.3706334813043 48.20419148552149, 16.370713355605314 48.20435386936483, 16.37069885778292 48.20436114022693, 16.370818696046356 48.20461319196071, 16.37156478840238 48.204406930093825, 16.37225720605312 48.20419583296743, 16.372387714464775 48.2041545850268, 16.37246384644799 48.20413517163591, 16.372565366473278 48.20411817829359, 16.372637881122134 48.20410118510252, 16.372931538228467 48.20404291437122, 16.373417363315664 48.20395064931021, 16.373479031528262 48.20400395883054, 16.372811936797333 48.20411567155835, 16.372540030022442 48.20418847705992, 16.37215575203711 48.20428797305665, 16.3720361185066 48.204336492814875, 16.371771465856217 48.204397171414264, 16.37170620523684 48.20441900913417, 16.371698974047227 48.204448095330534, 16.37086513993933 48.20465680383568, 16.37100676626103 48.2049759918594, 16.37099226830467 48.20498326275771, 16.37114476091082 48.205274082795185, 16.371790084440928 48.20509209582417, 16.3718372578285 48.20515752453542, 16.371460229410367 48.20526671957648, 16.371181068094995 48.20534679057387, 16.371471538784476 48.2059032264814, 16.371678198743812 48.20585953670662, 16.372161227033715 48.205761018596576, 16.37218182091678 48.205774771693356, 16.37228284433717 48.20575473007327, 16.372275405287247 48.20583227162325, 16.37201724943849 48.20588238173765, 16.372017255564806 48.20589113210064, 16.371721785598545 48.20595163134859, 16.371518749398682 48.20600259556626, 16.371722538964693 48.207036559334426, 16.372149514170292 48.20699394228697, 16.372171497781547 48.207089164154375, 16.371747983403157 48.20713739195183, 16.371882636137343 48.20781845741413, 16.371951549001473 48.207837834200404, 16.37202405055444 48.20781356593108, 16.372100285057776 48.20793231494998, 16.37196614540934 48.20797041605899, 16.37194076898088 48.207987385116155, 16.37204967776385 48.20815460617913, 16.372089575027786 48.20816186016703, 16.372336139349997 48.20814239332451, 16.372365186093507 48.20817874356896, 16.373093921128692 48.20798217203554, 16.372916021299766 48.207691362869724, 16.37299941663474 48.2076622521613, 16.373202679376853 48.207936082880515, 16.37359800708868 48.20802806257769, 16.373857213982443 48.207931022186905, 16.374302022211147 48.20852134908076, 16.374176064417224 48.2084163775937, 16.374033300905275 48.20840010223065, 16.37390467653359 48.20845476021454, 16.373871864666963 48.20853261595054, 16.373902910874367 48.20861483933981, 16.373646836016587 48.20869418022661, 16.372608686994717 48.2092049227209, 16.3723203882187 48.20892919332998, 16.372197124750958 48.208977705367836, 16.372117281280737 48.208895325970985, 16.372229656485082 48.20884196112971, 16.371860262737624 48.208495461771534, 16.371823986176967 48.208490625742485, 16.370881466463896 48.20895387486697, 16.37085246006551 48.208956311808365, 16.370779887164687 48.20889815689773, 16.37032343839216 48.20851047213395, 16.37011318213209 48.20862687934361, 16.36950785332244 48.20902215429747, 16.369123374712363 48.20889622617868, 16.36957648133962 48.20862461793423, 16.36898829811328 48.20806802036336, 16.36880324619753 48.20787658150117, 16.368589110400183 48.20758335678778), (16.372775614709596 48.208898328130466, 16.37277517105663 48.2088988139037, 16.37278995107933 48.208889681107976, 16.37278197837241 48.20887903573493, 16.37282634912478 48.20885696128973, 16.37284228474955 48.20886456441834, 16.372854806018047 48.20885770761058, 16.37284910820828 48.208848581360634, 16.372896882902076 48.20882650579856, 16.37290826871424 48.208831070682564, 16.37298001932909 48.20890255240147, 16.3731140438727 48.20885176977459, 16.37333818900882 48.20876726036712, 16.373417826638967 48.20873072221574, 16.373431484069403 48.2087322376229, 16.373438299966818 48.208724627179464, 16.373453095489296 48.20871853398678, 16.373461059448534 48.20871701154888, 16.37346788713667 48.20870712582621, 16.373487230271255 48.20870103114899, 16.373497469145 48.20870102781459, 16.373504282812146 48.20869037767431, 16.373522495200916 48.20868351893951, 16.373531589330142 48.20868199612837, 16.373535001219597 48.2086743867888, 16.37355661648145 48.20866601608543, 16.373566868802705 48.20866601274047, 16.373569138722836 48.208660688039316, 16.37358733597525 48.2086515540255, 16.37359872014019 48.20865383457498, 16.37361005780195 48.2085925153944, 16.373608898041994 48.2085704555112, 16.373606616452403 48.208559808335444, 16.373607752296415 48.20854916004331, 16.373613438521442 48.20854230538512, 16.37361001997795 48.2085407866551, 16.373633859440318 48.208464714576344, 16.373707806836254 48.208430453355845, 16.373726040312068 48.2084525076449, 16.373747662148293 48.20845326497755, 16.373797721662314 48.20842890402352, 16.373798842330768 48.2084159714673, 16.373790873399983 48.2084106501228, 16.373832956089554 48.2083703198893, 16.373807899533876 48.20834598359089, 16.373901190705876 48.20830715635029, 16.373900043159342 48.20830183276727, 16.373808482823044 48.208206013592, 16.373805056470097 48.208193846948525, 16.373778877622524 48.208198415083004, 16.373745847826523 48.20816267803783, 16.373758364340592 48.208149741744535, 16.373748107654297 48.20814365672704, 16.37373218830188 48.208158113981476, 16.373674141194115 48.208151289183746, 16.373665029896337 48.208129231901225, 16.373619466998584 48.20808360642392, 16.373561442764935 48.208107969900695, 16.373553475567682 48.20810492381271, 16.373539830514954 48.20812014471879, 16.373534136550337 48.208116342461324, 16.373491578736985 48.2081140001159, 16.373484743929602 48.20811400234147, 16.373475636598645 48.208097269003495, 16.37346311171423 48.20809879292682, 16.37346653964367 48.20811324384718, 16.373423311773244 48.20813304289702, 16.373410776916906 48.20812087020892, 16.3733982688008 48.20812696265379, 16.373414208156152 48.208139889663755, 16.373361874955123 48.20816425118995, 16.37334251212082 48.208142952635214, 16.373328860371096 48.20814904544348, 16.37331746694781 48.208133832681206, 16.373217340525947 48.208153641089375, 16.373203686559986 48.20815669418952, 16.373182048652374 48.20815213264577, 16.373170683569423 48.20815746027664, 16.373159303386085 48.208160512637384, 16.37315588872718 48.20816431785343, 16.373139956565463 48.208161274307116, 16.373137677285943 48.20815366681444, 16.37312969775592 48.208152149541235, 16.37312401837588 48.208149876098894, 16.37311832169362 48.20814226970776, 16.373116028963793 48.20813466221899, 16.373102372797817 48.20813466662075, 16.373100103397356 48.20814074673992, 16.373092140619214 48.20814379799273, 16.373079630262012 48.208146841716534, 16.37307052550129 48.20815216860947, 16.37306710699982 48.208150649863214, 16.37306255942787 48.208150651327266, 16.373060282901072 48.208146847946146, 16.373059134894536 48.20814075993471, 16.373052312993764 48.20814000670354, 16.373047750873724 48.20813848832476, 16.373044343088562 48.20813316546037, 16.373044337609315 48.20812555723417, 16.373028394750328 48.20812631778982, 16.37302839858285 48.208131641749524, 16.37300792544261 48.208137736713354, 16.373001090632034 48.20813773891018, 16.372999968125658 48.208148387192814, 16.37298403073571 48.20815676496162, 16.37296582753421 48.2081575262347, 16.37296583245895 48.208164379034145, 16.3729476341768 48.20817199310373, 16.372931703116254 48.20817046937516, 16.37293056823808 48.208182646501086, 16.372912369395667 48.208189496145216, 16.372894232163247 48.20818845875032, 16.37288561288102 48.208195386258545, 16.37287179772835 48.20819885305708, 16.372871805999154 48.20821039130069, 16.372883892163923 48.208216161049, 16.372887355728935 48.20822423581237, 16.372895999229907 48.20823230891571, 16.37288736482874 48.20823692518235, 16.372877008271995 48.20824155099313, 16.372866653363438 48.208248479055776, 16.372858031586457 48.208251944189485, 16.372859760359205 48.20826117063567, 16.372866663283173 48.20826231955209, 16.372877029780476 48.20827155222489, 16.372626782918477 48.208391646055134, 16.37262332842418 48.208396269646975, 16.372673426871515 48.20844471792935, 16.372656168949685 48.208450497044865, 16.372619912535786 48.208455122082434, 16.372623375255845 48.20846204572705, 16.372604405003635 48.20848166587841, 16.372625127000727 48.208503584652995, 16.37260096774046 48.20851051708196, 16.372604422250863 48.20850590248406, 16.372588888933095 48.208515143414076, 16.37257160192873 48.20849898816816, 16.3725509012745 48.208507070614566, 16.372552625086303 48.20850938131369, 16.372507757422817 48.20853247204111, 16.37249739176232 48.20852439945495, 16.37248703920155 48.20853478985532, 16.372499126216283 48.208541710770106, 16.37244907771638 48.20856365199016, 16.37243871205881 48.20855557939879, 16.372424900046028 48.208563659641975, 16.372488833409108 48.20863634023611, 16.372511290231216 48.20865710735421, 16.37250784752277 48.20865941969228, 16.372513030775615 48.20866403154807, 16.37251992882957 48.20865825574093, 16.37253720159278 48.208673250878924, 16.37253720979496 48.20868479811481, 16.372545851676364 48.20869055999798, 16.372540675796728 48.20869633526007, 16.37256361846649 48.20871912567821, 16.37260064330872 48.20875418730134, 16.372625322566773 48.20877824519269, 16.372635681720418 48.20877708177703, 16.372647782266718 48.20878400267161, 16.372652947982488 48.20878284990061, 16.37267368275568 48.20880361753465, 16.37266678222498 48.20880592198565, 16.372673687686447 48.20881053328555, 16.372678866037973 48.20880822938283, 16.37269787865171 48.20882899756108, 16.37269960412354 48.20883361051045, 16.37270306605209 48.20883937403276, 16.37271514905292 48.20884053029981, 16.37274969977346 48.20887744525748, 16.37275316253951 48.208884368897685, 16.372763525838206 48.20888897908826, 16.372775614709596 48.208898328130466), (16.370872365547097 48.208826489285066, 16.37087560808939 48.20882648830294, 16.371758835123032 48.208406559793204, 16.371807360605057 48.20838058141025, 16.371833224297248 48.2083481259814, 16.37181378850653 48.20831785200205, 16.371761987482376 48.208296230519906, 16.371713450037944 48.20830489702215, 16.371648729901903 48.20829843299878, 16.371609863104755 48.20826383028806, 16.371522461949137 48.20822275846774, 16.371409176171785 48.20820332313521, 16.371276498084104 48.20821634101732, 16.371195595332992 48.20823367764239, 16.370914072287565 48.208287839328335, 16.370694039983036 48.20832900465809, 16.370609916530945 48.208359318995306, 16.370425514046524 48.20846536785861, 16.370872365547097 48.208826489285066)))","1., Kärntner Straße",,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
