FID,OBJECTID,SHAPE,ADRESSE,ZEITRAUM,AUSN_TEXT,WEBLINK1,SE_ANNO_CAD_DATA
FUSSGEHERZONEOGD.13963,13963,"POLYGON ((16.354550121717985 48.20383172986447, 16.354425835759862 48.20381761251009, 16.354446950678028 48.203723918142565, 16.35451571187882 48.203729213098434, 16.354568503379966 48.20347110921226, 16.354499755972324 48.203465814285515, 16.354531419316604 48.20330140479231, 16.35457107526632 48.20325367157952, 16.354634550070006 48.20326250163784, 16.354679430140404 48.2030786466948, 16.354623893479005 48.2030715780432, 16.354652960375294 48.20298318832, 16.354377929268647 48.20295141460092, 16.354422846015748 48.20286831939264, 16.35450483097655 48.202875374906256, 16.35449955221106 48.20289836233532, 16.354793099580032 48.202944270034074, 16.354602957883692 48.2036602483106, 16.354587083130003 48.20366025087108, 16.35458973404596 48.20366202210094, 16.354550121717985 48.20383172986447))","7., Schrankgasse",(werkt.) von 7.30-12h,ausgen. Zufahrt zur Ladetätigkeit mit Lastfahrzeugen werktags von 7.30-12h sowie Taxi v 0-24h zum Aus und Einsteigen,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13964,13964,"POLYGON ((16.339151436294713 48.21028093480541, 16.339292106830364 48.21027126326446, 16.33930721633606 48.21026555217219, 16.339317084345492 48.210352983527414, 16.339312483176336 48.210359575654316, 16.33929736046598 48.21036967541632, 16.33909030924449 48.21048523436263, 16.339082421469357 48.2104316352568, 16.3390883415976 48.210430753769536, 16.339087022051004 48.21041449414659, 16.339076513268786 48.21040658942401, 16.33906927146003 48.210354743968374, 16.339076509956687 48.21035035510936, 16.339075849733412 48.21033453613423, 16.339065327797723 48.21033146074514, 16.339059404540972 48.21027873392258, 16.33906730244741 48.210276539381276, 16.339064004962584 48.2102589668061, 16.3390574388638 48.21025721330909, 16.339051515675198 48.2102053678165, 16.33905809488775 48.210201410648104, 16.339056116092745 48.210185591706875, 16.339048231370313 48.21018291194685, 16.339040989672952 48.21013194781845, 16.33905151079676 48.210121848209965, 16.339047567493527 48.2101042756507, 16.339033762567542 48.21010031901306, 16.33902915771674 48.21004364414914, 16.339038360632205 48.21004012757934, 16.33903507675479 48.210024749336746, 16.339025873409067 48.2100207925786, 16.33901798559488 48.20996411779835, 16.339025869923333 48.20996060126348, 16.339023891198547 48.209945663652164, 16.339014028531018 48.2099408345721, 16.339008777960938 48.20988547272592, 16.339015343605237 48.209880202556654, 16.339014024197578 48.20986570559346, 16.33900482095798 48.20986307083016, 16.33899693318869 48.209806351081035, 16.33900679519697 48.209800199496556, 16.339005475591556 48.209782186201856, 16.33899759111268 48.209782627069714, 16.338977856859707 48.20961522861987, 16.33898245835617 48.20961478783708, 16.338981152243917 48.20959721520674, 16.338968665774168 48.20958886985796, 16.338959458875213 48.20952068383894, 16.338966024402918 48.20951409167544, 16.338964059117494 48.2094982727304, 16.338955501698166 48.209494324943044, 16.33894367107452 48.20942446625729, 16.33894827230666 48.2094196368064, 16.338946952780727 48.2094024958478, 16.338936444399867 48.209397666776916, 16.3389206582264 48.20932913018356, 16.338928542389997 48.209324291658234, 16.338925258247066 48.20930276207868, 16.33891474974177 48.20929529800536, 16.338893568240046 48.20922534961278, 16.338898828663538 48.20921920714379, 16.33889488553017 48.20920250691454, 16.338891602599617 48.209202506995695, 16.338863330181834 48.209125184367366, 16.338868590887248 48.20912430290736, 16.338862669967643 48.20910804339079, 16.33885216177462 48.209105408646785, 16.338823889920125 48.20903643167453, 16.338829809606956 48.20903028019943, 16.338825207283993 48.20901447030755, 16.338814026311738 48.20901051357944, 16.338782471714747 48.20894281370563, 16.338788391201195 48.20893301100316, 16.338779187253895 48.208913684886845, 16.33876670121513 48.208909728185006, 16.338731850439974 48.20884317050729, 16.338736451593427 48.20883745073996, 16.338729884908616 48.20882075955838, 16.338718704054525 48.208818124817704, 16.338681041466202 48.208752664356226, 16.33868498334647 48.20874695359913, 16.338677098192594 48.208731134782525, 16.338669213693017 48.20872805929608, 16.338626478669884 48.20865820126782, 16.33863042046093 48.20865073684312, 16.338619911779762 48.20863623108489, 16.338612673310738 48.20863711257766, 16.338607412103993 48.20862700436451, 16.33883484494101 48.208594929416186, 16.338858514986768 48.20866127150288, 16.338742161993178 48.20868895528156, 16.338835518284167 48.20885458937718, 16.33886707265383 48.2089178556017, 16.338890082765953 48.20896881936364, 16.33894529444985 48.2091032569713, 16.338990657574485 48.20923682246349, 16.339001840779748 48.209278559504035, 16.339019591506474 48.209348454005585, 16.339039967938092 48.209452585452986, 16.339059699834305 48.20957735624814, 16.33909475095522 48.20983051319322, 16.339101979886916 48.20989289865274, 16.339131580178847 48.21011226836231, 16.339144732050023 48.2102195565746, 16.339144731996946 48.210218675243574, 16.339151436294713 48.21028093480541))","8., Lerchenfelder Gürtel",(werkt.) von 8-17h,ausgen. Zufahrt zur Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13965,13965,"POLYGON ((16.37477341333592 48.18231617466462, 16.37475642416773 48.18229186272481, 16.373888500237612 48.1822694527807, 16.37389540782829 48.18177009306919, 16.37495968548099 48.181777840680546, 16.375003307725276 48.18175837357631, 16.37516299465782 48.18134975741888, 16.375092650105675 48.18129465289515, 16.375480499661162 48.18124425742065, 16.375253033294054 48.18180206767899, 16.37526516660508 48.18180691987894, 16.375015935491056 48.18243347219788, 16.374991689426285 48.18243348041327, 16.37490457852965 48.18265076803458, 16.374928828375896 48.18265562516685, 16.374846548231403 48.18285993388991, 16.374960522739617 48.182884213029574, 16.374904851748177 48.18301231325229, 16.374803011756477 48.18299451407749, 16.37440373830399 48.183991905691705, 16.374423155914826 48.18400811397907, 16.37456377464114 48.18401616984405, 16.37446245776237 48.18470103703301, 16.374217578194536 48.184681666269846, 16.374120593538553 48.18466873021235, 16.374069663033804 48.18464766697268, 16.37400902804111 48.18461525747875, 16.373936260475602 48.18457961439434, 16.37398431440914 48.18398296170417, 16.374117652819244 48.183984545401955, 16.374260429356532 48.183621001260356, 16.37408343150344 48.183608091735024, 16.374112453604972 48.18350107185454, 16.37430641011755 48.18351560346548, 16.37451451468582 48.18299185903956, 16.374514515412436 48.182992830306745, 16.37477341333592 48.18231617466462))","10., Favoritenstraße",Mo. - Sa. (werkt.) von 6 - 10.30h,ausgen. die Zufahrt zur Ladetätigkeit und Taxi zum Aus- und Einsteigen sowie ausgen. Fahrräder,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13966,13966,"POLYGON ((16.35043050387235 48.229069412610045, 16.350334631373208 48.22907639424729, 16.350171856907597 48.22832581950567, 16.350257308722664 48.22831327253424, 16.35043050387235 48.229069412610045))","9., Währinger Gürtel",von 8-18.30h,ausgen. Fahrräder sowie Zufahrt zur Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13967,13967,"POLYGON ((16.35057659699339 48.22973531855392, 16.3504869691074 48.22974368447238, 16.350367187183526 48.22920844552693, 16.350458994399077 48.22919917112048, 16.350576596598888 48.22973392461681, 16.35057659699339 48.22973531855392))","9., Währinger Gürtel",von 8-17h,ausgen. Fahrräder sowie Zufahrt zur Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13968,13968,"POLYGON ((16.35060815766068 48.22986687525302, 16.350608157959112 48.229867927450755, 16.350619111648903 48.22990551740101, 16.350642577779112 48.22997131725192, 16.350670725402594 48.23002770967478, 16.350702008994794 48.230083058486095, 16.35073797827145 48.230143631705765, 16.35078177067007 48.230213601745334, 16.35078648838476 48.23033058393686, 16.35074740184461 48.230289850004944, 16.35070517378783 48.23023032978535, 16.35066138266718 48.23016453253475, 16.35062229012817 48.230101873278166, 16.350586318355838 48.23003190218801, 16.350556593927404 48.22996819851834, 16.350526875961247 48.22987942195683, 16.35060815766068 48.22986687525302))","9., Währinger Gürtel",,ausgen. Zufahrt zu den genehmigten Garagenplätzen,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13969,13969,"POLYGON ((16.335523666631428 48.20910890392264, 16.33552366661904 48.20911010900817, 16.335692948748825 48.20964940339843, 16.335755984289513 48.20964338714374, 16.33582982292339 48.20988174240957, 16.33557228412101 48.20990942261562, 16.335586694384205 48.20989256946598, 16.335357972553826 48.20915103607037, 16.335327363480047 48.20913779792722, 16.335523666631428 48.20910890392264))","16., Brunnengasse",,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13970,13970,"POLYGON ((16.335792229705397 48.2099759008664, 16.335794476647933 48.20997891358482, 16.336037618730668 48.21100062830842, 16.33586426307709 48.21102470288024, 16.335625631576523 48.2100180333915, 16.33560087476347 48.21000600043005, 16.335792229705397 48.2099759008664))","16., Brunnengasse",,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13971,13971,"POLYGON ((16.336083312362945 48.211157271384124, 16.33621164931624 48.211726053431164, 16.336234160061473 48.21173659339459, 16.336038291294244 48.211756153687276, 16.3359099696738 48.211175329591846, 16.336083312362945 48.211157271384124))","16., Brunnengasse",,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13972,13972,"POLYGON ((16.336236407467588 48.211839664128675, 16.336236407473002 48.21184116598831, 16.336342222822623 48.212313657978875, 16.336168862824856 48.212313658286895, 16.336060802033366 48.211854709852986, 16.336236407467588 48.211839664128675))","16., Brunnengasse",,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
