FID,OBJECTID,SHAPE,NAME,BEZIRK,ADRESSE,MK_TEXT,WEBLINK1,SE_ANNO_CAD_DATA
FAHRSCHULEOGD.482453,482453,POINT (16.33085641100225 48.18329645385907),Fahrschule U4,12,"12., Schˆnbrunner Straﬂe 249-253",Fahrschule,http://www.startup-u4.at,
FAHRSCHULEOGD.482454,482454,POINT (16.373762030017495 48.204895828232516),Fahrschule Vereby,1,"1., Johannesgasse 17",Fahrschule,http://www.vereby.at,
FAHRSCHULEOGD.482455,482455,POINT (16.375773032912313 48.17631843337441),Fahrschule You Can,10,"10., Senefeldergasse 11/5/2",Fahrschule,http://www.fahrschuleyoucan.at,
FAHRSCHULEOGD.482456,482456,POINT (16.336517924927108 48.19462045723252),Fahrschule Rainer Mariahilfer Straﬂe,15,"15., Mariahilfer Straﬂe 141",Fahrschule,http://www.fahrschule-rainer.at,
FAHRSCHULEOGD.482457,482457,POINT (16.40825980011489 48.19246675255398),Fahrschule Europa,3,"3., Markhofgasse 20/1",Fahrschule,http://www.fahrschule-europa.at,
FAHRSCHULEOGD.482437,482437,POINT (16.317804676101378 48.16678229502284),Fahrschule Perfekt,12,"12., Breitenfurter Straﬂe 36",Fahrschule,http://www.easydrivers.at,
FAHRSCHULEOGD.482487,482487,POINT (16.387288025884153 48.240202937497),Fahrschule Rainer MC,20,"20., Handelskai 94, 96/Top E-03.1",Fahrschule,http://www.fahrschule-rainermc.at,
FAHRSCHULEOGD.482488,482488,POINT (16.407670486423626 48.19425892654035),Fahrschule Regenbogen,3,"3., Schlachthausgasse 23 Stiege 29, Top 10",Fahrschule,http://www.fahrschule-regenbogen.at,
FAHRSCHULEOGD.482489,482489,POINT (16.400182805493316 48.25765884657443),Fahrschule Werbach,21,"21., Schloﬂhofer Straﬂe 11-15",Fahrschule,http://www.fahrschule-werbach.at,
FAHRSCHULEOGD.482490,482490,POINT (16.390563916855058 48.21662742874917),Fahrschule Academy,2,"2., Franzensbr¸ckenstraﬂe 8",Fahrschule,http://www.fahrschuleacademy.at,
