FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.1200,1200,POINT (16.443295890284276 48.26992773934702),Schulsport outdoor,"21., Dopschstraﬂe 25",3516,Hartplatz 1441 m≤<br />Rasenfl‰che 2075 m≤,,
SPORTSTAETTENOGD.1201,1201,POINT (16.443309379646315 48.26993671984756),Turnsaal,"21., Dopschstraﬂe 25",394,Turnsaal 283 m≤<br />Turnsaal 111 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1202,1202,POINT (16.38727761500958 48.29407044054559),Turnsaal,"21., Dr.-Albert-Geﬂmann-Gasse 32",88,Turnsaal 88 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1203,1203,POINT (16.413458307160752 48.29997438696865),Schulsport outdoor,"21., Dr.-Skala-Straﬂe 43-45",4846,Rasenfl‰che 4846 m≤,,
SPORTSTAETTENOGD.1204,1204,POINT (16.413471799216797 48.29998337092042),Turnsaal,"21., Dr.-Skala-Straﬂe 43-45",400,Turnsaal 200 m≤<br />Turnsaal 200 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1205,1205,POINT (16.38948015311385 48.260353973218265),Turnsaal,"21., Dunantgasse 2",288,Turnsaal 288 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1206,1206,POINT (16.389493630532826 48.26036296005067),Schulsport outdoor,"21., Dunantgasse 2",7500,Rasenfl‰che 7500 m≤,,
SPORTSTAETTENOGD.1207,1207,POINT (16.401446483815725 48.255365073797535),Turnsaal,"21., Franklinstraﬂe 21",1193,Turnsaal 1+2+3 gesamt 1193 m≤,,
SPORTSTAETTENOGD.1208,1208,POINT (16.4040886645535 48.253948655649175),Turnsaal,"21., Franklinstraﬂe 24",655,Turnsaal 1 415 m≤<br />Turnsaal 2 240 m≤,http://www.floridsdorf.vbs.ac.at/,
SPORTSTAETTENOGD.1209,1209,POINT (16.404102142846106 48.253957640779035),Schulsport outdoor,"21., Franklinstraﬂe 24",1125,Rasenplatz 625 m≤<br />Hartplatz 500 m≤,http://www.floridsdorf.vbs.ac.at/,
SPORTSTAETTENOGD.1210,1210,POINT (16.405096458957193 48.25352726749354),Turnsaal,"21., Franklinstraﬂe 26",1080,Turnsaal 1+2+3 gesamt 1080 m≤,,
