FID,OBJECTID,SHAPE,ADRESSE,WEBLINK1,SE_ANNO_CAD_DATA
WOHNSTRASSEOGD.12528,12528,"POLYGON ((16.319948074775848 48.23682234866035, 16.32003054641363 48.236981385734644, 16.319392552921403 48.237125472967215, 16.319379868630666 48.23709367141503, 16.319379879653795 48.23705974033031, 16.319398918271247 48.23704914018656, 16.31941479607656 48.237030059059016, 16.319430674554535 48.237008864543306, 16.319421164535356 48.2369855349841, 16.319402120049713 48.23697281593967, 16.31939260523034 48.236964334038184, 16.31938625396258 48.236955852594406, 16.319948074775848 48.23682234866035))","18., Hockegasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12529,12529,"POLYGON ((16.37694392731305 48.219237427498335, 16.376998059932355 48.2191287169013, 16.37731616816452 48.21918657307857, 16.37747559580774 48.21968649944549, 16.377327426476107 48.21971553768658, 16.377193340462785 48.21926632347281, 16.376976443881727 48.219225338114875, 16.376947533858498 48.21923742621555, 16.37694392731305 48.219237427498335))","2., Schwarzingergasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12530,12530,"POLYGON ((16.397788883871623 48.22928093027991, 16.397975775494555 48.229125536157234, 16.39862247061227 48.22948123361711, 16.400021276363546 48.228310051020046, 16.400231173350015 48.22842356244471, 16.39864546934117 48.22974257984451, 16.397839892287834 48.229277116765594, 16.397788883871623 48.22928093027991))","2., Wehlistraße",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12531,12531,"POLYGON ((16.400395602309867 48.22828845644503, 16.400400532659607 48.22829174517717, 16.40019313299654 48.22817316952469, 16.401346646542894 48.22721963336751, 16.402253652988758 48.22647395143092, 16.401547528637327 48.22609187721236, 16.401670713060668 48.225950029972246, 16.40324100797991 48.22680639497171, 16.403093129154975 48.226928473349226, 16.402500561126672 48.2266089940094, 16.402411829201363 48.22667498302195, 16.40237231860191 48.22665852137817, 16.400967430464462 48.22781663334419, 16.40098719224487 48.2278298151311, 16.400597749134164 48.22814656619291, 16.400504055875093 48.228199372547955, 16.400395602309867 48.22828845644503))","2., Mexikoplatz",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12532,12532,"POLYGON ((16.339801702014704 48.19355070993784, 16.339831694428497 48.19351970939498, 16.339998049428118 48.19350511683475, 16.340049891457056 48.19372574521821, 16.340047178849844 48.19395550357603, 16.34004173077055 48.194121428292235, 16.339839916027035 48.19411232500813, 16.339850796765205 48.193736696693506, 16.339798971821576 48.19355435227287, 16.339801702014704 48.19355070993784))","6., Wallgasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12533,12533,"MULTIPOLYGON (((16.360871824802445 48.201753373814356, 16.362059184799968 48.201140792172545, 16.362112462483722 48.20115202159295, 16.362151735993347 48.20118950528485, 16.362255547014865 48.20129071798782, 16.36104722962839 48.201909619417194, 16.360871824802445 48.201753373814356)), ((16.36087049332152 48.201754066577216, 16.360870492413568 48.201752187001304, 16.360871824802445 48.201753373814356, 16.36087049332152 48.201754066577216)))","6., Rahlgasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12534,12534,"POLYGON ((16.350158774382784 48.191929231783796, 16.350059463696667 48.19184862885838, 16.351261434457523 48.19117862637086, 16.351272068074547 48.19116084539964, 16.35135365726692 48.19125805110127, 16.35015877470861 48.191930418886486, 16.350158774382784 48.191929231783796))","6., Marchettigasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12535,12535,"MULTIPOLYGON (((16.343258880453913 48.19154213844029, 16.343757497100732 48.19090005430878, 16.344042366576083 48.19082531032795, 16.34344642169799 48.191596076756475, 16.343258880453913 48.19154213844029)), ((16.343257952570944 48.191543334594456, 16.343257952365427 48.19154186870237, 16.343258880453913 48.19154213844029, 16.343257952570944 48.191543334594456)))","6., Sonnenuhrgasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12536,12536,"MULTIPOLYGON (((16.35399953838815 48.19660142760427, 16.354572441616984 48.196557090216714, 16.354942732719568 48.19671190178166, 16.35498409565737 48.19671189497746, 16.355358387257322 48.19651686025689, 16.35559832377034 48.196566597048985, 16.3553977358011 48.19666896454719, 16.355166134839884 48.19678930525764, 16.356965015024063 48.19754910587872, 16.356893266586923 48.197621109423935, 16.355052645594125 48.19686225888149, 16.355010233326016 48.1968622658834, 16.354377328631394 48.197193956589736, 16.354390403262087 48.19723104243818, 16.3555129981627 48.19758644877697, 16.355493433525854 48.197606084229065, 16.356550779656075 48.19793530324828, 16.356459439226132 48.197994224913664, 16.354200138653347 48.19728849417606, 16.354167250719758 48.1971005955606, 16.35420654586711 48.19711027503241, 16.35483520242075 48.19678521394033, 16.354537317667965 48.19666219034953, 16.354011990699366 48.19670652013851, 16.35399953838815 48.19660142760427)), ((16.354200138653347 48.19728849417606, 16.354200408229904 48.197290040962905, 16.354197905454498 48.197287793059424, 16.354200138653347 48.19728849417606)))","6., Dürerstraße",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12537,12537,"MULTIPOLYGON (((16.36621035959613 48.23277450724561, 16.366239364856153 48.232632462002414, 16.366806894800924 48.23271690105456, 16.367460341053786 48.23276959506653, 16.367455829316512 48.232787726466185, 16.367451323116963 48.23281491395448, 16.367471687896845 48.23283454041229, 16.367505594795812 48.23283302928724, 16.3675259327378 48.23280885016548, 16.367566605314757 48.23277712022483, 16.36762537844916 48.232760484780066, 16.367729368249023 48.23274686754383, 16.367851453982688 48.23274079045323, 16.367783749225968 48.232941706877874, 16.366691666289935 48.232845326858026, 16.36621035959613 48.23277450724561)), ((16.36621004997108 48.23277446236113, 16.36621035959613 48.23277450724561, 16.366210050858943 48.23277597320815, 16.36621004997108 48.23277446236113)))","20., Romanogasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12538,12538,"POLYGON ((16.3683071797851 48.24087358461008, 16.36776940374016 48.24009117034406, 16.367979429144242 48.24001555196102, 16.368549541023565 48.24085462180632, 16.36885482665162 48.241297095812236, 16.369071151251312 48.24161140655855, 16.369182347438137 48.24176383501161, 16.36929353292301 48.24189872676402, 16.369655364748983 48.242322287649685, 16.37019709461937 48.24291849801095, 16.370502345126347 48.243269210671144, 16.37030444351658 48.24334887691288, 16.369821321860417 48.24280526866509, 16.36946352661157 48.24240599759064, 16.369065307295205 48.24194466644689, 16.36901476429856 48.24187857249228, 16.368869213140655 48.24168837357507, 16.368555836983486 48.24122971429956, 16.36830919931008 48.240873718940385, 16.3683071797851 48.24087358461008))","20., Spielmanngasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12539,12539,"MULTIPOLYGON (((16.370426317464897 48.2328818892508, 16.37048216224561 48.23267492243742, 16.371692902656168 48.232825026691515, 16.37163298479154 48.233033209421876, 16.370426317464897 48.2328818892508)), ((16.370425994374674 48.232881844381694, 16.370426317464897 48.2328818892508, 16.370425995217982 48.2328831034208, 16.370425994374674 48.232881844381694)))","20., Brigittaplatz (Nord)",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12540,12540,"POLYGON ((16.370746027253986 48.23166932019298, 16.370746026512286 48.23166822303008, 16.37078702420657 48.231484714614524, 16.370808412833316 48.23150449306, 16.371992607474077 48.23163267693325, 16.371943379584533 48.2318019072372, 16.370746027253986 48.23166932019298))","20., Brigittaplatz (Süd)",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12542,12542,"POLYGON ((16.370604569922083 48.228289325996684, 16.368766941703147 48.22863096457566, 16.368539127552317 48.22855405684428, 16.36862544324032 48.228424594082746, 16.368690883147302 48.22840183185951, 16.368719737941326 48.22850328432988, 16.370559970708726 48.228158138388984, 16.37060718109089 48.22828932521193, 16.370604569922083 48.228289325996684))","20., Staudingergasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
