FID,OBJECTID,SHAPE,DIRECTION_NAME,SE_ANNO_CAD_DATA
EINBAHNOGD.1632541,1632541,"LINESTRING (16.37500572742907 48.17821084815632, 16.37501041251544 48.1782929097395, 16.375002341663905 48.17915000893845)",gegen Richtung,
EINBAHNOGD.1632542,1632542,"LINESTRING (16.36745353968134 48.17997969523145, 16.366346475824127 48.17998343490733, 16.366204079235377 48.17990133905118)",in Richtung,
EINBAHNOGD.1632543,1632543,"LINESTRING (16.39488057366672 48.15565746130962, 16.39465966828493 48.15558731430986, 16.394224863060217 48.15541834947204, 16.393905268174304 48.15526674949931)",in Richtung,
EINBAHNOGD.1632544,1632544,"LINESTRING (16.373989522265 48.16205455725035, 16.373985213794082 48.163190166767905, 16.374144693490802 48.16355251402831)",gegen Richtung,
EINBAHNOGD.1632545,1632545,"LINESTRING (16.36388514985036 48.15746154387635, 16.363663025287575 48.15740208726526, 16.36289291247594 48.15743971848415, 16.362850278200174 48.157438814716265, 16.36282192047259 48.157426455595505, 16.36224201550929 48.15650759067371, 16.362049585970475 48.15639402432035, 16.36093652204587 48.15661917226564, 16.360872678790276 48.15662108274659, 16.36082405449239 48.156608727505386)",in Richtung,
EINBAHNOGD.1632546,1632546,"LINESTRING (16.33992792798826 48.21410135858148, 16.340490748210115 48.21513948693773)",gegen Richtung,
EINBAHNOGD.1632547,1632547,"LINESTRING (16.343208541867636 48.199004322628674, 16.343194147054362 48.199024628351566, 16.343238678885637 48.200326108405, 16.343223864657354 48.20036074749836)",in Richtung,
EINBAHNOGD.1632548,1632548,"LINESTRING (16.417065505427185 48.16640776482209, 16.41840661337734 48.165436173684405, 16.41844900511432 48.1654118336652, 16.41849286457146 48.16538650871665, 16.418563932620234 48.16536516891606, 16.41864109362595 48.16534586256334, 16.41913307785198 48.16524566862178)",in Richtung,
EINBAHNOGD.1632549,1632549,"LINESTRING (16.475887381676362 48.16834101423689, 16.475901924685438 48.16866812571761, 16.475877409157732 48.168922706540705, 16.475919484351174 48.169408922582804, 16.47606886440698 48.16959410579929)",gegen Richtung,
EINBAHNOGD.1632550,1632550,"LINESTRING (16.387376262878067 48.14225377709563, 16.38708359969176 48.14163301935125, 16.387048612310686 48.14160296404273)",gegen Richtung,
EINBAHNOGD.1632551,1632551,"LINESTRING (16.367045683576364 48.161097452383096, 16.36492116952583 48.16140019318219, 16.364889140492867 48.16140174626189, 16.36485879176366 48.16140336995833, 16.36483421659141 48.161402884183325)",in Richtung,
EINBAHNOGD.1632552,1632552,"LINESTRING (16.36480250260375 48.22376821644188, 16.364337913276785 48.22422817673842)",gegen Richtung,
EINBAHNOGD.1632553,1632553,"LINESTRING (16.363530811907317 48.22205273166306, 16.364334478577277 48.22200012376301)",in Richtung,
EINBAHNOGD.1632554,1632554,"LINESTRING (16.365555653123767 48.224504972180945, 16.36523094494633 48.22502665781045)",in Richtung,
EINBAHNOGD.1632555,1632555,"LINESTRING (16.381607096629804 48.14353775071066, 16.381065912937988 48.14244584252284)",gegen Richtung,
EINBAHNOGD.1632556,1632556,"LINESTRING (16.353777930952685 48.228036078022136, 16.351530203129546 48.2281032189822)",in Richtung,
EINBAHNOGD.1632557,1632557,"LINESTRING (16.362722861523327 48.22822960023622, 16.363053187956496 48.228304630288115)",in Richtung,
EINBAHNOGD.1632558,1632558,"LINESTRING (16.362722861523327 48.22822960023622, 16.362740412221594 48.22861405312598)",gegen Richtung,
EINBAHNOGD.1632559,1632559,"LINESTRING (16.36169109174137 48.18357286166823, 16.361685430148064 48.183597102345175, 16.361225797230077 48.184052766929334, 16.361203330863983 48.184088393071974)",in Richtung,
EINBAHNOGD.1632560,1632560,"LINESTRING (16.376753990128947 48.165483366246406, 16.378722682565183 48.16496755254001)",gegen Richtung,
