FID,OBJECTID,SHAPE,DIRECTION_NAME,SE_ANNO_CAD_DATA
EINBAHNOGD.1635280,1635280,"LINESTRING (16.398945267901553 48.19813593926206, 16.398194764038703 48.19705653187802, 16.397896328062995 48.19576167259145)",in Richtung,
EINBAHNOGD.1635281,1635281,"LINESTRING (16.39954427263409 48.202374142689116, 16.40048719275382 48.20217415188882, 16.401944278680055 48.20191329608275)",in Richtung,
EINBAHNOGD.1635601,1635601,"LINESTRING (16.330291622401827 48.220461132010875, 16.330672151472296 48.221105847408005)",gegen Richtung,
EINBAHNOGD.1635602,1635602,"LINESTRING (16.336205246257517 48.20823836736205, 16.335194904465975 48.20839124828129)",gegen Richtung,
EINBAHNOGD.1635603,1635603,"LINESTRING (16.39077803400274 48.268024670452874, 16.390759562088817 48.26807097923283, 16.390756982000703 48.26811840548498, 16.391606177124913 48.26913885350756, 16.391727502263947 48.269223456598525)",gegen Richtung,
EINBAHNOGD.1635604,1635604,"LINESTRING (16.387663164568966 48.278243930461755, 16.386848119752656 48.27808916296672)",in Richtung,
EINBAHNOGD.1635605,1635605,"LINESTRING (16.41897062949045 48.29758822212582, 16.419441673819062 48.29839950311376)",gegen Richtung,
EINBAHNOGD.1635606,1635606,"LINESTRING (16.3799460384916 48.20869313668781, 16.3799616000196 48.209313308252426)",in Richtung,
EINBAHNOGD.1635607,1635607,"LINESTRING (16.3799460384916 48.20869313668781, 16.3799616000196 48.209313308252426)",in Richtung,
EINBAHNOGD.1635608,1635608,"LINESTRING (16.377164731920395 48.206319122311655, 16.377187834722736 48.20629199421354, 16.377551376255106 48.20612766787369)",gegen Richtung,
EINBAHNOGD.1635609,1635609,"LINESTRING (16.377430669148843 48.20803082272872, 16.37713749600814 48.20761618769507)",gegen Richtung,
EINBAHNOGD.1635610,1635610,"LINESTRING (16.372842283086296 48.21193717663722, 16.372737770890783 48.2129348898852)",gegen Richtung,
EINBAHNOGD.1635611,1635611,"LINESTRING (16.360981267113765 48.213844453625335, 16.360986422037445 48.21385274240988, 16.360986948536713 48.21385351570815, 16.361046181956144 48.213954605840556, 16.361069561175515 48.21403947377818)",in Richtung,
EINBAHNOGD.1635612,1635612,"LINESTRING (16.419060529699998 48.2728889370148, 16.41924993238673 48.272930182678444, 16.420228088792346 48.27383306447823, 16.420298502066228 48.273899406986565)",in Richtung,
EINBAHNOGD.1635613,1635613,"LINESTRING (16.385892590727202 48.20054576934898, 16.385932400123014 48.19987351114449)",in Richtung,
EINBAHNOGD.1635614,1635614,"LINESTRING (16.527631884072175 48.21564608133048, 16.52764597807418 48.21561971055334, 16.527651966045607 48.21559047277089, 16.527650276258854 48.2155602648296, 16.527645139737526 48.21553603319781, 16.527627595324113 48.215511120774245, 16.527602594145396 48.21548783684442, 16.52755774082186 48.215469573590546, 16.527503766800248 48.21545778979842, 16.527452785986032 48.21545913912088)",gegen Richtung,
EINBAHNOGD.1635615,1635615,"LINESTRING (16.420465941345313 48.29829646007307, 16.419441673819062 48.29839950311376)",in Richtung,
EINBAHNOGD.1635745,1635745,"LINESTRING (16.294677887979038 48.18734423033193, 16.294793356540218 48.1893110442998, 16.29485427872815 48.18946837712399)",gegen Richtung,
EINBAHNOGD.1635746,1635746,"LINESTRING (16.267471050972343 48.17884056770364, 16.26740019545143 48.17879893174809, 16.267234012960056 48.17871381853377, 16.267124532734254 48.17864679568711, 16.267043346753294 48.17863318699474, 16.266928559690875 48.178529062823785, 16.266948361110636 48.178490081006224)",in Richtung,
EINBAHNOGD.1635747,1635747,"LINESTRING (16.310634825650425 48.20218715120741, 16.30885356858324 48.203024234056016)",in Richtung,
EINBAHNOGD.1635748,1635748,"LINESTRING (16.327844288267617 48.20038597158704, 16.32708698941816 48.20024082970095)",gegen Richtung,
EINBAHNOGD.1635749,1635749,"LINESTRING (16.359402178810953 48.215874640914606, 16.35940141361113 48.215810564768965, 16.35940571467371 48.21579075105324, 16.35942399864488 48.215771847301845, 16.35987574237074 48.215566879480605)",gegen Richtung,
EINBAHNOGD.1635750,1635750,"LINESTRING (16.3850386559132 48.21341649992968, 16.385748868598164 48.2135263614457)",in Richtung,
EINBAHNOGD.1635751,1635751,"LINESTRING (16.283367199172734 48.14873281492356, 16.283841339042702 48.14862736034579)",in Richtung,
EINBAHNOGD.1635752,1635752,"LINESTRING (16.35137203952799 48.20409949990081, 16.351317811631297 48.204116439480245, 16.350590709127125 48.20414021098458, 16.35055949449021 48.20414400915196, 16.350391865597317 48.20418499143548)",gegen Richtung,
EINBAHNOGD.1635753,1635753,"LINESTRING (16.257945296975354 48.139639355189416, 16.257454687441655 48.13961941806833, 16.257362308342202 48.1396217434746, 16.25718445254331 48.139642980621716, 16.257028029712856 48.13965242854423, 16.256590799467677 48.139666389542334, 16.256280612977655 48.13966153773345, 16.255692324669965 48.13960990845664, 16.254672839795994 48.139473237823864, 16.25423318166553 48.139430207571834, 16.253980715266376 48.13936988496644, 16.251816732238716 48.138723051005385)",in Richtung,
EINBAHNOGD.1635754,1635754,"LINESTRING (16.332560102302587 48.181251974926646, 16.332588157852424 48.18118600241697, 16.332671827673384 48.18050020083315, 16.332713642286542 48.18046732104211, 16.332746961842794 48.18021164743466)",in Richtung,
EINBAHNOGD.1635755,1635755,"LINESTRING (16.273210604532352 48.18767385314761, 16.27341265204488 48.18905519351885)",gegen Richtung,
EINBAHNOGD.1635756,1635756,"LINESTRING (16.370514810649127 48.17430809740193, 16.369648138139663 48.174366247875525)",gegen Richtung,
EINBAHNOGD.1635757,1635757,"LINESTRING (16.386491857894516 48.14314394125105, 16.38477731749736 48.14356961327785)",in Richtung,
EINBAHNOGD.1635744,1635744,"LINESTRING (16.350866101300415 48.2213349062723, 16.34948097258036 48.22164028164874)",in Richtung,
EINBAHNOGD.1635282,1635282,"LINESTRING (16.36479180408289 48.21592513064616, 16.36413236565714 48.21655804725609)",in Richtung,
EINBAHNOGD.1635283,1635283,"LINESTRING (16.347515831877438 48.187853810239865, 16.34761645802295 48.187712086971025, 16.34817473578368 48.1869823150176)",gegen Richtung,
EINBAHNOGD.1635284,1635284,"LINESTRING (16.38591031479773 48.213070239838146, 16.386972679069945 48.21349287405579)",gegen Richtung,
EINBAHNOGD.1635285,1635285,"LINESTRING (16.439246646191616 48.192733391594885, 16.439307478979607 48.192676989162045, 16.439337212476957 48.19262222982044, 16.43934846063364 48.1925725466577, 16.43934952203766 48.192525120947785)",gegen Richtung,
EINBAHNOGD.1635286,1635286,"LINESTRING (16.257605791001154 48.16404221215516, 16.256311546512794 48.16428287483089)",gegen Richtung,
EINBAHNOGD.1635287,1635287,"LINESTRING (16.313138780225447 48.2001833206898, 16.313700406352698 48.20068311533899)",gegen Richtung,
EINBAHNOGD.1635288,1635288,"LINESTRING (16.415689266374233 48.165546709675, 16.41569542960486 48.16552555778995, 16.416433286379146 48.16495650202772, 16.41722557776987 48.16435107932084, 16.4174783820689 48.16416155040861, 16.41758287033666 48.16409009244751, 16.417693771842302 48.16402284587004, 16.417881508848918 48.16392989936959, 16.418067178124367 48.16385831299896, 16.418210139586133 48.163809660862725, 16.418383034611136 48.16376239275733, 16.418488688889298 48.16376386297498)",in Richtung,
EINBAHNOGD.1635289,1635289,"LINESTRING (16.280755580910355 48.167077691530224, 16.280922043707008 48.16767230930942, 16.280941280515002 48.16775501408566)",in Richtung,
EINBAHNOGD.1635290,1635290,"LINESTRING (16.35319418887129 48.21343577556777, 16.353062621723222 48.21484659829566)",in Richtung,
EINBAHNOGD.1635291,1635291,"LINESTRING (16.376856895363243 48.16902418207902, 16.376791669746346 48.16862681646421)",in Richtung,
EINBAHNOGD.1635292,1635292,"LINESTRING (16.34526509189173 48.18186888863284, 16.345884335699566 48.180923987252946)",in Richtung,
EINBAHNOGD.1635293,1635293,"LINESTRING (16.318157397606107 48.215045438173625, 16.3190190151992 48.21503566217146, 16.319099666758532 48.21497644599597)",gegen Richtung,
EINBAHNOGD.1635294,1635294,"LINESTRING (16.27963069609065 48.22702248209369, 16.279608688072962 48.22714675929651, 16.279629411316403 48.22723501473145, 16.27970779701334 48.22728676376957, 16.280138734677575 48.2273589193171, 16.28033424005206 48.227428711115834, 16.280939765681453 48.2279588261165)",in Richtung,
EINBAHNOGD.1635295,1635295,"LINESTRING (16.326978626210938 48.18303590992505, 16.3267197625412 48.18300188404991, 16.32648958300171 48.18295500148006, 16.326345552362703 48.182917892389106, 16.326248375854007 48.182891537614395, 16.326180195024726 48.182874458157094)",in Richtung,
EINBAHNOGD.1635616,1635616,"LINESTRING (16.37866251948843 48.174622377407665, 16.379953533008965 48.17453195931908)",in Richtung,
EINBAHNOGD.1635617,1635617,"LINESTRING (16.34327724548329 48.20702307751822, 16.343385551659637 48.2073314386623)",gegen Richtung,
EINBAHNOGD.1635618,1635618,"LINESTRING (16.35288307808416 48.17188610665962, 16.35202713091748 48.172250454760636)",in Richtung,
EINBAHNOGD.1635619,1635619,"LINESTRING (16.35520759640011 48.18803180742441, 16.35615150224947 48.1884347947159)",in Richtung,
EINBAHNOGD.1635620,1635620,"LINESTRING (16.334422117928444 48.1752142607079, 16.334450694971665 48.1750586359798)",gegen Richtung,
EINBAHNOGD.1635621,1635621,"LINESTRING (16.3761314213378 48.16334239386142, 16.375956481663415 48.16337372064776, 16.375826060392015 48.16339189263803, 16.375685128979214 48.16340058292623, 16.37550995876133 48.16340535115296)",gegen Richtung,
EINBAHNOGD.1635622,1635622,"LINESTRING (16.37550995876133 48.16340535115296, 16.374726742567713 48.16344440070782, 16.37460271882135 48.16345104610927, 16.374476288022734 48.163471042657356, 16.374144693490802 48.16355251402831)",gegen Richtung,
EINBAHNOGD.1635623,1635623,"LINESTRING (16.387671052964336 48.128024360375655, 16.38774628350457 48.128007674564586, 16.387831706965343 48.128002717675535)",in Richtung,
EINBAHNOGD.1635624,1635624,"LINESTRING (16.387831706965343 48.128002717675535, 16.387879560714012 48.12799995584798, 16.387949780168363 48.12800828523749, 16.388016648100947 48.12802469658239, 16.38807827784796 48.12804855671451, 16.38813288228779 48.12807937631701, 16.388178676189455 48.12811589085169, 16.38821419042055 48.12815725832321, 16.38822586182101 48.1281788927115)",in Richtung,
EINBAHNOGD.1635625,1635625,"LINESTRING (16.38744824996932 48.12834309024743, 16.387436551104628 48.1282936323129, 16.387436085502976 48.128248384516475, 16.387441104340393 48.12822962314216)",in Richtung,
EINBAHNOGD.1635626,1635626,"LINESTRING (16.387441104340393 48.12822962314216, 16.38744852770238 48.128201374556426, 16.387473042074333 48.12815660841953, 16.387508682724597 48.12811527903357, 16.387554718918107 48.12807879326831, 16.3876092616189 48.12804820597388, 16.387671052964336 48.128024360375655)",in Richtung,
EINBAHNOGD.1635627,1635627,"LINESTRING (16.474478727638534 48.255556198444374, 16.474411357465932 48.255581712927516, 16.474370876031426 48.2555906144421, 16.474319139968003 48.25560086405282, 16.47425624753184 48.255608948919516, 16.47417789169156 48.25561873943418, 16.47408122705739 48.255626794621584, 16.473290494297547 48.255674392808935, 16.47318624849506 48.25568077008451, 16.47306341045514 48.255698270508766, 16.472912405030524 48.2557263424505, 16.47279829978595 48.25574425397384, 16.472699435989878 48.25575701760565, 16.472594243977813 48.25576367695301)",gegen Richtung,
EINBAHNOGD.1635628,1635628,"LINESTRING (16.409396116580364 48.17442736400772, 16.41009324773908 48.173743079897214)",in Richtung,
EINBAHNOGD.1635629,1635629,"LINESTRING (16.37158788279079 48.252024561948346, 16.371617653032263 48.25187103768493, 16.371651744339758 48.25157601089918, 16.371678119475874 48.251077517373595, 16.37171001330361 48.250952377356, 16.371731436298084 48.250899044265715, 16.37175990831759 48.250845498543235)",in Richtung,
EINBAHNOGD.1635630,1635630,"LINESTRING (16.339396798364923 48.25701155249337, 16.338898844705877 48.25731051634498)",in Richtung,
EINBAHNOGD.1635758,1635758,"LINESTRING (16.395441550808236 48.19316962332604, 16.395398755221944 48.193146038273674, 16.394312475768107 48.19226575207116, 16.394235211932212 48.19223916322803)",gegen Richtung,
EINBAHNOGD.1635759,1635759,"LINESTRING (16.38618921566439 48.17117914898028, 16.385106090935118 48.17141372098707)",gegen Richtung,
EINBAHNOGD.1635760,1635760,"LINESTRING (16.277091118230732 48.25217273994228, 16.27597118242045 48.25204126826268, 16.275772099940248 48.25198544906757, 16.275550916871996 48.25184818799566)",gegen Richtung,
EINBAHNOGD.1635761,1635761,"LINESTRING (16.308889322610753 48.226043659887885, 16.307679967980956 48.22649421957384)",in Richtung,
EINBAHNOGD.1635762,1635762,"LINESTRING (16.342130803602583 48.218494915899164, 16.34092042346776 48.21870469673874)",gegen Richtung,
EINBAHNOGD.1635763,1635763,"LINESTRING (16.34355053484503 48.22649037871401, 16.34366741530264 48.226887685611565)",in Richtung,
EINBAHNOGD.1635764,1635764,"LINESTRING (16.324761759026828 48.22789581046155, 16.323197004251714 48.22823169486495)",gegen Richtung,
EINBAHNOGD.1635765,1635765,"LINESTRING (16.334540549748105 48.2379557419148, 16.33453442319294 48.23886453985009)",gegen Richtung,
EINBAHNOGD.1635766,1635766,"LINESTRING (16.35090859770461 48.1846972264065, 16.350117179627908 48.18442752953295)",in Richtung,
EINBAHNOGD.1635767,1635767,"LINESTRING (16.354655850983427 48.19582254038574, 16.354304740022506 48.19548127697208, 16.354026116321652 48.1950653854941)",in Richtung,
EINBAHNOGD.1635768,1635768,"LINESTRING (16.387820996761914 48.224207495284624, 16.388259224558396 48.225121366437584)",in Richtung,
EINBAHNOGD.1635769,1635769,"LINESTRING (16.345946595103097 48.200368414440646, 16.34594939319092 48.20180001734958)",gegen Richtung,
EINBAHNOGD.1635770,1635770,"LINESTRING (16.378638420895367 48.17317391405848, 16.37782544876801 48.17309812151942)",in Richtung,
EINBAHNOGD.1635771,1635771,"LINESTRING (16.388641485159106 48.18831379421115, 16.38955220693141 48.18827578507284, 16.390294916527186 48.188237707823035)",in Richtung,
EINBAHNOGD.1635772,1635772,"LINESTRING (16.390294916527186 48.188237707823035, 16.390381379834825 48.188227619780854, 16.390424652597723 48.188211228984486, 16.39045468072563 48.18819112035257, 16.39051029024983 48.1881162678277)",gegen Richtung,
EINBAHNOGD.1635296,1635296,"LINESTRING (16.326180195024726 48.182874458157094, 16.326038791354556 48.18283643609531, 16.325863767815115 48.18279552945773, 16.3257624945706 48.182774371987975, 16.325656386128568 48.182763964483456)",in Richtung,
EINBAHNOGD.1635297,1635297,"LINESTRING (16.268317310279286 48.199682406584905, 16.26835627480751 48.199702523922014, 16.268393284757373 48.19976964300965, 16.269036829688417 48.19973243200209)",gegen Richtung,
EINBAHNOGD.1635298,1635298,"LINESTRING (16.379238411055784 48.210688483863954, 16.379233080128362 48.21084846632308)",gegen Richtung,
EINBAHNOGD.1635299,1635299,"LINESTRING (16.437975167771985 48.20073299014745, 16.43844250497123 48.20040165425141)",gegen Richtung,
EINBAHNOGD.1635300,1635300,"LINESTRING (16.39773402942623 48.20789356963944, 16.397905978222095 48.206921722033414)",gegen Richtung,
EINBAHNOGD.1635301,1635301,"LINESTRING (16.38027206309386 48.21268043011127, 16.380418646197164 48.21272997636734, 16.380554176329916 48.212763016154135, 16.380670259239935 48.212795993183185, 16.380775620832335 48.21283044914586, 16.380872367944576 48.21287067029439, 16.380986368293602 48.21292662266646, 16.381074612371076 48.2129797737493, 16.38113098225734 48.2130076448758)",in Richtung,
EINBAHNOGD.1635302,1635302,"LINESTRING (16.37257386811347 48.21379772422224, 16.372259061044264 48.21355388409858)",gegen Richtung,
EINBAHNOGD.1635303,1635303,"LINESTRING (16.372012141253638 48.21312397569976, 16.370300620326873 48.21355996462601)",gegen Richtung,
EINBAHNOGD.1635304,1635304,"LINESTRING (16.394705234259504 48.20430076298303, 16.39424443576398 48.20381761351518)",gegen Richtung,
EINBAHNOGD.1635305,1635305,"LINESTRING (16.397905978222095 48.206921722033414, 16.398041439997016 48.20603076216547)",gegen Richtung,
EINBAHNOGD.1635306,1635306,"LINESTRING (16.403086210042567 48.224725145781214, 16.40301390087416 48.22482966315675, 16.403041100605538 48.224885081097185, 16.4030587242279 48.224934112280074, 16.403063511992578 48.224976755911996, 16.40305727910202 48.22503542636594, 16.403038849017086 48.22509347080817, 16.40293740488407 48.225272338886796, 16.40292507177758 48.2253296072497, 16.40292463053629 48.22539382399726, 16.402944168055487 48.22545936460502, 16.402975158523375 48.225518223826725, 16.403033494236144 48.22558275797752, 16.403114803625282 48.22560540389505)",gegen Richtung,
EINBAHNOGD.1635307,1635307,"LINESTRING (16.392845644578706 48.21402173516045, 16.39285276049635 48.21398685164204, 16.392863827893184 48.21382258055693, 16.392857676304008 48.21367820097192, 16.392832484296374 48.21352237888672, 16.392789844904478 48.21336944591553, 16.39277360457076 48.21332259052392)",in Richtung,
EINBAHNOGD.1635308,1635308,"LINESTRING (16.429377361893913 48.18237174167107, 16.429325501493732 48.182277776746574, 16.428929239630534 48.18164997787278, 16.428652709544696 48.18123187503017, 16.428604352429478 48.18115610472171)",gegen Richtung,
EINBAHNOGD.1635309,1635309,"LINESTRING (16.38908844027574 48.26614864761182, 16.388336434898946 48.266433468493005)",gegen Richtung,
EINBAHNOGD.1635631,1635631,"LINESTRING (16.319012227414696 48.2123644796738, 16.316878432447023 48.21250747229272)",in Richtung,
EINBAHNOGD.1635632,1635632,"LINESTRING (16.321953172516302 48.21243457498855, 16.32181811233773 48.21350074087786)",gegen Richtung,
EINBAHNOGD.1635633,1635633,"LINESTRING (16.33501203296761 48.21239833784051, 16.333775705554125 48.21239269928632)",gegen Richtung,
EINBAHNOGD.1635634,1635634,"LINESTRING (16.28784002615447 48.20440791353742, 16.287046376970284 48.20452294343684, 16.28690919835135 48.20454080110189, 16.286784636253614 48.204554448905455, 16.28664273433464 48.2045649262207, 16.28648864236226 48.20457385307738, 16.286418319880248 48.204580919260394)",in Richtung,
EINBAHNOGD.1635635,1635635,"LINESTRING (16.32297089984357 48.14823209124841, 16.321610268592718 48.148103633908924)",in Richtung,
EINBAHNOGD.1635636,1635636,"LINESTRING (16.36334229798876 48.2163212532458, 16.364032957832542 48.21663922040786)",gegen Richtung,
EINBAHNOGD.1635637,1635637,"LINESTRING (16.451695123156348 48.22312431994814, 16.45300367391028 48.2225916276404)",in Richtung,
EINBAHNOGD.1635638,1635638,"LINESTRING (16.39410712946611 48.25379919434048, 16.394203844594642 48.25364120404678, 16.3942488565894 48.25353403650842, 16.394314956058967 48.25337549953602, 16.394350344006245 48.25331751833024, 16.394402476111054 48.253274072269214, 16.394457985152687 48.25323982801429, 16.39452002353934 48.2532112011042, 16.394699956584695 48.25314822786929, 16.39554096413518 48.25288018075851)",in Richtung,
EINBAHNOGD.1635639,1635639,"LINESTRING (16.36013926378752 48.189940390504084, 16.359097359123172 48.18951174057236)",gegen Richtung,
EINBAHNOGD.1635640,1635640,"LINESTRING (16.351150365295695 48.1954785725113, 16.35109782954383 48.19550605091782, 16.350557493466233 48.195941658180196, 16.350504853982244 48.19597138462568)",in Richtung,
EINBAHNOGD.1635641,1635641,"LINESTRING (16.373677389365096 48.169638493158004, 16.37297187696841 48.169781489559156)",in Richtung,
EINBAHNOGD.1635642,1635642,"LINESTRING (16.392441345082432 48.158181432923136, 16.391354481362697 48.157977716017335)",gegen Richtung,
EINBAHNOGD.1635643,1635643,"LINESTRING (16.36388514985036 48.15746154387635, 16.363176397831605 48.156173429121274)",gegen Richtung,
EINBAHNOGD.1635644,1635644,"LINESTRING (16.3521906423998 48.19356154530394, 16.35133497044067 48.19290171600243)",in Richtung,
EINBAHNOGD.1635645,1635645,"LINESTRING (16.333775705554125 48.21239269928632, 16.33364039302813 48.21288619673765)",in Richtung,
EINBAHNOGD.1635773,1635773,"LINESTRING (16.255616415596254 48.20724978664806, 16.2554403144625 48.207276432406836, 16.255364617292265 48.20728769092758, 16.255215222539654 48.207308242417106)",in Richtung,
EINBAHNOGD.1635774,1635774,"LINESTRING (16.255215222539654 48.207308242417106, 16.25520986131118 48.20730894101473, 16.254941671287217 48.20734254669097)",in Richtung,
EINBAHNOGD.1635310,1635310,"LINESTRING (16.437245121279275 48.271535247714695, 16.43723657854012 48.2715259806696, 16.437225919198525 48.2715110957111, 16.437221775068707 48.27149107536763, 16.4372204692918 48.27146901559453, 16.437222497589737 48.27143058278641, 16.437349443530596 48.270537556240996)",in Richtung,
EINBAHNOGD.1635311,1635311,"LINESTRING (16.366279639972074 48.183699829898735, 16.365361318171164 48.18337708444353)",in Richtung,
EINBAHNOGD.1635312,1635312,"LINESTRING (16.46251528134918 48.225349202242256, 16.46415344715418 48.22474709578751)",in Richtung,
EINBAHNOGD.1635313,1635313,"LINESTRING (16.326174815140146 48.218526128531686, 16.32493105251336 48.21868339527918)",gegen Richtung,
EINBAHNOGD.1635314,1635314,"LINESTRING (16.327403007685373 48.21838128289848, 16.32750734086776 48.218764905664244, 16.32760424848781 48.21891990364861)",in Richtung,
EINBAHNOGD.1635315,1635315,"LINESTRING (16.30600120668334 48.20824912430052, 16.30621507891625 48.208844415889175)",in Richtung,
EINBAHNOGD.1635316,1635316,"LINESTRING (16.23928986753635 48.21387297380589, 16.23903243455793 48.21431004972869)",gegen Richtung,
EINBAHNOGD.1635317,1635317,"LINESTRING (16.336446313905547 48.24126634628729, 16.335247260373922 48.241365830613795)",in Richtung,
EINBAHNOGD.1635318,1635318,"LINESTRING (16.350832573703222 48.190329233679385, 16.34869289756122 48.18982235660862)",gegen Richtung,
EINBAHNOGD.1635319,1635319,"LINESTRING (16.44490876719246 48.23670251408656, 16.446177573968424 48.236519194888366)",gegen Richtung,
EINBAHNOGD.1635320,1635320,"LINESTRING (16.309179716540683 48.22569362750918, 16.30873791001883 48.2258431748133)",gegen Richtung,
EINBAHNOGD.1635321,1635321,"LINESTRING (16.3165851614275 48.22327842067797, 16.316215851099575 48.22340166178693, 16.316108450808272 48.22352621276982)",in Richtung,
EINBAHNOGD.1635322,1635322,"LINESTRING (16.32326417887766 48.22070857942951, 16.322723405303133 48.220898498465246)",gegen Richtung,
EINBAHNOGD.1635323,1635323,"LINESTRING (16.333775705554125 48.21239269928632, 16.331982239482965 48.212393211873845, 16.331770535503424 48.21227615267526, 16.331258068909772 48.21232011445268)",in Richtung,
EINBAHNOGD.1635324,1635324,"LINESTRING (16.37285478202699 48.209135939393306, 16.3735393639255 48.209674606358604)",in Richtung,
EINBAHNOGD.1635646,1635646,"LINESTRING (16.35119796848594 48.20225079123997, 16.35080099913696 48.20222835988752)",gegen Richtung,
EINBAHNOGD.1635647,1635647,"LINESTRING (16.348470224756223 48.213218298544135, 16.3481811209504 48.21403726981738)",gegen Richtung,
EINBAHNOGD.1635648,1635648,"LINESTRING (16.341176185352065 48.21316152360504, 16.3402574166667 48.21316942991209)",gegen Richtung,
EINBAHNOGD.1635649,1635649,"LINESTRING (16.342299193885914 48.1845136557335, 16.342824424720387 48.1838430694161)",gegen Richtung,
EINBAHNOGD.1635650,1635650,"LINESTRING (16.343602247639343 48.18129000125396, 16.342643978241583 48.18095906744486)",gegen Richtung,
EINBAHNOGD.1635651,1635651,"LINESTRING (16.363334119690226 48.23377295589753, 16.364573580224786 48.23394464884666)",in Richtung,
EINBAHNOGD.1635652,1635652,"LINESTRING (16.46086201376921 48.28196318349644, 16.460849249539084 48.28199558676519, 16.460847002356722 48.28202334089736, 16.460864460862393 48.2820606287734, 16.460890730876546 48.28208505059869)",gegen Richtung,
EINBAHNOGD.1635653,1635653,"LINESTRING (16.31877210092669 48.21963991424839, 16.319284321665172 48.22028798943736)",gegen Richtung,
EINBAHNOGD.1635654,1635654,"LINESTRING (16.398946743625835 48.26472951509102, 16.40008850427025 48.26450581405468)",gegen Richtung,
EINBAHNOGD.1635655,1635655,"LINESTRING (16.359796953767578 48.13947416286616, 16.360468078307346 48.13933610125188, 16.360781491850876 48.1392707627867)",gegen Richtung,
EINBAHNOGD.1635656,1635656,"LINESTRING (16.403844785999617 48.14238063495065, 16.40378068105505 48.14224865407451, 16.405131254752124 48.141964140178864)",in Richtung,
EINBAHNOGD.1635657,1635657,"LINESTRING (16.28951868761236 48.21364867204182, 16.289493401768862 48.213594914130354, 16.289426334984356 48.21347685160667, 16.289403858106002 48.21345653771172, 16.289372333305923 48.213442473089785, 16.289336701917865 48.213437188620524, 16.288826855431576 48.2135516432397)",gegen Richtung,
EINBAHNOGD.1635658,1635658,"LINESTRING (16.355198518435152 48.21612048157739, 16.355099676179574 48.21663029799229)",gegen Richtung,
EINBAHNOGD.1635659,1635659,"LINESTRING (16.258807611308995 48.20358493466089, 16.258689197080088 48.204188522582605, 16.258513973813624 48.20447674851125, 16.258393719972318 48.20462491458689, 16.258421096576487 48.204662170252874)",in Richtung,
EINBAHNOGD.1635660,1635660,"LINESTRING (16.29657087243523 48.19817474243044, 16.296498992662837 48.19821716019872, 16.296427402975112 48.19824608283626, 16.296348455783342 48.19827584555053, 16.2962613185897 48.19829752499218, 16.29614580277264 48.19832179445259, 16.2960558371505 48.19833054594102, 16.29546330716504 48.198358161413275, 16.295309471085854 48.19833442882026)",in Richtung,
EINBAHNOGD.1635325,1635325,"LINESTRING (16.34943915635525 48.21409502372506, 16.34938386816867 48.21493265913199, 16.349392288163607 48.21497080896593)",in Richtung,
EINBAHNOGD.1635326,1635326,"LINESTRING (16.337487328307432 48.19034921528375, 16.337569179795352 48.190280570896554, 16.3376065852536 48.190209959346475, 16.33791033280259 48.189514245828846, 16.337899718263134 48.189470966193944, 16.337872398657034 48.18944138797358, 16.337760808195906 48.18939213749116, 16.33766371874967 48.18933080252582)",in Richtung,
EINBAHNOGD.1635327,1635327,"LINESTRING (16.527452785986032 48.21545913912088, 16.52740245455596 48.2154657573379, 16.52736330806769 48.21548359748561, 16.527334071534206 48.21550886927657, 16.527313157679618 48.21553883424046, 16.527306233231474 48.21557067348887, 16.527307247209347 48.21561711343313, 16.527327544093076 48.21564729042436)",gegen Richtung,
EINBAHNOGD.1635328,1635328,"LINESTRING (16.344922919753785 48.20623767517676, 16.34509310032297 48.206895288177954)",in Richtung,
EINBAHNOGD.1635329,1635329,"LINESTRING (16.337667710671454 48.20268281831904, 16.33752944093637 48.204206673029475)",in Richtung,
EINBAHNOGD.1635330,1635330,"LINESTRING (16.33865597668691 48.20272165343992, 16.337667710671454 48.20268281831904)",in Richtung,
EINBAHNOGD.1635331,1635331,"LINESTRING (16.44760964513181 48.22910233826908, 16.449678978994644 48.231234075594756)",in Richtung,
EINBAHNOGD.1635332,1635332,"LINESTRING (16.30521621999478 48.14098960285885, 16.305023731688106 48.13918941839427)",gegen Richtung,
EINBAHNOGD.1635333,1635333,"LINESTRING (16.35974515709099 48.139376301431, 16.360725071101278 48.1391638393512)",gegen Richtung,
EINBAHNOGD.1635334,1635334,"LINESTRING (16.38244564495664 48.28709399057355, 16.381739536669397 48.28670054569611)",in Richtung,
EINBAHNOGD.1635335,1635335,"LINESTRING (16.311853033347248 48.17184657013877, 16.311986136729384 48.171805004374, 16.312006520111105 48.171791378493694, 16.31200894629879 48.17176966843393, 16.31184342850324 48.17150061007226, 16.31181822486249 48.171489363217844, 16.31178461295295 48.17148935612668, 16.311648366615433 48.171517219799846)",gegen Richtung,
EINBAHNOGD.1635336,1635336,"LINESTRING (16.517068578206874 48.227579205601806, 16.51784730543132 48.22745249461659)",gegen Richtung,
EINBAHNOGD.1635337,1635337,"LINESTRING (16.323060833155075 48.138418325992355, 16.323226281876238 48.138352511019896, 16.323787611550962 48.13811052697223, 16.324039145447113 48.13799392139788, 16.324217192100264 48.13790941735975, 16.32424900213633 48.13789045019067, 16.32426695751559 48.137863190680825, 16.324265711978825 48.137804593888)",gegen Richtung,
EINBAHNOGD.1635338,1635338,"LINESTRING (16.32956946516489 48.14689153118238, 16.328428120791582 48.14497301302259)",gegen Richtung,
