FID,OBJECTID,SHAPE,BEZIRK,STRASSE,ONR,TELEFON,OEFFNUNGSZEIT,INFORMATION,ABTEILUNG,KATEGORIE,SE_ANNO_CAD_DATA
WCANLAGEOGD.137724,137724,POINT (16.42171852297027 48.23155645927116),22,Kaiserwasser (hinter Sportplatz),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137725,137725,POINT (16.435479825271816 48.23062189480606),22,Rehlacke/Lagerwiesenweg,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137726,137726,POINT (16.47932258236879 48.24679878264704),22,"Badeteich Hirschst. (Spargelfeldstr.,Bibernellweg)",,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137727,137727,POINT (16.37199878421158 48.172717563148574),10,Arthaberplatz/Laxenburger Str.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137728,137728,POINT (16.40115032529734 48.19776992538029),3,Kardinal-Nagl-Platz / Erdbergstraße / Rüdengasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137729,137729,POINT (16.386139774524086 48.23777680048066),20,Allerheiligenplatz,16 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137730,137730,POINT (16.36965429234241 48.22594489627434),20,Gaußplatz (im Park),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137731,137731,POINT (16.42362036776664 48.226443034979646),22,Schüttauplatz/Moissigasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137732,137732,POINT (16.412033162328292 48.24285895634295),22,"WIG 64 (Donaupark, Eingang C, Tennisplatz",,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137733,137733,POINT (16.337777676666626 48.20109388066178),7,Urban Loritz Platz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137734,137734,POINT (16.39869310395997 48.15065889288804),10,WIG 74 (Gschroppenhaus),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137735,137735,POINT (16.380434604915493 48.20688827732566),1,Parkring/Wollzeile,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137736,137736,POINT (16.359214675629403 48.21155340746628),1,Rathauspark/Felderstraße,,+43 (1) 546 48,Mo-So: 9-17 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137737,137737,POINT (16.358459802703525 48.20981139956898),1,Rathauspark/Lichtenfelsgasse,,+43 (1) 546 48,Mo-So: 9-17 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137738,137738,POINT (16.364288505183396 48.18316257606572),5,Kliebergasse (Abgang zur Straßenbahnlinie 18),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137739,137739,POINT (16.25689161749068 48.1664390871339),13,Hermesstr./Lainzer Tor,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137740,137740,POINT (16.42098289921918 48.23067327593677),22,SV Donau/ Kaiserwasser,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137741,137741,POINT (16.394591654872727 48.25306317858928),21,Wasserpark/A.d.ob.alten Donau,1 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137742,137742,POINT (16.275344623754382 48.197307766567356),14,Baumgartner Casino/Linzerstr.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137743,137743,POINT (16.267728414410147 48.205693462900776),14,Dehnepark/Dehnegasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137744,137744,POINT (16.363260429223054 48.23075575264569),20,Brigittenauer Lände (ggü. Gerhardusg.),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137745,137745,POINT (16.269300375369536 48.1512912769658),23,Mauer Rathauspark / Speisingerstraße,ggü 262,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137746,137746,POINT (16.41064744622675 48.171759151580474),11,Herder Park,ggü 5,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137747,137747,POINT (16.41121101035691 48.18168371891339),11,Hybler Park/Pachmayergasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137748,137748,POINT (16.47454108327757 48.15890204790284),11,Münnichplatz(Kaiserebersdorfer Str.),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137749,137749,POINT (16.33358938687711 48.20920929657068),16,Hofferplatz/Thaliastraße,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137750,137750,POINT (16.308924187596098 48.21285285415254),16,Stillfriedplatz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137751,137751,POINT (16.3357917150809 48.213298994706236),16,Yppenplatz/Markt,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137752,137752,POINT (16.33462070664864 48.22146333887699),17,Dornerplatz,ggü 9,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137753,137753,POINT (16.336732513313855 48.22359948975178),18,Johann Nepomuk Vogel Platz/Markt,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137754,137754,POINT (16.321194550835667 48.26406399804724),19,Am Cobenzl,,+43 (1) 546 48,April-Sept. Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137755,137755,POINT (16.31024116542187 48.241391723939365),18,Pötzleinsdorfer Str./Endstelle 41,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137756,137756,POINT (16.333674282657125 48.234276542047304),18,Türkenschanzpark/Kinderspielplatz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137757,137757,POINT (16.35559814408962 48.20652567990226),7,Weghuberpark/Museumstraße,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137758,137758,POINT (16.347931789385942 48.19875292799694),7,Andreaspark,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137759,137759,POINT (16.3344748491606 48.20572583151942),16,Ludo Hartmann Platz/Brunneng.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137760,137760,POINT (16.341075358545556 48.207431262097856),7,Josef Strauß Park,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137761,137761,POINT (16.352370240345994 48.22944575054921),9,Helene-Deutsch-Park,,+43 (1) 546 48,Mo-So: 7-20 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137762,137762,POINT (16.362017974108312 48.1983612941336),6,Alfred-Grünwald-Park,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137763,137763,POINT (16.32774020160658 48.21011081312502),16,Richard Wagner Platz/Thaliastr.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137764,137764,POINT (16.244663428808906 48.204469333827824),14,Hütteldorfer Frdh./Bierhäuselbergg.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137765,137765,POINT (16.355230550823862 48.18787910880354),5,Bacherplatz,ggü. 10,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137766,137766,POINT (16.407280702031937 48.246761298568636),21,Dragonerhäufel (Lagerwiese bei Kleingärten),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137767,137767,POINT (16.255891447496275 48.20253614495303),14,Linzerstr.(Endst. 49),,+43 (1) 546 48,Mo-So: 0-24 Uhr
,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137768,137768,POINT (16.35650577398775 48.19659273528361),6,Linke Wienzeile,ggü 60,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137769,137769,POINT (16.479611051171904 48.242003919254536),22,Badeteich Hirschst. (Ziegelhofstr. ggü. 36),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137770,137770,POINT (16.484785021112007 48.27586173449024),22,Badeteich Süßenbrunn Anlage 53,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137771,137771,POINT (16.48777948790516 48.27744149368364),22,Badeteich Süßenbrunn Anlage 55,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137772,137772,POINT (16.33945741534672 48.18167291236935),12,Steinbauerpark / Steinbauergasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137773,137773,POINT (16.36748408764686 48.187041185177286),4,Alois-Drasche-Park / Seisgasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137774,137774,POINT (16.402946260672007 48.18399981236092),3,St. Marxer Friedhof,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137775,137775,POINT (16.364335514083358 48.180171725718495),10,Waldmüllerpark / Dampfgasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137776,137776,POINT (16.401455960715253 48.14712671288949),10,WIG 74 (Mitte),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137777,137777,POINT (16.302534604552996 48.185725815342025),13,Am Platz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137778,137778,POINT (16.260521376373184 48.19602319060446),13,Lilienberggasse/Hietzinger Kai,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137779,137779,POINT (16.37818689319181 48.171939678253025),10,Antonsplatz/Schröttergasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137780,137780,POINT (16.29238744921649 48.182672225123355),13,Alois Krauß Prom./Gloriettegasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137781,137781,POINT (16.28179846161304 48.13560149857859),23,Liesinger Anger (vis a vis Lehmang.3a),,+43 (1) 546 48,Mo-So: 7-22 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137782,137782,POINT (16.263179320449076 48.1323229569195),23,Rodaun/Endstelle Linie 60,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137783,137783,POINT (16.386354138026817 48.22281312488214),2,Volkertmarkt ,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137784,137784,POINT (16.39662914678981 48.22633381852381),2,Rudolf-Bednar-Park,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137785,137785,POINT (16.384387045039077 48.217693273327676),2,Odeongasse /Tiefgarageneingang,neben 2A,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137786,137786,POINT (16.40469700126208 48.2236350535401),2,Mexikoplatz / Ennsgasse,ggü. 16,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137787,137787,POINT (16.404910541277832 48.20658151658313),2,Jesuitenwiese ( Mitte Rotundenallee),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137788,137788,POINT (16.370912863730776 48.21887649541851),2,Augartenbrücke / Obere Donaustraße,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137789,137789,POINT (16.40029757655754 48.220642812280495),2,Max-Winter-Platz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137790,137790,POINT (16.251686311764136 48.20202283556097),14,Ferdinand Wolf Park,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137791,137791,POINT (16.27955383723274 48.20052146212554),14,Baumgartner Frdh./Waidhausenstr.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137792,137792,POINT (16.262084380600278 48.210251804973765),14,Steinböckengasse/Eichenweg,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137793,137793,POINT (16.258748041503207 48.198337750705),14,Keißlergasse/Brudermanngasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137794,137794,POINT (16.246790494561086 48.21078547600098),14,Wolfersberg/ Lagerwiese,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137795,137795,POINT (16.27766695186822 48.215036822357476),16,Johann Staud Straße/Heschweg,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137796,137796,POINT (16.41772832625373 48.23169499757005),22,"""Arcotel"" Wagramer Straße",8,+43 (1) 546 48,,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137797,137797,POINT (16.420506610757727 48.29787041657457),21,Stammersdorf / Bahnhofplatz (Endstelle Linie 31),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137798,137798,POINT (16.36861706225369 48.23205908506517),20,Hannovermarkt/Hannoverg.,29 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137799,137799,POINT (16.408391507650926 48.27672306570335),21,Frauenstiftgasse / Brünner Straße,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
