FID,OBJECTID,SHAPE,ADRESSE,WEBLINK1,SE_ANNO_CAD_DATA
BEGEGNUNGSZONEOGD.11537,11537,"POLYGON ((16.361052105421482 48.20261015160501, 16.36087688098499 48.20248419593974, 16.360606432740465 48.20230178137368, 16.36051801737089 48.20224097570685, 16.360494579733533 48.202155826907344, 16.3604216766828 48.201912545206234, 16.360273421142864 48.201747481407544, 16.360192802652623 48.201683198874235, 16.36001597766322 48.20156680107162, 16.359836553890975 48.20145214011691, 16.359532353172906 48.201340981198506, 16.359118946608984 48.201174232259476, 16.358705578553973 48.2010856847883, 16.358468995410675 48.201031858368225, 16.357205499590407 48.20075751866265, 16.355949808854614 48.20046231030025, 16.355718428116635 48.20040500144596, 16.3547471906361 48.200103301686646, 16.354324568045197 48.199971015961246, 16.353817091270763 48.199815384709275, 16.353063304058075 48.19958391057667, 16.35311785177671 48.19946868263268, 16.35355172385551 48.19962464836582, 16.355668794614306 48.2002646217426, 16.35734955498026 48.20066371918689, 16.35803112265364 48.20082554923999, 16.358814261211972 48.200988173562514, 16.358827612637764 48.200990840995885, 16.358840945247834 48.20099354530347, 16.35885426307832 48.20099628738384, 16.35885793729277 48.20099705557266, 16.358867562093533 48.20099906723782, 16.358880843638346 48.201001883965766, 16.358893583015455 48.20100462435781, 16.358898481541253 48.20100569357387, 16.358906306266555 48.201007399825095, 16.358919012045607 48.201010208569215, 16.35892946298169 48.20101255191353, 16.358931700353427 48.201013052388845, 16.358944372534882 48.20101593038442, 16.358957027244752 48.201018842556174, 16.358969661792585 48.2010217889047, 16.358982282904616 48.20102476942861, 16.35899488250939 48.20102778412955, 16.35900746598591 48.20103082850982, 16.359009745090052 48.201031391927636, 16.35902002795883 48.20103391516102, 16.359032572458286 48.20103703149185, 16.35904509948672 48.20104018289824, 16.35905760500718 48.201043366683024, 16.35905872842062 48.20104365693821, 16.359070091711427 48.20104658554371, 16.359072148838266 48.20104712112581, 16.359082559597837 48.201049835882905, 16.359095007322818 48.20105312129824, 16.359107434885974 48.2010564408904, 16.359119843632175 48.20105979375977, 16.359132229525688 48.2010631799072, 16.35913916380689 48.20106509766123, 16.35914459660229 48.20106659933184, 16.359156943516748 48.20107005203401, 16.359169267578974 48.20107353891359, 16.35918157147911 48.20107705907066, 16.359187504806165 48.201078773777105, 16.359193855216354 48.20108061070665, 16.359206114756578 48.20108419741963, 16.359218355479598 48.201087816510544, 16.35922770354315 48.20109061150799, 16.35923057200526 48.20109146977921, 16.359242765677603 48.20109515452728, 16.359254937842284 48.2010988716539, 16.359264471621504 48.20110181499848, 16.35926708715491 48.201102622957954, 16.359279216305165 48.2011064066403, 16.35929131856724 48.20111022360154, 16.359303400667 48.20111407294111, 16.359315457223847 48.20111795555935, 16.359327490927498 48.20112186965709, 16.35933412400614 48.20112404916212, 16.359339501778386 48.20112581613368, 16.35935148708683 48.20112979678833, 16.359363449541295 48.20113380712389, 16.359368543448646 48.20113553278299, 16.35937538645338 48.201137851637476, 16.35938730051234 48.201141927630616, 16.359398349459124 48.20114574659303, 16.359399190374173 48.201146037801564, 16.359411052000702 48.201150176755185, 16.359422890775388 48.20115434988638, 16.359434704006524 48.20115855449769, 16.359441146130393 48.20116086983249, 16.359446490349285 48.20116279148872, 16.359458252493383 48.20116705906033, 16.359469989094773 48.201171359910695, 16.359481697461767 48.2011756913425, 16.359493124642874 48.20117995718013, 16.359504524935602 48.20118425539761, 16.359509769643406 48.20118624901668, 16.359515899682734 48.20118858059872, 16.35962385300911 48.201231312131014, 16.359628168024248 48.20123301995195, 16.359639408426492 48.2012376923054, 16.359642108872816 48.201238824893004, 16.359650621939732 48.20124239524011, 16.359661804527796 48.20124712785762, 16.35967296022688 48.20125189105638, 16.359680951279984 48.201255332905916, 16.35968408769091 48.201256683038075, 16.359695185575475 48.20126150560159, 16.359706255225426 48.20126635784738, 16.35971729664034 48.20127123887608, 16.359728307129746 48.20127614868833, 16.359739288039727 48.20128108908244, 16.35975024071472 48.2012860582595, 16.359755056402882 48.20128826239638, 16.359761163809896 48.201291057119164, 16.359772055979587 48.20129608476233, 16.359773867084687 48.20129692974832, 16.359782917224223 48.2013011420884, 16.359793748889068 48.201306229097035, 16.3598045509733 48.201311343989666, 16.359815319441164 48.2013164867671, 16.359826059674525 48.201321659226885, 16.359836767637205 48.20132686047052, 16.359847444674877 48.20133209139709, 16.359858090785895 48.2013373484093, 16.359868707317602 48.20134263600351, 16.359879290232165 48.20134794968392, 16.359887915360506 48.20135231858525, 16.35988983953122 48.20135329304786, 16.359900357904912 48.201358665195436, 16.35991084400714 48.201364064328295, 16.359921299184 48.20136949224484, 16.359931720744157 48.201374947146974, 16.359938314128332 48.20137842793954, 16.359942108688454 48.20138043083332, 16.35995246570657 48.201385941504725, 16.359962787763564 48.20139148096065, 16.359973077548727 48.20139704650263, 16.35998333371763 48.20140263992955, 16.359993557615546 48.20140826124115, 16.359995196564405 48.20140916921177, 16.360003746551946 48.201413910438, 16.36001390321611 48.20141958482158, 16.360024022228256 48.20142528709103, 16.36003410896985 48.2014310181445, 16.360044162093534 48.20143677348566, 16.36005427846181 48.201442561188244, 16.360064357177695 48.201448375877376, 16.360074409000752 48.20145421215488, 16.360084413760063 48.201460087112025, 16.360094386244672 48.20146598186006, 16.360104314353947 48.20147191079064, 16.360109153266706 48.201474803785935, 16.360114229019228 48.20147785321293, 16.36012409392816 48.201483829818905, 16.360133922530824 48.20148983520981, 16.360143722894144 48.20149585949151, 16.360153480225744 48.2015019143582, 16.360163202595075 48.20150799531166, 16.36017289000214 48.201514102351815, 16.360182538411156 48.20152023547965, 16.360192149167393 48.201526394694795, 16.360201723616115 48.20153257999699, 16.360211261757314 48.20153879138624, 16.360220759553933 48.2015450261655, 16.360230222388726 48.20155128793085, 16.360234434384182 48.20155409741605, 16.360239646225047 48.20155757488456, 16.360249035099127 48.20156388792509, 16.360258382284204 48.201570226154544, 16.360267693160502 48.20157658777316, 16.36027696772801 48.201582972780976, 16.360286196572847 48.201589387475174, 16.360295391798992 48.201595824658675, 16.360304548026672 48.2016022870306, 16.360313663910198 48.201608773691916, 16.360322742140085 48.20161528464206, 16.360331781371062 48.20162181988133, 16.360340780257886 48.201628379409975, 16.360349741490644 48.20163496232817, 16.36035865968911 48.2016415704357, 16.360367540233955 48.20164820283207, 16.360376380434182 48.20165485861858, 16.360385188359707 48.20166153419626, 16.360393939801252 48.20166824126138, 16.360396773967572 48.20167042780441, 16.360402658967228 48.20167496631899, 16.360411337789426 48.20168171656545, 16.360417981840488 48.20168692670951, 16.360419976266588 48.20168848930276, 16.360428573053852 48.201695285430525, 16.360437129496493 48.201702104948495, 16.36044019922098 48.20170457112858, 16.36044564424879 48.20170894695761, 16.36045411865646 48.20171581235695, 16.36046255002851 48.20172270024778, 16.360470941055496 48.2017296106295, 16.36047929442707 48.20173654170292, 16.360483668287596 48.20174020100072, 16.360487598038386 48.20174349886659, 16.360495865339566 48.20175047672168, 16.3605040882594 48.20175747616923, 16.360512270834143 48.201764498107764, 16.36052040768268 48.20177154253839, 16.360536558997417 48.201785695275625, 16.361140976989727 48.20231328515844, 16.361245730630486 48.20240482727521, 16.36128037852452 48.20243510692947, 16.361052105421482 48.20261015160501))","7., Mariahilfer Straﬂe",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
BEGEGNUNGSZONEOGD.11538,11538,"POLYGON ((16.347105788147005 48.19908614518228, 16.347067681411012 48.199174199377225, 16.346960310214467 48.19951019163217, 16.346845926705587 48.19948934811869, 16.346949836061402 48.19915335629756, 16.347019108724993 48.19894017510059, 16.347278911353396 48.198286722670986, 16.347556027642515 48.1976031451463, 16.34716783289027 48.19750122929739, 16.346488499408625 48.197350681258136, 16.34599633259757 48.19724877084069, 16.34578144457217 48.19720476394451, 16.345306607485725 48.19709589916305, 16.344339615805023 48.19688974909424, 16.34412126463794 48.19684805598869, 16.343071105117513 48.19666507291526, 16.342526967777843 48.19657473672785, 16.34227396266574 48.19653767805018, 16.341910081465677 48.19647687708696, 16.341920610486227 48.19642400195628, 16.34195875033128 48.19633094830726, 16.34423647084955 48.19671522195204, 16.346321658343182 48.1971737075229, 16.347399982529534 48.197414893538394, 16.34774485602037 48.19751558994491, 16.34779675699777 48.19753074268253, 16.347724096566246 48.197647451160165, 16.34752496200636 48.19817315932128, 16.34746604181964 48.19816621434752, 16.347105788147005 48.19908614518228))","7., Mariahilfer Straﬂe/Andreasgasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
BEGEGNUNGSZONEOGD.11539,11539,"POLYGON ((16.361454257955156 48.20235318927809, 16.36128037852452 48.20243510692947, 16.361252791024395 48.20241099865076, 16.361140976989727 48.20231328515844, 16.360536558997417 48.201785695275625, 16.36052040768268 48.20177154253839, 16.360512270834143 48.201764498107764, 16.3605040882594 48.20175747616923, 16.360495865339566 48.20175047672168, 16.360487598038386 48.20174349886659, 16.360483668287596 48.20174020100072, 16.36047929442707 48.20173654170292, 16.360470941055496 48.2017296106295, 16.36046255002851 48.20172270024778, 16.36045411865646 48.20171581235695, 16.36044564424879 48.20170894695761, 16.36044019922098 48.20170457112858, 16.360437129496493 48.201702104948495, 16.360428573053852 48.201695285430525, 16.360419976266588 48.20168848930276, 16.360417981840488 48.20168692670951, 16.360411337789426 48.20168171656545, 16.360402658967228 48.20167496631899, 16.360396773967572 48.20167042780441, 16.360393939801252 48.20166824126138, 16.360385188359707 48.20166153419626, 16.360376380434182 48.20165485861858, 16.360367540233955 48.20164820283207, 16.36035865968911 48.2016415704357, 16.360349741490644 48.20163496232817, 16.360340780257886 48.201628379409975, 16.360331781371062 48.20162181988133, 16.360322742140085 48.20161528464206, 16.360313663910198 48.201608773691916, 16.360304548026672 48.2016022870306, 16.360295391798992 48.201595824658675, 16.360286196572847 48.201589387475174, 16.36027696772801 48.201582972780976, 16.360267693160502 48.20157658777316, 16.360258382284204 48.201570226154544, 16.360249035099127 48.20156388792509, 16.360239646225047 48.20155757488456, 16.360234434384182 48.20155409741605, 16.360230222388726 48.20155128793085, 16.360220759553933 48.2015450261655, 16.360211261757314 48.20153879138624, 16.360201723616115 48.20153257999699, 16.360192149167393 48.201526394694795, 16.360182538411156 48.20152023547965, 16.36017289000214 48.201514102351815, 16.360163202595075 48.20150799531166, 16.360153480225744 48.2015019143582, 16.360143722894144 48.20149585949151, 16.360133922530824 48.20148983520981, 16.36012409392816 48.201483829818905, 16.360114229019228 48.20147785321293, 16.360109153266706 48.201474803785935, 16.360104314353947 48.20147191079064, 16.360094386244672 48.20146598186006, 16.360084413760063 48.201460087112025, 16.360074409000752 48.20145421215488, 16.360064357177695 48.201448375877376, 16.36005427846181 48.201442561188244, 16.360044162093534 48.20143677348566, 16.36003410896985 48.2014310181445, 16.360024022228256 48.20142528709103, 16.36001390321611 48.20141958482158, 16.360003746551946 48.201413910438, 16.359995196564405 48.20140916921177, 16.359993557615546 48.20140826124115, 16.35998333371763 48.20140263992955, 16.359973077548727 48.20139704650263, 16.359962787763564 48.20139148096065, 16.35995246570657 48.201385941504725, 16.359942108688454 48.20138043083332, 16.359938314128332 48.20137842793954, 16.359931720744157 48.201374947146974, 16.359921299184 48.20136949224484, 16.35991084400714 48.201364064328295, 16.359900357904912 48.201358665195436, 16.35988983953122 48.20135329304786, 16.359887915360506 48.20135231858525, 16.359879290232165 48.20134794968392, 16.359868707317602 48.20134263600351, 16.359858090785895 48.2013373484093, 16.359847444674877 48.20133209139709, 16.359836767637205 48.20132686047052, 16.359826059674525 48.201321659226885, 16.359815319441164 48.2013164867671, 16.3598045509733 48.201311343989666, 16.359793748889068 48.201306229097035, 16.359782917224223 48.2013011420884, 16.359773867084687 48.20129692974832, 16.359772055979587 48.20129608476233, 16.359761163809896 48.201291057119164, 16.359755056402882 48.20128826239638, 16.35975024071472 48.2012860582595, 16.359739288039727 48.20128108908244, 16.359728307129746 48.20127614868833, 16.35971729664034 48.20127123887608, 16.359706255225426 48.20126635784738, 16.359695185575475 48.20126150560159, 16.35968408769091 48.201256683038075, 16.359680951279984 48.201255332905916, 16.35967296022688 48.20125189105638, 16.359661804527796 48.20124712785762, 16.359650621939732 48.20124239524011, 16.359642108872816 48.201238824893004, 16.359639408426492 48.2012376923054, 16.359628168024248 48.20123301995195, 16.35962385300911 48.201231312131014, 16.359515899682734 48.20118858059872, 16.359509769643406 48.20118624901668, 16.359504524935602 48.20118425539761, 16.359493124642874 48.20117995718013, 16.359481697461767 48.2011756913425, 16.359469989094773 48.201171359910695, 16.359458252493383 48.20116705906033, 16.359446490349285 48.20116279148872, 16.359441146130393 48.20116086983249, 16.359434704006524 48.20115855449769, 16.359422890775388 48.20115434988638, 16.359411052000702 48.201150176755185, 16.359399190374173 48.201146037801564, 16.359398349459124 48.20114574659303, 16.35938730051234 48.201141927630616, 16.35937538645338 48.201137851637476, 16.359368543448646 48.20113553278299, 16.359363449541295 48.20113380712389, 16.35935148708683 48.20112979678833, 16.359339501778386 48.20112581613368, 16.35933412400614 48.20112404916212, 16.359327490927498 48.20112186965709, 16.359315457223847 48.20111795555935, 16.359303400667 48.20111407294111, 16.35929131856724 48.20111022360154, 16.359279216305165 48.2011064066403, 16.35926708715491 48.201102622957954, 16.359264471621504 48.20110181499848, 16.359254937842284 48.2010988716539, 16.359242765677603 48.20109515452728, 16.35923057200526 48.20109146977921, 16.35922770354315 48.20109061150799, 16.359218355479598 48.201087816510544, 16.359206114756578 48.20108419741963, 16.359193855216354 48.20108061070665, 16.359187504806165 48.201078773777105, 16.35918157147911 48.20107705907066, 16.359169267578974 48.20107353891359, 16.359156943516748 48.20107005203401, 16.35914459660229 48.20106659933184, 16.35913916380689 48.20106509766123, 16.359132229525688 48.2010631799072, 16.359119843632175 48.20105979375977, 16.359107434885974 48.2010564408904, 16.359095007322818 48.20105312129824, 16.359082559597837 48.201049835882905, 16.359072148838266 48.20104712112581, 16.359070091711427 48.20104658554371, 16.35905872842062 48.20104365693821, 16.35905760500718 48.201043366683024, 16.35904509948672 48.20104018289824, 16.359032572458286 48.20103703149185, 16.35902002795883 48.20103391516102, 16.359009745090052 48.201031391927636, 16.35900746598591 48.20103082850982, 16.35899488250939 48.20102778412955, 16.358982282904616 48.20102476942861, 16.358969661792585 48.2010217889047, 16.358957027244752 48.201018842556174, 16.358944372534882 48.20101593038442, 16.358931700353427 48.201013052388845, 16.35892946298169 48.20101255191353, 16.358919012045607 48.201010208569215, 16.358906306266555 48.201007399825095, 16.358898481541253 48.20100569357387, 16.358893583015455 48.20100462435781, 16.358880843638346 48.201001883965766, 16.358867562093533 48.20099906723782, 16.35885793729277 48.20099705557266, 16.35885426307832 48.20099628738384, 16.358840945247834 48.20099354530347, 16.358827612637764 48.200990840995885, 16.358814261211972 48.200988173562514, 16.35803112265364 48.20082554923999, 16.35734955498026 48.20066371918689, 16.355668794614306 48.2002646217426, 16.35355172385551 48.19962464836582, 16.353117355335684 48.199468504641175, 16.353171587599334 48.19938023830257, 16.35329369979239 48.19942362658865, 16.353524793052458 48.199507008039085, 16.353566374757612 48.19947919566531, 16.35464787645491 48.19981269116812, 16.355031494284056 48.19994238671998, 16.355752497791457 48.20014617161888, 16.35612224972213 48.20025733003595, 16.356898708068304 48.200430203737774, 16.357134421101104 48.20048886019901, 16.35767055589871 48.20061851885951, 16.358155848754677 48.20072655978161, 16.358493246132547 48.20080682067852, 16.359278955572552 48.20096113972198, 16.359408378794676 48.201013634620494, 16.360055497330507 48.201269928599764, 16.360735083022128 48.20175483586912, 16.360980118657473 48.20195250900729, 16.361454257955156 48.20235318927809))","6., Mariahilfer Straﬂe",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
BEGEGNUNGSZONEOGD.11540,11540,"POLYGON ((16.347873337380843 48.19740451715572, 16.347796796010012 48.19753075436968, 16.34777050449739 48.197523078663814, 16.347399982529534 48.197414893538394, 16.346321658343182 48.1971737075229, 16.34423647084955 48.19671522195204, 16.34195875033128 48.19633094830726, 16.34202624006703 48.1961866777714, 16.342099645198296 48.19620193268883, 16.343003591163836 48.19635475152157, 16.344047966063457 48.19652460555892, 16.34426516021719 48.19657402224483, 16.345236769070638 48.196788668453834, 16.34613444355714 48.196976279408084, 16.347382194448866 48.19726348677628, 16.34760402169081 48.19732834430072, 16.347873337380843 48.19740451715572))","6., Mariahilfer Straﬂe/Andreasgasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
