FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,STRASSE,TYP,BEZEICHNUNG,WEBLINK1,SE_ANNO_CAD_DATA
PARKENVERKAUFOGD.676404,676404,POINT (16.360815582425882 48.19511709342782),"4., Kettenbr¸ckengasse 10",4,Kettenbr¸ckengasse,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676405,676405,POINT (16.305005863072985 48.14789649843229),"23., Erlaaer Straﬂe 55-63",23,Erlaaer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676406,676406,POINT (16.334529928424452 48.193472646073886),"15., Mariahilfer Straﬂe 159",15,Mariahilfer Straﬂe,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676407,676407,POINT (16.388555768734257 48.29696499353071),"21., Anton-Bˆck-Gasse 20",21,Anton-Bˆck-Gasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676408,676408,POINT (16.337712550872155 48.2172514254697),"17., Hernalser Hauptstraﬂe 36",17,Hernalser Hauptstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676409,676409,POINT (16.350076458554476 48.19601606642054),"6., Gumpendorfer Straﬂe/U-Bahn ",6,Gumpendorfer Straﬂe/U-Bahn,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676410,676410,POINT (16.32467357963039 48.21691848721924),"17., Geblergasse 102",17,Geblergasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676411,676411,POINT (16.32356467228405 48.216136416522254),"17., Mayssengasse 26",17,Mayssengasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676412,676412,POINT (16.324873502047705 48.209081139404134),"16., Panikengasse 28",16,Panikengasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676413,676413,POINT (16.326624238861843 48.21261552332643),"16., Johann-Nepomuk-Berger-Platz 3",16,Johann-Nepomuk-Berger-Platz,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676414,676414,POINT (16.38259335920556 48.15339371088611),"10., Favoritenstraﬂe EKZ 239",10,Favoritenstraﬂe EKZ,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676415,676415,POINT (16.380565982005514 48.2175983196171),"2., Taborstraﬂe 27",2,Taborstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676416,676416,POINT (16.36657522661645 48.19208778797316),"4., Wiedner Hauptstraﬂe 54",4,Wiedner Hauptstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676417,676417,POINT (16.366920537018842 48.19596961027617),"4., Wiedner Hauptstraﬂe 26",4,Wiedner Hauptstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676418,676418,POINT (16.371261605187 48.18552365494337),"4., Wiedner G¸rtel 54",4,Wiedner G¸rtel,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676419,676419,POINT (16.34327990280479 48.14187631844393),"23., Pfarrgasse 67-73",23,Pfarrgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676420,676420,POINT (16.364190229460572 48.167485729752194),"10., Neilreichgasse 97",10,Neilreichgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676421,676421,POINT (16.390717215957245 48.20312743163044),"3., Landstraﬂer Hauptstraﬂe 47-49",3,Landstraﬂer Hauptstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676422,676422,POINT (16.322441126007924 48.20978944945895),"16., Hasnerstraﬂe 82",16,Hasnerstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676423,676423,POINT (16.401482682432736 48.25671599704266),"21., Schloﬂhofer Straﬂe 20",21,Schloﬂhofer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676424,676424,POINT (16.30660358168678 48.22231126459055),"16., Sandleitengasse 45-47",16,Sandleitengasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676425,676425,POINT (16.319184232051306 48.21192372724479),"16., Wattgasse 4",16,Wattgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676426,676426,POINT (16.365911228955653 48.2111313964999),"1., Freyung 1",1,Freyung,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
