FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,STRASSE,TYP,BEZEICHNUNG,WEBLINK1,SE_ANNO_CAD_DATA
PARKENVERKAUFOGD.676489,676489,POINT (16.330431144203935 48.189863816147586),"15., Reindorfgasse 32",15,Reindorfgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676490,676490,POINT (16.361750652466437 48.165711214826224),"10., Raxstraﬂe 13/2",10,Raxstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676491,676491,POINT (16.40367021456549 48.13737215531905),"10., Ober-Laaer Platz 4",10,Ober-Laaer Platz,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676492,676492,POINT (16.40180247515967 48.21790964162062),"2., Ausstellungsstraﬂe ",2,Ausstellungsstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676493,676493,POINT (16.408539556170787 48.254701716496285),"21., Donaufelder Straﬂe 2",21,Donaufelder Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676494,676494,POINT (16.379727061144305 48.21947110741325),"2., Obere Augartenstraﬂe 70",2,Obere Augartenstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676495,676495,POINT (16.372326448280887 48.220195381561396),"2., Untere Augartenstraﬂe 14",2,Untere Augartenstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676496,676496,POINT (16.323589919551008 48.16420308596397),"12., Oswaldgasse 67",12,Oswaldgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676497,676497,POINT (16.388709987217023 48.29555634331556),"21., Strebersdorfer Platz 6",21,Strebersdorfer Platz,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676498,676498,POINT (16.376302646097535 48.219904028914264),"2., Leopoldsgasse 16",2,Leopoldsgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676499,676499,POINT (16.4106510807463 48.219306454446944),"2., Engerthstraﬂe 223",2,Engerthstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676500,676500,POINT (16.345216657302906 48.20191375198122),"7., Westbahnstraﬂe 22",7,Westbahnstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676501,676501,POINT (16.281849610966347 48.152677366010934),"23., Johann-Hˆrbiger-Gasse 24/12",23,Johann-Hˆrbiger-Gasse,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676502,676502,POINT (16.32447963317239 48.22006427556592),"17., Hernalser Hauptstraﬂe 113",17,Hernalser Hauptstraﬂe,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676503,676503,POINT (16.338096527912324 48.21190489154381),"16., Lerchenfelder G¸rtel 57",16,Lerchenfelder G¸rtel,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676504,676504,POINT (16.384065672389465 48.23325272680874),"20., Dresdner Straﬂe 87",20,Dresdner Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676505,676505,POINT (16.378501188017346 48.21664888289536),"2., Karmelitergasse 1",2,Karmelitergasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676506,676506,POINT (16.31823345716719 48.210430267534896),"16., Hasnerstraﬂe 100",16,Hasnerstraﬂe,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676507,676507,POINT (16.319644273139637 48.21359976097576),"16., Ottakringer Straﬂe 144",16,Ottakringer Straﬂe,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676508,676508,POINT (16.29369208676076 48.19893064689868),"14., Heinrich-Collin-Str. 30",14,Heinrich-Collin-Str.,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676509,676509,POINT (16.330727572199702 48.218428519129205),"17., Elterleinplatz 8",17,Elterleinplatz,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676510,676510,POINT (16.320209619155733 48.2072704446537),"16., Herbststraﬂe 77",16,Herbststraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676511,676511,POINT (16.336859124031385 48.20868175341765),"16., Thaliastraﬂe 7",16,Thaliastraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676512,676512,POINT (16.310596256986432 48.21294026341833),"16., Thaliastraﬂe 146",16,Thaliastraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676513,676513,POINT (16.299061568245254 48.17014315170121),"12., Hetzendorfer Straﬂe 153",12,Hetzendorfer Straﬂe,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676514,676514,POINT (16.37868884516226 48.211387630279475),"1., Schwedenplatz/U-Bahn ",1,Schwedenplatz/U-Bahn,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676515,676515,POINT (16.38539188551947 48.21663246261899),"2., Rotensterngasse 30",2,Rotensterngasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676516,676516,POINT (16.377510015376895 48.213530774214995),"2., Lilienbrunngasse 3",2,Lilienbrunngasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676517,676517,POINT (16.372828460051156 48.19620691130013),"4., Wohllebengasse 18",4,Wohllebengasse,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676518,676518,POINT (16.28429795465948 48.17538770227158),"13., Lainzer Straﬂe 153",13,Lainzer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676519,676519,POINT (16.434980244287683 48.24235775380426),"22., Wagramer Straﬂe 81",22,Wagramer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676520,676520,POINT (16.498939322484304 48.216034747883555),"22., Groﬂ-Enzersdorfer Straﬂe ",22,Groﬂ-Enzersdorfer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676521,676521,POINT (16.47436871813889 48.20175437964184),"22., Reiherweg 23",22,Reiherweg,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676522,676522,POINT (16.358487336700534 48.18828885248584),"5., Zentagasse 33",5,Zentagasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676523,676523,POINT (16.511227581505594 48.21484622060478),"22., Eﬂlinger Hauptstraﬂe 5",22,Eﬂlinger Hauptstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676524,676524,POINT (16.43902898122378 48.26907019218421),"21., Groﬂfeldstraﬂe 18",21,Groﬂfeldstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676525,676525,POINT (16.321716244698404 48.22161645298555),"17., Hernalser Hauptstraﬂe 136",17,Hernalser Hauptstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676526,676526,POINT (16.415033770326318 48.19029133874226),"3., Erdbergstraﬂe 202",3,Erdbergstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676527,676527,POINT (16.414716709637194 48.25332252069109),"21., Donaufelder Straﬂe 69",21,Donaufelder Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676528,676528,POINT (16.408211144609325 48.27625772467824),"21., Br¸nner Straﬂe 133-137",21,Br¸nner Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676529,676529,POINT (16.36516501959738 48.22064770544377),"9., Hahngasse 17",9,Hahngasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676530,676530,POINT (16.365028909570192 48.224845024778844),"9., Glasergasse 18",9,Glasergasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676531,676531,POINT (16.34738579831752 48.21543542868321),"9., Alser Straﬂe 26",9,Alser Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676532,676532,POINT (16.410921168366514 48.235086105722424),"22., Leonard-Bernstein-Straﬂe 4-6/7",22,Leonard-Bernstein-Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676533,676533,POINT (16.39512943178711 48.212153680523606),"2., Sch¸ttelstraﬂe 13",2,Sch¸ttelstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676534,676534,POINT (16.36141252619845 48.21826207971263),"9., Liechtensteinstraﬂe 19",9,Liechtensteinstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676535,676535,POINT (16.354117535774844 48.23103319259186),"9., Nuﬂdorfer Straﬂe 75",9,Nuﬂdorfer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676536,676536,POINT (16.39630749726593 48.19636283736919),"3., Landstraﬂer Hauptstraﬂe 117",3,Landstraﬂer Hauptstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676537,676537,POINT (16.333083208982735 48.22575856518629),"18., Kreuzgasse 68",18,Kreuzgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676538,676538,POINT (16.432179284627782 48.26101094011636),"21., Kefedergrundgasse 3a",21,Kefedergrundgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676539,676539,POINT (16.3439243636663 48.19823923038414),"7., Apollogasse 3",7,Apollogasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676540,676540,POINT (16.36516501959738 48.22064770544377),"9., Hahngasse 17",9,Hahngasse,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676541,676541,POINT (16.380906842678296 48.19849209169491),"3., Salesianergasse 12",3,Salesianergasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676542,676542,POINT (16.365028909570192 48.224845024778844),"9., Glasergasse 18",9,Glasergasse,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676543,676543,POINT (16.38787520203412 48.23546896011116),"20., Traisengasse 12",20,Traisengasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676544,676544,POINT (16.354605451476132 48.23171650364727),"9., Heiligenst‰dter Straﬂe gg¸ 2",9,Heiligenst‰dter Straﬂe gg¸,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676545,676545,POINT (16.356791541756422 48.205309961506984),"7., Neustiftgasse 1",7,Neustiftgasse,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676546,676546,POINT (16.39629524154142 48.22078471476956),"2., Lassallestraﬂe 4",2,Lassallestraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676547,676547,POINT (16.477011230747326 48.21107053514992),"22., Biberhaufenweg 78/2",22,Biberhaufenweg,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676548,676548,POINT (16.393261061987356 48.26532281585442),"21., Prager Straﬂe 49/000",21,Prager Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676549,676549,POINT (16.372828460051156 48.19620691130013),"4., Wohllebengasse 18",4,Wohllebengasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676550,676550,POINT (16.376035043199156 48.2218890919524),"2., Obere Augartenstraﬂe 40",2,Obere Augartenstraﬂe,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676551,676551,POINT (16.48378158035917 48.241515993452886),"22., Berresgasse 2",22,Berresgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676552,676552,POINT (16.40073523807189 48.198061224386244),"3., Erdbergstraﬂe 90",3,Erdbergstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676553,676553,POINT (16.358120295958543 48.23554183303843),"9., U-Bahn Station Spittelau ",9,U-Bahn Station Spittelau,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676554,676554,POINT (16.353706116115557 48.222608385708625),"9., Nuﬂdorfer Straﬂe 4",9,Nuﬂdorfer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676555,676555,POINT (16.365229882921067 48.22348493957095),"9., Rotenlˆwengasse 2",9,Rotenlˆwengasse,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676556,676556,POINT (16.356244504582953 48.22957190272816),"9., Liechtensteinstraﬂe 102",9,Liechtensteinstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676557,676557,POINT (16.359578086335013 48.2162483609787),"9., Rooseveltplatz 15",9,Rooseveltplatz,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676558,676558,POINT (16.376588741654768 48.20284424048162),"1., Schubertring 1",1,Schubertring,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676559,676559,POINT (16.393663403817204 48.19674334593681),"3., Juchgasse 14",3,Juchgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676560,676560,POINT (16.360573908316642 48.220282215237226),"9., Liechtensteinstraﬂe 38",9,Liechtensteinstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676561,676561,POINT (16.357986098697058 48.21825190275151),"9., W‰hringer Straﬂe 15",9,W‰hringer Straﬂe,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676562,676562,POINT (16.34525545134907 48.22246584205988),"9., W‰hringer Straﬂe U-Bahn ",9,W‰hringer Straﬂe U-Bahn,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676563,676563,POINT (16.40316791807854 48.27746791845178),"21., Mitterhofergasse 2-2",21,Mitterhofergasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676564,676564,POINT (16.34827181189702 48.21509269829796),"9., Alser Straﬂe/U-Bahn ",9,Alser Straﬂe/U-Bahn,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676565,676565,POINT (16.409011632398617 48.19594637631577),"3., Schlachthausgasse 2-4",3,Schlachthausgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676566,676566,POINT (16.303830904648915 48.18763487813855),"13., U-Bahn Station Hietzing ",13,U-Bahn Station Hietzing,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676567,676567,POINT (16.344341816216257 48.22018785511834),"9., W‰hringer G¸rtel 18-20/AKH",9,W‰hringer G¸rtel,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676568,676568,POINT (16.36309041418352 48.21251389529808),"1., Mˆlker Steig (Kiosk) ",1,Mˆlker Steig (Kiosk),Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676569,676569,POINT (16.363695086190273 48.191477428458526),"4., Mittersteig 11",4,Mittersteig,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676570,676570,POINT (16.402911002432603 48.22427597780922),"2., Lassallestraﬂe 46",2,Lassallestraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676571,676571,POINT (16.401674274248688 48.19466845865058),"3., Baumgasse 39-41/11",3,Baumgasse,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676572,676572,POINT (16.42037150771821 48.284724874730294),"21., Gerasdorfer Straﬂe 61",21,Gerasdorfer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676573,676573,POINT (16.344341816216257 48.22018785511834),"9., W‰hringer G¸rtel 18-20/AKH",9,W‰hringer G¸rtel,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676574,676574,POINT (16.34276431265645 48.179921939793815),"12., Flursch¸tzstraﬂe 17",12,Flursch¸tzstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676575,676575,POINT (16.326716748617986 48.16187251243687),"12., Andersengasse 32",12,Andersengasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676576,676576,POINT (16.33764856040593 48.176004855895),"12., Eichenstraﬂe 32",12,Eichenstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676577,676577,POINT (16.473704846740596 48.15831349938063),"11., M¸nnichplatz 1",11,M¸nnichplatz,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676578,676578,POINT (16.409563333568496 48.18010124909264),"11., Simmeringer Hauptstraﬂe 34-40",11,Simmeringer Hauptstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676579,676579,POINT (16.326978244239324 48.16086196180181),"12., Am Schˆpfwerk 29",12,Am Schˆpfwerk,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676580,676580,POINT (16.386701534401126 48.22241737248735),"2., Volkertplatz 11",2,Volkertplatz,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676581,676581,POINT (16.35422687981824 48.209113790657184),"8., Josefst‰dter Straﬂe 3",8,Josefst‰dter Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676582,676582,POINT (16.40569640048569 48.174858267954974),"11., Geiselbergstraﬂe 37",11,Geiselbergstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676583,676583,POINT (16.339535889193513 48.20857828192322),"8., Blindengasse 2",8,Blindengasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676584,676584,POINT (16.350299417425802 48.20646612343231),"8., Lerchenfelder Straﬂe 32",8,Lerchenfelder Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676585,676585,POINT (16.348868248793273 48.21479055289288),"8., Alser Straﬂe 33",8,Alser Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676586,676586,POINT (16.337659214606514 48.18133001314524),"12., Steinbauergasse 36",12,Steinbauergasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676587,676587,POINT (16.348609934274574 48.213313813306684),"8., Laudongasse 30",8,Laudongasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676588,676588,POINT (16.36092953215992 48.17570539871808),"10., Buchengasse 145",10,Buchengasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676589,676589,POINT (16.35497387210943 48.21237990065951),"8., Florianigasse 2",8,Florianigasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676590,676590,POINT (16.433994182856456 48.163953213604096),"11., Kaiser-Ebersdorfer Straﬂe 86-94",11,Kaiser-Ebersdorfer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676591,676591,POINT (16.353204466951812 48.146234397745374),"23., Kolbegasse 44/6",23,Kolbegasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676592,676592,POINT (16.342758171034664 48.21324244817399),"8., Laudongasse 54",8,Laudongasse,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676593,676593,POINT (16.31467685506986 48.1510444596553),"23., Anton-Baumgartner-Straﬂe 44",23,Anton-Baumgartner-Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676594,676594,POINT (16.320123654439836 48.14995068304271),"23., Putzendoplergasse 1",23,Putzendoplergasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676595,676595,POINT (16.332723608845054 48.150627852610064),"23., Willendorfer Gasse 11",23,Willendorfer Gasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676596,676596,POINT (16.3158789033767 48.13177459148618),"23., Karl-Tornay-Gasse 37",23,Karl-Tornay-Gasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676597,676597,POINT (16.306990473535976 48.12766616658292),"23., Ketzergasse 101-103",23,Ketzergasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676598,676598,POINT (16.299467776360675 48.15021998915239),"23., Breitenfurter Straﬂe 188",23,Breitenfurter Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676599,676599,POINT (16.292030658842677 48.14267004547788),"23., Breitenfurter Straﬂe 292",23,Breitenfurter Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676600,676600,POINT (16.345972090072884 48.19735908795128),"7., Zieglergasse 2",7,Zieglergasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
