FID,OBJECTID,SHAPE,NAME,HAUPTKATEGORIE,UNTERKATEGORIE,TYP,WEBLINK1,WEBLINK2,SE_ANNO_CAD_DATA
RELIGIONOGD.223741,223741,POINT (16.39008799505761 48.20208317053118),Pfarrkirche Landstraße,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.oratorium.at,http://www.erzdioezese-wien.at/pages/pfarren/9025,
RELIGIONOGD.223740,223740,POINT (16.398267741952218 48.1999759867102),Pfarrkirche Erdberg,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-erdberg.at,http://www.erzdioezese-wien.at/pages/pfarren/9024,
RELIGIONOGD.223739,223739,POINT (16.41399441255901 48.218245741473474),Pfarrkirche Zum hl. Klaus von Flüe,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-machstrasse.at,http://www.erzdioezese-wien.at/pages/pfarren/9020,
RELIGIONOGD.223738,223738,POINT (16.37934087244585 48.21891903298016),Pfarrkirche St. Leopold,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.st-leopold.at,http://www.erzdioezese-wien.at/pages/pfarren/9019,
RELIGIONOGD.223737,223737,POINT (16.38600662632738 48.21626293783118),Pfarrkirche St. Johann Nepomuk,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-nepomuk.at,http://www.erzdioezese-wien.at/pages/pfarren/9018,
RELIGIONOGD.223736,223736,POINT (16.380204778003414 48.21611815089452),Pfarrkirche St. Josef,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.st-leopold.at,http://www.erzdioezese-wien.at/pages/pfarren/9017,
RELIGIONOGD.223735,223735,POINT (16.37086503957924 48.22626333418149),Pfarrkirche Muttergottes im Augarten,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/pages/pfarren/9016,
RELIGIONOGD.223734,223734,POINT (16.386978423624644 48.22480345833999),Pfarrkirche Am Tabor,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.amtabor.at,http://www.erzdioezese-wien.at/pages/pfarren/9014,
RELIGIONOGD.223733,223733,POINT (16.398608069396882 48.208627775218666),Pfarrkirche Am Schüttel,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-am-schuettel.at,http://www.erzdioezese-wien.at/pages/pfarren/9013,
RELIGIONOGD.223732,223732,POINT (16.373395740550592 48.207554871468076),Deutschordenskirche,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223731,223731,POINT (16.36384281963018 48.209481577778604),Minoritenkirche,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.minoritenkirche-wien.info/index.htm,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223730,223730,POINT (16.374388741228582 48.21198916900143),Ruprechtskirche,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.ruprechtskirche.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223729,223729,POINT (16.369965616663023 48.20942660515539),St. Peter,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.peterskirche.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223728,223728,POINT (16.26294407837858 48.19429964006601),Salvatorianerinnen Bethanien Gemeinschaft,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/23186733,
RELIGIONOGD.223727,223727,POINT (16.262915149446005 48.19438217834118),Salvatorianerinnen Nazareth Gemeinschaft,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/23186703,
RELIGIONOGD.223726,223726,POINT (16.262993555492038 48.19423912929697),Salvatorianerinnen St. Josef Gemeinschaft,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/23186661,
RELIGIONOGD.223725,223725,POINT (16.367767945485717 48.205533905707895),Pfarrkirche St. Augustin,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.augustinerkirche.at,http://www.erzdioezese-wien.at/pages/pfarren/9003,
RELIGIONOGD.223724,223724,POINT (16.379202622054464 48.208733013274035),Pfarrkirche Maria Rotunda,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.mariarotunda.at,http://www.erzdioezese-wien.at/pages/pfarren/9002,
RELIGIONOGD.223723,223723,POINT (16.373602395556233 48.20746626721596),Deutscher Orden Priorat,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.deutscher-orden.at,http://www.erzdioezese-wien.at/pages/inst/14428685,
RELIGIONOGD.223722,223722,POINT (16.373528372273842 48.20757911888409),Deutschordensschwestern Niederlassung Hochmeisteramt,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14425309,
RELIGIONOGD.223721,223721,POINT (16.333493535986747 48.191459873577706),Arme Schulschwestern von U. L. Frau Mutterhaus,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.ssnd-austria.org,http://www.erzdioezese-wien.at/pages/inst/14429733,
RELIGIONOGD.223720,223720,POINT (16.25566847107279 48.176190710507925),Unbeschuhte Karmelitinnen Kloster St. Josef Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14425675,
RELIGIONOGD.223719,223719,POINT (16.374840835865346 48.20645866405419),Franziskaner Konvent Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.franziskaner.at,http://www.erzdioezese-wien.at/pages/inst/14428693,
RELIGIONOGD.223718,223718,POINT (16.250628387306854 48.13714994378758),Borromäerinnen Niederlassung Marienheim,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14426147,
RELIGIONOGD.223717,223717,POINT (16.262506277672678 48.192776658083034),Dominikanerinnen Konvent Ober St. Veit,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.dominikanerinnen.at/konvent,http://www.erzdioezese-wien.at/pages/inst/14425685,
RELIGIONOGD.223716,223716,POINT (16.354230843945935 48.20586833189443),Mechitharisten Congregation Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14425479,
RELIGIONOGD.223715,223715,POINT (16.352557417967343 48.2146851591586),Dienerinnen des Hl. Geistes Formationsgemeinschaft,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.ssps.at,http://www.erzdioezese-wien.at/pages/inst/23105318,
RELIGIONOGD.223714,223714,POINT (16.311214514714266 48.202535012047505),Ancillae Christi Regis Kolleg Ankündigung des Herrn,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/23073837,
RELIGIONOGD.223713,223713,POINT (16.31109930251068 48.2024276633144),"Ancillae Christi Regis Kolleg Maria, Königin aller Heiligen",Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/23072819,
RELIGIONOGD.223712,223712,POINT (16.36295573276646 48.22231224465586),Caritas Socialis Gemeinschaft Pramergasse 5. Stock,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.cs-schwestern.at,http://www.erzdioezese-wien.at/pages/inst/23051636,
RELIGIONOGD.223711,223711,POINT (16.373718999946096 48.20940152384323),Arme Schwestern Unserer Lieben Frau Niederlassung Erzb. Palais,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/23035801,
RELIGIONOGD.223710,223710,POINT (16.47369530782429 48.15928697691599),Justizanstalt Wien-Simmering,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223709,223709,POINT (16.344744158851498 48.18784710505957),Linienwallkapelle,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223708,223708,POINT (16.397869919875905 48.16842628135684),Annakapelle im Böhmischen Prater,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223707,223707,POINT (16.3184138135036 48.27783050496086),Säkularinstitut Schönstattpatres Niederlassung Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/16485659,
RELIGIONOGD.223706,223706,POINT (16.317713866308694 48.27794032226246),Dreimal Wunderbare Mutter Königin und Siegerin von Schönstatt,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.schoenstattzentrum-wien.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223705,223705,POINT (16.374795161282364 48.24487371711192),Brigittakapelle,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223704,223704,POINT (16.291421837962925 48.23344233199535),St. Anna,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223703,223703,POINT (16.381320735910393 48.19156182151618),Schlosskapelle Oberes Belvedere,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223702,223702,POINT (16.371428139764603 48.21874521864369),St. Johann Nepomuk,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223701,223701,POINT (16.369919672495556 48.20571208360607),Kapuzinerkirche,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223700,223700,POINT (16.318368084256296 48.277983939459205),Schönstätter Marienschwestern Schönstatt am Kahlenberg,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.schoenstattzentrum-wien.at,http://www.erzdioezese-wien.at/pages/inst/14426739,
RELIGIONOGD.223699,223699,POINT (16.36172399206797 48.24711212607527),Oblaten der Makellosen Jungfrau Maria Konvent Unterheiligenstadt,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.oblaten.at,http://www.erzdioezese-wien.at/pages/inst/14425985,
RELIGIONOGD.223698,223698,POINT (16.241502334141206 48.20392763884648),St. Johann Nepomuk beim Linienamt,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223697,223697,POINT (16.252245031950654 48.19775290188878),Nikolai-(Eustachius-)Kapelle,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223696,223696,POINT (16.365913156060078 48.20657969328631),Burgkapelle,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.hofburgkapelle.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223452,223452,POINT (16.390769883140656 48.19371504117524),Tröster von Gethsemani Niederlassung,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/21027721,
RELIGIONOGD.223451,223451,POINT (16.325097955518856 48.21688023554147),Caritas Socialis Gemeinschaft Geblergasse,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.cs-schwestern.at,http://www.erzdioezese-wien.at/pages/inst/21019746,
RELIGIONOGD.223450,223450,POINT (16.29802545759449 48.229149656828156),Josephine Sisters Niederlassung Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/20264105,
RELIGIONOGD.223449,223449,POINT (16.355355943639655 48.24227224843566),Schwestern vom armen Kinde Jesus Niederlassung Döbling,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/18848445,
RELIGIONOGD.223448,223448,POINT (16.379767073724683 48.21629864639507),Kleine Brüder vom Lamm Niederlassung Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.gemeinschaftvomlamm.org,http://www.erzdioezese-wien.at/pages/inst/16835952,
RELIGIONOGD.223447,223447,POINT (16.384028040942898 48.195578835073796),Sacre Coeur Niederlassung Rennweg 31A,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14431845,
RELIGIONOGD.223430,223430,POINT (16.322141681152456 48.2075852760232),Herz-Jesu-Priester Kloster Schmelz,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14430305,
RELIGIONOGD.223446,223446,POINT (16.387635038385227 48.20692784585121),Legionäre Christi Niederlassung,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14431837,
RELIGIONOGD.223445,223445,POINT (16.422332892752767 48.168675856762576),Schwestern von der Schmerzhaften Mutter Kloster Simmering,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.ssm-austria.at,http://www.erzdioezese-wien.at/pages/inst/14431827,
RELIGIONOGD.223444,223444,POINT (16.33613021568774 48.228614143538096),Borromäerinnen Niederlassung St.-Carolus-Heim,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.carolusheim.at,http://www.erzdioezese-wien.at/pages/inst/14431675,
RELIGIONOGD.223443,223443,POINT (16.38539666572205 48.20398780528463),Schwestern der Jüngersuche Jüngerzentrum Maria Königin des Friedens,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.jugendmission.at,http://www.erzdioezese-wien.at/pages/inst/14431667,
RELIGIONOGD.223442,223442,POINT (16.340803445891652 48.19946210529238),Schwestern vom Göttlichen Erlöser Gemeinschaft Hannah,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14431651,
RELIGIONOGD.223441,223441,POINT (16.262329422420862 48.18110979270119),Hartmannschwestern Niederlassung St. Elisabethheim,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14431053,
RELIGIONOGD.223440,223440,POINT (16.34494257214772 48.19139821384596),Barmherzige Schwestern Gumpendorf Niederlassung St. Katharina,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14431049,
RELIGIONOGD.223439,223439,POINT (16.35333158712067 48.19904632955276),Michaeliten Niederlassung Mariahilf,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.michaelici.otd.pl,http://www.erzdioezese-wien.at/pages/inst/14431013,
RELIGIONOGD.223438,223438,POINT (16.320467797840855 48.219706863339034),Werk der Frohbotschaft Batschuns Kontaktadresse in der ED. Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14431003,
RELIGIONOGD.223437,223437,POINT (16.351814131730887 48.2281819855434),Gemeinschaft der Schwestern Jesu Niederlassung Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14430995,
RELIGIONOGD.223436,223436,POINT (16.34434645605621 48.1922573754629),Barmherzige Schwestern Gumpendorf Niederlassung St. Marien,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14430977,
RELIGIONOGD.223435,223435,POINT (16.368903280311102 48.21063471490713),Franziskaner Konvent der Provinz Zagreb,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14430955,
RELIGIONOGD.223434,223434,POINT (16.386170671030087 48.19407165016992),Töchter der Göttlichen Liebe Kloster Marienanstalt,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.lebenssinn.at,http://www.erzdioezese-wien.at/pages/inst/14430915,
RELIGIONOGD.223433,223433,POINT (16.363912712184703 48.22065385499273),Priesterbruderschaft der Missionare des hl. Karl Borromäus Niederlassung,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14430903,
RELIGIONOGD.223432,223432,POINT (16.379911173912184 48.21627657624688),"Kleine Schwestern vom Lamm Kleines Kloster Maria, Licht der Kirche",Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.communautedelagneau@org,http://www.erzdioezese-wien.at/pages/inst/14430889,
RELIGIONOGD.223431,223431,POINT (16.362905869370874 48.192819581166454),Priesterbruderschaft St. Petrus Niederlassung Haus St. Leopold,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.sankt-leopold.at,http://www.erzdioezese-wien.at/pages/inst/14430545,
RELIGIONOGD.223429,223429,POINT (16.37643353620145 48.17081405594824),Kleine Schwestern von Jesus Gemeinschaft Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14429937,
RELIGIONOGD.223428,223428,POINT (16.34054229497801 48.22563333110602),Helferinnen Niederlassung Währing,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.helferinnen.info,http://www.erzdioezese-wien.at/pages/inst/14429879,
RELIGIONOGD.223427,223427,POINT (16.397702481923687 48.195426895223775),Herz-Jesu-Schwestern Herz Jesu-Kloster - Mutterhaus,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.herzjesu-schwestern.at,http://www.erzdioezese-wien.at/pages/inst/14429859,
RELIGIONOGD.223426,223426,POINT (16.36271795580082 48.18864803706164),Hartmannschwestern Mutterhaus,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14429831,
RELIGIONOGD.223425,223425,POINT (16.345994959620228 48.19097305037768),Barmherzige Schwestern Gumpendorf Mutterhauskonvent,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.barmherzigeschwestern-wien.at,http://www.erzdioezese-wien.at/pages/inst/14429827,
RELIGIONOGD.223424,223424,POINT (16.35544474260753 48.2495951494483),Societas de Imitatione Christi Niederlassung Döbling,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.haushohewarte.at,http://www.erzdioezese-wien.at/pages/inst/14429773,
RELIGIONOGD.223423,223423,POINT (16.336113044645135 48.19236816603884),Schwestern der Jüngersuche Immaculatahaus,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14429755,
RELIGIONOGD.223406,223406,POINT (16.369930221658635 48.20553679620244),Kapuziner Konvent Innere Stadt,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14428701,
RELIGIONOGD.223422,223422,POINT (16.307717849880294 48.18924604589775),Schwestern vom Guten Hirten Niederlassung Penzing,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14429753,
RELIGIONOGD.223421,223421,POINT (16.293621744043207 48.23696275683201),Missionsschwestern Königin der Apostel Mutterhaus,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.sramission.at,http://www.erzdioezese-wien.at/pages/inst/14429745,
RELIGIONOGD.223420,223420,POINT (16.349097021139887 48.24822423543838),Franziskanerinnen Missionarinnen Mariens Kloster St. Leopold,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14429743,
RELIGIONOGD.223419,223419,POINT (16.384255063677838 48.1898091516192),Töchter der Göttlichen Liebe Mutterhaus,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14429735,
RELIGIONOGD.223418,223418,POINT (16.2577927939166 48.13210838756938),Institut Sta. Christiana Kommunität Rodaun/Emmaus,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14429729,
RELIGIONOGD.223417,223417,POINT (16.397553602446283 48.19971726815239),Schulschwestern vom III. Orden Mutterhaus,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.schulschwestern.org,http://www.erzdioezese-wien.at/pages/inst/14429727,
RELIGIONOGD.223416,223416,POINT (16.429496910223868 48.159224618748226),Resurrektionisten Konvent St. Lukas,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14429671,
RELIGIONOGD.223415,223415,POINT (16.37281294431934 48.22133277151885),Säkularinstitut des hl. Franz von Sales Gruppe Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14428987,
RELIGIONOGD.223414,223414,POINT (16.371131768889512 48.212431413881674),Redemptoristen Kollegium Maria am Gestade,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14428893,
RELIGIONOGD.223413,223413,POINT (16.38177427187966 48.21496955624058),Barmherzige Brüder Konvent Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.barmherzige-brueder.at,http://www.erzdioezese-wien.at/pages/inst/14428891,
RELIGIONOGD.223412,223412,POINT (16.330256997423536 48.1896406860582),Kalasantiner Kollegium Reindorf,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14428747,
RELIGIONOGD.223411,223411,POINT (16.3769166353719 48.155863080471114),Oblaten des hl. Franz von Sales Ordenshaus Franz von Sales,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14428727,
RELIGIONOGD.223410,223410,POINT (16.350227669908467 48.21022797816278),Piaristen Kollegium Maria Treu,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.piaristen.at,http://www.erzdioezese-wien.at/pages/inst/14428713,
RELIGIONOGD.223409,223409,POINT (16.40599760836648 48.22438520690534),Trinitarier Konvent Donaustadt,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14428709,
RELIGIONOGD.223408,223408,POINT (16.367948115279816 48.20535767943852),Augustiner Augustinerkloster,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.augustiner.at/wien,http://www.erzdioezese-wien.at/pages/inst/14428705,
RELIGIONOGD.223407,223407,POINT (16.24552985372174 48.207615321740505),Regulierte Tertiaren Konvent St. Josef am Wolfersberg,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14428703,
RELIGIONOGD.223382,223382,POINT (16.388555768734257 48.29696499353071),Schulbrüder Ordensgemeinde St. Josef,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14426043,
RELIGIONOGD.223405,223405,POINT (16.37146474170341 48.20513784589089),Souveräner Malteser-Ritterorden Großpriorat von Österreich,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.malteserorden.at,http://www.erzdioezese-wien.at/pages/inst/14428687,
RELIGIONOGD.223404,223404,POINT (16.360928549779235 48.245902330108784),Madonna della Strada Gruppe Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.saecimds.com,http://www.erzdioezese-wien.at/pages/inst/23072505,
RELIGIONOGD.223403,223403,POINT (16.442779244910778 48.271003882390886),Kreuzherren Konvent Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14428683,
RELIGIONOGD.223402,223402,POINT (16.348336705558346 48.19048391832391),Eucharistiner Konvent Gumpendorf,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.eucharistie.cz,http://www.erzdioezese-wien.at/pages/inst/14428661,
RELIGIONOGD.223401,223401,POINT (16.377647170430162 48.20876308417617),Jesuiten Kommunität Wien 1,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://wwwjesuitenwien1.at,http://www.erzdioezese-wien.at/pages/inst/14428659,
RELIGIONOGD.223400,223400,POINT (16.333583536042852 48.224571211360065),Töchter der christlichen Liebe Niederlassung Antonigasse,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14428381,
RELIGIONOGD.223399,223399,POINT (16.36810329835869 48.20804578755313),Salvatorianer Kolleg St. Michael,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.michaelerkirche.at,http://www.erzdioezese-wien.at/pages/inst/14428155,
RELIGIONOGD.223398,223398,POINT (16.333495947154653 48.25377774297583),Oblaten des hl. Franz von Sales Ordenshaus Kaasgraben,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14428049,
RELIGIONOGD.223397,223397,POINT (16.336434779822454 48.192060003453264),Kalasantiner Kollegium Fünfhaus,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.kalasantiner.at,http://www.erzdioezese-wien.at/pages/inst/14428047,
RELIGIONOGD.223396,223396,POINT (16.283935985600543 48.18619499781448),Salesianer Don Boscos Don Bosco Haus,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.donboscohaus.at,http://www.erzdioezese-wien.at/pages/inst/14428045,
RELIGIONOGD.223395,223395,POINT (16.267161000596722 48.192271387054426),Oblaten der Makellosen Jungfrau Maria Kloster St. Paul,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.oblaten.at,http://www.erzdioezese-wien.at/pages/inst/14428043,
RELIGIONOGD.223394,223394,POINT (16.277711141970794 48.17324685701138),"Kamillianer Kollegium Maria, Heil der Kranken",Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.kamillianer.at,http://www.erzdioezese-wien.at/pages/inst/14428041,
RELIGIONOGD.223393,223393,POINT (16.35238314378514 48.214687548350255),Minoriten Konvent Alser Vorstadt,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14428039,
RELIGIONOGD.223392,223392,POINT (16.303434020511297 48.16822301621577),Lazaristen Marianneum,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14427983,
RELIGIONOGD.223391,223391,POINT (16.384715113730714 48.195286627108466),Sacre Coeur Niederlassung Rennweg 31B,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14427017,
RELIGIONOGD.223390,223390,POINT (16.282699997040993 48.146927647298156),Missionsschwestern vom Hlst. Erlöser Niederlassung Wien Haus Sarepta,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14426137,
RELIGIONOGD.223389,223389,POINT (16.260992385884016 48.146209351096815),Servitinnen Konvent Mauer,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14426133,
RELIGIONOGD.223388,223388,POINT (16.26372300820844 48.15650636145407),Ursulinen Konvent Wien,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14426131,
RELIGIONOGD.223387,223387,POINT (16.245885890928 48.137268450869186),Caritas Socialis Gemeinschaft Kalksburg,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.cs-schwestern.at,http://www.erzdioezese-wien.at/pages/inst/14426113,
RELIGIONOGD.223386,223386,POINT (16.24589833942017 48.13698822971146),Jesuiten Statio dependens Kalksburg,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14426111,
RELIGIONOGD.223385,223385,POINT (16.457334036082873 48.21883249187229),Schwestern vom armen Kinde Jesus Niederlassung Stadlau,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14426083,
RELIGIONOGD.223384,223384,POINT (16.452124228261788 48.22315638970898),Salesianer Don Boscos Konvent Stadlau-Inzersdorf,Katholische Kirche,römisch-katholisch,Kloster/Orden,http://www.pfarrestadlau.at,http://www.erzdioezese-wien.at/pages/inst/14426079,
RELIGIONOGD.223383,223383,POINT (16.42389500683146 48.226902159553894),Salvatorianer Kolleg Kaisermühlen,Katholische Kirche,römisch-katholisch,Kloster/Orden,,http://www.erzdioezese-wien.at/pages/inst/14426069,
