FID,OBJECTID,SHAPE,NAME,HAUPTKATEGORIE,UNTERKATEGORIE,TYP,WEBLINK1,WEBLINK2,SE_ANNO_CAD_DATA
RELIGIONOGD.223828,223828,POINT (16.271936928586573 48.199362677924036),Pfarrkirche Oberbaumgarten,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.oberbaumgarten.at,http://www.erzdioezese-wien.at/pages/pfarren/9123,
RELIGIONOGD.223827,223827,POINT (16.22850698171835 48.20744840380888),Pfarrkirche Mariabrunn,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.mariabrunn.at,http://www.erzdioezese-wien.at/pages/pfarren/9122,
RELIGIONOGD.223826,223826,POINT (16.256538524877225 48.20238394394614),Pfarrkirche Hütteldorf,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-huetteldorf.com,http://www.erzdioezese-wien.at/pages/pfarren/9121,
RELIGIONOGD.223825,223825,POINT (16.282991895758432 48.194869375905554),Pfarrkirche Baumgarten,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-baumgarten.at,http://www.erzdioezese-wien.at/pages/pfarren/9119,
RELIGIONOGD.223824,223824,POINT (16.276621967285358 48.183697684967505),Pfarrkirche Zum Guten Hirten,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-zumgutenhirten.at,http://www.erzdioezese-wien.at/pages/pfarren/9113,
RELIGIONOGD.223823,223823,POINT (16.285714188266994 48.188172282066255),Pfarrkirche Unter St. Veit,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarreunterstveit.at,http://www.erzdioezese-wien.at/pages/pfarren/9112,
RELIGIONOGD.223822,223822,POINT (16.29277239449011 48.17239367134874),Pfarrkirche St. Hemma,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-st-hemma-wien.at,http://www.erzdioezese-wien.at/pages/pfarren/9110,
RELIGIONOGD.223821,223821,POINT (16.26620307849164 48.188523442609565),Pfarrkirche Ober St. Veit,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-oberstveit.at,http://www.erzdioezese-wien.at/pages/pfarren/9109,
RELIGIONOGD.223820,223820,POINT (16.302102414226606 48.18563869717155),Pfarrkirche Maria Hietzing,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-maria-hietzing.at,http://www.erzdioezese-wien.at/pages/pfarren/9108,
RELIGIONOGD.223819,223819,POINT (16.27738941730345 48.17329452468367),"Pfarrkirche Maria, Heil der Kranken",Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.kamillianer.at,http://www.erzdioezese-wien.at/pages/pfarren/9107,
RELIGIONOGD.223818,223818,POINT (16.28307917393703 48.17726826052899),Pfarrkirche Lainz,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-lainz-speising.at,http://www.erzdioezese-wien.at/pages/pfarren/9106,
RELIGIONOGD.223817,223817,POINT (16.32902072547145 48.159105812566935),Pfarrkirche Am Schöpfwerk,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarreamschoepfwerk.at,http://www.erzdioezese-wien.at/pages/pfarren/9104,
RELIGIONOGD.223816,223816,POINT (16.34725687196767 48.18081992253214),Pfarrkirche Neumargareten,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarreneumargareten.at,http://www.erzdioezese-wien.at/pages/pfarren/9102,
RELIGIONOGD.223815,223815,POINT (16.330432063080078 48.17284873530337),Pfarrkirche Namen Jesu,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.namenjesu.com,http://www.erzdioezese-wien.at/pages/pfarren/9101,
RELIGIONOGD.223814,223814,POINT (16.335218787479853 48.18159091463336),Pfarrkirche Meidling,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarremeidling.at,http://www.erzdioezese-wien.at/pages/pfarren/9100,
RELIGIONOGD.223813,223813,POINT (16.31984692863422 48.17602620770787),Pfarrkirche Gatterhölzl,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.gatterhoelzl.at,http://www.erzdioezese-wien.at/pages/pfarren/9097,
RELIGIONOGD.223812,223812,POINT (16.322181764066528 48.162766073524736),Pfarrkirche Altmannsdorf,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-altmannsdorf.org,http://www.erzdioezese-wien.at/pages/pfarren/9096,
RELIGIONOGD.223811,223811,POINT (16.429719232543427 48.15954669579512),Pfarrkirche St. Lukas,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.stlukas.at,http://www.erzdioezese-wien.at/pages/pfarren/9095,
RELIGIONOGD.223810,223810,POINT (16.41306245182937 48.1757726458542),Pfarrkirche Neusimmering,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarreneusimmering.at,http://www.erzdioezese-wien.at/pages/pfarren/9090,
RELIGIONOGD.223809,223809,POINT (16.449440076063507 48.159676573824264),Pfarrkirche Hl. Klemens Maria Hofbauer,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.stklemens.at,http://www.erzdioezese-wien.at/pages/pfarren/9088,
RELIGIONOGD.223808,223808,POINT (16.349492284216886 48.15541054233106),Pfarrkirche Emmaus am Wienerberg,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://emmaus.tesarekplatz.at,http://www.erzdioezese-wien.at/pages/pfarren/9082,
