FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.17536,POINT (16.39631376095996 48.22594097014825),Trinkbrunnen mit Tränke,17536,
TRINKBRUNNENOGD.17537,POINT (16.363961511422048 48.19237599277395),Trinkbrunnen mit Tränke,17537,
TRINKBRUNNENOGD.17538,POINT (16.382350757152516 48.16949598226187),Trinkbrunnen mit Tränke,17538,
TRINKBRUNNENOGD.17539,POINT (16.419391336266745 48.17388431553733),Trinkbrunnen mit Tränke,17539,
TRINKBRUNNENOGD.17607,POINT (16.48526788809506 48.22086716764127),Auslaufbrunnen,17607,
TRINKBRUNNENOGD.17608,POINT (16.381990947895233 48.21352376509425),Auslaufbrunnen,17608,
TRINKBRUNNENOGD.17609,POINT (16.438722559924194 48.19296240959285),Auslaufbrunnen,17609,
TRINKBRUNNENOGD.17610,POINT (16.24792645772263 48.219932313534706),Auslaufbrunnen,17610,
TRINKBRUNNENOGD.17611,POINT (16.461989386034702 48.259976419418535),Auslaufbrunnen,17611,
TRINKBRUNNENOGD.17612,POINT (16.387436683840946 48.21948827173224),Auslaufbrunnen,17612,
TRINKBRUNNENOGD.17613,POINT (16.31217990414031 48.21226379782298),Auslaufbrunnen,17613,
TRINKBRUNNENOGD.17614,POINT (16.494579958865558 48.194251035547985),Auslaufbrunnen,17614,
TRINKBRUNNENOGD.17615,POINT (16.377176386162784 48.20874976377732),Auslaufbrunnen,17615,
TRINKBRUNNENOGD.17616,POINT (16.28769616166106 48.18569660938211),Auslaufbrunnen,17616,
TRINKBRUNNENOGD.17617,POINT (16.398584053604583 48.21394052478201),Auslaufbrunnen,17617,
TRINKBRUNNENOGD.17618,POINT (16.288809173763614 48.215655930152025),Auslaufbrunnen,17618,
TRINKBRUNNENOGD.17619,POINT (16.37731252656773 48.208896596948286),Auslaufbrunnen,17619,
TRINKBRUNNENOGD.17620,POINT (16.335065648146607 48.213844138670694),Auslaufbrunnen,17620,
TRINKBRUNNENOGD.17621,POINT (16.397062176180093 48.20887699750956),Auslaufbrunnen,17621,
TRINKBRUNNENOGD.17622,POINT (16.45691621151401 48.21584873548162),Auslaufbrunnen,17622,
TRINKBRUNNENOGD.17623,POINT (16.458382926473895 48.21301163800651),Auslaufbrunnen,17623,
TRINKBRUNNENOGD.17624,POINT (16.463307949412894 48.21208512154557),Auslaufbrunnen,17624,
