FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.17807,POINT (16.285674711019475 48.21733101618896),Auslaufbrunnen,17807,
TRINKBRUNNENOGD.17808,POINT (16.35955271316954 48.210971106503024),Auslaufbrunnen,17808,
TRINKBRUNNENOGD.17809,POINT (16.42210152155232 48.24434535098597),Auslaufbrunnen,17809,
TRINKBRUNNENOGD.17810,POINT (16.364757163224102 48.21412920217817),Auslaufbrunnen,17810,
TRINKBRUNNENOGD.17811,POINT (16.493995211472264 48.22567538946415),Auslaufbrunnen,17811,
TRINKBRUNNENOGD.17812,POINT (16.397997815955137 48.21695786678992),Auslaufbrunnen,17812,
TRINKBRUNNENOGD.17813,POINT (16.29104903219505 48.159217617367176),Auslaufbrunnen,17813,
TRINKBRUNNENOGD.17814,POINT (16.322788815110812 48.197308964566695),Auslaufbrunnen,17814,
TRINKBRUNNENOGD.17815,POINT (16.324752739901406 48.19729531495355),Auslaufbrunnen,17815,
TRINKBRUNNENOGD.17816,POINT (16.32078682137658 48.19792061936959),Auslaufbrunnen,17816,
TRINKBRUNNENOGD.17817,POINT (16.344610387439165 48.22567489138332),Auslaufbrunnen,17817,
TRINKBRUNNENOGD.17818,POINT (16.40970019618057 48.196762042845656),Auslaufbrunnen,17818,
TRINKBRUNNENOGD.17819,POINT (16.40970019618057 48.196762042845656),Auslaufbrunnen,17819,
TRINKBRUNNENOGD.17820,POINT (16.3974065543003 48.136942360232105),Auslaufbrunnen,17820,
TRINKBRUNNENOGD.17821,POINT (16.268874013141662 48.245233233514874),Auslaufbrunnen,17821,
TRINKBRUNNENOGD.17822,POINT (16.364827552425584 48.21411944767918),Auslaufbrunnen,17822,
TRINKBRUNNENOGD.17823,POINT (16.358413231008907 48.20926605081602),Auslaufbrunnen,17823,
TRINKBRUNNENOGD.17824,POINT (16.253155672046386 48.198470471688715),Auslaufbrunnen,17824,
TRINKBRUNNENOGD.17825,POINT (16.45054908161278 48.21316356486897),Auslaufbrunnen,17825,
TRINKBRUNNENOGD.17826,POINT (16.19664960780091 48.22937672134268),Auslaufbrunnen,17826,
TRINKBRUNNENOGD.17828,POINT (16.393882862743418 48.21655728649247),Auslaufbrunnen,17828,
TRINKBRUNNENOGD.17829,POINT (16.358664299354622 48.209279499565355),Auslaufbrunnen,17829,
TRINKBRUNNENOGD.17830,POINT (16.275651596859724 48.2177699282403),Auslaufbrunnen,17830,
TRINKBRUNNENOGD.17831,POINT (16.412645860747645 48.22056517438636),Auslaufbrunnen,17831,
TRINKBRUNNENOGD.17832,POINT (16.26110283151204 48.19553106587323),Auslaufbrunnen,17832,
TRINKBRUNNENOGD.17833,POINT (16.34157112437841 48.189709182922414),Auslaufbrunnen,17833,
TRINKBRUNNENOGD.17834,POINT (16.377876219304262 48.20436659522349),Auslaufbrunnen,17834,
TRINKBRUNNENOGD.17835,POINT (16.37773356399805 48.20422087832271),Auslaufbrunnen,17835,
TRINKBRUNNENOGD.17836,POINT (16.370722020920198 48.19885362429136),Auslaufbrunnen,17836,
TRINKBRUNNENOGD.17837,POINT (16.42033421890545 48.215046114295255),Auslaufbrunnen,17837,
TRINKBRUNNENOGD.17838,POINT (16.335547490358202 48.20407113166499),Auslaufbrunnen,17838,
TRINKBRUNNENOGD.17839,POINT (16.31839828878609 48.199294801402644),Auslaufbrunnen,17839,
TRINKBRUNNENOGD.17840,POINT (16.376660989137513 48.21170024764263),Auslaufbrunnen,17840,
TRINKBRUNNENOGD.17841,POINT (16.33460638667383 48.181801619674374),Auslaufbrunnen,17841,
TRINKBRUNNENOGD.17842,POINT (16.358975397629386 48.21204642870652),Auslaufbrunnen,17842,
TRINKBRUNNENOGD.17843,POINT (16.24454969517798 48.22554648251286),Auslaufbrunnen,17843,
TRINKBRUNNENOGD.17844,POINT (16.301554241878307 48.185878355976556),Auslaufbrunnen,17844,
TRINKBRUNNENOGD.17845,POINT (16.40289188418326 48.22777155240105),Auslaufbrunnen,17845,
TRINKBRUNNENOGD.17846,POINT (16.403938729304823 48.22698600996136),Auslaufbrunnen,17846,
TRINKBRUNNENOGD.17847,POINT (16.425687890709114 48.199703873995965),Auslaufbrunnen,17847,
TRINKBRUNNENOGD.17848,POINT (16.418137622837072 48.203681516246505),Auslaufbrunnen,17848,
TRINKBRUNNENOGD.17849,POINT (16.376432268527775 48.198566361471364),Auslaufbrunnen,17849,
TRINKBRUNNENOGD.17850,POINT (16.28987728736689 48.18026147511619),Auslaufbrunnen,17850,
TRINKBRUNNENOGD.17851,POINT (16.335748793517638 48.209737431451046),Auslaufbrunnen,17851,
TRINKBRUNNENOGD.17852,POINT (16.3744340354876 48.215918708806065),Auslaufbrunnen,17852,
TRINKBRUNNENOGD.17853,POINT (16.33624694155097 48.21181604174804),Auslaufbrunnen,17853,
TRINKBRUNNENOGD.17854,POINT (16.377584752939796 48.239783704634334),Auslaufbrunnen,17854,
TRINKBRUNNENOGD.17855,POINT (16.412652990852866 48.225709370770154),Auslaufbrunnen,17855,
TRINKBRUNNENOGD.17856,POINT (16.497259495149105 48.15937363475031),Auslaufbrunnen,17856,
TRINKBRUNNENOGD.17857,POINT (16.371857443308716 48.20710472076823),Auslaufbrunnen,17857,
TRINKBRUNNENOGD.17858,POINT (16.256032455992365 48.203633516238185),Auslaufbrunnen,17858,
TRINKBRUNNENOGD.17859,POINT (16.32096978693683 48.264085300401696),Auslaufbrunnen,17859,
TRINKBRUNNENOGD.17860,POINT (16.429238816151795 48.21764504733538),Auslaufbrunnen,17860,
TRINKBRUNNENOGD.17827,POINT (16.44349244667321 48.19876117242448),Auslaufbrunnen,17827,
TRINKBRUNNENOGD.17355,POINT (16.37352212559486 48.234221211537836),Trinkbrunnen,17355,
TRINKBRUNNENOGD.17356,POINT (16.376886486825324 48.2370922354854),Spielbrunnen,17356,
TRINKBRUNNENOGD.17357,POINT (16.378636076994116 48.24000600518917),Trinkbrunnen mit Tränke,17357,
TRINKBRUNNENOGD.17358,POINT (16.369326707096658 48.22645451008798),Trinkbrunnen mit Tränke,17358,
TRINKBRUNNENOGD.17359,POINT (16.36763547814964 48.23556890088667),Trinkbrunnen mit Tränke,17359,
TRINKBRUNNENOGD.17360,POINT (16.317260016672797 48.148649613246064),Trinkbrunnen,17360,
TRINKBRUNNENOGD.17361,POINT (16.37658549856031 48.23190191224943),Trinkbrunnen,17361,
TRINKBRUNNENOGD.17362,POINT (16.420117240690484 48.13217868213552),Trinkbrunnen mit Tränke,17362,
TRINKBRUNNENOGD.17363,POINT (16.368255894835453 48.24019275097479),Spielbrunnen,17363,
TRINKBRUNNENOGD.17364,POINT (16.363300164019602 48.23070766230279),Trinkbrunnen,17364,
TRINKBRUNNENOGD.17365,POINT (16.313847822896857 48.130896285855194),Trinkbrunnen mit Tränke,17365,
TRINKBRUNNENOGD.17366,POINT (16.269874383184764 48.15127206742004),Trinkbrunnen,17366,
TRINKBRUNNENOGD.17367,POINT (16.292012054120416 48.14814981596707),Trinkbrunnen mit Tränke,17367,
TRINKBRUNNENOGD.17368,POINT (16.321060519056584 48.21275062865428),Trinkbrunnen,17368,
TRINKBRUNNENOGD.17369,POINT (16.2915222132062 48.23371458329551),Trinkbrunnen,17369,
TRINKBRUNNENOGD.17370,POINT (16.244798620969505 48.207729643229996),Trinkbrunnen,17370,
TRINKBRUNNENOGD.17371,POINT (16.36441351733302 48.21778057986741),Trinkbrunnen mit Tränke,17371,
TRINKBRUNNENOGD.17372,POINT (16.31468117962156 48.206701142359734),Trinkbrunnen,17372,
TRINKBRUNNENOGD.17373,POINT (16.31429983501017 48.206420744435796),Trinkbrunnen,17373,
TRINKBRUNNENOGD.17374,POINT (16.315159671742872 48.206376871491635),Trinkbrunnen,17374,
TRINKBRUNNENOGD.17375,POINT (16.359642381251508 48.21590241493206),Trinkbrunnen mit Tränke,17375,
TRINKBRUNNENOGD.17376,POINT (16.48883583492906 48.21272932353992),Trinkbrunnen,17376,
TRINKBRUNNENOGD.17377,POINT (16.45161224414021 48.22424587301304),Trinkbrunnen,17377,
TRINKBRUNNENOGD.17378,POINT (16.45161224414021 48.22424587301304),Trinkbrunnen,17378,
TRINKBRUNNENOGD.17379,POINT (16.33559355025257 48.21329294258474),Trinkbrunnen,17379,
TRINKBRUNNENOGD.17380,POINT (16.33515266013092 48.21362862799617),Trinkbrunnen,17380,
TRINKBRUNNENOGD.17381,POINT (16.325815665080583 48.24468677817819),Trinkbrunnen,17381,
TRINKBRUNNENOGD.17382,POINT (16.316889545017194 48.221267873925534),Trinkbrunnen,17382,
TRINKBRUNNENOGD.17383,POINT (16.285849515131545 48.19644198581011),Trinkbrunnen,17383,
TRINKBRUNNENOGD.17384,POINT (16.31350225520396 48.200112872458945),Trinkbrunnen mit Tränke,17384,
TRINKBRUNNENOGD.17385,POINT (16.352061159937904 48.16938586701425),Trinkbrunnen,17385,
TRINKBRUNNENOGD.17386,POINT (16.346507916794124 48.20456301336059),Trinkbrunnen mit Tränke,17386,
TRINKBRUNNENOGD.17387,POINT (16.33852879204285 48.2014259727727),Trinkbrunnen,17387,
TRINKBRUNNENOGD.17388,POINT (16.340660640858403 48.2076152016557),Trinkbrunnen,17388,
TRINKBRUNNENOGD.17389,POINT (16.347333796425993 48.19889547636617),Trinkbrunnen,17389,
TRINKBRUNNENOGD.17390,POINT (16.34534635124571 48.20883785818841),Trinkbrunnen,17390,
TRINKBRUNNENOGD.17391,POINT (16.358708910976215 48.22346105697215),Trinkbrunnen mit Tränke,17391,
TRINKBRUNNENOGD.17392,POINT (16.353327495844955 48.216026472928725),Trinkbrunnen,17392,
TRINKBRUNNENOGD.17393,POINT (16.352525101663023 48.2297288425129),Trinkbrunnen,17393,
TRINKBRUNNENOGD.17394,POINT (16.41516492809119 48.2914334776787),Trinkbrunnen,17394,
TRINKBRUNNENOGD.17395,POINT (16.319376809653313 48.158767311007225),Trinkbrunnen,17395,
TRINKBRUNNENOGD.17396,POINT (16.421643678310588 48.28011825815381),Trinkbrunnen,17396,
TRINKBRUNNENOGD.17397,POINT (16.448775798538428 48.269252205115386),Trinkbrunnen,17397,
TRINKBRUNNENOGD.17398,POINT (16.450056483575672 48.27043178279632),Trinkbrunnen,17398,
TRINKBRUNNENOGD.17399,POINT (16.45485873098985 48.27019944613227),Trinkbrunnen,17399,
TRINKBRUNNENOGD.17400,POINT (16.412465735756292 48.27763352659251),Trinkbrunnen,17400,
TRINKBRUNNENOGD.17401,POINT (16.53476307847032 48.2292515002115),Trinkbrunnen mit Tränke,17401,
TRINKBRUNNENOGD.17402,POINT (16.389209727041298 48.29539139957455),Trinkbrunnen,17402,
TRINKBRUNNENOGD.17403,POINT (16.318509248220597 48.24554860836681),Trinkbrunnen mit Tränke,17403,
TRINKBRUNNENOGD.17404,POINT (16.312903988463045 48.24998691326899),Trinkbrunnen mit Tränke,17404,
TRINKBRUNNENOGD.17405,POINT (16.357713196159594 48.24326475827576),Trinkbrunnen mit Tränke,17405,
TRINKBRUNNENOGD.17406,POINT (16.344010474090627 48.24561210449646),Trinkbrunnen,17406,
TRINKBRUNNENOGD.17407,POINT (16.341368893791984 48.253405432637635),Trinkbrunnen,17407,
TRINKBRUNNENOGD.17408,POINT (16.33720169134449 48.25067785924503),Trinkbrunnen,17408,
TRINKBRUNNENOGD.17409,POINT (16.320495080806396 48.241009077101225),Trinkbrunnen mit Tränke,17409,
TRINKBRUNNENOGD.17410,POINT (16.40584910461515 48.204894084278656),Trinkbrunnen mit Tränke,17410,
TRINKBRUNNENOGD.17411,POINT (16.405859333000045 48.206162106804236),Trinkbrunnen,17411,
TRINKBRUNNENOGD.17412,POINT (16.362099448939215 48.256616433533445),Trinkbrunnen mit Tränke,17412,
TRINKBRUNNENOGD.17413,POINT (16.3533273811126 48.258351088841835),Trinkbrunnen mit Tränke,17413,
TRINKBRUNNENOGD.17414,POINT (16.366707032410783 48.25391233752436),Trinkbrunnen,17414,
TRINKBRUNNENOGD.17415,POINT (16.407373713269276 48.255295915762694),Trinkbrunnen,17415,
TRINKBRUNNENOGD.17416,POINT (16.399363388250443 48.26151154582127),Trinkbrunnen,17416,
TRINKBRUNNENOGD.17417,POINT (16.342625090580327 48.220792405221154),Trinkbrunnen mit Tränke,17417,
TRINKBRUNNENOGD.17418,POINT (16.33138227263702 48.23463280506239),Trinkbrunnen mit Tränke,17418,
TRINKBRUNNENOGD.17419,POINT (16.333720042590652 48.23424887739913),Trinkbrunnen,17419,
TRINKBRUNNENOGD.17420,POINT (16.336474604499383 48.23467897806456),Trinkbrunnen,17420,
TRINKBRUNNENOGD.17421,POINT (16.402624128760166 48.25086915213185),Trinkbrunnen,17421,
TRINKBRUNNENOGD.17422,POINT (16.40099997603866 48.21313675457972),Trinkbrunnen,17422,
TRINKBRUNNENOGD.17423,POINT (16.322106065087212 48.21874529304009),Trinkbrunnen mit Tränke,17423,
TRINKBRUNNENOGD.17424,POINT (16.421593053110623 48.25443461486457),Trinkbrunnen,17424,
TRINKBRUNNENOGD.17425,POINT (16.33179634020855 48.2106374016502),Trinkbrunnen,17425,
TRINKBRUNNENOGD.17426,POINT (16.28606698627955 48.207921596968625),Trinkbrunnen mit Tränke,17426,
TRINKBRUNNENOGD.17427,POINT (16.33282489359402 48.21357183664729),Trinkbrunnen,17427,
TRINKBRUNNENOGD.17428,POINT (16.33411044935128 48.20598419193358),Trinkbrunnen mit Tränke,17428,
TRINKBRUNNENOGD.17429,POINT (16.334159998396597 48.205726248550526),Trinkbrunnen,17429,
TRINKBRUNNENOGD.17430,POINT (16.33341555407174 48.20876871523401),Trinkbrunnen,17430,
TRINKBRUNNENOGD.17431,POINT (16.44168398247973 48.192563490637184),Trinkbrunnen,17431,
TRINKBRUNNENOGD.17432,POINT (16.318356761512028 48.188913880305506),Trinkbrunnen mit Tränke,17432,
TRINKBRUNNENOGD.17433,POINT (16.47668811599204 48.214159077524535),Trinkbrunnen mit Tränke,17433,
TRINKBRUNNENOGD.17434,POINT (16.309647751035634 48.212709193030896),Trinkbrunnen mit Tränke,17434,
TRINKBRUNNENOGD.17435,POINT (16.309339982234718 48.21276084255946),Trinkbrunnen mit Tränke,17435,
TRINKBRUNNENOGD.17436,POINT (16.3131426469112 48.20916352165886),Trinkbrunnen mit Tränke,17436,
TRINKBRUNNENOGD.17437,POINT (16.312566825824675 48.21561565468225),Trinkbrunnen,17437,
TRINKBRUNNENOGD.17438,POINT (16.307540668622888 48.215827579753714),Trinkbrunnen mit Tränke,17438,
TRINKBRUNNENOGD.17439,POINT (16.372726585834386 48.235436803953284),Trinkbrunnen mit Tränke,17439,
TRINKBRUNNENOGD.17440,POINT (16.325835663707466 48.18703692438767),Trinkbrunnen,17440,
TRINKBRUNNENOGD.17441,POINT (16.363280828236167 48.19642373216894),Trinkbrunnen mit Tränke,17441,
TRINKBRUNNENOGD.17442,POINT (16.345721660670787 48.20057101955573),Trinkbrunnen mit Tränke,17442,
TRINKBRUNNENOGD.17443,POINT (16.398340145393863 48.14689816540927),Trinkbrunnen,17443,
TRINKBRUNNENOGD.17444,POINT (16.400889515610924 48.14799919239924),Trinkbrunnen mit Tränke,17444,
TRINKBRUNNENOGD.17445,POINT (16.39899863685725 48.15025609286673),Trinkbrunnen mit Tränke,17445,
TRINKBRUNNENOGD.17446,POINT (16.39901984290479 48.15088692842246),Trinkbrunnen mit Tränke,17446,
TRINKBRUNNENOGD.17447,POINT (16.401457922996798 48.15061826367499),Trinkbrunnen mit Tränke,17447,
TRINKBRUNNENOGD.17448,POINT (16.40683966605696 48.14556370919217),Trinkbrunnen mit Tränke,17448,
TRINKBRUNNENOGD.17449,POINT (16.326055627713863 48.188577506532255),Trinkbrunnen mit Tränke,17449,
TRINKBRUNNENOGD.17450,POINT (16.33763896526991 48.19351946020116),Trinkbrunnen,17450,
TRINKBRUNNENOGD.17451,POINT (16.313036851041147 48.22031106695876),Trinkbrunnen,17451,
TRINKBRUNNENOGD.17452,POINT (16.319233105557814 48.2104044386332),Trinkbrunnen,17452,
TRINKBRUNNENOGD.17453,POINT (16.315417634930828 48.20414379951945),Trinkbrunnen,17453,
TRINKBRUNNENOGD.17454,POINT (16.526103997067402 48.21450904566454),Trinkbrunnen,17454,
TRINKBRUNNENOGD.17455,POINT (16.287505551143767 48.16782604098769),Trinkbrunnen,17455,
TRINKBRUNNENOGD.17456,POINT (16.441610572020558 48.15609129784969),Trinkbrunnen,17456,
TRINKBRUNNENOGD.17457,POINT (16.47997290033075 48.2415956456854),Trinkbrunnen mit Tränke,17457,
TRINKBRUNNENOGD.17458,POINT (16.30583535692576 48.197837444364225),Trinkbrunnen mit Tränke,17458,
TRINKBRUNNENOGD.17459,POINT (16.315252333516348 48.191284405705474),Trinkbrunnen mit Tränke,17459,
TRINKBRUNNENOGD.17460,POINT (16.39217182593784 48.2630527333218),Trinkbrunnen mit Tränke,17460,
TRINKBRUNNENOGD.17461,POINT (16.291961911709503 48.163363300575085),Trinkbrunnen,17461,
TRINKBRUNNENOGD.17462,POINT (16.405721926687498 48.27657907668249),Trinkbrunnen mit Tränke,17462,
TRINKBRUNNENOGD.17463,POINT (16.390199169873167 48.235977466215736),Trinkbrunnen,17463,
TRINKBRUNNENOGD.17464,POINT (16.343973541366996 48.21393881261693),Trinkbrunnen,17464,
TRINKBRUNNENOGD.17465,POINT (16.394057182866675 48.21899678911175),Trinkbrunnen mit Tränke,17465,
TRINKBRUNNENOGD.17466,POINT (16.396184996685896 48.21971755886228),Trinkbrunnen,17466,
TRINKBRUNNENOGD.17467,POINT (16.424761634629498 48.157399144135375),Trinkbrunnen,17467,
TRINKBRUNNENOGD.17468,POINT (16.390497779190277 48.14247108176746),Trinkbrunnen,17468,
TRINKBRUNNENOGD.17469,POINT (16.41463227862987 48.21478373117615),Trinkbrunnen mit Tränke,17469,
TRINKBRUNNENOGD.17470,POINT (16.30926232611743 48.24124704979156),Trinkbrunnen,17470,
TRINKBRUNNENOGD.17471,POINT (16.38848751021488 48.25717332322341),Trinkbrunnen mit Tränke,17471,
TRINKBRUNNENOGD.17472,POINT (16.337882083013497 48.20037840882655),Trinkbrunnen mit Tränke,17472,
TRINKBRUNNENOGD.17473,POINT (16.367261822170885 48.22338146761232),Trinkbrunnen mit Tränke,17473,
TRINKBRUNNENOGD.17474,POINT (16.36752474263065 48.223652863258025),Trinkbrunnen mit Tränke,17474,
TRINKBRUNNENOGD.17475,POINT (16.35121357809061 48.20746204964263),Trinkbrunnen,17475,
TRINKBRUNNENOGD.17476,POINT (16.342908290179277 48.20750305795867),Trinkbrunnen,17476,
TRINKBRUNNENOGD.17477,POINT (16.31698656843766 48.18871539697387),Trinkbrunnen mit Tränke,17477,
TRINKBRUNNENOGD.17478,POINT (16.31887765011269 48.188856354213286),Trinkbrunnen mit Tränke,17478,
TRINKBRUNNENOGD.17479,POINT (16.26837226131009 48.18236817847921),Trinkbrunnen mit Tränke,17479,
TRINKBRUNNENOGD.17480,POINT (16.339592729416825 48.25704827534404),Trinkbrunnen mit Tränke,17480,
TRINKBRUNNENOGD.17481,POINT (16.33582094504264 48.22829282724964),Trinkbrunnen mit Tränke,17481,
TRINKBRUNNENOGD.17482,POINT (16.347777063163512 48.249679446237316),Trinkbrunnen,17482,
TRINKBRUNNENOGD.17483,POINT (16.257540438530523 48.16598724208697),Trinkbrunnen,17483,
TRINKBRUNNENOGD.17484,POINT (16.40331706364987 48.18771961860221),Trinkbrunnen,17484,
TRINKBRUNNENOGD.17485,POINT (16.346017117765978 48.22373124208129),Trinkbrunnen,17485,
TRINKBRUNNENOGD.17486,POINT (16.38890890276312 48.20244396145646),Trinkbrunnen,17486,
TRINKBRUNNENOGD.17487,POINT (16.304709155861687 48.21411986775728),Trinkbrunnen mit Tränke,17487,
TRINKBRUNNENOGD.17488,POINT (16.40737063902645 48.246847226011546),Trinkbrunnen,17488,
TRINKBRUNNENOGD.17489,POINT (16.387382170798922 48.26261053796606),Trinkbrunnen,17489,
TRINKBRUNNENOGD.17490,POINT (16.47553148877766 48.21247083058467),Trinkbrunnen,17490,
TRINKBRUNNENOGD.17491,POINT (16.49119348153431 48.22596860823515),Trinkbrunnen,17491,
TRINKBRUNNENOGD.17492,POINT (16.482140919184577 48.21736861632356),Trinkbrunnen,17492,
TRINKBRUNNENOGD.17493,POINT (16.490876226437813 48.27776152683905),Trinkbrunnen,17493,
TRINKBRUNNENOGD.17494,POINT (16.47698553594116 48.21883196377138),Trinkbrunnen,17494,
TRINKBRUNNENOGD.17495,POINT (16.461216285733283 48.23419844680167),Trinkbrunnen,17495,
TRINKBRUNNENOGD.17496,POINT (16.472391861224995 48.24603231278911),Trinkbrunnen,17496,
TRINKBRUNNENOGD.17497,POINT (16.490544163309348 48.21451297032471),Trinkbrunnen,17497,
TRINKBRUNNENOGD.17498,POINT (16.484539180149955 48.22126338022302),Trinkbrunnen,17498,
TRINKBRUNNENOGD.17499,POINT (16.52447729006859 48.213118529595725),Trinkbrunnen,17499,
TRINKBRUNNENOGD.17500,POINT (16.52529393906276 48.21796783096473),Trinkbrunnen,17500,
TRINKBRUNNENOGD.17501,POINT (16.475308933640125 48.21415855298895),Trinkbrunnen,17501,
TRINKBRUNNENOGD.17502,POINT (16.445079095822756 48.27165455590254),Spielbrunnen,17502,
TRINKBRUNNENOGD.17503,POINT (16.420374626434857 48.2974003700152),Trinkbrunnen mit Tränke,17503,
TRINKBRUNNENOGD.17504,POINT (16.416675694247225 48.2947107187354),Trinkbrunnen,17504,
TRINKBRUNNENOGD.17505,POINT (16.417171385112592 48.29467389797958),Trinkbrunnen,17505,
TRINKBRUNNENOGD.17506,POINT (16.423564014114344 48.25901710994267),Trinkbrunnen,17506,
TRINKBRUNNENOGD.17507,POINT (16.394339697200643 48.21940511466406),Trinkbrunnen mit Tränke,17507,
TRINKBRUNNENOGD.17508,POINT (16.44257473176676 48.25316820753218),Trinkbrunnen,17508,
TRINKBRUNNENOGD.17509,POINT (16.33761766715908 48.24479559452253),Spielbrunnen,17509,
TRINKBRUNNENOGD.17510,POINT (16.425740013316346 48.1765207403398),Trinkbrunnen mit Tränke,17510,
TRINKBRUNNENOGD.17511,POINT (16.324774628178282 48.234063312553275),Trinkbrunnen mit Tränke,17511,
TRINKBRUNNENOGD.17512,POINT (16.334753420610234 48.22675905337882),Spielbrunnen,17512,
TRINKBRUNNENOGD.17513,POINT (16.394215600692227 48.252447976482),Spielbrunnen,17513,
TRINKBRUNNENOGD.17514,POINT (16.42948761072302 48.16922263857495),Trinkbrunnen mit Tränke,17514,
TRINKBRUNNENOGD.17515,POINT (16.411053553450696 48.16919357549835),Trinkbrunnen mit Tränke,17515,
TRINKBRUNNENOGD.17516,POINT (16.34889608836167 48.21681431410457),Trinkbrunnen,17516,
TRINKBRUNNENOGD.17517,POINT (16.45321590336439 48.237550380448866),Trinkbrunnen,17517,
TRINKBRUNNENOGD.17518,POINT (16.38574944477498 48.237888521549486),Auslaufbrunnen,17518,
TRINKBRUNNENOGD.17519,POINT (16.375575547456332 48.19087125851773),Trinkbrunnen mit Tränke,17519,
TRINKBRUNNENOGD.17520,POINT (16.325950782390866 48.16651302208272),Trinkbrunnen,17520,
TRINKBRUNNENOGD.17272,POINT (16.355262398326502 48.18129338176188),Trinkbrunnen mit Tränke,17272,
TRINKBRUNNENOGD.17273,POINT (16.36295115583214 48.1845449489183),Trinkbrunnen mit Tränke,17273,
TRINKBRUNNENOGD.17274,POINT (16.335157901100708 48.18772847069377),Trinkbrunnen mit Tränke,17274,
TRINKBRUNNENOGD.17275,POINT (16.333613620275166 48.18646841232101),Trinkbrunnen mit Tränke,17275,
TRINKBRUNNENOGD.17276,POINT (16.34236483219786 48.1878798598162),Trinkbrunnen mit Tränke,17276,
TRINKBRUNNENOGD.17277,POINT (16.348909891756854 48.180688106778334),Trinkbrunnen mit Tränke,17277,
TRINKBRUNNENOGD.17278,POINT (16.354673522747674 48.20609188097416),Trinkbrunnen mit Tränke,17278,
TRINKBRUNNENOGD.17279,POINT (16.332708792612376 48.18926482610884),Trinkbrunnen mit Tränke,17279,
TRINKBRUNNENOGD.17280,POINT (16.41041764233439 48.17193812195433),Trinkbrunnen mit Tränke,17280,
TRINKBRUNNENOGD.17281,POINT (16.462212775205504 48.1571520631931),Trinkbrunnen mit Tränke,17281,
TRINKBRUNNENOGD.17282,POINT (16.412926700046224 48.1819961374746),Trinkbrunnen mit Tränke,17282,
TRINKBRUNNENOGD.17283,POINT (16.410768942473524 48.181307294607954),Trinkbrunnen mit Tränke,17283,
TRINKBRUNNENOGD.17284,POINT (16.381857691070206 48.23969220713799),Spielbrunnen,17284,
TRINKBRUNNENOGD.17285,POINT (16.387027898108574 48.23388795083455),Trinkbrunnen mit Tränke,17285,
TRINKBRUNNENOGD.17286,POINT (16.44320046238839 48.16117837308963),Trinkbrunnen,17286,
TRINKBRUNNENOGD.17287,POINT (16.442040866705234 48.16139084623036),Trinkbrunnen,17287,
TRINKBRUNNENOGD.17288,POINT (16.289435743905702 48.180081855159536),Trinkbrunnen,17288,
TRINKBRUNNENOGD.17289,POINT (16.41291661252314 48.181475863103486),Trinkbrunnen mit Tränke,17289,
TRINKBRUNNENOGD.17290,POINT (16.327463648927843 48.21011025141133),Hundetrinkbrunnen,17290,
TRINKBRUNNENOGD.17291,POINT (16.38264099208048 48.19971474765357),Trinkbrunnen mit Tränke,17291,
TRINKBRUNNENOGD.17292,POINT (16.387503494530026 48.20604699224082),Trinkbrunnen mit Tränke,17292,
TRINKBRUNNENOGD.17293,POINT (16.39071832673155 48.20452532715763),Trinkbrunnen,17293,
TRINKBRUNNENOGD.17294,POINT (16.393239301230174 48.201760772841595),Trinkbrunnen mit Tränke,17294,
TRINKBRUNNENOGD.17295,POINT (16.399032243984 48.194226374736246),Trinkbrunnen,17295,
TRINKBRUNNENOGD.17296,POINT (16.3678763328765 48.19302460051625),Trinkbrunnen mit Tränke,17296,
TRINKBRUNNENOGD.17297,POINT (16.36890428961395 48.19366322608814),Trinkbrunnen mit Tränke,17297,
TRINKBRUNNENOGD.17298,POINT (16.24862657911752 48.202838117505486),Trinkbrunnen mit Tränke,17298,
TRINKBRUNNENOGD.17299,POINT (16.367904682782267 48.18620403349083),Trinkbrunnen mit Tränke,17299,
TRINKBRUNNENOGD.17300,POINT (16.367710712762857 48.186973802515745),Trinkbrunnen mit Tränke,17300,
TRINKBRUNNENOGD.17301,POINT (16.363273948335987 48.18969770988073),Trinkbrunnen mit Tränke,17301,
TRINKBRUNNENOGD.17302,POINT (16.361988638435058 48.25220335334682),Trinkbrunnen,17302,
TRINKBRUNNENOGD.17303,POINT (16.25613906979933 48.20249008066775),Trinkbrunnen mit Tränke,17303,
TRINKBRUNNENOGD.17304,POINT (16.361164523449244 48.17458859812597),Trinkbrunnen mit Tränke,17304,
TRINKBRUNNENOGD.17305,POINT (16.37039989089071 48.19906766901479),Trinkbrunnen mit Tränke,17305,
TRINKBRUNNENOGD.17306,POINT (16.344566233385844 48.18793636698),Trinkbrunnen mit Tränke,17306,
TRINKBRUNNENOGD.17307,POINT (16.360126956323686 48.186575455559506),Trinkbrunnen mit Tränke,17307,
TRINKBRUNNENOGD.17308,POINT (16.3436887136164 48.193690485811075),Trinkbrunnen mit Tränke,17308,
TRINKBRUNNENOGD.17309,POINT (16.343921885357528 48.19381801434218),Trinkbrunnen,17309,
TRINKBRUNNENOGD.17310,POINT (16.342088980009635 48.19346778790647),Trinkbrunnen mit Tränke,17310,
TRINKBRUNNENOGD.17311,POINT (16.34238791552402 48.19410496879608),Trinkbrunnen mit Tränke,17311,
TRINKBRUNNENOGD.17312,POINT (16.394144752965364 48.17172823422938),Trinkbrunnen,17312,
