FID,OBJECTID,SHAPE,BEZEICHNUNG,WL_NUMMER,SE_ANNO_CAD_DATA
HALTESTELLEWLOGD.61,61,POINT (16.341891393573373 48.252643882699836),An den langen L¸ssen,61,
HALTESTELLEWLOGD.62,62,POINT (16.479420657524322 48.20712401475057),An der Bien,62,
HALTESTELLEWLOGD.63,63,POINT (16.270031677394364 48.20399415989914),An der Niederhaid,63,
HALTESTELLEWLOGD.64,64,POINT (16.291811586897996 48.21560409103849),An der Scheibenwiese,65,
HALTESTELLEWLOGD.65,65,POINT (16.26498167410101 48.18449425567123),Angermayergasse,66,
HALTESTELLEWLOGD.66,66,POINT (16.32267140088592 48.19032419173801),Ansch¸tzgasse,67,
HALTESTELLEWLOGD.67,67,POINT (16.387401193384687 48.269433774845275),Anton-Bosch-Gasse,68,
HALTESTELLEWLOGD.68,68,POINT (16.389731220088954 48.29638364447955),Anton-Bˆck-Gasse,69,
HALTESTELLEWLOGD.69,69,POINT (16.270511589006993 48.142784451917244),Anton-Krieger-Gasse,70,
HALTESTELLEWLOGD.70,70,POINT (16.440890906833864 48.25145382759336),Anton-Sattler-Gasse,71,
HALTESTELLEWLOGD.71,71,POINT (16.386261193288643 48.26492379665377),Anton-Stˆrck-Gasse,72,
HALTESTELLEWLOGD.72,72,POINT (16.330031414360477 48.225824018569995),Antonigasse,73,
HALTESTELLEWLOGD.73,73,POINT (16.22346191801947 48.21378414211135),Anzengruberstraﬂe,74,
HALTESTELLEWLOGD.74,74,POINT (16.398121045901643 48.200484096700905),Apostelgasse,75,
HALTESTELLEWLOGD.75,75,POINT (16.272001569697217 48.133714493690036),Liesing Aqu‰dukt,76,
HALTESTELLEWLOGD.76,76,POINT (16.345941278768436 48.184074207503066),Margareteng¸rtel/Arbeitergasse,77,
HALTESTELLEWLOGD.77,77,POINT (16.414001028146483 48.24325388331162),Arbeiterstrandbad,78,
HALTESTELLEWLOGD.78,78,POINT (16.3767211343873 48.188544167222105),Argentinierstraﬂe,79,
HALTESTELLEWLOGD.79,79,POINT (16.355151329497875 48.25386386843429),Armbrustergasse,80,
HALTESTELLEWLOGD.80,80,POINT (16.437530902322987 48.23622390200047),Arminenstraﬂe,81,
HALTESTELLEWLOGD.81,81,POINT (16.33697132125801 48.18365421522551),Arndtstraﬂe,82,
HALTESTELLEWLOGD.82,82,POINT (16.480120715286702 48.251443803336535),Arnikaweg,83,
HALTESTELLEWLOGD.83,83,POINT (16.384711088098417 48.18388418456825),Arsenal,84,
HALTESTELLEWLOGD.84,84,POINT (16.281321676047526 48.24250396859706),Artariastraﬂe,85,
HALTESTELLEWLOGD.85,85,POINT (16.372021134778723 48.17218424843011),Arthaberplatz,86,
HALTESTELLEWLOGD.86,86,POINT (16.472710630626153 48.16394422484713),Artillerieplatz,87,
HALTESTELLEWLOGD.87,87,POINT (16.444410816016703 48.19751408218944),Aspernallee,88,
HALTESTELLEWLOGD.88,88,POINT (16.483280653387517 48.21717396499591),Asperner Heldenplatz,89,
HALTESTELLEWLOGD.89,89,POINT (16.481580689977307 48.238013866078894),Frederick-Loewe-Weg,90,
HALTESTELLEWLOGD.90,90,POINT (16.354441229967758 48.17887422712852),Matzleinsdf.Platz Autoreisezug,91,
HALTESTELLEWLOGD.91,91,POINT (16.29786145610218 48.1431544323925),Atzgersdorf Friedhof,92,
HALTESTELLEWLOGD.92,92,POINT (16.294251479917378 48.147614413986645),Atzgersdorf Kirchenplatz,93,
HALTESTELLEWLOGD.93,93,POINT (16.289041504892527 48.147764416192416),Atzgersdorf,94,
HALTESTELLEWLOGD.94,94,POINT (16.26408161514397 48.138944474340974),An der Liesing,95,
HALTESTELLEWLOGD.95,95,POINT (16.296351501060066 48.17051430325805),Atzgersdorfer Straﬂe,96,
HALTESTELLEWLOGD.96,96,POINT (16.518090463104595 48.203134009840745),Auernheimergasse,98,
HALTESTELLEWLOGD.97,97,POINT (16.357361286346336 48.22995398169259),Augasse,99,
HALTESTELLEWLOGD.98,98,POINT (16.398421115905066 48.25193385126562),Broﬂmannplatz,100,
HALTESTELLEWLOGD.99,99,POINT (16.336561385191416 48.228154002752795),Aumannplatz,101,
HALTESTELLEWLOGD.100,100,POINT (16.387961201787935 48.27745373640856),Autokaderstraﬂe,102,
HALTESTELLEWLOGD.101,101,POINT (16.337701310997332 48.17871423790166),Aﬂmayergasse,103,
HALTESTELLEWLOGD.102,102,POINT (16.35677123162457 48.18828418065625),Bacherplatz,104,
HALTESTELLEWLOGD.103,103,POINT (16.486430720799568 48.277323676357035),Badeteich S¸ﬂenbrunn,105,
HALTESTELLEWLOGD.104,104,POINT (16.224001908666057 48.208974164932),Badgasse,106,
HALTESTELLEWLOGD.105,105,POINT (16.261901712915737 48.201614176049176),Bahnhofstraﬂe,107,
HALTESTELLEWLOGD.106,106,POINT (16.517470474619575 48.20872398364504),Wiethestraﬂe/Kirschenallee,108,
HALTESTELLEWLOGD.107,107,POINT (16.355671315065646 48.244613912214284),Barawitzkagasse,109,
HALTESTELLEWLOGD.108,108,POINT (16.395021058237226 48.198004110455514),Barichgasse,110,
HALTESTELLEWLOGD.109,109,POINT (16.404081086574234 48.25043385477735),Morelligasse,111,
HALTESTELLEWLOGD.110,110,POINT (16.360711257567853 48.22087402286558),Bauernfeldplatz,112,
HALTESTELLEWLOGD.111,111,POINT (16.277041632393786 48.1968041894588),Linzer Straﬂe/Hochsatzengasse,113,
HALTESTELLEWLOGD.112,112,POINT (16.278981629707797 48.20154416553956),Baumgartner Friedhof,114,
HALTESTELLEWLOGD.113,113,POINT (16.40473100436995 48.193254127465636),Baumgasse,115,
HALTESTELLEWLOGD.114,114,POINT (16.362831300749395 48.25948383726787),"Nuﬂdorf, Beethovengang",116,
HALTESTELLEWLOGD.115,115,POINT (16.361001191654736 48.174244245136386),Belgradplatz,117,
HALTESTELLEWLOGD.116,116,POINT (16.328511453568073 48.24866390997687),Bellevuestraﬂe,118,
HALTESTELLEWLOGD.117,117,POINT (16.387171184868617 48.2622138090667),Bellgasse,119,
HALTESTELLEWLOGD.118,118,POINT (16.37195115906521 48.19013416197648),Belvederegasse,120,
HALTESTELLEWLOGD.119,119,POINT (16.43953088408033 48.230083929671665),Benatzkygasse,121,
HALTESTELLEWLOGD.120,120,POINT (16.36170124867168 48.218054035314125),Berggasse,122,
HALTESTELLEWLOGD.121,121,POINT (16.256811737705434 48.20138417998636),Bergmillergasse,123,
HALTESTELLEWLOGD.122,122,POINT (16.335291372839215 48.21465406775278),Bergsteiggasse,124,
HALTESTELLEWLOGD.123,123,POINT (16.407481067902943 48.24974385587572),Theodor-Kˆrner-Gasse,125,
HALTESTELLEWLOGD.124,124,POINT (16.38266104175976 48.1428643808697),Berlepschgasse,126,
HALTESTELLEWLOGD.125,125,POINT (16.36343117897223 48.174074244320146),Fernkorngasse,127,
HALTESTELLEWLOGD.126,126,POINT (16.40639111765479 48.28132370615413),Bernreiterplatz,128,
HALTESTELLEWLOGD.127,127,POINT (16.41069105255007 48.24917385696455),M¸hlsch¸ttel,129,
HALTESTELLEWLOGD.128,128,POINT (16.410481090010478 48.2756537304256),Berzeliusgasse,130,
HALTESTELLEWLOGD.129,129,POINT (16.43427083722847 48.17727418499116),Beschuﬂamt,131,
HALTESTELLEWLOGD.130,130,POINT (16.41573108283657 48.28922366288999),Anton-Schall-Gasse,132,
HALTESTELLEWLOGD.131,131,POINT (16.492370693792918 48.279003663979125),Bettelheimstraﬂe,133,
HALTESTELLEWLOGD.132,132,POINT (16.436740912948608 48.24029388310192),Bezirksamt Donaustadt,134,
HALTESTELLEWLOGD.133,133,POINT (16.35459131263907 48.23890394040699),Dˆblinger Hauptstr/Gatterburgg,135,
HALTESTELLEWLOGD.134,134,POINT (16.373751134845516 48.178354217329506),Laxenburger Str/Gudrunstraﬂe,136,
HALTESTELLEWLOGD.135,135,POINT (16.354991243423296 48.190674170593276),Bezirksamt Margareten,137,
HALTESTELLEWLOGD.136,136,POINT (16.480930704217386 48.24644382642158),Bibernellweg,138,
HALTESTELLEWLOGD.137,137,POINT (16.28353163934639 48.22463405248752),Bieglerh¸tte,139,
HALTESTELLEWLOGD.138,138,POINT (16.465110730315573 48.20874401599702),Binsenweg,140,
HALTESTELLEWLOGD.139,139,POINT (16.47068065355564 48.17308418277685),Biomull-Werk,141,
HALTESTELLEWLOGD.140,140,POINT (16.321981394812962 48.1833742253921),Bischoffgasse,142,
HALTESTELLEWLOGD.141,141,POINT (16.39773096196789 48.138064395224),Bischofgasse,143,
HALTESTELLEWLOGD.142,142,POINT (16.341501373106272 48.237123956740675),Blaasstraﬂe,144,
HALTESTELLEWLOGD.143,143,POINT (16.36826116946606 48.18435419210479),Blechturmgasse,145,
HALTESTELLEWLOGD.144,144,POINT (16.44930076510307 48.1778741727323),Bleibtreustraﬂe,146,
HALTESTELLEWLOGD.145,145,POINT (16.425650871349454 48.170974220479515),Bleriotgasse,147,
HALTESTELLEWLOGD.146,146,POINT (16.34047134284055 48.21099408265039),Blindengasse,148,
HALTESTELLEWLOGD.147,147,POINT (16.331791399306045 48.221444037906124),Blumengasse,149,
HALTESTELLEWLOGD.148,148,POINT (16.316961354573515 48.137314448769004),Hetmanekgasse,150,
HALTESTELLEWLOGD.149,149,POINT (16.368691203241465 48.20984407028013),Bognergasse,151,
HALTESTELLEWLOGD.150,150,POINT (16.229781781197204 48.137904500792224),Bohattaweg,152,
HALTESTELLEWLOGD.151,151,POINT (16.330111429986406 48.23711396460265),Borkowskigasse,153,
HALTESTELLEWLOGD.152,152,POINT (16.28054160220968 48.18731423279651),Bossigasse,154,
HALTESTELLEWLOGD.153,153,POINT (16.453130862729722 48.26262376609437),Maculangasse/Wagramer Straﬂe,155,
HALTESTELLEWLOGD.154,154,POINT (16.29461155485048 48.202744149912455),Braillegasse,156,
HALTESTELLEWLOGD.155,155,POINT (16.370521194148107 48.21026406690086),Brandst‰tte,157,
HALTESTELLEWLOGD.156,156,POINT (16.296041581153368 48.22691403387888),Braungasse,158,
HALTESTELLEWLOGD.157,157,POINT (16.32804136931401 48.18690420478443),Grimmgasse,159,
HALTESTELLEWLOGD.158,158,POINT (16.418830905172854 48.1718442205846),Braunhubergasse,160,
