FID,OBJECTID,SHAPE,BEZEICHNUNG,WL_NUMMER,SE_ANNO_CAD_DATA
HALTESTELLEWLOGD.267,267,POINT (16.450970730466953 48.159044261421556),Luzegasse,270,
HALTESTELLEWLOGD.268,268,POINT (16.43613094654189 48.26307377522786),Eipeldauerstraﬂe,271,
HALTESTELLEWLOGD.269,269,POINT (16.38456106972408 48.16939425388837),Eisenstadtplatz,272,
HALTESTELLEWLOGD.270,270,POINT (16.440860860647227 48.21783398771133),Eisstoﬂgasse,273,
HALTESTELLEWLOGD.271,271,POINT (16.41224100166938 48.21793400510367),Elderschplatz,274,
HALTESTELLEWLOGD.272,272,POINT (16.25440177353005 48.218474100386125),Elsbeergasse,275,
HALTESTELLEWLOGD.273,273,POINT (16.331141398326974 48.21814405417772),Elterleinplatz,276,
HALTESTELLEWLOGD.274,274,POINT (16.352401244701028 48.182704209995855),Embelgasse,277,
HALTESTELLEWLOGD.275,275,POINT (16.290911504219398 48.15303439008998),Endemanngasse,278,
HALTESTELLEWLOGD.276,276,POINT (16.39264111792142 48.2334239430361),Engerthstraﬂe/Innstraﬂe,279,
HALTESTELLEWLOGD.277,277,POINT (16.389221138651433 48.23632393165478),Engerthstraﬂe/Traisengasse,280,
HALTESTELLEWLOGD.278,278,POINT (16.5359903859421 48.209913967077156),Englisch-Feld-Gasse,281,
HALTESTELLEWLOGD.279,279,POINT (16.43124089268397 48.20626404870239),Donaumarina,282,
HALTESTELLEWLOGD.280,280,POINT (16.407940990900045 48.1952741159184),Erdbergstr/Schlachthausgasse,283,
HALTESTELLEWLOGD.281,281,POINT (16.306151515455984 48.21439408757072),Ottakringer Str/Erdbrustgasse,284,
HALTESTELLEWLOGD.282,282,POINT (16.316751361006087 48.14133442934397),Erlaaer Straﬂe,285,
HALTESTELLEWLOGD.283,283,POINT (16.369321156176078 48.17862421863064),Erlachplatz,286,
HALTESTELLEWLOGD.284,284,POINT (16.32265146634807 48.23732396813324),Erndtgasse,287,
HALTESTELLEWLOGD.285,285,POINT (16.453300816646404 48.22957392374453),Erzherzog-Karl-Straﬂe,288,
HALTESTELLEWLOGD.286,286,POINT (16.414490952504597 48.191024131421095),Erdberg,289,
HALTESTELLEWLOGD.287,287,POINT (16.440350856180757 48.211924016572326),Donaustadtbr¸cke,290,
HALTESTELLEWLOGD.288,288,POINT (16.28681162307066 48.224384051811725),Eselstiege,291,
HALTESTELLEWLOGD.289,289,POINT (16.39594105107662 48.19654411674107),Eslarngasse,292,
HALTESTELLEWLOGD.290,290,POINT (16.350851269687308 48.195064151809355),Esterhazygasse,293,
HALTESTELLEWLOGD.291,291,POINT (16.461060667210116 48.14855430551217),Etrichstraﬂe,294,
HALTESTELLEWLOGD.292,292,POINT (16.37436111089597 48.16397428564541),Daumegasse,295,
HALTESTELLEWLOGD.293,293,POINT (16.360361202207518 48.1797842193936),Evangelischer Friedhof,296,
HALTESTELLEWLOGD.294,294,POINT (16.526330437879395 48.214093952781425),Eﬂling Schule,297,
HALTESTELLEWLOGD.295,295,POINT (16.5316104151059 48.216223939909916),Eﬂling Friedhof,298,
HALTESTELLEWLOGD.296,296,POINT (16.475050700817352 48.22271394316006),Aspernstraﬂe,299,
HALTESTELLEWLOGD.297,297,POINT (16.385021093517402 48.18839416219518),Fasangasse,300,
HALTESTELLEWLOGD.298,298,POINT (16.362621286847627 48.248953887446916),"Heiligenstadt, 12.-Februar-Pl",301,
HALTESTELLEWLOGD.299,299,POINT (16.30616148612029 48.19376418614725),Diesterweggasse,302,
HALTESTELLEWLOGD.300,300,POINT (16.294921516793437 48.17642427576253),Wattmanngasse/Elisabethallee,303,
HALTESTELLEWLOGD.301,301,POINT (16.32585145425382 48.24004395277322),Felix-Dahn-Straﬂe,304,
HALTESTELLEWLOGD.302,302,POINT (16.432200979735175 48.27293373039013),Felmayergasse,305,
HALTESTELLEWLOGD.303,303,POINT (16.35578122928342 48.18393420159796),Fendigasse,306,
HALTESTELLEWLOGD.304,304,POINT (16.36396118285449 48.17892422078102),Sonnleithnergasse,307,
HALTESTELLEWLOGD.305,305,POINT (16.31341153836334 48.25635388287017),Gspˆttgraben,308,
HALTESTELLEWLOGD.306,306,POINT (16.36056130456341 48.25411386432881),Fernsprechamt Heiligenstadt,309,
HALTESTELLEWLOGD.307,307,POINT (16.426550920296783 48.209794034393035),Ferry-Dusika-Stadion,310,
HALTESTELLEWLOGD.308,308,POINT (16.278211652200255 48.21533410060338),Feuerwache Am Steinhof,311,
HALTESTELLEWLOGD.309,309,POINT (16.33250145186394 48.261473846529256),Feuerwache Grinzing,312,
HALTESTELLEWLOGD.310,310,POINT (16.460820736916006 48.19830406871513),Dampfkraftwerk,313,
HALTESTELLEWLOGD.311,311,POINT (16.423680875353647 48.167074240693196),Fickeysstraﬂe,314,
HALTESTELLEWLOGD.312,312,POINT (16.39705098476126 48.15254432579915),Filmteichstraﬂe,315,
HALTESTELLEWLOGD.313,313,POINT (16.499800511108855 48.17225416900505),Finsterbuschstraﬂe/Spielplatz,316,
HALTESTELLEWLOGD.314,314,POINT (16.48328066284779 48.22432393019621),Billgasse,317,
HALTESTELLEWLOGD.315,315,POINT (16.48076067316956 48.222723939414095),Lˆschniggasse,318,
HALTESTELLEWLOGD.316,316,POINT (16.429110869757526 48.18246416337832),Firma Dietzel,319,
HALTESTELLEWLOGD.317,317,POINT (16.450960778046497 48.19310409956881),Dammhaufengasse,320,
HALTESTELLEWLOGD.318,318,POINT (16.343161233617135 48.14266440702288),Pfarrgasse/Traviatagasse,321,
HALTESTELLEWLOGD.319,319,POINT (16.21908192906185 48.20618418093732),Zimbagasse,322,
HALTESTELLEWLOGD.320,320,POINT (16.217431939430693 48.20767417501725),Auhof,323,
HALTESTELLEWLOGD.321,321,POINT (16.428130872516633 48.18090417204673),Firma Schiff & Stern,324,
HALTESTELLEWLOGD.322,322,POINT (16.425871004671574 48.26818375676947),Giefinggasse,325,
HALTESTELLEWLOGD.323,323,POINT (16.22879177070387 48.12713455284637),Rodaun Wohnheim,327,
HALTESTELLEWLOGD.324,324,POINT (16.425691000353154 48.26494377275321),Heinrich-von-Buol-Gasse,328,
HALTESTELLEWLOGD.325,325,POINT (16.440880858214157 48.21551399909013),Fischergrund,329,
HALTESTELLEWLOGD.326,326,POINT (16.28854156279808 48.18713422821231),Fichtnergasse,330,
HALTESTELLEWLOGD.327,327,POINT (16.39067102201347 48.157094308719806),Florian-Geyer-Gasse,331,
HALTESTELLEWLOGD.328,328,POINT (16.43125083622162 48.16558424288751),Florian-Hedorfer-Straﬂe,332,
HALTESTELLEWLOGD.329,329,POINT (16.345671319136596 48.2127840708171),Florianigasse,333,
HALTESTELLEWLOGD.330,330,POINT (16.400011115320503 48.256713827588214),Floridsdorf,334,
HALTESTELLEWLOGD.331,331,POINT (16.269521638927717 48.175134297876795),Joseph-Lister-Gasse,335,
HALTESTELLEWLOGD.332,332,POINT (16.338821390967375 48.2405739427198),Flotowgasse,336,
HALTESTELLEWLOGD.333,333,POINT (16.504290548428425 48.2156239591152),Flugfeldstraﬂe,337,
HALTESTELLEWLOGD.334,334,POINT (16.27883163348992 48.20382415511672),Flˆtzersteig,338,
HALTESTELLEWLOGD.335,335,POINT (16.290721579967578 48.20700413216533),Flˆtzersteigbr¸cke,339,
HALTESTELLEWLOGD.336,336,POINT (16.218141950186173 48.21799412541675),Hadersdorf Forstgarten,340,
HALTESTELLEWLOGD.337,337,POINT (16.374971221706744 48.24523389772948),Forsthausgasse,341,
HALTESTELLEWLOGD.338,338,POINT (16.47739063890152 48.18646411476075),Frachtenbahnhof Lobau Hafen,342,
HALTESTELLEWLOGD.339,339,POINT (16.27122160220741 48.15471439389601),Franz-Asenbauer-Gasse,343,
HALTESTELLEWLOGD.340,340,POINT (16.348801251726037 48.17489424908361),Franz-Josef-Spital,344,
HALTESTELLEWLOGD.341,341,POINT (16.361041261828934 48.22567399957338),Franz-Josefs-Bahnhof,345,
HALTESTELLEWLOGD.342,342,POINT (16.392131069688684 48.1966241191054),Krankenanstalt Rudolfstiftung,346,
HALTESTELLEWLOGD.343,343,POINT (16.450600806655263 48.2132740034414),Franz-Pletersky-Weg,347,
HALTESTELLEWLOGD.344,344,POINT (16.391521096193678 48.213784037697565),Franzensbr¸cke,348,
HALTESTELLEWLOGD.345,345,POINT (16.38280103725369 48.14009439404901),Franzosenweg,349,
HALTESTELLEWLOGD.346,346,POINT (16.306451410441998 48.14090443837803),Forchheimergasse,350,
HALTESTELLEWLOGD.347,347,POINT (16.242761810723707 48.204474174563536),Freesienweg,351,
HALTESTELLEWLOGD.348,348,POINT (16.416251096565947 48.30142360434468),Freiheitsplatz,352,
HALTESTELLEWLOGD.349,349,POINT (16.450270849231735 48.24251386445506),Freihofsiedlung,353,
HALTESTELLEWLOGD.350,350,POINT (16.47948061165165 48.17414417259455),Kraftwerk Freudenau,354,
HALTESTELLEWLOGD.351,351,POINT (16.25664174405289 48.20561416045375),Freyenthurmgasse,355,
HALTESTELLEWLOGD.352,352,POINT (16.403051099067994 48.25618382818691),Freytaggasse,356,
HALTESTELLEWLOGD.353,353,POINT (16.364871245808615 48.227023991154276),Friedensbr¸cke,357,
HALTESTELLEWLOGD.354,354,POINT (16.27100166513867 48.19915418226858),Baumgarten,358,
HALTESTELLEWLOGD.355,355,POINT (16.402461029155695 48.203254080677766),Friedensgasse,359,
HALTESTELLEWLOGD.356,356,POINT (16.23093187369707 48.207754166371515),Mariabrunn Kirche,360,
HALTESTELLEWLOGD.357,357,POINT (16.41912089472453 48.16523425150838),Friedjunggasse,361,
HALTESTELLEWLOGD.358,358,POINT (16.342011383139734 48.245743915345045),Friedlgasse,362,
HALTESTELLEWLOGD.359,359,POINT (16.37971119604244 48.24426389920706),Friedrich-Engels-Platz,363,
HALTESTELLEWLOGD.360,360,POINT (16.40463107625839 48.24543387854455),Friedstraﬂe,364,
HALTESTELLEWLOGD.361,361,POINT (16.358691176276746 48.155284337068),Frˆdenplatz,365,
HALTESTELLEWLOGD.362,362,POINT (16.3921711518469 48.25626383427819),Frˆmmlgasse,366,
HALTESTELLEWLOGD.363,363,POINT (16.320181499179842 48.25195389959486),Frˆschelgasse,367,
HALTESTELLEWLOGD.364,364,POINT (16.340061300307134 48.179344233334746),L‰ngenfeldgasse/Flursch¸tzstr,368,
HALTESTELLEWLOGD.365,365,POINT (16.413891041950922 48.25306383648892),Fultonstraﬂe,369,
HALTESTELLEWLOGD.366,366,POINT (16.293751577295033 48.21539409058564),Funkengerngasse,370,
HALTESTELLEWLOGD.367,367,POINT (16.36147125694834 48.22304401187817),Seegasse,371,
HALTESTELLEWLOGD.368,368,POINT (16.30151153747096 48.21407409187697),Gallitzinstraﬂe,372,
HALTESTELLEWLOGD.369,369,POINT (16.244261701945575 48.13168452102629),Kaltenleutgebner Straﬂe 10/63,373,
HALTESTELLEWLOGD.370,370,POINT (16.231911756856274 48.1284245441759),Rodaun Gasthaus Maut,374,
HALTESTELLEWLOGD.371,371,POINT (16.432481010189303 48.29645361799528),Gasthaus Zum Friedhof,375,
HALTESTELLEWLOGD.372,372,POINT (16.34922133820135 48.23919394221065),Gatterburggasse,376,
HALTESTELLEWLOGD.373,373,POINT (16.422540871599796 48.16050427222345),Gattergasse,377,
HALTESTELLEWLOGD.374,374,POINT (16.318901398874203 48.175884263506234),Gatterhˆlzl,378,
HALTESTELLEWLOGD.375,375,POINT (16.34309129650408 48.18723419422287),Gaudenzdorfer G¸rtel,379,
HALTESTELLEWLOGD.376,376,POINT (16.36990121980342 48.22628399146217),Gauﬂplatz,380,
HALTESTELLEWLOGD.377,377,POINT (16.313221424520258 48.17454427294263),Gaﬂmannstraﬂe,381,
HALTESTELLEWLOGD.378,378,POINT (16.399491003796115 48.17502421742642),Geiereckstraﬂe,382,
HALTESTELLEWLOGD.379,379,POINT (16.362731281661198 48.245223905060676),Geistingergasse,383,
HALTESTELLEWLOGD.380,380,POINT (16.382631086139526 48.175004228252675),Gellertplatz,384,
HALTESTELLEWLOGD.381,381,POINT (16.26485167072714 48.181174272178666),Gemeindeberggasse,385,
HALTESTELLEWLOGD.382,382,POINT (16.50309055579998 48.217373951834304),General-Motors-Werk,386,
HALTESTELLEWLOGD.383,383,POINT (16.45580080379617 48.229213924507796),Genochplatz,387,
HALTESTELLEWLOGD.384,384,POINT (16.412811090347827 48.28400368972318),Br¸nner Straﬂe/Hanreitergasse,388,
HALTESTELLEWLOGD.385,385,POINT (16.366251244970535 48.23169396812277),Gerhardusgasse,389,
HALTESTELLEWLOGD.386,386,POINT (16.425960865040793 48.16799423424538),Geringergasse,390,
HALTESTELLEWLOGD.387,387,POINT (16.53310041312474 48.21993392080961),Gernotgasse,391,
HALTESTELLEWLOGD.388,388,POINT (16.283361661021036 48.23919398326666),Geroldgasse,392,
HALTESTELLEWLOGD.389,389,POINT (16.32907142648919 48.231633990931485),Gersthof,393,
HALTESTELLEWLOGD.390,390,POINT (16.461220761835296 48.21803397446244),Ehrenpreisgasse,394,
HALTESTELLEWLOGD.391,391,POINT (16.31656148545456 48.22995400723886),Gersthofer Friedhof,395,
HALTESTELLEWLOGD.392,392,POINT (16.362751220784975 48.201644113557876),Getreidemarkt,396,
HALTESTELLEWLOGD.393,393,POINT (16.394261069933073 48.20382408288487),Geusaugasse,397,
HALTESTELLEWLOGD.394,394,POINT (16.410920954245032 48.179574188481375),Zippererstraﬂe,399,
HALTESTELLEWLOGD.395,395,POINT (16.390861064135954 48.18807416039679),Heinrich-Drimmel-Platz,400,
HALTESTELLEWLOGD.396,396,POINT (16.259491694993578 48.180294279690045),Ghelengasse,401,
HALTESTELLEWLOGD.397,397,POINT (16.47905070156507 48.23754387028088),Gladiolenweg,403,
HALTESTELLEWLOGD.398,398,POINT (16.32143148093388 48.243293939942355),Glanzing,404,
HALTESTELLEWLOGD.399,399,POINT (16.353171311394018 48.23334396806279),Glatzgasse,405,
HALTESTELLEWLOGD.400,400,POINT (16.26618163901207 48.16367435426365),Glawatschweg,406,
HALTESTELLEWLOGD.401,401,POINT (16.381891148826227 48.217794024312205),Glockengasse,407,
HALTESTELLEWLOGD.402,402,POINT (16.292051539944143 48.182984246219654),Gloriettegasse,408,
HALTESTELLEWLOGD.403,403,POINT (16.235831855800306 48.21244414061556),Glossystraﬂe,409,
HALTESTELLEWLOGD.404,404,POINT (16.268721649212136 48.17920427890964),Gobergasse,410,
HALTESTELLEWLOGD.405,405,POINT (16.41894098423709 48.22949394569935),Goethehof,411,
HALTESTELLEWLOGD.406,406,POINT (16.27585161895493 48.18278425766824),Gogolgasse,412,
HALTESTELLEWLOGD.407,407,POINT (16.322751336231807 48.144304411726225),Goldhammergasse,413,
HALTESTELLEWLOGD.408,408,POINT (16.47277071763943 48.22718392324675),Gotthelfgasse,414,
HALTESTELLEWLOGD.409,409,POINT (16.36970119685645 48.20918407305949),Graben/Petersplatz,415,
HALTESTELLEWLOGD.410,410,POINT (16.30820144365542 48.17065429530308),Graf-Seilern-Gasse,416,
HALTESTELLEWLOGD.411,411,POINT (16.40066101417791 48.186434162316125),Grasbergergasse,417,
HALTESTELLEWLOGD.412,412,POINT (16.281971653221937 48.229144032635176),Grasgasse,418,
HALTESTELLEWLOGD.413,413,POINT (16.37957115485826 48.21396404438481),Gredlerstraﬂe,419,
HALTESTELLEWLOGD.414,414,POINT (16.337761386832753 48.233853975378224),Gregor-Mendel-Straﬂe,420,
HALTESTELLEWLOGD.415,415,POINT (16.30537143946766 48.157244360496584),Gregorygasse,421,
HALTESTELLEWLOGD.416,416,POINT (16.544250358026662 48.219353916449506),Greinzgasse,422,
HALTESTELLEWLOGD.417,417,POINT (16.206212021437473 48.22717408917546),Greutberggasse,423,
HALTESTELLEWLOGD.418,418,POINT (16.375031227108682 48.24947387783618),Griegstraﬂe,424,
HALTESTELLEWLOGD.419,419,POINT (16.416220921433588 48.174314210141354),Enkplatz,425,
HALTESTELLEWLOGD.420,420,POINT (16.34213139633027 48.25546386967772),Grinzing,426,
HALTESTELLEWLOGD.421,421,POINT (16.451090820203344 48.22394395255228),Am Bahnhof,427,
HALTESTELLEWLOGD.422,422,POINT (16.365501280738986 48.254773858447585),Grinzinger Straﬂe,428,
HALTESTELLEWLOGD.423,423,POINT (16.44446085672462 48.227343939931025),Donaustadtstraﬂe/Lange Allee,429,
HALTESTELLEWLOGD.424,424,POINT (16.47295068233236 48.20188404374919),Groﬂer Biberhaufen,430,
HALTESTELLEWLOGD.425,425,POINT (16.40856110048415 48.27649372823195),Groﬂjedlersdorf,431,
HALTESTELLEWLOGD.426,426,POINT (16.366891124173083 48.146414373933744),Groﬂmarktstraﬂe,432,
HALTESTELLEWLOGD.427,427,POINT (16.281751608282576 48.195454192816726),Gruschaplatz,434,
HALTESTELLEWLOGD.428,428,POINT (16.397311017545515 48.176674211071095),Gr‰ﬂlplatz,435,
HALTESTELLEWLOGD.429,429,POINT (16.337821327320466 48.19054418151357),Gumpendorfer Straﬂe,436,
HALTESTELLEWLOGD.430,430,POINT (16.32968137070643 48.19328417370749),Grenzgasse,437,
HALTESTELLEWLOGD.431,431,POINT (16.353541314392672 48.236523952379585),Guneschgasse,438,
HALTESTELLEWLOGD.432,432,POINT (16.3617112851371 48.24465390869813),Gunoldstraﬂe,439,
HALTESTELLEWLOGD.433,433,POINT (16.32670139725771 48.20235413250399),Guntherstraﬂe,440,
HALTESTELLEWLOGD.434,434,POINT (16.540780359486128 48.20811397225996),Guntherstraﬂe/Stadtgrenze,441,
HALTESTELLEWLOGD.435,435,POINT (16.290031565802714 48.19457419230975),Gusenleithnergasse,442,
HALTESTELLEWLOGD.436,436,POINT (16.326001456308234 48.24199394359818),Gustav-Pick-Gasse,443,
HALTESTELLEWLOGD.437,437,POINT (16.335711293290895 48.15934433224731),Gutheil-Schoder-Gasse WLB,444,
HALTESTELLEWLOGD.438,438,POINT (16.309331489431187 48.20771411771684),Gutraterplatz,445,
HALTESTELLEWLOGD.439,439,POINT (16.374991155693067 48.198124122846785),Guﬂhausstraﬂe,446,
HALTESTELLEWLOGD.440,440,POINT (16.35873119193624 48.16648428343762),Guﬂriegelstraﬂe,447,
HALTESTELLEWLOGD.441,441,POINT (16.344741347815223 48.2300039887866),Gymnasiumstraﬂe,448,
HALTESTELLEWLOGD.442,442,POINT (16.254961768144742 48.21667410851932),G¸nselgasse,449,
HALTESTELLEWLOGD.443,443,POINT (16.307671524630923 48.226344029209486),"Dornbach, G¸pferlingstraﬂe",450,
HALTESTELLEWLOGD.444,444,POINT (16.241631722807686 48.137734493418094),G¸tenbachstraﬂe,451,
HALTESTELLEWLOGD.445,445,POINT (16.43914083307961 48.191204115778724),G‰rtnerstraﬂe,453,
HALTESTELLEWLOGD.446,446,POINT (16.45311087325296 48.27032372981248),Haberditzlgasse,454,
HALTESTELLEWLOGD.447,447,POINT (16.48977062299066 48.21889395277824),Haberlandtgasse,455,
HALTESTELLEWLOGD.448,448,POINT (16.33113138834544 48.21170408497538),Neulerchenfelder Str/Haberlg,456,
HALTESTELLEWLOGD.449,449,POINT (16.36779120352835 48.20763408192789),Habsburgergasse,457,
HALTESTELLEWLOGD.450,450,POINT (16.332271365829058 48.19940414244357),Beingasse,458,
HALTESTELLEWLOGD.451,451,POINT (16.2193719333836 48.20985416332533),Hadersdorfer Hauptstraﬂe,459,
HALTESTELLEWLOGD.452,452,POINT (16.224241909031598 48.21030415852661),Hadersdorf Bahnhof,460,
HALTESTELLEWLOGD.453,453,POINT (16.39505104858979 48.19183413964011),Oberzellergasse,461,
HALTESTELLEWLOGD.454,454,POINT (16.403411167673795 48.307263584504355),Stammersdorfer Kellergasse,462,
HALTESTELLEWLOGD.455,455,POINT (16.463260693262114 48.17528417700469),11. Haidequerstraﬂe,463,
HALTESTELLEWLOGD.456,456,POINT (16.44215080108073 48.17911417128822),7. Haidequerstraﬂe,464,
HALTESTELLEWLOGD.457,457,POINT (16.42668087798537 48.17950417944674),Haidestraﬂe,465,
HALTESTELLEWLOGD.458,458,POINT (16.473820616200594 48.156844257877104),Dreherstraﬂe,466,
HALTESTELLEWLOGD.459,459,POINT (16.31604149318387 48.23332399116125),Eckpergasse,467,
HALTESTELLEWLOGD.460,460,POINT (16.363851284342584 48.251953872843515),Halteraugasse,468,
HALTESTELLEWLOGD.461,461,POINT (16.460960682892086 48.16010425038727),Halterlacken,469,
HALTESTELLEWLOGD.462,462,POINT (16.3386013111134 48.181524224469975),Hans-Mandl-Berufsschule,470,
HALTESTELLEWLOGD.463,463,POINT (16.414171086083684 48.28630367719918),Empergergasse,471,
HALTESTELLEWLOGD.464,464,POINT (16.294881546061998 48.19725417670825),H¸tteldorfer Str/L¸tzowgasse,472,
HALTESTELLEWLOGD.465,465,POINT (16.458320780129753 48.22074396287964),Hardeggasse,473,
HALTESTELLEWLOGD.466,466,POINT (16.34903133624794 48.237063952659476),Hardtgasse,474,
HALTESTELLEWLOGD.467,467,POINT (16.425190943340848 48.2222939756522),Harrachgasse,475,
HALTESTELLEWLOGD.468,468,POINT (16.464620756246905 48.22559393598506),Hartlebengasse,476,
HALTESTELLEWLOGD.469,469,POINT (16.47514070393685 48.225173931597915),Haschafeld,477,
HALTESTELLEWLOGD.470,470,POINT (16.25124167488633 48.137254489911655),Haselbrunnerstraﬂe,478,
HALTESTELLEWLOGD.471,471,POINT (16.417800895752695 48.16169427007998),Hasenleitengasse,479,
HALTESTELLEWLOGD.472,472,POINT (16.484960670911025 48.23595387421169),Hasibederstraﬂe,480,
HALTESTELLEWLOGD.473,473,POINT (16.318591448600912 48.21040409926351),Hasnerstraﬂe,481,
HALTESTELLEWLOGD.474,474,POINT (16.244161822913156 48.21774410989977),Haspelmeistergasse,482,
HALTESTELLEWLOGD.475,475,POINT (16.405021118283972 48.27737372566796),Haspingerplatz,483,
HALTESTELLEWLOGD.476,476,POINT (16.40693096708215 48.1746842147293),Geiselbergstraﬂe,484,
HALTESTELLEWLOGD.477,477,POINT (16.44384085230311 48.22161396801284),Donaustadtstraﬂe/Deinleingasse,485,
HALTESTELLEWLOGD.478,478,POINT (16.405991019299297 48.20934404976181),"Prater, Hauptallee",486,
HALTESTELLEWLOGD.479,479,POINT (16.48696065841151 48.23371388360299),Hausfeldstraﬂe,487,
HALTESTELLEWLOGD.480,480,POINT (16.285311677311718 48.25798389228257),Dreimarkstein,488,
HALTESTELLEWLOGD.481,481,POINT (16.41570104324513 48.26031380046061),Hawlicekgasse,489,
HALTESTELLEWLOGD.482,482,POINT (16.365181275232434 48.24921388509736),Heiligenstadt,491,
HALTESTELLEWLOGD.483,483,POINT (16.446010879222776 48.249393834237445),Eugen-Bormann-Gasse,492,
HALTESTELLEWLOGD.484,484,POINT (16.368241253176098 48.24429390633813),Heiligenst‰dter Br¸cke,493,
HALTESTELLEWLOGD.485,485,POINT (16.382321153695976 48.22228400307304),Taborstraﬂe/Heinestraﬂe,494,
HALTESTELLEWLOGD.486,486,POINT (16.4281809912643 48.26702376114929),Siemensstr./H.-von-Buol-Gasse,495,
HALTESTELLEWLOGD.487,487,POINT (16.362041136784583 48.13890441319747),Heizwerkstraﬂe,496,
HALTESTELLEWLOGD.488,488,POINT (16.36229122809525 48.205404095404816),Heldenplatz,497,
HALTESTELLEWLOGD.489,489,POINT (16.365511223533005 48.21393405304135),Helferstorferstraﬂe,498,
HALTESTELLEWLOGD.490,490,POINT (16.456250743821162 48.1871641241542),Hellingstraﬂe,499,
HALTESTELLEWLOGD.491,491,POINT (16.379521187651672 48.23696393402465),Dresdner Straﬂe,500,
HALTESTELLEWLOGD.492,492,POINT (16.33196135459523 48.19016418730321),Henriettenplatz,501,
HALTESTELLEWLOGD.493,493,POINT (16.317031487297662 48.23247399463877),Herbeckstraﬂe,502,
HALTESTELLEWLOGD.494,494,POINT (16.521440489922757 48.23389386190578),Heringgasse,503,
HALTESTELLEWLOGD.495,495,POINT (16.284021558414015 48.168234321666674),Hermesstraﬂe,504,
HALTESTELLEWLOGD.496,496,POINT (16.315341482400186 48.2234440389413),Hernals,505,
HALTESTELLEWLOGD.497,497,POINT (16.365771216900058 48.20958407360562),Herrengasse,506,
HALTESTELLEWLOGD.498,498,POINT (16.340901345547554 48.215174062563),Hernalser G¸rtel,507,
HALTESTELLEWLOGD.499,499,POINT (16.32131145010858 48.221514044399406),Hernalser Hauptstr/Wattgasse,508,
HALTESTELLEWLOGD.500,500,POINT (16.28046164116804 48.21524409982861),Hertlgasse,509,
HALTESTELLEWLOGD.501,501,POINT (16.365671165540846 48.17242425111205),Herzgasse,510,
HALTESTELLEWLOGD.502,502,POINT (16.313761409954648 48.1657943146054),Hetzendorf,511,
HALTESTELLEWLOGD.503,503,POINT (16.392931082544006 48.208384062748586),Hetzgasse,513,
HALTESTELLEWLOGD.504,504,POINT (16.282491646855622 48.226164046000584),Heuberg Schutzhaus,514,
HALTESTELLEWLOGD.505,505,POINT (16.297691576953405 48.22888402332631),Heuberggasse,515,
HALTESTELLEWLOGD.506,506,POINT (16.26401163461879 48.153034407032),Heudˆrfelgasse,516,
HALTESTELLEWLOGD.507,507,POINT (16.360981219269917 48.19492414634271),Schˆnbr Str/Kettenbr¸ckengasse,517,
HALTESTELLEWLOGD.508,508,POINT (16.303501491555604 48.187924215593796),Hietzing,520,
HALTESTELLEWLOGD.509,509,POINT (16.27358172869307 48.25304392357028),Obere Waldandacht,521,
HALTESTELLEWLOGD.510,510,POINT (16.338571368648715 48.223154025171155),Hildebrandgasse,522,
HALTESTELLEWLOGD.511,511,POINT (16.4077710280513 48.221123992336764),Hillerstraﬂe,523,
HALTESTELLEWLOGD.512,512,POINT (16.382251044923617 48.143414379305135),Himberger Straﬂe,524,
HALTESTELLEWLOGD.513,513,POINT (16.29593158711268 48.230664016551756),Himmelmutterweg,525,
HALTESTELLEWLOGD.514,514,POINT (16.33754142075076 48.257203864019154),Himmelstraﬂe,526,
HALTESTELLEWLOGD.515,515,POINT (16.387041115453403 48.211154052744675),Hintere Zollamtsstraﬂe,527,
HALTESTELLEWLOGD.516,516,POINT (16.46125078496778 48.2347538946767),Am Krautgarten,528,
HALTESTELLEWLOGD.517,517,POINT (16.349331273848406 48.19331416107166),Hirschengasse,529,
HALTESTELLEWLOGD.518,518,POINT (16.466530759092365 48.234663891590536),Hirschstetten Ort,530,
HALTESTELLEWLOGD.519,519,POINT (16.472010733782533 48.23591388264844),Blumeng‰rten Hirschstetten,531,
HALTESTELLEWLOGD.520,520,POINT (16.468040748736133 48.232643899938296),Hirschstetten,532,
HALTESTELLEWLOGD.521,521,POINT (16.4929706620079 48.25830376259746),Fuchsienweg,533,
HALTESTELLEWLOGD.522,522,POINT (16.277391632971995 48.19800418396418),H¸tteldorfer Str/Hochsatzeng,534,
HALTESTELLEWLOGD.523,523,POINT (16.46804064331751 48.15589426601525),Hoefftgasse,535,
HALTESTELLEWLOGD.524,524,POINT (16.27191157698795 48.13904446832699),Hoferstiege,536,
HALTESTELLEWLOGD.525,525,POINT (16.37197128894853 48.28305371923442),Hofherr-Schrantz-Gasse,537,
HALTESTELLEWLOGD.526,526,POINT (16.399551018109815 48.18517416890351),Hofmannsthalgasse,538,
HALTESTELLEWLOGD.527,527,POINT (16.28722154521374 48.170154310782074),Hofwiesengasse,539,
HALTESTELLEWLOGD.528,528,POINT (16.35510132667536 48.25103388247564),Hohe Warte,540,
HALTESTELLEWLOGD.529,529,POINT (16.202732041240314 48.22902408216456),Hohe-Wand-Wiese,541,
HALTESTELLEWLOGD.530,530,POINT (16.325891361906816 48.17418426742241),Hohenbergstraﬂe,542,
HALTESTELLEWLOGD.531,531,POINT (16.316861406323248 48.17401427381931),Hohenfelsplatz,543,
HALTESTELLEWLOGD.532,532,POINT (16.372041188486495 48.21126406196471),Hoher Markt,544,
