FID,OBJECTID,SHAPE,ADRESSE,AUSNAHME_TXT,STELLPL_ANZ,WEITERE_INF,SE_ANNO_CAD_DATA
PARKENANRAINEROGD.42187,42187,"LINESTRING (16.366272231207887 48.20159357389968, 16.367142018502644 48.20139917905156)","1, Nibelungengasse 2 bis 4",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,18,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42188,42188,"LINESTRING (16.363445863628733 48.20236366723303, 16.363793807758654 48.20278997322553)","1, Eschenbachgasse 5 bis 7",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42189,42189,"LINESTRING (16.36300318654886 48.20325892207503, 16.363631152770527 48.202936523717085)","1, Elisabethstraße 24 bis 26",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,10,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42190,42190,"LINESTRING (16.35550055073621 48.20772441860682, 16.356243615350426 48.20762613783479)","1, Schmerlingplatz 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,18,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42191,42191,"LINESTRING (16.35669872073163 48.209014110010884, 16.356527038218058 48.2084225954373)","1, Bartensteingasse 7 bis 9",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,21,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42192,42192,"LINESTRING (16.356970065206337 48.2098875039804, 16.356771174478766 48.20920791002817)","1, Bartensteingasse 11 bis 15",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,21,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42193,42193,"LINESTRING (16.357717409591924 48.212439620031994, 16.35764809359496 48.21219943335621)","1, Ebendorferstraße 5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42194,42194,"LINESTRING (16.35797146496944 48.213300456536594, 16.357793054514637 48.212689659725314)","1, Ebendorferstraße 7 bis 9",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,14,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42195,42195,"LINESTRING (16.362965724625614 48.213080458283834, 16.361981300775106 48.21255384439794, 16.36194568581323 48.212527345055506, 16.361921820828055 48.21250070029203, 16.361908988530384 48.212472388181986, 16.361902207974286 48.212440981059196, 16.36190611058684 48.212411950227434, 16.361919625079626 48.212385535369904)","1, Mölker Bastei 8 bis 16",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,23,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42196,42196,"LINESTRING (16.36301443917437 48.21152675523431, 16.36328772974146 48.211636740259685, 16.36353876295576 48.211727694785154)","1, Teinfaltstraße 3 bis 5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,14,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42197,42197,"LINESTRING (16.363084011794275 48.21075778555469, 16.36235122970136 48.210490981927094)","1, Schenkenstraße 3-7",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42198,42198,"LINESTRING (16.34519594224143 48.198448679911166, 16.34524148147964 48.19835349682792, 16.345282752691134 48.19827544834807, 16.345362451248636 48.198127915339015)","7, Zieglergasse 9 bis 11",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42199,42199,"LINESTRING (16.343799187055176 48.1978072429916, 16.343929355590415 48.197556842278274)","7, Schottenfeldgasse 10 bis 12",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42200,42200,"LINESTRING (16.355405852546536 48.20124174928699, 16.355312654357167 48.20139262229285)","7, Stiftgasse ggü. 5-9",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42201,42201,"LINESTRING (16.355288467284456 48.20143486172443, 16.35522443768776 48.2015377837144)","7, Stiftgasse ggü. 5-9",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,2,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42202,42202,"LINESTRING (16.35373643838985 48.20109530446062, 16.3534036455674 48.20099198858911)","7, Lindengasse 8 bis 10",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42203,42203,"LINESTRING (16.35366842513024 48.20100489513947, 16.353917246924645 48.20108099981911)","7, Lindengasse 11",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42204,42204,"LINESTRING (16.35261171815104 48.199995763451895, 16.352544693320485 48.20015038400608)","7, Kirchengasse 5",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42205,42205,"LINESTRING (16.35107294489201 48.19921773219776, 16.35118251858282 48.199053060365436)","7, Zollergasse 5",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42206,42206,"LINESTRING (16.342497665809777 48.198864750780196, 16.34295921311882 48.19892690964775)","7, Stollgasse 1A bis 1C",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42207,42207,"LINESTRING (16.358626900055945 48.19946106798885, 16.358769543666394 48.19930760593585)","6, Bienengasse 3 bis 5",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42208,42208,"LINESTRING (16.357449749133103 48.19987400411381, 16.357186173728692 48.19966981864237)","6, Windmühlgasse 8",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42209,42209,"LINESTRING (16.35263280448523 48.19799994189205, 16.351774316744706 48.198043072449465)","6, Schadekgasse 1",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42210,42210,"LINESTRING (16.35077265993294 48.19754290810286, 16.350934467494376 48.19734615328359)","6, Amerlingstraße 6",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42211,42211,"LINESTRING (16.350456974761304 48.19589297333553, 16.350088778560238 48.195685150136526)","6, Königseggasse 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42212,42212,"LINESTRING (16.348732625408303 48.195063413522185, 16.349140945493183 48.19469473207728)","6, Loquaiplatz ggü. 10",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,17,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42213,42213,"LINESTRING (16.34718134732404 48.19349970408968, 16.34727655942602 48.19340375424896)","6, Webgasse 14",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42214,42214,"LINESTRING (16.373057344894317 48.21347158524514, 16.372633494623848 48.21370657186904)","1, Gonzagagasse 5 bis 7",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,13,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42215,42215,"LINESTRING (16.368228325906944 48.212421541027, 16.368556078581445 48.21265933504765, 16.36879543817389 48.21284772012692)","1, Tiefer Graben 20 bis 26",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42216,42216,"LINESTRING (16.374186129820334 48.21074030285273, 16.37392707386111 48.21088934241318)","1, Fischhof 3",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42217,42217,"LINESTRING (16.37285247007271 48.21092118100356, 16.372653172245588 48.21100928441398, 16.372427196043503 48.21112654504207)","1, Hoher Markt ggü. 4",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42218,42218,"LINESTRING (16.370823109107643 48.20907086676991, 16.37085526442133 48.20924039301474)","1, Freisingergasse 1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42219,42219,"LINESTRING (16.37016746235989 48.20643115069355, 16.370401689468952 48.2067550186531)","1, Seilergasse 14 bis 18",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42220,42220,"LINESTRING (16.376882590537416 48.208722923813525, 16.37713303016299 48.20861665216308)","1, Bäckerstraße 18",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42221,42221,"LINESTRING (16.358024231953607 48.21348229620834, 16.358130799355724 48.21384498826321)","1, Ebendorferstraße 11",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42222,42222,"LINESTRING (16.362902085841892 48.21141665002106, 16.363267079018367 48.21091259693376)","1, Rosengasse 1-5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42223,42223,"LINESTRING (16.355772232363133 48.20064063739115, 16.355696822396983 48.20076580963487)","7, Stiftgasse ggü. 1-3",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42224,42224,"LINESTRING (16.350580829156268 48.20006621191, 16.350359928983984 48.20002665608952)","7, Lindengasse 37",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42225,42225,"LINESTRING (16.349737299026017 48.19999434854108, 16.35012741075539 48.200064258339985)","7, Lindengasse 34 bis 36",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,10,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42226,42226,"LINESTRING (16.34797968900186 48.199748628921135, 16.34771362844117 48.19971712834064)","7, Lindengasse 44A",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42227,42227,"LINESTRING (16.34782117562832 48.19919125741231, 16.34830523872695 48.19925128809968)","7, Richtergasse 5 bis 7",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42228,42228,"LINESTRING (16.347066006568458 48.199057785598946, 16.34714307952496 48.19886236625397)","7, Andreasgasse 10",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42229,42229,"LINESTRING (16.347443645015254 48.197970586518466, 16.347570725615515 48.19766653984414)","7, Andreasgasse 1",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42230,42230,"LINESTRING (16.345512564612328 48.19932660338686, 16.34586582430742 48.19938219441113)","7, Lindengasse 57",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42231,42231,"LINESTRING (16.345127383106732 48.199065985903204, 16.345137158901856 48.19899698149724, 16.345146935723555 48.19893392496163, 16.34516560580803 48.1988512367065, 16.34518161131842 48.19878163600121)","7, Zieglergasse 14 bis 18",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42232,42232,"LINESTRING (16.34581537515559 48.19727309720347, 16.345748704915827 48.19740041949517)","7, Zieglergasse 1",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42233,42233,"LINESTRING (16.345086430901652 48.198505521048205, 16.344694561442264 48.198440948578686)","7, Apollogasse 1",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42234,42234,"LINESTRING (16.343426519543712 48.19899297608236, 16.343819453861414 48.199054476000356)","7, Lindengasse 65",ausgen. Fahrzeuge mit Parkkleber für den 7. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42235,42235,"LINESTRING (16.344127698086258 48.19693994597798, 16.34405731788839 48.197075926878945)","7, Schottenfeldgasse 1",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42236,42236,"LINESTRING (16.343436482402232 48.19823247289745, 16.343044047309462 48.19816957993468)","7, Apollogasse 5",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42237,42237,"LINESTRING (16.341316763422924 48.197389549581146, 16.341216883353184 48.19783422369746)","7, Kaiserstraße 6",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,10,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42238,42238,"LINESTRING (16.340597502665545 48.19814779191206, 16.340710677525596 48.197984617136626)","7, Apollogasse 28",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42239,42239,"LINESTRING (16.36369899496353 48.21041785473858, 16.364024360352 48.20999372090455)","1, Petrarcagasse 2 bis 6",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42240,42240,"LINESTRING (16.370388632910814 48.213596251439945, 16.371272095721892 48.213365313905804)","1, Salzgries 12-18",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,22,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42241,42241,"LINESTRING (16.34089103293889 48.19102192022651, 16.340805285726734 48.19119392107657)","6, Gfrornergasse 11",ausgen. Fahrzeuge mit Parkkleber für den 6. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42242,42242,"LINESTRING (16.37738967522273 48.2028433999537, 16.37697583375718 48.20243859721643)","1, Kantgasse 2 bis 4",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42243,42243,"LINESTRING (16.375161348679857 48.203392872925484, 16.375490802610553 48.20370480701764)","1, Hegelgasse 10",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42244,42244,"LINESTRING (16.37563338574046 48.20383069631851, 16.37609805265778 48.204271916358685)","1, Hegelgasse 6 bis 8",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,10,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42245,42245,"LINESTRING (16.375482015391142 48.20375222547123, 16.37494494209173 48.20399285355658)","1, Johannesgasse 14",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,10,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42246,42246,"LINESTRING (16.374369587789825 48.203562183309124, 16.374279828693854 48.203481312750974, 16.374249899385582 48.20344134686933, 16.373731302297493 48.20298371205565)","1, Schellinggasse 13",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,16,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42247,42247,"LINESTRING (16.372923106710548 48.2034950815279, 16.3724796761501 48.203608959690975)","1, Krugerstraße 16",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42248,42248,"LINESTRING (16.35004134735675 48.196743949599075, 16.350590938125638 48.197022181442556)","6, Damböckgasse 3 bis 5",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,16,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42249,42249,"LINESTRING (16.359878880428585 48.20072680239256, 16.36009900254506 48.20062318537648)","6, Königsklostergasse 6 bis 8",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42250,42250,"LINESTRING (16.359249396857866 48.20035868589475, 16.359398399742805 48.20047334699968)","6, Pfauengasse 1",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42251,42251,"LINESTRING (16.35967377087137 48.20068525571773, 16.359442528720407 48.20050710295844)","6, Pfauengasse 1",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42252,42252,"LINESTRING (16.37150450722494 48.20328603600041, 16.370898600131106 48.20342184971796)","1, Walfischgasse 4 bis 6",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42253,42253,"LINESTRING (16.369611007563137 48.20153550505612, 16.370815402304924 48.201264118351226)","1, Bösendorferstraße 2 bis 8",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,19,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42254,42254,"LINESTRING (16.37439757894289 48.205186830735975, 16.373973550418032 48.20532778437559)","1, Himmelpfortgasse 14 bis 16",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42255,42255,"LINESTRING (16.37447306371533 48.205213931218964, 16.374176978351908 48.2053130143671, 16.374066295618487 48.2053473139163, 16.374012626680788 48.205362228855094)","1, Himmelpfortgasse 17 bis 19",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42256,42256,"LINESTRING (16.372395098181062 48.20583453273015, 16.372450811302386 48.20593582103776)","1, Rauhensteingasse 7",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,2,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42257,42257,"LINESTRING (16.37557129317694 48.20553250213681, 16.37585290537551 48.205358764640344)","1, Weihburggasse 25",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42258,42258,"LINESTRING (16.3785230821962 48.20658147085427, 16.37795472470411 48.206024156201146)","1, Cobdengasse 2 bis 4",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,13,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42259,42259,"LINESTRING (16.378316981682367 48.20704810845624, 16.377200351267422 48.20754167247251)","1, Zedlitzgasse 2 bis 4",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,19,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42260,42260,"LINESTRING (16.377079980788302 48.20750065263995, 16.376808301214524 48.20719012825896)","1, Riemergasse 7",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42261,42261,"LINESTRING (16.376720653040948 48.20709065089753, 16.376666141648677 48.207028329451006, 16.376602199974897 48.20697350599515, 16.376566894625395 48.20693268716081)","1, Riemergasse 9",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42262,42262,"LINESTRING (16.376362678172146 48.20669787171573, 16.376498581307462 48.20685310808856)","1, Riemergasse 11",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42263,42263,"LINESTRING (16.37612216381146 48.2063969551929, 16.376295007333397 48.206596090381694)","1, Riemergasse 15",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42264,42264,"LINESTRING (16.360502938193555 48.20043766174041, 16.360887061507068 48.200257188388306)","6, Königsklostergasse 2 bis 4",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42265,42265,"LINESTRING (16.358978729719322 48.19990318342014, 16.359063989426055 48.199936247835254, 16.359084580299935 48.19994131474681, 16.35910336370237 48.19994300170184, 16.359121784493798 48.19994227405502, 16.359378945006494 48.1999045519382)","6, Fillgradergasse 5",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42266,42266,"LINESTRING (16.3588953705474 48.19981028574548, 16.359058859220838 48.199613578814876)","6, Laimgrubengasse 27 bis 29",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42267,42267,"LINESTRING (16.358648213146033 48.19953359613329, 16.358508906699086 48.19968398957574)","6, Bienengasse 6-8",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42268,42268,"LINESTRING (16.357980504187665 48.20021809483651, 16.357697650440205 48.19998808578399)","6, Windmühlgasse 3 bis 5",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42269,42269,"LINESTRING (16.3574662894805 48.19995277126176, 16.357311523498414 48.200099136047655)","6, Capistrangasse 3",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42270,42270,"LINESTRING (16.35736605020718 48.19935659644401, 16.35788666105901 48.19956119725718)","6, Fillgradergasse 18 bis 20",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42271,42271,"LINESTRING (16.357627318025497 48.19938539898923, 16.357172173132945 48.199206862993385, 16.35715953002406 48.19920302409858, 16.357146889544666 48.19920148970714, 16.357137121859182 48.19920187595795, 16.357124481274568 48.19920418278085, 16.357112416707015 48.19920879400211, 16.356941233681862 48.19931369371121)","6, Fillgradergasse 15 bis 21",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42272,42272,"LINESTRING (16.356246951550798 48.19882095265805, 16.35545334873248 48.19813413870982)","6, Windmühlgasse 19 bis 27",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,24,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42273,42273,"LINESTRING (16.35125492978615 48.198504841575776, 16.351467729368313 48.19827507089514)","6, Kollergerngasse 1-5",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42274,42274,"LINESTRING (16.351118160925946 48.197785536803494, 16.350763836064303 48.19765577943401)","6, Chwallagasse 1",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42275,42275,"LINESTRING (16.3513832754634 48.19691017506253, 16.351685219581842 48.197021419562844)","6, Blümelgasse 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
