FID,OBJECTID,SHAPE,ADRESSE,AUSNAHME_TXT,STELLPL_ANZ,WEITERE_INF,SE_ANNO_CAD_DATA
PARKENANRAINEROGD.42122,42122,"LINESTRING (16.341431425505114 48.19263005960525, 16.34158308396959 48.192439525811)","6, Aegidigasse 7 bis 11",ausg. Fahrzeuge mit Parkpickerl für den 6. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42123,42123,"LINESTRING (16.340725937344235 48.1921673351324, 16.340993828083004 48.19224014750782)","6, Strohmayergasse 4 bis 6",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42124,42124,"LINESTRING (16.339487023902105 48.191747288347024, 16.339984853125095 48.191883672301365)","6, Strohmayergasse 13 bis 15",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42125,42125,"LINESTRING (16.339088961027375 48.19098164181284, 16.338992292982425 48.19070808004374)","6, Wallgasse 10 bis 12",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42126,42126,"LINESTRING (16.355881093977576 48.20552426103674, 16.355747122336336 48.20551111467619, 16.355565870216296 48.205499732113175)","7, Neustiftgasse 2",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42127,42127,"LINESTRING (16.35308195201589 48.2133815499502, 16.352652655979092 48.213362475277016)","8, Laudongasse 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42128,42128,"LINESTRING (16.351913496377584 48.21309108934604, 16.352001221469486 48.21270968587705)","8, Lammgasse 10 bis 12",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42129,42129,"LINESTRING (16.352082791074512 48.21202654655585, 16.352000833346036 48.21238603522449)","8,  1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42130,42130,"LINESTRING (16.351219856581338 48.212518463051005, 16.351336994280338 48.211984374606104)","8, Lange Gasse ggü. 56 bis ggü. 60",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42131,42131,"LINESTRING (16.35168062913261 48.210829358931065, 16.351730050376954 48.21066672415726)","8, Lange Gasse 45 bis 47",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42132,42132,"LINESTRING (16.35112330619179 48.21060270196056, 16.351320295474448 48.21060159341429)","8, Maria-Treu-Gasse 2 bis 4",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42133,42133,"LINESTRING (16.35028260140873 48.21045322452173, 16.35036817927174 48.21005838995922)","8, Piaristengasse 43",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42134,42134,"LINESTRING (16.345286017573915 48.19495071551527, 16.344925825321038 48.194830136104606)","6, Schmalzhofgasse 22 bis 24",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42135,42135,"LINESTRING (16.344954373127955 48.19469434672276, 16.345290272086554 48.19437452095796)","6, Haydngasse 14 bis 16",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42136,42136,"LINESTRING (16.345724799990467 48.19395315496542, 16.345917794775783 48.19376896907955)","6, Haydngasse 6 bis 8",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42137,42137,"LINESTRING (16.377151308024377 48.20770646527249, 16.377344604972006 48.20796361213397)","1, Riemergasse 7",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42138,42138,"LINESTRING (16.373994458098643 48.207170785871725, 16.3738108466864 48.20726697665767, 16.373733980109765 48.20729936158232, 16.373672767373307 48.20732032112146, 16.373423725968017 48.207405549759606)","1, Singerstraße 12 bis 14",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,10,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
