FID,SHAPE,STRNAM,ZEITRAUM,STELLPL_ANZ,BESCHREIBUNG,WEBLINK2,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA,KATEGORIE,KATEGORIE_TXT
BEHINDERTENPARKPLATZOGD.475817,POINT (16.47455098961973 48.20884203254509),M¸hlwasserpromenade,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475817,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475818,POINT (16.3914774284268 48.209034354152095),Kolonitzplatz,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,3,475818,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475819,POINT (16.454416540341732 48.23938341273107),Polgarstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475819,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475820,POINT (16.37203276309981 48.20969955592319),Bauernmarkt,,1,"Polizei, Fuﬂg‰ngerzone zum Stephansplatz",http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475820,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475821,POINT (16.33354928702847 48.21438790330035),Ottakringer Straﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,16,475821,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475822,POINT (16.33865039055139 48.176896227164775),Aﬂmayergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,12,475822,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475823,POINT (16.355818441317812 48.20411974583276),Kirchberggasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,7,475823,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475824,POINT (16.40674724015826 48.182593547095784),Dampfm¸hlgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,11,475824,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475825,POINT (16.350892104481673 48.181318303934894),Siebenbrunnenfeldgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,5,475825,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475826,POINT (16.362853306953735 48.204257143212324),Burgring,Mo.- Fr.(w.) v. 7-18h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475826,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475827,POINT (16.362911330315896 48.20421363526406),Burgring,Mo.- Fr.(w.) v. 9-18h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475827,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475828,POINT (16.326427287693647 48.204488126043024),Hagengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,15,475828,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475829,POINT (16.366890620698513 48.25484955810903),Boschstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,19,475829,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475830,POINT (16.363161161988355 48.20979992468002),Abraham-a-Sancta-Clara-Gasse,v. 0-24h,1,Bundesbehˆrde f¸r Bildung und Kultur,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475830,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475831,POINT (16.37745876048272 48.20953550073069),Schˆnlaterngasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475831,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475832,POINT (16.35033404582644 48.225454496504824),Achamergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,9,475832,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475833,POINT (16.32972515735703 48.23342631636552),Severin-Schreiber-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475833,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475834,POINT (16.375466096954145 48.230998399069534),Wallensteinstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475834,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475835,POINT (16.40005763736181 48.19600872701161),Rabengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,3,475835,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475836,POINT (16.34313367906849 48.18117912039488),Koflergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,12,475836,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475837,POINT (16.373930382493477 48.17417333383356),Muhrengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475837,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475838,POINT (16.365570133170785 48.17094743534268),Hardtmuthgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475838,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475839,POINT (16.32190901900742 48.21262523152188),Eisnergasse,,2,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,16,475839,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475840,POINT (16.35527923819573 48.24379898882083),Dˆblinger Hauptstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,19,475840,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475841,POINT (16.335466861407905 48.19535873077882),Kohlenhofgasse,Mo.-Fr. (w.) v. 8-15h,1,Bezirksgericht F¸nfhaus,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,15,475841,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475842,POINT (16.439287384827576 48.23872532583302),Donaustadtstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475842,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475843,POINT (16.45317713680944 48.24535176769129),Hirschstettner Straﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475843,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475844,POINT (16.368038107764338 48.19457125939347),Floragasse,Mo.-Fr. (w.) v. 8-12h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475844,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475845,POINT (16.367887688593683 48.19513766016034),Mozartgasse,Mo.-Sa. (w.) v. 9-18h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475845,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475846,POINT (16.362690945790323 48.24998987021752),Heiligenst‰dter Straﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,19,475846,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475847,POINT (16.350227602668706 48.1471944913443),Kolbegasse,von 8-18h,1,Friedhof Inzersdorf,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,23,475847,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475848,POINT (16.321149052016732 48.14540904049832),Kwietongasase,v. 12-22h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,23,475848,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475849,POINT (16.39447320743861 48.23034735659651),Vorgartenstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,2,475849,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475850,POINT (16.352876451622375 48.23178550423653),W‰hringer G¸rtel,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475850,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475851,POINT (16.3645938356978 48.16120780047042),Vivaldigasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475851,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475852,POINT (16.371646087742793 48.18809021237563),Graf-Starhemberg-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475852,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475853,POINT (16.375259353784227 48.18752221848321),Schelleingasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475853,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475854,POINT (16.37720598400096 48.189822930341755),Goldeggasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475854,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475855,POINT (16.36663140598438 48.17462152415193),Rotenhofgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475855,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475856,POINT (16.3649266463329 48.174736833266394),Rotenhofgasse,von 7-13h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475856,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475857,POINT (16.363189312395523 48.172986353129694),Fernkorngasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475857,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475858,POINT (16.366465877097955 48.17275662707472),Herzgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475858,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475859,POINT (16.28502830081602 48.181772174702516),Stadlergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,13,475859,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475860,POINT (16.279705430340506 48.1707079847977),Josef-Kyrle-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,13,475860,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475861,POINT (16.386735736431444 48.236734584968374),Vorgartenstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475861,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475862,POINT (16.413690715247828 48.21866872222844),Machstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,2,475862,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475863,POINT (16.370558854228847 48.209031070646965),Goldschmiedgasse,v. 9-24h,2,Fuﬂg‰ngerzone,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475863,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475864,POINT (16.47830034445863 48.2384700433191),Kolletschkagasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475864,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475865,POINT (16.316105109814472 48.238529247302054),Wurzingergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475865,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475866,POINT (16.36131411233672 48.1684337816805),Brunnweg,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475866,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475867,POINT (16.39072210515642 48.19022685346615),Khungasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,3,475867,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475868,POINT (16.383205909538024 48.289084435221724),Berlagasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,21,475868,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475869,POINT (16.377727570399713 48.16790513881825),Wirerstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475869,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475870,POINT (16.36165495487282 48.16097347983824),Neilreichgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475870,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475871,POINT (16.373734868393484 48.184157054583814),Laxenburger Straﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475871,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475872,POINT (16.336897102406894 48.21479109333608),Ottakringer Straﬂe,Mo.-Fr. (w.) v. 9-18h,2,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,16,475872,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475873,POINT (16.457015353160273 48.151355790971905),Josef-Haas-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,11,475873,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475874,POINT (16.331470735156184 48.20148554561396),Vogelweidplatz,v.7-22h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,15,475874,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475875,POINT (16.369594684922987 48.24231098752196),Spielmanngasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475875,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475876,POINT (16.31852762190833 48.20761325661192),Herbststraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,16,475876,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475877,POINT (16.35499655099429 48.1733582656825),Hardtmuthgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475877,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475878,POINT (16.326621120512176 48.17787348491721),Ruckergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,12,475878,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475879,POINT (16.385099790818725 48.15417897779262),Sapphogasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475879,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475880,POINT (16.36648301513174 48.2098397481681),Wallnerstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475880,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475881,POINT (16.384984271630277 48.204927462069755),Invalidenstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,3,475881,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475882,POINT (16.365867804077016 48.17467316601457),Rotenhofgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475882,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475883,POINT (16.339893321051235 48.17218406700809),Moosbruggergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,12,475883,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475884,POINT (16.287171935585214 48.21594404081106),Gerunggasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,16,475884,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475885,POINT (16.415572134906206 48.26045404505358),Baumberggasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,21,475885,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475886,POINT (16.40620796275637 48.25181727134702),Scheffelstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,21,475886,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475887,POINT (16.368036935252082 48.19086643395048),Schaumburgergasse,"vom 15.3.-5.7. u. 1.9.-31.10., Mo-Fr. (w.) v. 7-9h u. 12-14h",1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475887,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475888,POINT (16.368366015782765 48.190893345141774),Waltergasse,"v. 1.11.-23.12. u. 7.1.-14.3., Mo.-Fr. (w.) v. 7-9h u. 12-14h",1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475888,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475889,POINT (16.36928989379482 48.1910650868876),Graf-Starhemberg-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475889,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475890,POINT (16.37070138539628 48.191711232000614),Waltergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475890,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475891,POINT (16.363824475864572 48.223361834141556),Seegasse,Mo.-Fr. (w.) v. 7-19h,2,Pensionistenheim,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,9,475891,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475892,POINT (16.36863083051318 48.17257432676007),Van-der-N¸ll-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475892,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475893,POINT (16.464315792396807 48.15592875994698),Am Hofgartl,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,11,475893,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475894,POINT (16.312388431724322 48.12910867604985),Basler Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,23,475894,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475895,POINT (16.289452814713695 48.16362931826133),Fred-Liewehr-Gasse,,2,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,13,475895,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475896,POINT (16.324601093482094 48.22961454418132),Scheidlstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475896,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475897,POINT (16.37209294716109 48.209724811265474),Bauernmarkt,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475897,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475546,POINT (16.309598966998895 48.2048451174187),Kendlerstraﬂe,Mo.-Fr.(w.)v.8-18h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,16,475546,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475547,POINT (16.335409270288253 48.222717972077106),Kalvarienberggasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,17,475547,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475548,POINT (16.316768660477845 48.234705936927966),Bastiengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475548,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475549,POINT (16.345154865059772 48.22684640839639),Gentzgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475549,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475550,POINT (16.335796911397452 48.22436893435953),Kreuzgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475550,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475551,POINT (16.30521534264952 48.23735725232366),Leschetitzkygasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475551,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475552,POINT (16.317395963599814 48.23129717450546),Mˆhnergasse,7-20h,1,Friedhof,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475552,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475553,POINT (16.328114168102545 48.23773953265822),Peter-Jordan-Straﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475553,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475554,POINT (16.338514489472743 48.22568350339471),Schulgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475554,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475555,POINT (16.328323704117366 48.22752530409129),Simonygasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475555,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475556,POINT (16.343149202867814 48.223872866837254),Theresiengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475556,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475557,POINT (16.371020468099267 48.230401471679244),J‰gerstraﬂe,von 8-18h,2,Hilfsgemeinschaft der Blinden u. Sehschwachen ÷ste,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475557,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475558,POINT (16.379313585106786 48.23558074614548),Kampstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475558,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475559,POINT (16.37724583518613 48.245921350009745),Kapaunplatz,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475559,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475560,POINT (16.372691708787904 48.22900617540609),Karajangasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475560,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475561,POINT (16.37547058788389 48.24547074598378),Leystraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475561,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475562,POINT (16.376772365408744 48.240791678895405),Meldemannstraﬂe,Mo.-Fr.(w.)v.8-17h,1,Personalservice u. Beratung,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475562,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475563,POINT (16.36767263180812 48.233633026497245),Pappenheimgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475563,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475564,POINT (16.36694737158474 48.23357198602914),Pappenheimgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475564,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475565,POINT (16.371204837093817 48.236500322974),Stromstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475565,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475566,POINT (16.390394687759862 48.23702377871819),Traisengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475566,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475567,POINT (16.36425574735734 48.231639178826526),Treustraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475567,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475568,POINT (16.31361933853404 48.205425541151705),Minciostraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,15,475568,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475569,POINT (16.37442927287195 48.20506614627221),Seilerst‰tte,v. 9-24h,1,"Lokale, Gesch‰fte",http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475569,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475570,POINT (16.526784650506592 48.211626036912676),Rosalia-Chladek-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475570,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475571,POINT (16.39294494238108 48.20279645375514),Kundmanngasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,3,475571,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475572,POINT (16.382779294129584 48.200783649483526),Gottfried-Keller-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,3,475572,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475573,POINT (16.269135675367906 48.193698113068606),Hackinger Straﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,14,475573,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475574,POINT (16.357582050081085 48.23958074345514),Osterleitengasse,Mo.-Fr.(w.)v.7-20h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,19,475574,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475575,POINT (16.444571687203972 48.24620269917667),Meiﬂauergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475575,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475576,POINT (16.351008601990248 48.202197668548685),Siebensterngasse,Mo.-Sa.(w.)v.7-15h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,7,475576,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475577,POINT (16.332054449114164 48.14776698672691),Don-Bosco-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,23,475577,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475578,POINT (16.364452688415966 48.20831766005426),Schauflergasse,Mo-Fr. (w.) v. 8.30-18h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475578,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475579,POINT (16.44942818874444 48.240978305596705),Siebenb¸rgerstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475579,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475580,POINT (16.261493375636583 48.19937698156129),Samhaberplatz,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,14,475580,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475581,POINT (16.352742258197235 48.22684932538881),S‰ulengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,9,475581,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475582,POINT (16.35627425863869 48.18271900090393),Siebenbrunnenfeldgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,5,475582,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475583,POINT (16.356322609570963 48.18273535105035),Siebenbrunnenfeldgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,5,475583,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475584,POINT (16.362681264292693 48.166235504710635),Zohmanngasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475584,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475585,POINT (16.34596804889393 48.19255430260477),Stumpergasse,von 8-19h,2,Krankenhaus der Barmherzigen Schwestern,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,6,475585,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475586,POINT (16.379894668695474 48.168291868306426),Rechberggasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475586,,3,Privat mit Kennzeichen
