FID,SHAPE,STRNAM,ZEITRAUM,STELLPL_ANZ,BESCHREIBUNG,WEBLINK2,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA,KATEGORIE,KATEGORIE_TXT
BEHINDERTENPARKPLATZOGD.474993,POINT (16.45094993216362 48.24629276946041),Afritschgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,474993,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.474994,POINT (16.41589879195359 48.2742992888333),Wankl‰ckergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,21,474994,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.474995,POINT (16.31558976787459 48.196342812892354),M‰rzstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,15,474995,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.474996,POINT (16.454230654768555 48.27717002756897),Adolf-Loos-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,21,474996,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.474997,POINT (16.400064845769162 48.27659387399726),Znaimer Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,21,474997,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.474998,POINT (16.35652072347686 48.186367979807784),Siebenbrunnengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,5,474998,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.474999,POINT (16.354005366105916 48.20670688356627),Lerchenfelder Straﬂe,"Mo.-Mi. u. Fr.(werkt.) v. 8-16h, Do.(werkt.) v. 8-18h",1,Amtshaus,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,8,474999,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475000,POINT (16.39932912744536 48.19856015112201),Keinergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,3,475000,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475001,POINT (16.378469414873308 48.187701405085605),Wiedner G¸rtel,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475001,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475002,POINT (16.378068937548313 48.1875743994135),Wiedner G¸rtel,"Mo.-Fr.(w.) v. 8-18h, Sa.(w.) v. 8-12h",1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475002,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475003,POINT (16.330226639830684 48.242839131729006),Hutweidengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,19,475003,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475004,POINT (16.351282003401806 48.23676763387687),Hardtgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,19,475004,,3,Privat mit Kennzeichen
