FID,SHAPE,STRASSE,STELLPL_ANZ,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MOTORRADABSTELLPLATZOGD.327333,POINT (16.324236627162957 48.217334075671495),Kapitelgasse,3,17,327333,
MOTORRADABSTELLPLATZOGD.327334,POINT (16.35635685765162 48.20533925345198),Museumstraﬂe,10,7,327334,
MOTORRADABSTELLPLATZOGD.327335,POINT (16.476575215645973 48.216821026067244),Trondheimgasse,3,22,327335,
MOTORRADABSTELLPLATZOGD.327336,POINT (16.35253653538133 48.17556548560866),Kundratstraﬂe,10,10,327336,
MOTORRADABSTELLPLATZOGD.327337,POINT (16.487461299273637 48.2494814210434),Ziegelhofstraﬂe,6,22,327337,
MOTORRADABSTELLPLATZOGD.327338,POINT (16.34829499450021 48.22520682520557),W‰hringer Straﬂe,10,18,327338,
MOTORRADABSTELLPLATZOGD.327339,POINT (16.466900314063704 48.1525615266956),Csokorgasse,7,11,327339,
MOTORRADABSTELLPLATZOGD.327340,POINT (16.310750337840894 48.1726294877828),Gaﬂmannstraﬂe,3,12,327340,
MOTORRADABSTELLPLATZOGD.327341,POINT (16.355159613930404 48.21589472903693),Otto-Wagner-Platz,7,9,327341,
MOTORRADABSTELLPLATZOGD.327342,POINT (16.36334372009608 48.20783585703528),Heldenplatz,9,1,327342,
MOTORRADABSTELLPLATZOGD.327343,POINT (16.38934417102715 48.172998587946694),Buchengasse,3,10,327343,
