FID,OBJECTID,SHAPE,TEXT13ID,F_TYP,T_TEXT,T_LANG,O,P,O_UEREG,O_REGION,O_LOKAL,P_WLD,P_WAS,P_WIE,P_WGT,P_LW,P_PK,P_GPK,P_GST,P_SGR,P_AGR,P_RGR,P_URB,Q_MOB,Q_SPI,Q_GRI,Q_HUN,Q_BAB,Q_WC,Q_SPO,Q_TRB,UMFANG,FLAECHE,SE_ANNO_CAD_DATA
OEFFGRUENFLOGD.305,305,"POLYGON ((16.31745587189754 48.221643215355115, 16.31677481453143 48.22187748731534, 16.31637826771708 48.22136846417026, 16.31705151608884 48.221133911762415, 16.31745587189754 48.221643215355115))",Stöberplatz,L,Stöberplatz,Stöberplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,12,1,241.255633,3624.367058,
OEFFGRUENFLOGD.306,306,"MULTIPOLYGON (((16.318972096703334 48.214993851376335, 16.318249231928903 48.21499486586834, 16.31797729722273 48.214186281058794, 16.31878453047004 48.214196241851404, 16.31883995351394 48.21420215147824, 16.31887358246647 48.21423475674054, 16.318972096703334 48.214993851376335), (16.318480421000675 48.214958636488504, 16.318794534728376 48.21496178940467, 16.31880528842332 48.21485094754155, 16.31875930422879 48.21434525484775, 16.318405679400925 48.214350057428774, 16.31847176197343 48.21487608778779, 16.318486342642043 48.21487327335649, 16.318480421000675 48.214958636488504)))",Familienplatz,L,Familienplatz,Familienplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,486.820001,3613.887542,
OEFFGRUENFLOGD.307,307,"POLYGON ((16.311910192795626 48.22268247963484, 16.31130386311953 48.22276400857139, 16.31069809600461 48.222792564754684, 16.30993743534969 48.22279940916921, 16.30922362278769 48.22277990954967, 16.30870334492742 48.22275019949842, 16.308472542757176 48.222739622378704, 16.307738171180056 48.22266462084007, 16.306975685646634 48.22256946283715, 16.307359656021394 48.22086625553869, 16.30741441019713 48.22061733678867, 16.308198693822405 48.22070881180306, 16.308220199163156 48.220510158155214, 16.30839392581348 48.22053043468154, 16.309582023026213 48.22067487465744, 16.309945612615845 48.22072947790504, 16.309800945184445 48.22126712424954, 16.309805042877503 48.22126752627979, 16.309795558250002 48.221274587339614, 16.30945932631752 48.22164286975459, 16.30946695156399 48.221653258613244, 16.30927044139078 48.222552393654446, 16.31042320589714 48.22267073650048, 16.311095859276936 48.22264111712323, 16.31122137682137 48.222460112093685, 16.31147962496938 48.22248714703794, 16.31195701746794 48.22241647194093, 16.312217935818403 48.22235084841203, 16.31223785754289 48.22248200061702, 16.31221653348081 48.22261176742079, 16.312219114794036 48.22261747860901, 16.311910192795626 48.22268247963484))",Kongreßpark,L,Kongreßpark,Kongreßpark,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1302.562381,45618.748455,
OEFFGRUENFLOGD.308,308,"POLYGON ((16.307866930269274 48.21635497351959, 16.307691649321946 48.21638027315537, 16.30742855798668 48.21642432662547, 16.307341675552664 48.215828077919646, 16.307277400346933 48.21558224446466, 16.307190395781454 48.21532149818765, 16.307208685174732 48.21531967896319, 16.3073951908841 48.21530113672528, 16.307508473047093 48.215289873084785, 16.307866930269274 48.21635497351959))",Musilplatz,L,Musilplatz,Musilplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,302.842585,3297.936323,
OEFFGRUENFLOGD.309,309,"POLYGON ((16.294503976308786 48.21525206786853, 16.293968855874013 48.21529178042385, 16.293972368894288 48.21522658125336, 16.29399276763629 48.21512906951763, 16.29404364103086 48.215070351047316, 16.294097855074483 48.21506812255112, 16.294503976308786 48.21525206786853))",Katharinenru*,L,Katharinenruhe,Katharinenruhe,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,106.255131,554.729832,
OEFFGRUENFLOGD.310,310,"POLYGON ((16.36185649419477 48.25974035891949, 16.361929514371443 48.25984169470131, 16.362028173103536 48.25989654742697, 16.36220659702322 48.25993501901317, 16.361967680829217 48.2599450662391, 16.361785727642747 48.25994253957701, 16.361656831717774 48.25992710022803, 16.36143538983999 48.25986860427313, 16.36167423451016 48.25971594924879, 16.361859587350093 48.25960040316496, 16.36185649419477 48.25974035891949))",Pfarrer-Mits*,L,Pfarrer-Mitschke-Park,Pfarrer-Mitschke-Park,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,153.592804,822.160728,
OEFFGRUENFLOGD.311,311,"POLYGON ((16.31303216932125 48.21554673793679, 16.313009951303705 48.215580457857506, 16.312263342479195 48.21569496866883, 16.312199016233986 48.215676688424026, 16.312086969155605 48.21532255922221, 16.312121698517615 48.21529333866605, 16.312894410089424 48.215174618030865, 16.31303216932125 48.21554673793679))",Mildeplatz,L,Mildeplatz,Mildeplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,1,212.163349,2872.079874,
OEFFGRUENFLOGD.312,312,"POLYGON ((16.335797945531503 48.21320604132406, 16.335642392969806 48.21381841900897, 16.334757808482827 48.21371471043807, 16.33491337130307 48.21310120889326, 16.335797945531503 48.21320604132406))",Yppenplatz,L,Yppenplatz,Yppenplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,123,1,271.768342,4614.615625,
OEFFGRUENFLOGD.313,313,"POLYGON ((16.326396948915118 48.212754291562185, 16.32550157142727 48.21296976747808, 16.32548435569258 48.212933512631594, 16.326218339845962 48.212332159494935, 16.326396948915118 48.212754291562185))",Johann-NepoB*,L,Johann-Nepomuk-Berger-Pl*,Johann-Nepomuk-Berger-Platz,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,210.03013,1873.493617,
OEFFGRUENFLOGD.314,314,"POLYGON ((16.309871178977225 48.21285204577292, 16.308930155938246 48.21299150326011, 16.308759397346765 48.212497681155206, 16.309694223922804 48.21235766245995, 16.309871178977225 48.21285204577292))",Stillfriedpl*,L,Stillfriedplatz,Stillfriedplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,12,1,255.715259,4030.524469,
