FID,SHAPE,NAME,BEZIRK,ADRESSE,WEITERE_INF,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MUSEUMOGD.51714,POINT (16.35002664019124 48.21116742963922),K&K Weinschatzkammer,8,Piaristengasse 45,http://www.piaristenkeller.at/,51714,
MUSEUMOGD.51715,POINT (16.350058617382313 48.210998533967896),Kaiser Franz Joseph Hutmuseum,8,Piaristengasse 45,http://www.piaristenkeller.at/,51715,
MUSEUMOGD.51716,POINT (16.359163023622816 48.20264815638529),Leopold Museum,7,Museumsplatz 1,http://www.leopoldmuseum.org,51716,
MUSEUMOGD.51717,POINT (16.38140833313764 48.20764219116685),MAK - Österreichisches Museum für angewandte Kunst/Gegenwartskunst,1,Stubenring 5,http://www.mak.at,51717,
MUSEUMOGD.51718,POINT (16.354199540911416 48.20599352191414),Museum der Mechitharistenkongregation,7,Mechitaristengasse 4/3,http://www.wien.gv.at/ma53/museen/mechi.htm,51718,
MUSEUMOGD.51719,POINT (16.35711069918409 48.219184117589194),Sammlungen der Medizinischen Universität Wien (Josephinum),9,Währinger Straße 25,http://www.josephinum.meduniwien.ac.at/josephinum/museum-im-josephinum/,51719,
MUSEUMOGD.51720,POINT (16.35281960920842 48.21925434063441),Museum des Instituts für Gerichtliche Medizin,9,Sensengasse 2,http://www.meduniwien.ac.at/gerichtsmedizin,51720,
MUSEUMOGD.51721,POINT (16.366517189915985 48.21198548992213),MOYA - Museum Of Young Art,1,Renngasse 4,http://www.moya-vienna.at/,51721,
MUSEUMOGD.51722,POINT (16.37490522065433 48.20815880271996),Mozarthaus Vienna,1,Domgasse 5,http://www.mozarthausvienna.at,51722,
MUSEUMOGD.51732,POINT (16.365764493600416 48.20937479786392),Esperantomuseum,1,Herrengasse 9,http://www.onb.ac.at/esperantomuseum.htm/,51732,
MUSEUMOGD.51733,POINT (16.365702514057062 48.209455392715086),Globenmuseum,1,Herrengasse 9,http://www.onb.ac.at/globenmuseum.htm/,51733,
MUSEUMOGD.51734,POINT (16.36737943446084 48.20602602915831),Kartensammlung,1,Josefsplatz 1,http://www.onb.ac.at/sammlungen/karten/index.htm,51734,
MUSEUMOGD.51735,POINT (16.37257557874881 48.20472543074367),Grillparzer-Gedenkzimmer,1,Johannesgasse 6/2,http://www.wien.gv.at/ma53/museen/grill.htm,51735,
MUSEUMOGD.51736,POINT (16.412059974531036 48.19160770025037),Österreichisches Staatsarchiv,3,Nottendorfer Gasse 2,http://www.oesta.gv.at/,51736,
MUSEUMOGD.51737,POINT (16.368048466588707 48.20339318063333),Österreichisches Volksliedwerk,1,Operngasse 6,http://www.volksliedwerk.at,51737,
MUSEUMOGD.51738,POINT (16.35895544522465 48.25483038108099),St. Jakobs-Kirche Heiligenstadt,19,Pfarrplatz 3,http://www.wien.gv.at/ma53/museen/jakob.htm,51738,
MUSEUMOGD.51739,POINT (16.357707793946954 48.22747110750475),Lichtentaler Pfarrmuseum,9,Marktgasse 40,http://www.wien.gv.at/ma53/museen/li-pf.htm,51739,
MUSEUMOGD.51740,POINT (16.36673530155235 48.20833718000617),Looshaus,1,Michaelerplatz 3,http://www.designzonelooshaus.at/html/m_home.html,51740,
MUSEUMOGD.51741,POINT (16.34704097169151 48.198724067514235),Hofmobiliendepot - Möbel Museum Wien,7,Andreasgasse 7,http://www.hofmobiliendepot.at,51741,
MUSEUMOGD.51742,POINT (16.313130431070675 48.1865294147994),Schloß Schönbrunn (Museum),13,Schönbrunner Schloßstraße 47,http://www.schoenbrunn.at/,51742,
MUSEUMOGD.51743,POINT (16.365279967974566 48.21193581807636),Museum im Schottenstift,1,Freyung 6/1,http://www.schottenstift.at,51743,
MUSEUMOGD.51744,POINT (16.36304329696928 48.21861442019704),Sigmund Freud Museum,9,Berggasse 19,http://www.freud-museum.at,51744,
MUSEUMOGD.51745,POINT (16.483066306466153 48.21779200138615),Sondermuseum Aspern Essling 1809,22,Asperner Heldenplatz 9,http://www.wien.gv.at/vadb/internet/AdvPrSrv.asp?Layout=VAErgebnis_neu&Type=K&ID=317619&HKAT=&KAT=&KATEGORIE_ID=&UNTKATVON=&brckat=&brckatu=&return=,51745,
MUSEUMOGD.51746,POINT (16.356990774634976 48.21187377508319),MUSA MUSEUM (Startgalerie Artothek),1,Felderstraße 6-8,http://www.musa.at,51746,
MUSEUMOGD.51747,POINT (16.356571535742578 48.2109367621497),Rathaus (Führungen),1,Friedrich-Schmidt-Platz 1,http://www.wien.gv.at/verwaltung/rathaus/fuehrung/fuss/index.html,51747,
MUSEUMOGD.51748,POINT (16.318087797489294 48.19102779953244),Technisches Museum,14,Mariahilfer Straße 212,http://www.technischesmuseum.at/,51748,
MUSEUMOGD.51749,POINT (16.430336543946602 48.2520655881624),"Museum für Beschirrung und Besattelung, Hufbeschlag und Veterinär-Orthopädie",21,Josef-Baumann-Gasse 1,http://www.wien.gv.at/ma53/museen/huf.htm,51749,
MUSEUMOGD.51750,POINT (16.383925000647036 48.191674660052875),Botanischer Garten der Universität Wien,3,Rennweg 14,http://www.botanik.univie.ac.at/hbv/,51750,
MUSEUMOGD.51751,POINT (16.348925558364467 48.23351995460781),Sammlung des Institutes für Ur- und Frühgeschichte,19,Franz-Klein-Gasse 1,http://ufgsammlung.univie.ac.at/,51751,
MUSEUMOGD.51752,POINT (16.50011513706473 48.25156604396294),Erstes Wiener Schulmuseum,22,Breitenleer Straße 263 263,http://www.wienerschulmuseum.at/,51752,
MUSEUMOGD.51753,POINT (16.354699535768223 48.19205129716989),Archiv und Sammlung für Geschichte der Arbeiterbewegung,5,Rechte Wienzeile 97,http://www.vga.at/,51753,
MUSEUMOGD.51754,POINT (16.34813863378377 48.22668678045832),Das Sprachinselmuseum,18,Semperstraße 29,http://www.sprachinselverein.at/ger/sp_museum.htm,51754,
MUSEUMOGD.51755,POINT (16.342113116267967 48.20193509149042),WestLicht. Schauplatz für Fotografie,7,Westbahnstraße 40,http://www.westlicht.com,51755,
MUSEUMOGD.51756,POINT (16.373174930486762 48.20379462416162),Haus der Musik - Das Klangmuseum,1,Seilerstätte 30,http://www.hdm.at,51756,
MUSEUMOGD.51521,POINT (16.362322461500035 48.212421533619334),Beethoven Pasqualatihaus,1,Mölker Bastei 8,http://www.wienmuseum.at/de/standorte/ansicht/beethoven-pasqualatihaus.html,51521,
MUSEUMOGD.51522,POINT (16.34516042375056 48.194318555401416),Haydnhaus (mit Brahms-Gedenkraum),6,Haydngasse 19,http://www.wienmuseum.at/de/standorte/ansicht/haydnhaus.html,51522,
MUSEUMOGD.51523,POINT (16.387293440657633 48.21596397829956),Johann Strauß Wohnung,2,Praterstraße 54,http://www.wienmuseum.at/de/standorte/ansicht/johann-strauss-wohnung.html,51523,
MUSEUMOGD.51524,POINT (16.371202659528823 48.21082979827357),Neidhart-Fresken,1,Tuchlauben 19,http://www.wienmuseum.at/de/standorte/ansicht/neidhart-fresken.html,51524,
MUSEUMOGD.51525,POINT (16.39506889637489 48.21602976708153),Pratermuseum,2,Oswald-Thomas-Platz 1,http://www.wienmuseum.at/de/standorte/ansicht/pratermuseum.html,51525,
MUSEUMOGD.51526,POINT (16.372715998744194 48.21070944662263),Römermuseum,1,Hoher Markt 3,http://www.wienmuseum.at/de/standorte/ansicht/roemermuseum.html,51526,
MUSEUMOGD.51527,POINT (16.3552615680088 48.227534854005455),Schubert Geburtshaus,9,Nußdorfer Straße 54,http://www.wienmuseum.at/de/standorte/ansicht/schubert-geburtshaus.html,51527,
MUSEUMOGD.51528,POINT (16.361443099009584 48.19463330235622),Schubert Sterbewohnung,4,Kettenbrückengasse 6,http://www.wienmuseum.at/de/standorte/ansicht/schubert-sterbewohnung-1.html,51528,
MUSEUMOGD.51529,POINT (16.37285532813265 48.19935173254054),Wien Museum Karlsplatz,4,Karlsplatz 8,http://www.wienmuseum.at/de/standorte/ansicht/wien-museum-karlsplatz.html,51529,
MUSEUMOGD.51530,POINT (16.356874124196953 48.211891782612),Artothek (Bildleihstelle),1,Felderstraße 6-8,http://www.musa.at/artothek,51530,
MUSEUMOGD.51531,POINT (16.372860731497276 48.2003220960417),"Gesellschaft der Musikfreunde in Wien (Archiv, Bibliothek und Sammlungen)",1,Bösendorferstraße 12,http://www.musikverein.at/dermusikverein/archiv.php,51531,
MUSEUMOGD.51532,POINT (16.384306804393198 48.282814583666195),1. Wiener Fischereimuseum des Verbandes der Österreichischen Arbeiter-Fischerei-Vereine,21,Einzingerstraße 1A,http://www.fischereimuseum.at,51532,
MUSEUMOGD.51533,POINT (16.420585029810507 48.13205986314228),Johanneskirche Unterlaa (Ausgrabungen und Schauraum),10,Klederinger Straße ,http://www.wien.gv.at/ma53/museen/johann.htm,51533,
MUSEUMOGD.51534,POINT (16.35950040144693 48.215274506990745),Votivkirche (Museum),9,Rooseveltplatz ,http://www.votivkirche.at/_museum.htm,51534,
MUSEUMOGD.51535,POINT (16.30284950653081 48.18413462047979),Palmenhaus Schönbrunn,13,Schloß Schönbrunn ,http://www.schoenbrunn.at/?id=312,51535,
MUSEUMOGD.51536,POINT (16.511563531982002 48.18710782485646),Lobaumuseum,22,Lobau ,http://www.zukunftsbezirk-donaustadt.at/museuminfo/lobaum.html,51536,
MUSEUMOGD.51537,POINT (16.365191454812027 48.20557298850428),Papyrusmuseum,1,Heldenplatz ,http://www.onb.ac.at/sammlungen/papyrus.htm,51537,
MUSEUMOGD.51538,POINT (16.36635917313003 48.20546899522155),Schmetterlinghaus,1,Burggarten ,http://www.schmetterlinghaus.at/,51538,
MUSEUMOGD.51539,POINT (16.36595033653272 48.20781488322389),Silberkammer,1,Hofburg Kaiserstiege ,http://www.hofburg-wien.at/wissenswertes/silberkammer.html,51539,
MUSEUMOGD.51540,POINT (16.369247141538498 48.211954022424976),Museum Judenplatz,1,Judenplatz 8,http://www.jmw.at/museum-judenplatz,51540,
MUSEUMOGD.51541,POINT (16.336700932368807 48.274972501396924),Kahlenbergermuseum,19,Am Kahlenberg ,http://www.wien.gv.at/ma53/museen/kahl.htm,51541,
MUSEUMOGD.51542,POINT (16.364678026194866 48.20526680973199),Sammlung alter Musikinstrumente,1,Hofburg ,http://www.khm.at/besuchen/sammlungen/sammlung-alter-musikinstrumente/,51542,
MUSEUMOGD.51543,POINT (16.364951077475897 48.20516574798765),Ephesos Museum,1,Hofburg ,http://www.khm.at/besuchen/sammlungen/ephesos-museum/,51543,
MUSEUMOGD.51544,POINT (16.365263979754037 48.20535326667771),Hofjagd- und Rüstkammer,1,Hofburg ,http://www.khm.at/besuchen/sammlungen/hofjagd-und-ruestkammer/,51544,
MUSEUMOGD.51545,POINT (16.361561479820697 48.203873240440814),Kunsthistorisches Museum,1,Maria-Theresien-Platz ,http://www.khm.at,51545,
MUSEUMOGD.51546,POINT (16.30960467448964 48.186618499902316),Wagenburg und Monturdepot,13,Schloß Schönbrunn ,http://www.kaiserliche-wagenburg.at/,51546,
MUSEUMOGD.51547,POINT (16.365535755958078 48.20678230360438),Weltliche Schatzkammer,1,Schweizerhof ,http://www.kaiserliche-schatzkammer.at/fr/besuchen/sammlungen/weltliche-schatzkammer/,51547,
MUSEUMOGD.51548,POINT (16.359942943795307 48.20507984380724),Naturhistorisches Museum,1,Maria-Theresien-Platz ,http://www.nhm-wien.ac.at,51548,
MUSEUMOGD.51549,POINT (16.361568290982763 48.18814166560236),Restituta-Dokumentation - Glaube gegen NS-Gewalt,5,Nikolsdorfer Gasse 26-36,http://www.franziskanerinnen.org/index.php?id=30,51549,
MUSEUMOGD.51550,POINT (16.365404309506083 48.20583895265099),"Flugblätter-, Plakate- und Exlibris-Sammlung",1,Heldenplatz ,http://www.onb.ac.at/index.htm,51550,
MUSEUMOGD.51551,POINT (16.373001517754165 48.200613610076026),Vereinsmuseum des Wiener Männergesang-Vereins,1,Bösendorferstraße 12,http://www.wienermaennergesang-verein.at/Vereinsmuseum/32/,51551,
MUSEUMOGD.51552,POINT (16.365770164632963 48.2077816551808),Kaiserappartements,1,Hofburg Kaiserstiege ,http://www.hofburg-wien.at/wissenswertes/kaiserappartements.html,51552,
MUSEUMOGD.51553,POINT (16.36567429349837 48.20764849095892),Sisi Museum,1,Hofburg Kaiserstiege ,http://www.hofburg-wien.at/wissenswertes/sisi-museum.html,51553,
MUSEUMOGD.51554,POINT (16.304166893631717 48.1821606226412),Tiergarten Schönbrunn,13,Schönbrunner Schloßpark ,http://www.zoovienna.at/,51554,
MUSEUMOGD.51555,POINT (16.523976824427244 48.2162364872217),Eßlinger Schüttkasten,22,Simonsgasse ,http://pfarre.aspern.at/Chronik/Geschichte/spuren1809.php,51555,
MUSEUMOGD.51556,POINT (16.2830740763764 48.188545006349806),Klimt-Atelier Hietzing,13,Feldmühlgasse 11,http://www.klimt.at/default2.html,51556,
MUSEUMOGD.51557,POINT (16.366617094668044 48.20798135147304),Ausgrabungen Michaelerplatz,1,Michaelerplatz ,http://www.wienmuseum.at/de/standorte/ansicht/ausgrabungen-michaelerplatz.html,51557,
MUSEUMOGD.51558,POINT (16.305975010641163 48.18751800778696),Otto Wagner Hofpavillon Hietzing,13,Schönbrunner Schloßstraße ,http://www.wienmuseum.at/de/standorte/ansicht/otto-wagner-hofpavillon-hietzing.html,51558,
MUSEUMOGD.51559,POINT (16.370277982272484 48.200261110749466),Otto Wagner Pavillon Karlsplatz,1,Karlsplatz ,http://www.wienmuseum.at/de/standorte/ansicht/otto-wagner-pavillon-karlsplatz.html,51559,
MUSEUMOGD.51560,POINT (16.367962864650877 48.2117748463929),Römische Baureste am Hof,1,Am Hof ,http://www.wienmuseum.at/de/standorte/ansicht/roemische-baureste-am-hof.html,51560,
MUSEUMOGD.51561,POINT (16.371856767834156 48.20821060398186),Virgilkapelle,1,Stephansplatz (U-Bahn) ,http://www.wienmuseum.at/de/standorte/ansicht/virgilkapelle-1.html,51561,
MUSEUMOGD.51562,POINT (16.36590683357332 48.206578872052376),Wiener Hofmusikkapelle (Hofburgkapelle),1,Schweizerhof ,http://www.hofburgkapelle.at,51562,
MUSEUMOGD.51563,POINT (16.349661954385272 48.196755087121666),Condomi-Museum,6,Esterhazygasse 26,http://www.liebens-wert.at/veranstaltungen/condomi-museum,51563,
MUSEUMOGD.51564,POINT (16.367321712584243 48.20866985947134),K.u.K. Hofzuckerbäckerei Demel,1,Kohlmarkt 14,http://www.demel.at/frames/index_wien_museum.htm,51564,
MUSEUMOGD.51565,POINT (16.367733106635875 48.20554389774492),Augustinerkirche,1,Augustinerstraße 3,http://www.augustinerkirche.at/augustinus.php,51565,
MUSEUMOGD.51566,POINT (16.358991487315503 48.20352601553791),Designforum,7,Museumsplatz 1,http://www.designforum.at/w/,51566,
MUSEUMOGD.51567,POINT (16.3958869585799 48.21664690485704),Riesenrad,2,Prater ,http://www.wienerriesenrad.at,51567,
MUSEUMOGD.51568,POINT (16.396116689820442 48.217590617566024),Madame Tussauds,2,Riesenradplatz ,http://www.madametussauds.com/wien,51568,
MUSEUMOGD.51569,POINT (16.366687437860126 48.20749183408083),Spanische Hofreitschule,1,Michaelerplatz 1,http://www.srs.at/,51569,
MUSEUMOGD.51570,POINT (16.405455150411697 48.21935134671703),Circus- und Clownmuseum Wien,2,Ilgplatz 7/1,http://www.bezirksmuseum.at/default/index.php?id=53,51570,
MUSEUMOGD.51571,POINT (16.304001692657778 48.211595933810706),Erstes österreichisches Pflegemuseum,16,Montleartstraße 37,http://www.wienkav.at/kav/ausbildung/allgemein/wil/ZeigeText.asp?ID=38141,51571,
MUSEUMOGD.51572,POINT (16.29152329488393 48.17587798135076),ORF-Backstage Führungen,13,Würzburggasse 30,http://backstage.orf.at/index.html,51572,
MUSEUMOGD.51573,POINT (16.393270864392363 48.20771001376135),Fälschermuseum,3,Löwengasse 28,http://www.faelschermuseum.com,51573,
MUSEUMOGD.51574,POINT (16.401418925408333 48.26195262386963),Marktamtsmuseum,21,Floridsdorfer Markt 5,http://www.wien.gv.at/wirtschaft/marktamt/museum/,51574,
MUSEUMOGD.51575,POINT (16.354776408711043 48.22103981003003),Sparefroh-Haus im Bezirksmuseum Alsergrund,9,Währinger Straße 43,http://www.bezirksmuseum.at/default/index.php?id=1037,51575,
MUSEUMOGD.51576,POINT (16.321971887284935 48.183535827822965),Zauberkasten Museum,12,Schönbrunner Straße 262,http://www.zauberkasten-museum.at/,51576,
MUSEUMOGD.51577,POINT (16.397688615446015 48.24507822068404),Islamisches Zentrum (Moschee),21,Bruckhaufen 3,http://www.izwien.at/,51577,
MUSEUMOGD.51578,POINT (16.371745859153794 48.19846472413211),Karlskirche,4,Karlsplatz ,http://www.karlskirche.at,51578,
MUSEUMOGD.51579,POINT (16.278808464624337 48.21051011739085),OTTO WagnerKirche am Steinhof,14,Baumgartner Höhe 1,http://www.wienkav.at/kav/texte_anzeigen.asp?id=2268,51579,
MUSEUMOGD.51580,POINT (16.253414956632437 48.147630684092064),Kirche zur Heiligsten Dreifaltigkeit,23,Georgsgasse/Rysergasse ,http://www.georgenberg.at,51580,
MUSEUMOGD.51581,POINT (16.367171697131692 48.20800719297125),Michaelerkirche,1,Michaelerplatz ,http://www.michaelerkirche.at/content/michaelerkirche/0,51581,
MUSEUMOGD.51582,POINT (16.381129587643926 48.20997153345094),Wagner: Werk Museum Postsparkasse,1,Georg-Coch-Platz 2,http://www.ottowagner.com/oesterreichische-postsparkasse/,51582,
MUSEUMOGD.51583,POINT (16.3944212990101 48.203331338804425),Wittgenstein-Haus,3,Parkgasse 18,http://www.haus-wittgenstein.at,51583,
MUSEUMOGD.51584,POINT (16.394973785108984 48.21616938978538),Planetarium,2,Oswald-Thomas-Platz 1,http://www.planetarium-wien.at/astronomie_planetarium.html,51584,
MUSEUMOGD.51585,POINT (16.37288641827809 48.20856802727681),Stephansdom,1,Stephansplatz ,http://www.stephanskirche.at,51585,
MUSEUMOGD.51586,POINT (16.4386154972367 48.15118217448464),Zentralfriedhof (Ehrengräber),11,Simmeringer Hauptstraße 234,http://www.friedhoefewien.at/eportal/ep/programView.do/pageTypeId/13576/programId/16165/channelId/-26733,51586,
MUSEUMOGD.51587,POINT (16.37362856414469 48.21077147466796),Ankeruhr,1,Hoher Markt 10-11,http://www.helvetia.at/ueberhelvetia/anker_uhr/,51587,
MUSEUMOGD.51588,POINT (16.37471636610196 48.211614133966705),Synagoge,1,Seitenstettengasse 4,http://www.jmw.at/de/synagoge,51588,
MUSEUMOGD.51589,POINT (16.339065257653726 48.194916025110594),Museum für Verhütung und Schwangerschaftsabbruch,15,Mariahilfer Gürtel 37,http://de.muvs.org/museum/info/,51589,
MUSEUMOGD.51590,POINT (16.38367823710752 48.18577162092361),21er Haus (Österreichische Kunst von 1945 bis heute),3,Arsenalstraße 1,http://www.21erhaus.at/de,51590,
