FID,SHAPE,NAME,BEZIRK,ADRESSE,WEITERE_INF,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MUSEUMOGD.51626,POINT (16.383420200935756 48.152090968588396),Bezirksmuseum Favoriten,10,Ada-Christen-Gasse 2/C,http://www.bezirksmuseum.at/default/index.php?id=36,51626,
MUSEUMOGD.51627,POINT (16.393992250372367 48.26359874437806),Bezirksmuseum Floridsdorf,21,Prager Straße 33,http://www.bezirksmuseum.at/default/index.php?id=48,51627,
MUSEUMOGD.51628,POINT (16.333133991755858 48.21790502350851),Bezirksmuseum Hernals,17,Hernalser Hauptstraße 72-74,http://www.bezirksmuseum.at/default/index.php?id=44,51628,
MUSEUMOGD.51629,POINT (16.301591536183697 48.185595197875855),Bezirksmuseum Hietzing,13,Am Platz 2,http://www.bezirksmuseum.at/default/index.php?id=40,51629,
MUSEUMOGD.51630,POINT (16.371009229741656 48.211897526649665),Bezirksmuseum Innere Stadt,1,Wipplingerstraße 6-8,http://www.bezirksmuseum.at/default/index.php?id=26&L=0,51630,
MUSEUMOGD.51631,POINT (16.35207982350757 48.21050463468106),Bezirksmuseum Josefstadt,8,Schmidgasse 18,http://www.bezirksmuseum.at/default/index.php?id=37,51631,
MUSEUMOGD.51632,POINT (16.387790620492456 48.20123679932455),Bezirksmuseum Landstraße,3,Sechskrügelgasse 11,http://www.bezirksmuseum.at/default/index.php?id=30,51632,
MUSEUMOGD.51633,POINT (16.379635083664922 48.216541979586275),Bezirksmuseum Leopoldstadt,2,Karmelitergasse 9,http://www.bezirksmuseum.at/default/index.php?id=28,51633,
MUSEUMOGD.51634,POINT (16.292787845980662 48.14506991957978),Bezirksmuseum Liesing,23,Canavesegasse 24,http://www.bezirksmuseum.at/default/index.php?id=50,51634,
MUSEUMOGD.51635,POINT (16.35417621892554 48.19060563346101),Bezirksmuseum Margareten,5,Schönbrunner Straße 54,http://www.bezirksmuseum.at/default/index.php?id=32,51635,
MUSEUMOGD.51636,POINT (16.352734622730427 48.19376525356135),Bezirksmuseum Mariahilf,6,Mollardgasse 8,http://www.bezirksmuseum.at/default/index.php?id=33&L=0,51636,
MUSEUMOGD.51637,POINT (16.338315088578344 48.18240487157298),Bezirksmuseum Meidling,12,Längenfeldgasse 13-15,http://www.bezirksmuseum.at/default/index.php?id=39,51637,
MUSEUMOGD.51638,POINT (16.35440610602984 48.20311935783886),Bezirksmuseum Neubau,7,Stiftgasse 8,http://www.bezirksmuseum.at/default/index.php?id=34,51638,
MUSEUMOGD.51639,POINT (16.327063501067347 48.209118293421135),Bezirksmuseum Ottakring,16,Richard-Wagner-Platz 19,http://www.bezirksmuseum.at/default/index.php?id=43,51639,
MUSEUMOGD.51640,POINT (16.304930273494165 48.1897759242352),Bezirksmuseum Penzing,14,Penzinger Straße 59,http://www.bezirksmuseum.at/default/index.php?id=41,51640,
MUSEUMOGD.51641,POINT (16.333671487046875 48.19410988963357),Bezirksmuseum Rudolfsheim-Fünfhaus,15,Rosinagasse 4,http://www.bezirksmuseum.at/default/index.php?id=42,51641,
MUSEUMOGD.51642,POINT (16.41347825663673 48.175429845934325),Bezirksmuseum Simmering,11,Enkplatz 2,http://www.bezirksmuseum.at/default/index.php?id=38&L=0,51642,
MUSEUMOGD.51643,POINT (16.342648617820636 48.2266714885635),Bezirksmuseum Währing,18,Währinger Straße 124,http://www.bezirksmuseum.at/default/index.php?id=45&L=0,51643,
MUSEUMOGD.51644,POINT (16.365860946769327 48.19079592186578),Bezirksmuseum Wieden,4,Klagbaumgasse 4,http://www.bezirksmuseum.at/default/index.php?id=31,51644,
MUSEUMOGD.51645,POINT (16.345248932212304 48.19959422616418),Museum der Gold- und Silberschmiedemuseum,7,Zieglergasse 22,http://www.bezirksmuseum.at/default/index.php?id=54&L=0%3Fid%3D192%3Fid%3D49%3Fid%3D362%3Fid%3D360%3Fid%3D107,51645,
MUSEUMOGD.51646,POINT (16.35273677488335 48.193765433113015),Phonomuseum,6,Mollardgasse 8,http://www.bezirksmuseum.at/default/index.php?id=55&L=0%3Fid%3D192%3Fid%3D49%3Fid%3D362%3Fid%3D360%3Fid%3D107,51646,
MUSEUMOGD.51647,POINT (16.36593434677267 48.19073402956326),Rauchfangkehrermuseum,4,Klagbaumgasse 4,http://www.wienerrauchfangkehrer.at/content/tradition/museum.php,51647,
MUSEUMOGD.51648,POINT (16.356586613853842 48.219706894815225),Zahnärztliches Museum,9,Währinger Straße 25A,http://www.zahnmuseum.at,51648,
MUSEUMOGD.51649,POINT (16.377040715143497 48.189632355898034),Bestattungsmuseum,4,Goldeggasse 19,http://www.bestattungsmuseum.at/,51649,
MUSEUMOGD.51650,POINT (16.37377058451992 48.20207133595206),?Wiener Werkstätte?-Museum,1,Schwarzenbergstraße 10,http://www.backhausen.com/index.php?m=museum,51650,
MUSEUMOGD.51651,POINT (16.34210464429874 48.18940019446818),Sanitärhistorisches Museum,6,Mollardgasse 87,http://www.wien.gv.at/ma53/museen/san-his.htm,51651,
MUSEUMOGD.51652,POINT (16.399694786305798 48.206345969101946),Museum des Blindenwesens,2,Wittelsbachstraße 5,http://www.bbi.at/menu/museum.html,51652,
MUSEUMOGD.51653,POINT (16.36248803085829 48.19608115144098),Dritte Mann Museum,4,Preßgasse 25,http://www.3mpc.net,51653,
MUSEUMOGD.51654,POINT (16.318652604985 48.23854957850577),Museum der Erste Bank AG,18,Gersthofer Straße 143,http://www.wien.gv.at/ma53/museen/spar.htm,51654,
MUSEUMOGD.51655,POINT (16.36745639156148 48.2115297420638),Feuerwehrmuseum,1,Am Hof 7,http://www.wien.gv.at/menschen/sicherheit/feuerwehr/museum/,51655,
MUSEUMOGD.51656,POINT (16.38809675458505 48.16200149475418),Museum der Wiener Austria,10,Fischhofgasse 12,http://www.fk-austria.at/MUSEUM.767.0.html,51656,
MUSEUMOGD.51657,POINT (16.37080420293638 48.20518436234451),Erstes Wiener Glasmuseum der Firma Lobmeyr,1,Kärntner Straße 26,http://www.lobmeyr.com/,51657,
MUSEUMOGD.51658,POINT (16.35674495694304 48.183842935391944),Kaffeemuseum,5,Vogelsanggasse 36,http://kaffeemuseum.at/,51658,
MUSEUMOGD.51659,POINT (16.307225374119867 48.24382822481683),Geymüllerschlössel,18,Khevenhüllerstraße 2,http://www.mak.at/aussenstellen/f_aussenstellen.htm,51659,
MUSEUMOGD.51660,POINT (16.37868527185776 48.223615185114284),Porzellanmuseum im Augarten,2,Obere Augartenstraße 1A,http://www.augarten.at/,51660,
MUSEUMOGD.51661,POINT (16.354476440901664 48.21617878533876),Geldmuseum,9,Otto-Wagner-Platz 3,http://www.oenb.at/de/ueber_die_oenb/geldmuseum/geldmuseum.jsp,51661,
MUSEUMOGD.51662,POINT (16.359760461573995 48.21691777463517),Pharma- und Drogistenmuseum Wien,9,Währinger Straße 14,http://www.drogistenverband.at/drogistenmuseum.htm,51662,
MUSEUMOGD.51663,POINT (16.367774055686347 48.206278269589504),Phantasten Museum,1,Josefsplatz 6,http://phantastenmuseum.jimdo.com/,51663,
MUSEUMOGD.51664,POINT (16.325751625874492 48.19997634321622),Pfadfindermuseum,15,Loeschenkohlgasse 25,http://www.pfadfinder-archiv.org/,51664,
MUSEUMOGD.51665,POINT (16.378443678901824 48.21821893045676),Kriminalmuseum,2,Große Sperlgasse 24,http://www.kriminalmuseum.at/krimwien.html,51665,
MUSEUMOGD.51666,POINT (16.265609708748542 48.19743254320199),Rapideum - Vereinsmuseum Rapid,14,Keißlergasse 6,http://www.skrapid.at/243981.html,51666,
