FID,OBJECTID,SHAPE,TEXT13ID,P_TYP,T_TEXT,T_LANG,O,P,SE_ANNO_CAD_DATA
OEFFGRUENPKTGOGD.2206,2206,POINT (16.361227983446913 48.23548684003668),Donaukanal,Z,Donaukanal,Donaukanal - Heiligenstädter / Spittelauer Lände,10,0,
OEFFGRUENPKTGOGD.2207,2207,POINT (16.36120385899086 48.232660650568754),Donaukanal,Z,Donaukanal,Donaukanal - Heiligenstädter / Spittelauer Lände,10,0,
OEFFGRUENPKTGOGD.2208,2208,POINT (16.365030631972743 48.226820886716176),Donaukanal,Z,Donaukanal,Donaukanal - Roßauer Lände,10,0,
OEFFGRUENPKTGOGD.2209,2209,POINT (16.366114114152094 48.22733402281162),Donaukanal,Z,Donaukanal,Donaukanal - Brigittenauer Lände,10,0,
OEFFGRUENPKTGOGD.2210,2210,POINT (16.39743792233496 48.297277420122214),Feld-Streb.O,Z,Dr.-Nekowitsch-Straße,Dr.-Nekowitsch-Straße,1,0,
OEFFGRUENPKTGOGD.2211,2211,POINT (16.39049642843049 48.28636595878773),Marchfeldkan*,Z,Marchfeldkanal,Marchfeldkanal,10,0,
OEFFGRUENPKTGOGD.2212,2212,POINT (16.39779592814559 48.134421458971545),Johannes-Berg,Z,Rothneusiedl-M.Scheiben,Rothneusiedl - Mittlere Scheiben,1,0,
OEFFGRUENPKTGOGD.2213,2213,POINT (16.409176517627724 48.1372495519984),Hasenleiten *,Z,Hasenleiten / Oberlaa,Oberlaa,1,0,
OEFFGRUENPKTGOGD.2214,2214,POINT (16.407532963755372 48.13919659478987),Hasenleiten *,Z,Hasenleiten / Oberlaa,Oberlaa,1,0,
OEFFGRUENPKTGOGD.2215,2215,POINT (16.41457336213839 48.13868534150792),Hasenleiten *,Z,Hasenleiten / Unteres Fe*,Hasenleiten / Unteres Feld,1,0,
OEFFGRUENPKTGOGD.2216,2216,POINT (16.409321052917925 48.164723896621),Laaer Wald,Z,Laaer Wald,Erholungsgebiet Laaer Wald,1,0,
OEFFGRUENPKTGOGD.2217,2217,POINT (16.40911568408703 48.28512650694194),Toni-Fritsch*,Z,Toni-Fritsch-Weg,Toni-Fritsch-Weg,1,0,
OEFFGRUENPKTGOGD.2218,2218,POINT (16.430666554484908 48.31225561745161),Neurisse / B*,Z,Neurisse / Brünner Straße,Neurisse / Brünner Straße,1,0,
OEFFGRUENPKTGOGD.2219,2219,POINT (16.43228081547629 48.30862654969265),AckerwegN,Z,Ackerweg Süd,Ackerweg Süd,1,0,
