FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHULEOGD.481392,POINT (16.339939272448213 48.17858819525656),Volksschule Deckergasse 1,"12., Deckergasse 1",481392,
SCHULEOGD.481396,POINT (16.32172717240233 48.207385099929546),Volksschule Herbststraße 86 Marie-Jahoda-Schule,"16., Herbststraße 86",481396,
SCHULEOGD.481397,POINT (16.388691657577073 48.290311698229594),Volksschule Irenäusgasse 2,"21., Irenäusgasse 2",481397,
SCHULEOGD.481398,POINT (16.354005079042572 48.20375861175389),Volksschule Stiftgasse 35,"7., Stiftgasse 35",481398,
SCHULEOGD.481402,POINT (16.342589997713116 48.16795429779928),Volksschule Hertha-Firnberg-Straße 12,"10., Hertha-Firnberg-Straße 12",481402,
SCHULEOGD.481405,POINT (16.425648069920907 48.161241092704586),Volksschule Wilhelm-Kreß-Platz 32,"11., Wilhelm-Kreß-Platz 32",481405,
SCHULEOGD.481406,POINT (16.38946883573977 48.26034993158331),Volksschule Dunantgasse 2,"21., Dunantgasse 2",481406,
SCHULEOGD.481412,POINT (16.38990663959608 48.21007943428321),Volksschule Kolonitzgasse 15,"3., Kolonitzgasse 15",481412,
SCHULEOGD.481418,POINT (16.482927824256052 48.23942564506649),Volksschule Pirquetgasse 6b,"22., Pirquetgasse 6B",481418,
SCHULEOGD.481419,POINT (16.326705822785936 48.17095757529909),Volksschule Johann-Hoffmann-Platz 20,"12., Johann-Hoffmann-Platz 20",481419,
SCHULEOGD.481423,POINT (16.30141832788585 48.18520436373106),Volksschule Am Platz 2,"13., Am Platz 2",481423,
SCHULEOGD.481424,POINT (16.373893755246918 48.248514468724125),Volksschule Robert-Blum-Gasse 2,"20., Robert-Blum-Gasse 2",481424,
SCHULEOGD.481425,POINT (16.347726395388598 48.14977924299491),Volksschule Draschestraße 96,"23., Draschestraße 96",481425,
SCHULEOGD.481426,POINT (16.359572548926913 48.253942529164185),Volksschule Grinzinger Straße 88,"19., Grinzinger Straße 88",481426,
SCHULEOGD.481428,POINT (16.39621759915285 48.22486860081532),Volksschule Gertrude-Fröhlich-Sandner Campus,"2., Ernst-Melchior-Gasse 9",481428,
SCHULEOGD.481430,POINT (16.350072976522537 48.15563062797321),Volksschule Tesarekplatz 4,"10., Tesarekplatz 4",481430,
SCHULEOGD.481431,POINT (16.3146162967793 48.12897106153406),Volksschule Akaziengasse 52-54,"23., Akaziengasse 52-54",481431,
SCHULEOGD.481432,POINT (16.33016097048813 48.15980903219907),Volksschule Am Schöpfwerk 27,"12., Am Schöpfwerk 27",481432,
SCHULEOGD.481435,POINT (16.443324774112718 48.196411856780024),Volksschule Aspernallee 5,"2., Aspernallee 5",481435,
SCHULEOGD.481439,POINT (16.354222581810077 48.235751155825234),Volksschule Pantzergasse 25,"19., Pantzergasse 25",481439,
SCHULEOGD.481440,POINT (16.415466064649948 48.18081606117841),Volksschule Fuchsröhrenstraße 25,"11., Fuchsröhrenstraße 25",481440,
SCHULEOGD.481463,POINT (16.245508681678192 48.20695610497153),Volksschule Mondweg 73-83,"14., Mondweg 73-83",481463,
SCHULEOGD.481465,POINT (16.480266322290714 48.217788622876434),Volksschule Oberdorfstraße 2,"22., Oberdorfstraße 2",481465,
SCHULEOGD.481469,POINT (16.389462398837225 48.19130062160151),Volksschule Kleistgasse 12,"3., Kleistgasse 12",481469,
SCHULEOGD.481477,POINT (16.35635861570851 48.18406296933364),Volksschule Stolberggasse 53,"5., Stolberggasse 53",481477,
SCHULEOGD.481481,POINT (16.352514296827852 48.19584846972667),Volksschule Corneliusgasse 6,"6., Corneliusgasse 6",481481,
SCHULEOGD.481482,POINT (16.33520222960068 48.19891947205017),Volksschule Goldschlagstraße 14-16,"15., Goldschlagstraße 14-16",481482,
SCHULEOGD.481483,POINT (16.339042782625587 48.25590212831624),Volksschule Mannagettagasse 1,"19., Mannagettagasse 1",481483,
SCHULEOGD.481484,POINT (16.3032933548855 48.196677823035294),Volksschule Märzstraße 178,"14., Märzstraße 178",481484,
SCHULEOGD.481486,POINT (16.456334648684198 48.15803720007916),Volksschule Rzehakgasse 9,"11., Rzehakgasse 9",481486,
SCHULEOGD.481487,POINT (16.377508257921473 48.24323392930974),Volksschule Leystraße 34-36,"20., Leystraße 34-36",481487,
SCHULEOGD.481489,POINT (16.460587353715972 48.154677105985975),Volksschule Svetelskystraße 4-6,"11., Svetelskystraße 4",481489,
SCHULEOGD.481495,POINT (16.374013219850774 48.231543022433044),Volksschule Greiseneckergasse 29,"20., Greiseneckergasse 29-31",481495,
SCHULEOGD.481502,POINT (16.324672808285527 48.23375861055384),Volksschule Bischof-Faber-Platz 1,"18., Bischof-Faber-Platz 1",481502,
SCHULEOGD.481503,POINT (16.384805985826006 48.22215954877583),Volksschule Darwingasse 14,"2., Darwingasse 14",481503,
SCHULEOGD.481508,POINT (16.333655229258916 48.190561432593746),Volksschule Friesgasse 10,"15., Friesgasse 10",481508,
SCHULEOGD.481510,POINT (16.30542862920197 48.1655785894383),Volksschule Rohrwassergasse 2,"12., Rohrwassergasse 2",481510,
SCHULEOGD.481514,POINT (16.45157291712485 48.27332625570706),Volksschule Herzmanovsky-Orlando-Gasse 11,"21., Herzmanovsky-Orlando-Gasse 11",481514,
SCHULEOGD.481519,POINT (16.366088073704113 48.170699702784134),Volksschule Herzgasse 87,"10., Herzgasse 87",481519,
SCHULEOGD.481520,POINT (16.3667786165592 48.1705254112303),Volksschule Alxingergasse 82,"10., Alxingergasse 82",481520,
SCHULEOGD.481530,POINT (16.361055919866857 48.18261162672902),Volksschule Gassergasse 46,"5., Gassergasse 46",481530,
SCHULEOGD.481531,POINT (16.46250589411436 48.15490442950971),Volksschule Svetelskystraße 5,"11., Svetelskystraße 5",481531,
SCHULEOGD.481537,POINT (16.47510084907925 48.15870635335098),Volksschule Münnichplatz 6,"11., Münnichplatz 6",481537,
SCHULEOGD.481541,POINT (16.3098340191504 48.219221727863754),Volksschule Odoakergasse 48,"16., Odoakergasse 48",481541,
SCHULEOGD.481542,POINT (16.342311387596965 48.22052216935508),Volksschule Klettenhofergasse 3,"18., Klettenhofergasse 3",481542,
SCHULEOGD.481543,POINT (16.375623942436924 48.15066039024822),Volksschule Selma-Lagerlöf-Gasse 20,"10., Selma-Lagerlöf-Gasse 20",481543,
SCHULEOGD.481546,POINT (16.398973153682018 48.220211675281554),Volksschule Wolfgang-Schmälzl-Gasse 13,"2., Wolfgang-Schmälzl-Gasse 13",481546,
SCHULEOGD.481549,POINT (16.37227626769444 48.176139903749764),Volksschule Jagdgasse 23,"10., Jagdgasse 23",481549,
SCHULEOGD.481550,POINT (16.30769577919808 48.212670958666656),Volksschule Lorenz-Mandl-Gasse 56-58,"16., Lorenz-Mandl-Gasse 56",481550,
SCHULEOGD.481553,POINT (16.44194385034656 48.26099525819336),Volksschule Brioschiweg 3,"22., Brioschiweg 3",481553,
SCHULEOGD.481554,POINT (16.419843984184723 48.27805303712902),Volksschule Marco-Polo-Platz 9,"21., Marco-Polo-Platz 9",481554,
SCHULEOGD.481556,POINT (16.32167952735498 48.18248564473329),Volksschule Bischoffgasse 10,"12., Bischoffgasse 10",481556,
SCHULEOGD.481559,POINT (16.352031438477777 48.210242130678076),Volksschule Lange Gasse 36,"8., Lange Gasse 36",481559,
SCHULEOGD.481560,POINT (16.41034587822914 48.256503231141934),Volksschule Ostmarkgasse 30,"21., Ostmarkgasse 30",481560,
SCHULEOGD.481562,POINT (16.368863101872517 48.2135805114799),Volksschule Börsegasse 5,"1., Börsegasse 5",481562,
SCHULEOGD.481570,POINT (16.448556589829348 48.282149972500086),Volksschule Lavantgasse 35,"21., Lavantgasse 35",481570,
SCHULEOGD.481574,POINT (16.37899485916329 48.166475357385906),Volksschule Hebbelplatz 2,"10., Hebbelplatz 2",481574,
SCHULEOGD.481577,POINT (16.40288909941279 48.22353749081847),Volksschule Vorgartenstraße 191,"2., Vorgartenstraße 191",481577,
SCHULEOGD.481578,POINT (16.3851402025653 48.2183872802756),Expositur der Volksschule Novaragasse 30 Blumauergasse 21,"2., Blumauergasse 21",481578,
SCHULEOGD.481584,POINT (16.328862822519785 48.249229012038505),Volksschule Windhabergasse 2d,"19., Windhabergasse 2D",481584,
SCHULEOGD.481585,POINT (16.29192670210626 48.23165232016698),Volksschule Knollgasse 4-6,"17., Knollgasse 6",481585,
SCHULEOGD.481587,POINT (16.395806658268164 48.155010165849305),Volksschule Laaer-Berg-Straße 170,"10., Laaer-Berg-Straße 170",481587,
SCHULEOGD.481588,POINT (16.388450243232178 48.26818649260544),Volksschule Schillgasse 31,"21., Schillgasse 31",481588,
SCHULEOGD.481597,POINT (16.32324373259344 48.19618420126302),Volksschule Selzergasse 19,"15., Selzergasse 19",481597,
SCHULEOGD.481605,POINT (16.27696624857854 48.196321806064894),Volksschule Hochsatzengasse 22-24,"14., Hochsatzengasse 22-24",481605,
SCHULEOGD.481612,POINT (16.431542416499965 48.24610776124479),Volksschule Prandaugasse 5,"22., Prandaugasse 5",481612,
SCHULEOGD.481614,POINT (16.526490121375257 48.21424872798817),Volksschule Eßlinger Hauptstraße 97,"22., Eßlinger Hauptstraße 97",481614,
SCHULEOGD.481615,POINT (16.399215816613843 48.19900536520789),Volksschule Erdbergstraße 76,"3., Erdbergstraße 76",481615,
SCHULEOGD.481618,POINT (16.453664797729104 48.22309708805164),Volksschule Konstanziagasse 24,"22., Konstanziagasse 24-26",481618,
SCHULEOGD.481621,POINT (16.37876643853431 48.20712915299915),Volksschule Stubenbastei 3,"1., Stubenbastei 3",481621,
SCHULEOGD.481623,POINT (16.340309796150482 48.17812585847664),Volksschule Karl-Löwe-Gasse 20,"12., Karl-Löwe-Gasse 20",481623,
SCHULEOGD.481624,POINT (16.362046831406936 48.17655952609182),Volksschule Bernhardtstalgasse 19,"10., Bernhardtstalgasse 19",481624,
SCHULEOGD.482284,POINT (16.264477910682388 48.15629684949392),Volksschule St. Ursula Franz-Asenbauer-Gasse 49,"23., Franz-Asenbauer-Gasse 49",482284,
SCHULEOGD.482286,POINT (16.261117138044593 48.14817079360825),Volksschule der Erzdiözese Wien Maurer Lange Gasse 115,"23., Maurer Lange Gasse 115",482286,
SCHULEOGD.482296,POINT (16.307814772711673 48.20181703055283),Volksschule Josefinum Breitenseer Straße 31,"14., Breitenseer Straße 31",482296,
SCHULEOGD.481922,POINT (16.355058523719737 48.24223030010078),Volksschule Maria Regina Kongregation der Schwestern vom armen Kinde Jesus,"19., Döblinger Hauptstraße 83",481922,
SCHULEOGD.481934,POINT (16.30592796145433 48.242628137803656),Volksschule Rudolf Steiner Schulverein,"18., Geymüllergasse 1",481934,
SCHULEOGD.481939,POINT (16.333739982972023 48.224494449070214),Volksschule Kongregation der barmherzigen Schwestern vom Hl. Vinzenz von Paul,"18., Antonigasse 72",481939,
SCHULEOGD.481954,POINT (16.36459940547837 48.18870882899576),Volksschule Wiedner Hauptstraße 82,"4., Wiedner Hauptstraße 82",481954,
SCHULEOGD.481959,POINT (16.377072192542347 48.220303700669994),Volksschule Talmud Thora-Schule Malzgasse 16,"2., Malzgasse 16",481959,
SCHULEOGD.481972,POINT (16.369249180970193 48.2115495629393),Volksschule der Erzdiözese Wien Judenplatz 6,"1., Judenplatz 6",481972,
SCHULEOGD.481674,POINT (16.352157855329498 48.20404581290909),Volksschule Notre Dame de Sion der Erzdiözese Wien Burggasse 37,"7., Burggasse 37",481674,
SCHULEOGD.481677,POINT (16.344164629184718 48.19221232350186),Volksschule St. Marien Liniengasse 21,"6., Liniengasse 21",481677,
SCHULEOGD.481678,POINT (16.428893203505712 48.246597690563405),Volksschule des Vereins Japanische Schule in Wien,"22., Prandaugasse 2",481678,
SCHULEOGD.481689,POINT (16.397486871257104 48.24503408250473),Volksschule Saudi Arabische Schule in Wien,"21., Am Bruckhaufen 3",481689,
SCHULEOGD.481694,POINT (16.431524324439017 48.24490899343318),Volksschule Vienna International School,"22., Straße der Menschenrechte 1",481694,
SCHULEOGD.481726,POINT (16.38201649779112 48.17489337777597),Volksschule Waldkloster der Erzdiözese Wien,"10., Quellenstraße 87",481726,
SCHULEOGD.481730,POINT (16.34408458553958 48.19056694161264),Volksschule der evangelischen Pfarrgemeinde AB Lutherplatz 1,"6., Lutherplatz 1",481730,
SCHULEOGD.481755,POINT (16.311150687655566 48.2193669992875),Volksschule Arabische Schule in Wien,"16., Julius-Meinl-Gasse 2A",481755,
SCHULEOGD.481760,POINT (16.397076425697435 48.20973864409518),Volksschule Danube International School,"2., Josef-Gall-Gasse 2",481760,
SCHULEOGD.481777,POINT (16.42129444315529 48.228464428063894),Volksschule Salvatorschule,"22., Schödlbergergasse 20",481777,
SCHULEOGD.481781,POINT (16.397707320264484 48.19990793138915),Volksschule St. Franziskus der Kongregation der Schulschwestern,"3., Apostelgasse 5",481781,
SCHULEOGD.481785,POINT (16.38880435103402 48.29691267518635),Volksschule De La Salle Anton-Böck-Gasse 20,"21., Anton-Böck-Gasse 20",481785,
SCHULEOGD.481787,POINT (16.385703693879698 48.21623501038252),Volksschule Nepomukgasse 2,"2., Nepomukgasse 2",481787,
SCHULEOGD.481792,POINT (16.389236626939205 48.19994256812231),Volksschule Schulverein Komensky,"3., Sebastianplatz 3",481792,
SCHULEOGD.481794,POINT (16.35118555776658 48.223399441197195),Volksschule Schulkollektiv Wien WUK Währinger Straße 59,"9., Währinger Straße 59",481794,
SCHULEOGD.481799,POINT (16.334358942483682 48.19070570510856),Volksschule Kongregation der armen Schulschwestern Friesgasse 4,"15., Friesgasse 4",481799,
SCHULEOGD.481809,POINT (16.257110125180976 48.20379213123994),Volksschule Montessori Hüttelbergstraße 5,"14., Hüttelbergstraße 5",481809,
SCHULEOGD.481831,POINT (16.379691448145895 48.22237860866524),Volksschule des Vereins Wiener Sängerknaben Obere Augartenstraße 1,"2., Obere Augartenstraße 1",481831,
SCHULEOGD.481838,POINT (16.368345632967817 48.180468074969966),Volksschule Missionskongregation der Dienerinnen des Hl. Geistes,"10., Alxingergasse 8",481838,
SCHULEOGD.481844,POINT (16.368871487748596 48.19924458889052),Volksschule der evangelischen Pfarrgemeinde AB Karlsplatz 14,"4., Karlsplatz 14",481844,
SCHULEOGD.481855,POINT (16.328010412776205 48.22920800354042),Volksschule Marianum,"18., Scheidlstraße 2",481855,
SCHULEOGD.481859,POINT (16.339777208925025 48.199307480029155),Volksschule Kongregation der Schwestern vom göttlichen Erlöser,"7., Kenyongasse 4-8",481859,
SCHULEOGD.481866,POINT (16.339251162657074 48.25126829005571),Volksschule Neulandschule Alfred-Wegener-Gasse 10-12,"19., Alfred-Wegener-Gasse 10-12",481866,
SCHULEOGD.481870,POINT (16.341332978276697 48.22430134892633),Volksschule Kongregation der Brüder der christlichen Schulen,"18., Schopenhauerstraße 44-46",481870,
SCHULEOGD.481876,POINT (16.339552051558165 48.22067103331848),Volksschule Lutherschule der evangelischen Pfarrgemeinden AB,"18., Schumanngasse 17",481876,
SCHULEOGD.481877,POINT (16.380874737091602 48.29438395891968),Volksschule der pädagogischen Akademie der Erzdiözese Wien,"21., Mayerweckstraße 1",481877,
SCHULEOGD.481886,POINT (16.33728124509042 48.19236451633824),Volksschule De La Salle Gebrüder-Lang-Gasse 4,"15., Gebrüder-Lang-Gasse 4-8",481886,
SCHULEOGD.481889,POINT (16.38857553187704 48.159028800290095),Volksschule Neulandschule Ludwig-von-Höhnel-Gasse 17,"10., Ludwig-von-Höhnel-Gasse 17-19",481889,
SCHULEOGD.481900,POINT (16.275097720551816 48.185298065847434),Volksschule Freie Waldorfschule Wien-West,"13., Schrutkagasse 51-53",481900,
SCHULEOGD.481394,POINT (16.35021783286872 48.21027129949363),Volksschule Piaristengasse 43,"8., Piaristengasse 43",481394,
SCHULEOGD.481400,POINT (16.457662652504 48.21886686375451),Volksschule Kongregation der Schwestern vom armen Kinde Jesus,"22., Hardeggasse 65",481400,
SCHULEOGD.481408,POINT (16.269390764749005 48.1506203776819),Volksschule Waldorfschule des Rudolf Steiner-Schulvereins,"23., Endresstraße 100",481408,
SCHULEOGD.481427,POINT (16.245439130619012 48.13453045144751),Volksschule Promenadeweg 3,"23., Promenadeweg 3",481427,
SCHULEOGD.481467,POINT (16.333877587065523 48.22823999020116),Volksschule Kongregation der Töchter der göttlichen Liebe,"18., Lacknergasse 89",481467,
SCHULEOGD.481468,POINT (16.37724345257446 48.170227609224376),Expositur der Volksschule der Erzdiözese Wien Quellenstraße 87 Antonsplatz 17,"10., Antonsplatz 17",481468,
SCHULEOGD.481475,POINT (16.33876226251224 48.2545354084159),Volksschule Schwedische Schule,"19., Scheibelreitergasse 15",481475,
SCHULEOGD.481493,POINT (16.255009185624168 48.131290127721385),Volksschule Sta. Christiana Willergasse 55,"23., Willergasse 55",481493,
SCHULEOGD.481521,POINT (16.37916481036198 48.2282807420971),Volksschule Lauder Chabad,"2., Rabbiner-Schneerson-Platz 1",481521,
SCHULEOGD.481545,POINT (16.348932893865676 48.22901226785562),Volksschule Albertus Magnus,"18., Semperstraße 45",481545,
SCHULEOGD.481571,POINT (16.384756128333766 48.19526091617447),Volksschule Sacre Coeur Rennweg 31,"3., Rennweg 31",481571,
SCHULEOGD.481573,POINT (16.359506685484025 48.220253174176335),Volksschule Lycee Francais de Vienne,"9., Liechtensteinstraße 37A",481573,
SCHULEOGD.481579,POINT (16.374616679955196 48.221492078965056),Volksschule St. Elisabeth Leopoldsgasse 1a,"2., Leopoldsgasse 1A",481579,
SCHULEOGD.481582,POINT (16.428178252951934 48.20603196642826),Volksschule Zwi Perez Chajes Schule der Israelitischen Kultusgemeinde Wien,"2., Simon-Wiesenthal-Gasse 3",481582,
SCHULEOGD.481583,POINT (16.286690128252225 48.25361000508997),Volksschule American International School,"19., Salmannsdorfer Straße 47",481583,
SCHULEOGD.481591,POINT (16.284477449891654 48.18949614563823),Volksschule Friedrich Eymann Waldorf-Schule,"13., Feldmühlgasse 26",481591,
SCHULEOGD.481611,POINT (16.262532547682667 48.19287057021304),Volksschule der Dominikanerinnen,"13., Schloßberggasse 17",481611,
SCHULEOGD.481793,POINT (16.28518125230744 48.163924685670864),Bundesinstitut für Gehörlosenbildung Maygasse 25,"13., Maygasse 25",481793,
SCHULEOGD.481399,POINT (16.399233897637576 48.206379677945),Bundes-Blindenerziehungsinstitut Wittelsbachstraße 5,"2., Wittelsbachstraße 5",481399,
SCHULEOGD.481909,POINT (16.36818844454926 48.22715056808536),Allgemeine Sonderschule Treustraße 9,"20., Treustraße 9",481909,
SCHULEOGD.481931,POINT (16.22278657351409 48.209505316199206),Sondererziehungsschule Hadersdorf Hauptstraße 72,"14., Hauptstraße 72",481931,
SCHULEOGD.481933,POINT (16.374717986680967 48.24851702733489),Expositur der Sondererziehungsschule Brioschiweg 1 Robert-Blum-Gasse 2,"20., Robert-Blum-Gasse 2",481933,
SCHULEOGD.481937,POINT (16.331564559603407 48.2179754254075),Expositur der Sondererziehungsschule Jägerstraße 11-13 Kindermanngasse 1,"17., Kindermanngasse 1",481937,
SCHULEOGD.481967,POINT (16.38892550306804 48.22008282691214),Allgemeine Sonderschule Holzhausergasse 7,"2., Holzhausergasse 7",481967,
SCHULEOGD.481994,POINT (16.332437989278024 48.204672180336225),Allgemeine Sonderschule Schinnaglgasse 3-5,"16., Schinnaglgasse 3-5",481994,
SCHULEOGD.482004,POINT (16.334020877307605 48.21941301576592),Heilstättenschule Pezzlgasse 29,"17., Pezzlgasse 29",482004,
SCHULEOGD.481663,POINT (16.44446262955361 48.236254569410164),Expositur der Sondererziehungsschule Brioschiweg 1 (Georg Bilgeri-Straße 13,"22., Georg-Bilgeri-Straße 13",481663,
SCHULEOGD.481669,POINT (16.374947951346293 48.22123396270372),Sonderschule für schwerstbehinderte Kinder Leopoldsgasse 3,"2., Leopoldsgasse 3",481669,
SCHULEOGD.481685,POINT (16.47202942398165 48.21618591530587),Sonderschule für schwerhörige Kinder Hammerfestweg 1,"22., Hammerfestweg 1",481685,
SCHULEOGD.481686,POINT (16.47093902984426 48.15526935813163),Sondererziehungsschule Hoefftgasse 7,"11., Hoefftgasse 7",481686,
SCHULEOGD.481691,POINT (16.379170133684365 48.17535890898251),Allgemeine Sonderschule Quellenstraße 52,"10., Quellenstraße 52-54",481691,
SCHULEOGD.481721,POINT (16.450563566795648 48.27392265182983),Sonderschule für schwerstbehinderte Kinder Herchenhahngasse 6,"21., Herchenhahngasse 6",481721,
SCHULEOGD.481723,POINT (16.370413621572844 48.22787234406827),Sondererziehungsschule Jägerstraße 11-13,"20., Jägerstraße 11-13",481723,
SCHULEOGD.481751,POINT (16.410693226652533 48.17227848115461),Allgemeine Sonderschule Herderplatz 1a,"11., Herderplatz 1A",481751,
SCHULEOGD.481772,POINT (16.3109578182058 48.20190553306451),Sonderschule für schwerstbehinderte Kinder Kienmayergasser 41,"14., Kienmayergasse 41",481772,
SCHULEOGD.481779,POINT (16.34842158864834 48.230212512953464),Allgemeine Sonderschule Anastasius-Grün-Gasse 10,"18., Anastasius-Grün-Gasse 10",481779,
SCHULEOGD.481797,POINT (16.34005589536291 48.19292597969649),Allgemeine Sonderschule Spalowskygasse 5,"6., Spalowskygasse 5",481797,
SCHULEOGD.481813,POINT (16.306493432276568 48.201143828108236),Expositur der Allgemeinen Sonderschule Linzer Straße 232 Muthsamgasse 1,"14., Muthsamgasse 1",481813,
SCHULEOGD.481849,POINT (16.378694301167744 48.16652077722892),Allgemeine Sonderschule Hebbelplatz 1-2,"10., Hebbelplatz 1-2",481849,
SCHULEOGD.481887,POINT (16.310300118856734 48.22580739453269),Allgemeine Sonderschule Hernalser Hauptstraße 220-222,"17., Hernalser Hauptstraße 220-222",481887,
SCHULEOGD.481898,POINT (16.439674260366324 48.233371639080765),Allgemeine Sonderschule Steinbrechergasse 6,"22., Steinbrechergasse 6",481898,
SCHULEOGD.481652,POINT (16.44199993748039 48.26080237657306),Sondererziehungsschule Brioschiweg 1,"22., Brioschiweg 1",481652,
SCHULEOGD.481654,POINT (16.446626469618796 48.251128437989045),Expositur der Sondererziehungsschule Brioschiweg 1 (Lorenz Kellner-Gasse 15,"22., Lorenz-Kellner-Gasse 15",481654,
SCHULEOGD.481658,POINT (16.309662471607858 48.226018615946465),Sonderschule für körperbehinderte Kinder Hernalser Hauptstraße 220-222,"17., Hernalser Hauptstraße 220-222",481658,
SCHULEOGD.481395,POINT (16.331034572809187 48.2289842459487),"Hans-Radl-Schule,Schule f. körperbehinderte Kinder","18., Währinger Straße 173-181",481395,
SCHULEOGD.481413,POINT (16.271931040534234 48.15189047614046),Sonderschule für körperbehinderte Kinder Kanitzgasse 8,"23., Kanitzgasse 8",481413,
SCHULEOGD.481414,POINT (16.399635603196696 48.19373654184861),Allgemeine Sonderschule Petrusgasse 10,"3., Petrusgasse 10",481414,
SCHULEOGD.481420,POINT (16.40323919399798 48.25496735447413),Allgemeine Sonderschule Franklinstraße 27-33,"21., Franklinstraße 27-33",481420,
SCHULEOGD.481473,POINT (16.397588183565816 48.19363664438441),Sonderschule für sprachgestörte Kinder Landstraßer Hauptstraße 146,"3., Landstraßer Hauptstraße 146",481473,
SCHULEOGD.481474,POINT (16.401968178781104 48.192678994601096),Sonderschule für schwerstbehinderte Kinder Paulusgasse 9-11,"3., Paulusgasse 9-11",481474,
SCHULEOGD.481488,POINT (16.322797350527026 48.19593575858526),Allgemeine Sonderschule Kröllgasse 20,"15., Kröllgasse 20",481488,
SCHULEOGD.481496,POINT (16.446534197464086 48.25081326417098),Allgemeine Sonderschule Lorenz-Kellner-Gasse 15,"22., Lorenz-Kellner-Gasse 15",481496,
SCHULEOGD.481509,POINT (16.340250236808775 48.192724884785015),Sondererziehungsschule Mittelgasse 24,"6., Mittelgasse 24",481509,
SCHULEOGD.481512,POINT (16.33131711309506 48.222943020033135),Allgemeine Sonderschule Leopold-Ernst-Gasse 37,"17., Leopold-Ernst-Gasse 37",481512,
SCHULEOGD.481513,POINT (16.283248749034094 48.19545000510732),Allgemeine Sonderschule Linzer Straße 232,"14., Linzer Straße 232",481513,
SCHULEOGD.481544,POINT (16.26139365206932 48.195537084494575),Sondererziehungsschule Hackinger Kai 15,"13., Hackinger Kai 15",481544,
SCHULEOGD.481557,POINT (16.403312831084868 48.25494797625018),Sondererziehungsschule Franklinstraße 27-33,"21., Franklinstraße 27-33",481557,
SCHULEOGD.481561,POINT (16.29207731779394 48.14514986994968),Allgemeine Sonderschule Canavesegasse 22a,"23., Canavesegasse 22A",481561,
SCHULEOGD.481569,POINT (16.353890612868895 48.22566521953304),Sondererziehungsschule Galileigasse 3,"9., Galileigasse 3",481569,
SCHULEOGD.481581,POINT (16.325775861293486 48.18170620103105),Allgemeine Sonderschule Rosasgasse 8,"12., Rosasgasse 8",481581,
SCHULEOGD.481603,POINT (16.3349440833839 48.199080717776475),Sonderschule für sehbehinderte Kinder Zinckgasse 12-14,"15., Zinckgasse 12-14",481603,
SCHULEOGD.481627,POINT (16.326363770816588 48.17820393191389),Expositur der Allgemeinen Sonderschule Rosasgasse 8 Ruckergasse 40,"12., Ruckergasse 40",481627,
SCHULEOGD.481628,POINT (16.35058828432547 48.182539008012334),Allgemeine Sonderschule Diehlgasse 2,"5., Diehlgasse 2",481628,
SCHULEOGD.481842,POINT (16.32968975185396 48.226133621711035),Sonderschule Antonigasse 100-102,"18., Antonigasse 100",481842,
SCHULEOGD.481865,POINT (16.312929365089442 48.261254018881374),Sonderschule der Caritas der Erzdiözese Wien,"19., Gspöttgraben 5",481865,
SCHULEOGD.481596,POINT (16.33169335242362 48.252105420605645),Sonderpädagogisches Zentrum für schwerstbehinderte Kinder Stefan-Esders-Platz 1,"19., Stefan-Esders-Platz 1",481596,
SCHULEOGD.481626,POINT (16.270680666349815 48.15243271324859),Karl Schubert Schule Bildungsstätte für Seelenpflege- bedürftige Kinder und Jugendliche,"23., Kanitzgasse 3",481626,
SCHULEOGD.481942,POINT (16.37858699524134 48.166666894223106),Übungshauptschule der pädagogischen Akademie des Bundes Hebbelplatz 1,"10., Hebbelplatz 1",481942,
SCHULEOGD.482392,POINT (16.351846348667827 48.17057375855546),Hauptschule Knöllgasse 61,"10., Knöllgasse 59-61",482392,
SCHULEOGD.482293,POINT (16.4141189565439 48.29984319968537),Hauptschule Dr.-Skala-Straße 43-45,"21., Dr.-Skala-Straße 43-45",482293,
SCHULEOGD.481906,POINT (16.453429791952953 48.2689187464191),Hauptschule Adolf-Loos-Gasse 2,"21., Adolf-Loos-Gasse 2",481906,
SCHULEOGD.481925,POINT (16.437481026736695 48.246904655359174),Hauptschule Anton-Sattler-Gasse 93,"22., Anton-Sattler-Gasse 93",481925,
SCHULEOGD.481957,POINT (16.432181647522807 48.16723952642115),Hauptschule Forian-Hedorfer-Straße 26,"11., Florian-Hedorfer-Straße 26",481957,
SCHULEOGD.481958,POINT (16.394920739390287 48.20405417215264),Hauptschule Hörnesgasse 12,"3., Hörnesgasse 12",481958,
SCHULEOGD.481963,POINT (16.36696900080464 48.235371802346414),Hauptschule Leipziger Platz 1,"20., Leipziger Platz 1",481963,
SCHULEOGD.481966,POINT (16.396485272208952 48.26079530344863),Hauptschule Rudolf-Schön-Weg 1,"21., Rudolf-Schön-Weg 1",481966,
SCHULEOGD.481969,POINT (16.30623274587884 48.20087153696998),Hauptschule Spallartgasse 18,"14., Spallartgasse 18",481969,
SCHULEOGD.481973,POINT (16.393413604036677 48.1476232724544),Hauptschule I Wendstattgasse 5,"10., Wendstattgasse 5",481973,
SCHULEOGD.481977,POINT (16.45110521178134 48.24599269816673),Hauptschule Afritschgasse 56,"22., Afritschgasse 56",481977,
SCHULEOGD.481979,POINT (16.409644938013347 48.253420036385),Hauptschule Kinzerplatz 9,"21., Kinzerplatz 9",481979,
