FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,ZUSATZ,SE_ANNO_CAD_DATA
MULTIMEDIAOGD.48,48,POINT (16.35552126098335 48.20264408779272),"7., Siebensterngasse 16",7,"Spittelberggasse 1,ab fz62+zufz8",
MULTIMEDIAOGD.49,49,POINT (16.271531581668857 48.13906444376458),"23., Breitenfurter Straﬂe 401-403",23,Stiege 7,
MULTIMEDIAOGD.50,50,POINT (16.325321400814342 48.19750413114988),"15., Huglgasse gegen¸ber von 20",15,,
MULTIMEDIAOGD.51,51,POINT (16.335821352187207 48.19898411801968),"15., Goldschlagstraﬂe 12",15,Pelzgasse,
MULTIMEDIAOGD.52,52,POINT (16.327671431546097 48.22780398479513),"18., Gersthofer Straﬂe gegen¸ber von 23",18,Kreuzgasse,
MULTIMEDIAOGD.53,53,POINT (16.39704107883109 48.218043988842254),"2., Venediger Au 9",2,W6,
MULTIMEDIAOGD.54,54,POINT (16.4140310534916 48.26001377798105),"21., Leopoldauer Straﬂe 75-77",21,,
MULTIMEDIAOGD.55,55,POINT (16.42016102565254 48.26142376752873),"21., Leopoldauer Straﬂe 107-113",21,,
MULTIMEDIAOGD.56,56,POINT (16.316151443772668 48.19642414253291),"15., M‰rzstraﬂe 108",15,Nobilegasse,
MULTIMEDIAOGD.57,57,POINT (16.30249151978885 48.202434121575614),"14., Breitenseer Straﬂe 84",14,Maroltingergasse 1,
MULTIMEDIAOGD.58,58,POINT (16.36581120183696 48.19709410797532),"4., Margaretenstraﬂe 9",4,,
MULTIMEDIAOGD.59,59,POINT (16.316481399582177 48.165354290231036),"12., Altmannsdorfer Straﬂe 78",12,,
MULTIMEDIAOGD.60,60,POINT (16.312801377840106 48.136514429936476),"23., Perfektastraﬂe 67",23,U 6,
MULTIMEDIAOGD.61,61,POINT (16.316531365587952 48.14150440388949),"23., Erlaaer Straﬂe ",23,U-6 gegen¸ber Ausgang,
MULTIMEDIAOGD.62,62,POINT (16.34471127235486 48.173644232741374),"12., Kˆglergasse 2",12,KHUM Kundratstraﬂe,
MULTIMEDIAOGD.63,63,POINT (16.36052123200736 48.19962409926593),"6., Gumpendorfer Straﬂe 15",6,,
MULTIMEDIAOGD.64,64,POINT (16.400630989373564 48.166124234582156),"10., Laaer Wald 30",10,,
MULTIMEDIAOGD.65,65,POINT (16.37014114180206 48.16901423969615),"10., Laxenburger Straﬂe 90a",10,Troststraﬂe,
MULTIMEDIAOGD.66,66,POINT (16.280941571816285 48.16487431465738),"13., Speisinger Straﬂe ",13,Leitenwaldplatz,
MULTIMEDIAOGD.67,67,POINT (16.389041094314308 48.2014040732301),"3., Karl Borrom‰us Platz 3",3,MA 34,
MULTIMEDIAOGD.68,68,POINT (16.319361432592984 48.19892412810296),"15., H¸tteldorfer Straﬂe 81b",15,,
MULTIMEDIAOGD.69,69,POINT (16.360681212938907 48.186444162274405),"5., Zentaplatz 1",5,,
MULTIMEDIAOGD.70,70,POINT (16.371171113624314 48.15190432055193),"10., Josef Enslein Platz ",10,Bullgasse,
MULTIMEDIAOGD.71,71,POINT (16.377601115225232 48.17528420447007),"10., Quellenstraﬂe 66",10,Favoritenstraﬂe,
MULTIMEDIAOGD.72,72,POINT (16.302011418454445 48.128514475203275),"23., Ketzergasse 116",23,Liesinger Flurgasse,
MULTIMEDIAOGD.73,73,POINT (16.33419134146421 48.18622417919494),"15., Diefenbachgasse 19",15,,
MULTIMEDIAOGD.74,74,POINT (16.33730133267435 48.19041415738882),"15., Mariahilfer G¸rtel ",15,Station Gumpendorfer Straﬂe,
MULTIMEDIAOGD.75,75,POINT (16.344091304621344 48.19455413373381),"6., Schmalzhofgasse 28",6,Stumpergasse,
MULTIMEDIAOGD.76,76,POINT (16.34271124799394 48.148394354654386),"23., Richard Strauss Straﬂe 2",23,,
MULTIMEDIAOGD.77,77,POINT (16.36235120995197 48.19013414371937),"4., Mittersteig 19",4,,
MULTIMEDIAOGD.78,78,POINT (16.365471166267742 48.16996423804828),"10., Herzgasse 90",10,Troststraﬂe,
MULTIMEDIAOGD.79,79,POINT (16.333431294873137 48.150154351999376),"23., Purkytgasse gegen¸ber von 10",23,Schubertpark,
MULTIMEDIAOGD.80,80,POINT (16.35413118855442 48.14610435867428),"23., Kolbegasse 44",23,Jochen Rindt Straﬂe 2-12 Stiege 1,
MULTIMEDIAOGD.81,81,POINT (16.375701179090434 48.21464401821155),"2., Obere Donaustraﬂe gegen¸ber von 83",2,W6 Salztorbr¸cke,
MULTIMEDIAOGD.82,82,POINT (16.381851177347993 48.23543391538678),"20., Donaueschingenstraﬂe 5a",20,Durchlaufstraﬂe 1,
MULTIMEDIAOGD.83,83,POINT (16.347481278530704 48.18768416398452),"5., Am Hundsturm gegen¸ber von 5",5,,
MULTIMEDIAOGD.84,84,POINT (16.33098134909524 48.180234210047544),"12., Reschgasse gegen¸ber von 21",12,"U-6 Aufgang,Vivenotgasse",
MULTIMEDIAOGD.85,85,POINT (16.331041349933937 48.181254204829095),"12., Niederhofstraﬂe 37",12,"U-6 Aufgang,Vivenotgasse",
MULTIMEDIAOGD.86,86,POINT (16.27221166214247 48.19881415795491),"14., H¸tteldorfer Straﬂe 359",14,,
MULTIMEDIAOGD.87,87,POINT (16.244831711028187 48.1375744673691),"23., Breitenfurter Straﬂe 535",23,Kalksburg Kirchenplatz,
MULTIMEDIAOGD.88,88,POINT (16.33121135615378 48.18645418004537),"15., Sparkassaplatz 4",15,,
MULTIMEDIAOGD.89,89,POINT (16.32922138368188 48.19839412471931),"15., Benedikt Schellinger Gasse 23",15,M‰rzstraﬂe vor U-3 Station Schweglerstraﬂe,
