FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,ZUSATZ,SE_ANNO_CAD_DATA
MULTIMEDIAOGD.208,208,POINT (16.37775111241752 48.1740542108625),"10., Reumannplatz gegen¸ber von 13",10,vor Tichy,
MULTIMEDIAOGD.209,209,POINT (16.37884110622251 48.173864210516975),"10., Reumannplatz ",10,Amalienbad,
MULTIMEDIAOGD.210,210,POINT (16.378371107978978 48.173114214976806),"10., Reumannplatz 6",10,,
MULTIMEDIAOGD.211,211,POINT (16.288951509784876 48.14798438986239),"23., Endresstraﬂe 27",23,,
MULTIMEDIAOGD.212,212,POINT (16.359131234741966 48.196734113940835),"5., Kettenbr¸ckengasse ",5,U-4,
MULTIMEDIAOGD.213,213,POINT (16.35456125115381 48.19281413548588),"5., Pilgrambr¸cke ",5,,
MULTIMEDIAOGD.214,214,POINT (16.32989134943491 48.17689422641977),"12., Ratschkygasse 1",12,Meidlinger Hauptstraﬂe,
MULTIMEDIAOGD.215,215,POINT (16.32991135740553 48.18253419975807),"12., Meidlinger Hauptstraﬂe 5",12,gegen¸ber Hufelandgasse,
MULTIMEDIAOGD.216,216,POINT (16.329921351849077 48.17883421768615),"12., Meidlinger Hauptstraﬂe 35",12,,
MULTIMEDIAOGD.217,217,POINT (16.358231225521575 48.187004161073354),"5., Ramperstorffergasse 32",5,,
MULTIMEDIAOGD.218,218,POINT (16.367091190135245 48.19229413014953),"4., Mayerhofgasse 22",4,PA1042 Wiedner Hauptstraﬂe,
MULTIMEDIAOGD.219,219,POINT (16.33133133993002 48.17469423625514),"12., Wilhelmstraﬂe 66",12,"U-6,Eichenstraﬂe",
MULTIMEDIAOGD.220,220,POINT (16.34938126736412 48.18558417324515),"5., Einsiedlerplatz gegen¸ber von 15",5,Bad,
MULTIMEDIAOGD.221,221,POINT (16.337301351499086 48.20413409175204),"7., Burggasse 125",7,vor U-6 Station Burggasse,
MULTIMEDIAOGD.222,222,POINT (16.364981279913195 48.24972385764783),"19., Boschstraﬂe gegen¸ber von 13",19,,
MULTIMEDIAOGD.223,223,POINT (16.40739107806404 48.25380381130794),"21., Kinzerplatz 24",21,,
MULTIMEDIAOGD.224,224,POINT (16.446670897873904 48.262473745912466),"21., Leopoldauer Platz 50",21,Aderklaaer Straﬂe,
MULTIMEDIAOGD.225,225,POINT (16.35655127397069 48.21631402224865),"9., Schwarzspanierstraﬂe 8",9,PA1096,
MULTIMEDIAOGD.226,226,POINT (16.349011291447955 48.20184409614661),"7., Neubaugasse 37",7,Westbahnstraﬂe,
MULTIMEDIAOGD.227,227,POINT (16.358031250596603 48.204854075429616),"7., Museumsplatz 1",7,Burggasse 1,
MULTIMEDIAOGD.228,228,POINT (16.330411377997727 48.19880412144463),"15., Reithofferplatz 13",15,M‰rzstraﬂe,
MULTIMEDIAOGD.229,229,POINT (16.34495131018735 48.20166409947088),"7., Zieglergasse gegen¸ber von 33a",7,Westbahnstraﬂe,
MULTIMEDIAOGD.230,230,POINT (16.318711456908407 48.214024056654715),"16., Familienplatz 1",16,Wattgasse,
MULTIMEDIAOGD.231,231,POINT (16.3405012998106 48.17809421486081),"12., L‰ngenfeldgasse 66",12,,
MULTIMEDIAOGD.232,232,POINT (16.321721418795793 48.197384133785505),"15., Meiselstraﬂe 7",15,Krˆllgasse 33,
MULTIMEDIAOGD.233,233,POINT (16.299641461294033 48.1503843720021),"23., Breitenfurter Straﬂe 188",23,,
MULTIMEDIAOGD.234,234,POINT (16.403471116836123 48.268143745894776),"21., Br¸nner Straﬂe 59",21,vor Eingang Schnellbahnhof,
MULTIMEDIAOGD.235,235,POINT (16.424700862051626 48.15907425337635),"11., Wilhelm Kress Platz 29-30",11,Stiege 77,
MULTIMEDIAOGD.236,236,POINT (16.384201238881563 48.28832366146103),"21., Ruﬂbergstraﬂe 10",21,PA1215 Berlagasse 7-11,
MULTIMEDIAOGD.237,237,POINT (16.328951396333014 48.20725408233766),"16., Koppstraﬂe 37",16,Haberlgasse,
MULTIMEDIAOGD.238,238,POINT (16.342251297307186 48.182844191063964),"12., Steinbauergasse 22",12,Wolfganggasse,
MULTIMEDIAOGD.239,239,POINT (16.451330886382483 48.27132370144244),"21., Herzmanovsky Orlando Gasse 5",21,Stiege 18/Gitlbauergasse,
MULTIMEDIAOGD.240,240,POINT (16.36437124030129 48.218894004794805),"9., Berggasse 25",9,,
MULTIMEDIAOGD.241,241,POINT (16.3500112807218 48.19821411270119),"6., Mariahilfer Straﬂe 75",6,,
MULTIMEDIAOGD.242,242,POINT (16.314761415240703 48.17109426347692),"12., Altmannsdorfer Straﬂe 26",12,Laskegasse,
MULTIMEDIAOGD.243,243,POINT (16.39689106754533 48.20977402795398),"2., Sch¸ttelstraﬂe 19d",2,W6 Josef Gall Gasse,
MULTIMEDIAOGD.244,244,POINT (16.45345087636237 48.2714836992044),"21., Adolf Loos Gasse 6",21,Stiege 16,
MULTIMEDIAOGD.245,245,POINT (16.36594114877743 48.158734291030484),"10., Sibeliusstraﬂe 2a",10,Laxenburger Straﬂe Einkaufszentrum,
MULTIMEDIAOGD.246,246,POINT (16.36958115784718 48.17867419397742),"10., Gudrunstraﬂe ",10,Van der N¸ll Gasse,
MULTIMEDIAOGD.247,247,POINT (16.39548108994415 48.220773977077656),"2., Lassallestraﬂe 1",2,W6 vor IBM Neubau gegen¸ber Venediger Au,
MULTIMEDIAOGD.248,248,POINT (16.370721226395865 48.23156394065951),"20., Brigittaplatz gegen¸ber von 23",20,,
MULTIMEDIAOGD.249,249,POINT (16.35838126283889 48.214484029909734),"9., Rooseveltplatz ",9,Sigmund Freud Park/Universit‰tsstraﬂe,
MULTIMEDIAOGD.250,250,POINT (16.38070115700342 48.21639400707931),"2., Taborstraﬂe 22",2,W6,
MULTIMEDIAOGD.251,251,POINT (16.407600993659084 48.19403409665245),"3., Markhofgasse ",3,U-3 Aufgang W¸rtzlerstraﬂe Autobusbahnhof,
MULTIMEDIAOGD.252,252,POINT (16.36891115755962 48.17600420703289),"10., Quellenstraﬂe 104",10,,
MULTIMEDIAOGD.253,253,POINT (16.407751078236075 48.25499380596345),"21., Hoﬂplatz gegen¸ber von 12",21,,
MULTIMEDIAOGD.254,254,POINT (16.40525093354359 48.14215434534126),"10., Kurbadstraﬂe 10",10,PA1107 WIG S¸deingang,
MULTIMEDIAOGD.255,255,POINT (16.377081118621696 48.17642419924884),"10., Viktor Adler Platz gegen¸ber von 1",10,,
MULTIMEDIAOGD.256,256,POINT (16.342341304738415 48.18823416474963),"5., Margareteng¸rtel ",5,U-4,
MULTIMEDIAOGD.257,257,POINT (16.315051453660338 48.19910412988883),"14., H¸tteldorfer Straﬂe 90",14,Kuefsteingasse,
MULTIMEDIAOGD.258,258,POINT (16.326341417591443 48.21273405764917),"16., Johann Nepomuk Berger Platz gegen¸ber von 1",16,,
MULTIMEDIAOGD.259,259,POINT (16.355761256603856 48.200304098620535),"7., Mariahilfer Straﬂe 26-30",7,,
MULTIMEDIAOGD.260,260,POINT (16.374951149146327 48.19087413167918),"4., Elisabethplatz gegen¸ber von 9",4,,
MULTIMEDIAOGD.261,261,POINT (16.306481423930332 48.14815437840524),"23., Gregorygasse ",23,Erlaaer Straﬂe,
MULTIMEDIAOGD.262,262,POINT (16.409790985487483 48.19606408564744),"3., Ludwig Kˆﬂler Platz 3",3,,
MULTIMEDIAOGD.263,263,POINT (16.399821034716734 48.19602409207226),"3., Rabengasse 10",3,,
MULTIMEDIAOGD.264,264,POINT (16.400011027507556 48.191594113340926),"3., Landstraﬂer Hauptstraﬂe 61",3,,
MULTIMEDIAOGD.265,265,POINT (16.33892135442902 48.211844053993914),"16., Lerchenfelder G¸rtel gegen¸ber von 55",16,KHRT vor U-6 Josefst‰dter Straﬂe,
MULTIMEDIAOGD.266,266,POINT (16.34718131899553 48.21523403322153),"8., Alser Straﬂe 43",8,,
MULTIMEDIAOGD.267,267,POINT (16.343311326405775 48.20746407296834),"7., Schottenfeldgasse 96",7,,
MULTIMEDIAOGD.268,268,POINT (16.399491122340276 48.25799379694537),"21., Pius Parsch Platz 12",21,Schloﬂhofer Straﬂe 9,
MULTIMEDIAOGD.269,269,POINT (16.35302132298818 48.23917391555665),"19., Gatterburggasse gegen¸ber von 17",19,,
MULTIMEDIAOGD.270,270,POINT (16.39575105508045 48.196684091228434),"3., Juchgasse 2",3,W7 Landstraﬂer Hauptstraﬂe,
MULTIMEDIAOGD.271,271,POINT (16.349361321640664 48.22495398568425),"9., W‰hringer G¸rtel gegen¸ber von 100",9,,
MULTIMEDIAOGD.272,272,POINT (16.3216114830085 48.243113915883384),"19., Krottenbachstraﬂe 171",19,Felix-Dahn-Straﬂe,
MULTIMEDIAOGD.273,273,POINT (16.34836130819046 48.21197404761252),"8., Florianigasse 37",8,,
MULTIMEDIAOGD.274,274,POINT (16.420841072204556 48.29732359613709),"21., Br¸nner Straﬂe 260",21,Johann Weber Straﬂe 27-29,
MULTIMEDIAOGD.275,275,POINT (16.35244129236599 48.21515403001043),"9., Alser Straﬂe 4",9,Hof 1,
MULTIMEDIAOGD.276,276,POINT (16.307731492425916 48.201834121405525),"14., Breitenseer Straﬂe 31",14,vor Josefinum,
MULTIMEDIAOGD.277,277,POINT (16.31602148210269 48.22361401219465),"17., Hernalser Hauptstraﬂe 172",17,Dittersdorfgasse,
MULTIMEDIAOGD.278,278,POINT (16.34333134616064 48.22184400349742),"18., W‰hringer G¸rtel 41",18,,
MULTIMEDIAOGD.279,279,POINT (16.356061288846302 48.22509398066943),"9., Alserbachstraﬂe 5",9,,
MULTIMEDIAOGD.280,280,POINT (16.28602158888951 48.19433417128713),"14., Zehetnergasse 17",14,Linzer Straﬂe 241,
MULTIMEDIAOGD.281,281,POINT (16.302641512683447 48.198174142542086),"14., H¸tteldorfer Straﬂe 130",14,Leyserstraﬂe,
MULTIMEDIAOGD.282,282,POINT (16.353251298822478 48.22198399695192),"9., W‰hringer Straﬂe gegen¸ber von 52",9,,
MULTIMEDIAOGD.283,283,POINT (16.360151262389525 48.220723999052964),"9., Liechtensteinstraﬂe 37",9,Bauernfeldplatz,
MULTIMEDIAOGD.284,284,POINT (16.410171097953448 48.27868369121448),"21., Br¸nner Straﬂe 140",21,MaPo,
MULTIMEDIAOGD.285,285,POINT (16.36573120610985 48.19985409532719),"6., Getreidemarkt 1",6,,
MULTIMEDIAOGD.286,286,POINT (16.408181106203983 48.276803701131236),"21., Frauenstiftgasse 12",21,Br¸nner Straﬂe,
MULTIMEDIAOGD.287,287,POINT (16.389311101543328 48.20697404670379),"3., Kollergasse 22",3,Marxergasse,
MULTIMEDIAOGD.288,288,POINT (16.410200961255452 48.17975416346157),"11., Simmeringer Hauptstraﬂe 40",11,Geistraﬂe /Stiege 3,
MULTIMEDIAOGD.289,289,POINT (16.31104142800594 48.16676428685282),"12., Hetzendorfer Straﬂe 76",12,PA1125,
MULTIMEDIAOGD.290,290,POINT (16.358131231349986 48.19120414111589),"5., Margaretenstraﬂe 79",5,,
MULTIMEDIAOGD.291,291,POINT (16.405281093505923 48.257713794002),"21., Leopoldauer Straﬂe 8",21,,
MULTIMEDIAOGD.292,292,POINT (16.37612118456072 48.22050398991824),"2., Leopoldsgasse 13-15",2,W6,
MULTIMEDIAOGD.293,293,POINT (16.35587131711404 48.244713886799495),"19., Hohe Warte 6",19,Barawitzkagasse,
MULTIMEDIAOGD.294,294,POINT (16.348471287897944 48.19765411596685),"6., Mariahilfer Straﬂe 85-87",6,,
MULTIMEDIAOGD.295,295,POINT (16.365131171720698 48.1724042261475),"10., Inzersdorfer Straﬂe 83",10,,
MULTIMEDIAOGD.296,296,POINT (16.369871222105743 48.22590396779866),"2., Gauﬂplatz 2",2,W6,
MULTIMEDIAOGD.297,297,POINT (16.385951142141902 48.22478396376395),"2., Am Tabor gegen¸ber von 14",2,W6 Trunnerstraﬂe,
MULTIMEDIAOGD.298,298,POINT (16.373251136807955 48.17580420528147),"10., Quellenplatz 9",10,,
MULTIMEDIAOGD.299,299,POINT (16.360361256018965 48.21621402042807),"9., W‰hringer Straﬂe 10",9,T¸rkenstraﬂe,
MULTIMEDIAOGD.300,300,POINT (16.387601098136308 48.199114085153504),"3., Neulinggasse 28",3,Ungargasse,
MULTIMEDIAOGD.301,301,POINT (16.31156147039638 48.19896413306992),"14., H¸tteldorfer Straﬂe 123",14,,
MULTIMEDIAOGD.302,302,POINT (16.335341392588557 48.22637398719087),"18., Schopenhauerstraﬂe 79",18,Vinzenzgasse 5,
MULTIMEDIAOGD.303,303,POINT (16.256151745662446 48.20222415193131),"14., Linzer Straﬂe 424",14,vor Kirche,
MULTIMEDIAOGD.304,304,POINT (16.34228134484831 48.21708402731299),"9., Hernalser G¸rtel ",9,vor U-6 Station Alser Straﬂe,
MULTIMEDIAOGD.305,305,POINT (16.252761769707895 48.20735412984428),"14., Anzbachgasse 2",14,Wolfersberggasse 13,
MULTIMEDIAOGD.306,306,POINT (16.37692112070573 48.17703419665605),"10., Viktor Adler Platz gegen¸ber von 10",10,WC-Anlage,
MULTIMEDIAOGD.307,307,POINT (16.304921535256728 48.222514024519356),"16., Matteottiplatz 3",16,,
MULTIMEDIAOGD.308,308,POINT (16.32534142226822 48.21269405895605),"16., Johann Nepomuk Berger Platz gegen¸ber von 10",16,,
MULTIMEDIAOGD.309,309,POINT (16.306131489087168 48.193784161234305),"14., Linzer Straﬂe 74",14,Missindorfstraﬂe,
MULTIMEDIAOGD.310,310,POINT (16.34237135897044 48.22697397967272),"18., Martinstraﬂe 100",18,Gentzgasse,
MULTIMEDIAOGD.311,311,POINT (16.32985138475684 48.20213410600298),"15., Burjanplatz ",15,Markgraf-R¸diger-Straﬂe,
MULTIMEDIAOGD.312,312,POINT (16.34826135195467 48.24302390010377),"19., Billrothstraﬂe 78",19,,
MULTIMEDIAOGD.313,313,POINT (16.40616103362062 48.21806398270467),"2., Ausstellungsstraﬂe 53",2,W6 Sebastian Kneipp Gasse,
MULTIMEDIAOGD.314,314,POINT (16.56163014042324 48.12001435501852),"30., Flughafen ",30,Objekt 105 Terminal 1 Mitte,
MULTIMEDIAOGD.315,315,POINT (16.357091209472028 48.17115423746467),"10., Guﬂriegelstraﬂe 45",10,,
MULTIMEDIAOGD.316,316,POINT (16.355791255252125 48.20023409947974),"6., Mariahilfer Straﬂe 41-43",6,,
MULTIMEDIAOGD.317,317,POINT (16.353181267937874 48.19951410410292),"7., Mariahilfer Straﬂe 42-48",7,,
MULTIMEDIAOGD.318,318,POINT (16.30170156823918 48.235003967404026),"17., Czartoryskigasse gegen¸ber von 229",17,Molnargasse,
MULTIMEDIAOGD.319,319,POINT (16.303941515464803 48.20487410966038),"16., Maroltingergasse 26-30",16,Josef Weinheber Platz 6,
MULTIMEDIAOGD.320,320,POINT (16.310031493700635 48.21031407954384),"16., Rankgasse 2",16,,
MULTIMEDIAOGD.321,321,POINT (16.373971168115425 48.20126408283469),"1., K‰rntner Ring 18",1,,
MULTIMEDIAOGD.322,322,POINT (16.30900149123677 48.20522410420231),"16., Adolf Czettel Gasse gegen¸ber von 1",16,U3 Ausgang Opfermanngasse,
MULTIMEDIAOGD.323,323,POINT (16.28979159548504 48.2125640817845),"16., Johann Staud Straﬂe 13",16,Demuthgasse,
MULTIMEDIAOGD.324,324,POINT (16.336881366959112 48.2139240459952),"16., Payergasse 10",16,Yppenplatz,
MULTIMEDIAOGD.325,325,POINT (16.277011636171174 48.196984163873545),"14., Hochsatzengasse 19",14,Linzer Straﬂe 280,
MULTIMEDIAOGD.326,326,POINT (16.41540100875961 48.232563907719765),"22., Kaiserm¸hlen ",22,bei Autobusstation U1 Kaiserm¸hlen,
MULTIMEDIAOGD.327,327,POINT (16.317761488337446 48.233293965339485),"18., Wallriﬂstraﬂe gegen¸ber von 91",18,Scheibenbergstraﬂe,
MULTIMEDIAOGD.328,328,POINT (16.362071226394796 48.201274090078584),"6., Rahlgasse 2",6,,
MULTIMEDIAOGD.329,329,POINT (16.337311348000153 48.201364105036866),"15., Neubaug¸rtel gegen¸ber von 38",15,Urban Loritz Platz,
MULTIMEDIAOGD.330,330,POINT (16.35736122647605 48.18480417226666),"5., Spengergasse 25",5,Stollberggasse,
MULTIMEDIAOGD.331,331,POINT (16.402021027475556 48.19875407757263),"3., R¸dengasse 7-9",3,W7 vor Jugendgericht,
MULTIMEDIAOGD.332,332,POINT (16.395141065948312 48.2024640639879),"3., K¸beckgasse 15",3,Erdbergstraﬂe,
MULTIMEDIAOGD.333,333,POINT (16.335701358709663 48.20401409386911),"15., Wurzbachgasse 23",15,Gablenzgasse Alte eigene 10155,
MULTIMEDIAOGD.334,334,POINT (16.31284146885577 48.20210411703921),"15., Minciostraﬂe 1",15,Schanzstraﬂe,
MULTIMEDIAOGD.335,335,POINT (16.345501318239663 48.20866406501611),"8., Lerchengasse 15",8,Tigerpark gegen¸ber Pfeilgasse,
MULTIMEDIAOGD.336,336,POINT (16.32263141326425 48.197284134076895),"15., Selzergasse 29",15,Meiselstraﬂe,
MULTIMEDIAOGD.337,337,POINT (16.318321435628153 48.19774413478334),"15., Meiselstraﬂe 23",15,vor U-3 Aufgang Johnstraﬂe,
MULTIMEDIAOGD.338,338,POINT (16.38941110871204 48.21237402060752),"3., Obere Weiﬂgerberstraﬂe 16",3,Lˆwengasse,
MULTIMEDIAOGD.339,339,POINT (16.39353107592051 48.203434060529894),"3., Kundmanngasse 24",3,W7 vor Schule,
MULTIMEDIAOGD.340,340,POINT (16.349981282124606 48.19829411258724),"7., Mariahilfer Straﬂe 70",7,,
MULTIMEDIAOGD.341,341,POINT (16.333851368350164 48.20397409504951),"15., Moeringgasse 22",15,Gablenzgasse,
MULTIMEDIAOGD.342,342,POINT (16.390251111122158 48.21783399418354),"2., Praterstrasse 67",2,,
MULTIMEDIAOGD.343,343,POINT (16.311631488012235 48.21182407125838),"16., Thaliastraﬂe 125",16,U 3 Paltaufgang gegen¸ber 16,
MULTIMEDIAOGD.344,344,POINT (16.34469135099902 48.23002396362699),"18., Sternwartestraﬂe 33",18,Gymnasiumstraﬂe,
MULTIMEDIAOGD.345,345,POINT (16.298171540827397 48.20262412377909),"14., Burgersteingasse 1",14,Breitenseer Straﬂe,
MULTIMEDIAOGD.346,346,POINT (16.398031049911438 48.20042407254628),"3., Apostelgasse 2",3,Erdbergstraﬂe 43,
MULTIMEDIAOGD.347,347,POINT (16.39889104205353 48.19827408187835),"3., Hainburger Straﬂe 39",3,Keinergasse,
MULTIMEDIAOGD.348,348,POINT (16.471470650920207 48.17128416609617),"11., Landwehrstraﬂe 5",11,gegen¸ber Huma,
MULTIMEDIAOGD.349,349,POINT (16.434390812011838 48.157364255158804),"11., Simmeringer Hauptstraﬂe 234",11,Tor 1,
MULTIMEDIAOGD.350,350,POINT (16.44897073438363 48.15244426994976),"11., Simmeringer Hauptstraﬂe 240",11,FH 3. Tor,
MULTIMEDIAOGD.351,351,POINT (16.33299133676152 48.178104219268896),"12., Ignazgasse 34",12,,
MULTIMEDIAOGD.352,352,POINT (16.326491368976143 48.17838422166696),"12., Pohlgasse 19",12,Ruckergasse,
MULTIMEDIAOGD.353,353,POINT (16.272441616521277 48.166674311716),"13., Hermesstraﬂe 1",13,Dr.Schoberstraﬂe,
MULTIMEDIAOGD.354,354,POINT (16.344011308304808 48.196714123504556),"7., Mariahilfer Straﬂe 104",7,,
MULTIMEDIAOGD.355,355,POINT (16.340871329277917 48.20032410783131),"7., Seidengasse 37",7,Kaiserstraﬂe,
MULTIMEDIAOGD.356,356,POINT (16.3409413227905 48.196194127734195),"7., Mariahilfer Straﬂe 124",7,,
MULTIMEDIAOGD.357,357,POINT (16.322771410362765 48.19542414251822),"15., Goldschlagstraﬂe 78",15,Krˆllgasse,
MULTIMEDIAOGD.358,358,POINT (16.405951038791947 48.220883969800056),"2., Vorgartenstraﬂe 172",2,W6,
MULTIMEDIAOGD.359,359,POINT (16.433920933504613 48.24315384583962),"22., Dr.Adolf Sch‰rf Platz ",22,Dz Autobushaltestelle U1 Zentrum Kagran,
MULTIMEDIAOGD.360,360,POINT (16.438630897266155 48.23362388881491),"22., Industriestraﬂe 20",22,Fitzweg,
MULTIMEDIAOGD.361,361,POINT (16.438100902154247 48.235923878473464),"22., Erzherzog Karl Straﬂe gegen¸ber von 35",22,Industriestraﬂe,
MULTIMEDIAOGD.362,362,POINT (16.370981207610697 48.21914399960618),"2., Obere Donaustraﬂe gegen¸ber von 47",2,W6 Augartenbr¸cke,
MULTIMEDIAOGD.363,363,POINT (16.39276110184189 48.21908398677534),"2., Praterstern ",2,W6 bei FLUC Geb‰ude,
MULTIMEDIAOGD.364,364,POINT (16.40011107110254 48.22325396224449),"2., Lassallestraﬂe 9",2,Eingangshalle UZ PA1402,
MULTIMEDIAOGD.365,365,POINT (16.43051096084367 48.2513338096678),"22., Donaufelder Straﬂe 161",22,Josef Baumann Gasse,
MULTIMEDIAOGD.366,366,POINT (16.4022611132292 48.261003780717864),"21., Schleifgasse 11-15",21,Floridsdorfer Markt,
MULTIMEDIAOGD.367,367,POINT (16.403071101989084 48.25610380310095),"21., Schloﬂhofer Straﬂe 34",21,Freytaggasse,
MULTIMEDIAOGD.368,368,POINT (16.399711119823476 48.257133801008976),"21., Franz-Jonas-Platz gegen¸ber von 6",21,Straﬂenbahnhaltestelle/Bahnsteig 1,
MULTIMEDIAOGD.369,369,POINT (16.35707128545001 48.22579397653372),"9., Fechtergasse 1",9,Liechtensteinstraﬂe,
MULTIMEDIAOGD.370,370,POINT (16.355221294352436 48.22571397845849),"9., Nuﬂdorfer Straﬂe 28",9,Bindergasse,
MULTIMEDIAOGD.371,371,POINT (16.368151234985916 48.2288639553542),"20., Klosterneuburger Straﬂe 22",20,,
MULTIMEDIAOGD.372,372,POINT (16.334201417540175 48.240643919684125),"19., Krottenbachstraﬂe 66",19,Hugo-Wolf-Park gegen¸ber Rodlergasse,
MULTIMEDIAOGD.373,373,POINT (16.364501238227497 48.217804009662885),"9., W‰hringer G¸rtel 18-20",9,KHAKH,
MULTIMEDIAOGD.374,374,POINT (16.355871275182235 48.2144340311447),"8., Landesgerichtsstraﬂe 11",8,Alser Straﬂe,
MULTIMEDIAOGD.375,375,POINT (16.354691273981153 48.20914405747906),"8., Auerspergstraﬂe 21",8,,
MULTIMEDIAOGD.376,376,POINT (16.361301246539913 48.21333403316921),"1., Dr.Karl Lueger Ring 1",1,,
MULTIMEDIAOGD.377,377,POINT (16.346601318450475 48.212594046294235),"8., Schlesingerplatz 4",8,APCOA Parking,
MULTIMEDIAOGD.378,378,POINT (16.353461311709324 48.232133948090286),"18., W‰hringer G¸rtel 141",18,Dˆblinger Hauptstraﬂe,
MULTIMEDIAOGD.379,379,POINT (16.32737144325393 48.23506395049074),"18., T¸rkenschanzplatz gegen¸ber von 2",18,Gersthofer Straﬂe gegen¸ber 77,
MULTIMEDIAOGD.380,380,POINT (16.327371416604862 48.21577404290908),"17., Parhamerplatz 18",17,,
MULTIMEDIAOGD.381,381,POINT (16.32847142698397 48.22698398851702),"17., Kreuzgasse 93",17,,
MULTIMEDIAOGD.382,382,POINT (16.30612153229195 48.224544014199054),"17., G¸pferlingstraﬂe 7",17,,
MULTIMEDIAOGD.383,383,POINT (16.31916145037096 48.2115240682525),"16., Schuhmeierplatz 17",16,,
MULTIMEDIAOGD.384,384,POINT (16.370321174744625 48.193074124754574),"4., Mayerhofgasse 2",4,,
MULTIMEDIAOGD.385,385,POINT (16.36893118602389 48.19608411087072),"4., Guﬂhausstraﬂe gegen¸ber von 30",4,Favoritenstraﬂe,
MULTIMEDIAOGD.386,386,POINT (16.37187116316673 48.18985413850266),"4., Favoritenstraﬂe 48",4,,
MULTIMEDIAOGD.387,387,POINT (16.369931178376223 48.19431411842933),"4., Favoritenstraﬂe 18",4,MA,
MULTIMEDIAOGD.388,388,POINT (16.3719411868265 48.207844052620715),"1., Singerstraﬂe 2",1,W5 K‰rntner Straﬂe,
MULTIMEDIAOGD.389,389,POINT (16.340301333960067 48.201794101109776),"7., Westbahnstraﬂe 37",7,Kaiserstraﬂe,
MULTIMEDIAOGD.390,390,POINT (16.338551351968896 48.20836407119387),"7., Lerchenfelder G¸rtel 42",7,,
MULTIMEDIAOGD.391,391,POINT (16.356671259447776 48.20557407331022),"7., Neustiftgasse gegen¸ber von 1",7,,
MULTIMEDIAOGD.392,392,POINT (16.34320132290379 48.20439408768882),"7., Schottenfeldgasse 70",7,Burggasse,
MULTIMEDIAOGD.393,393,POINT (16.33781134466259 48.20118410611017),"7., Urban Loritz Platz ",7,Neubaug¸rtel gegen¸ber 25,
MULTIMEDIAOGD.394,394,POINT (16.35407127002485 48.20413408210756),"7., Burggasse 14-16",7,,
MULTIMEDIAOGD.395,395,POINT (16.349041294812935 48.20434408399476),"7., Neubaugasse 74",7,Burggasse,
MULTIMEDIAOGD.396,396,POINT (16.36712120966728 48.20728405889016),"1., Reitschulgasse 1",1,W5,
MULTIMEDIAOGD.397,397,POINT (16.356151242855002 48.19196413862248),"5., Schˆnbrunner Straﬂe 40",5,Pilgramgasse,
MULTIMEDIAOGD.398,398,POINT (16.35022125851134 48.182684186374814),"5., Siebenbrunnengasse 82",5,Diehlgasse,
MULTIMEDIAOGD.399,399,POINT (16.355641234050655 48.18375417777059),"5., Fendigasse 1",5,Reinprechtsdorfer Straﬂe,
MULTIMEDIAOGD.400,400,POINT (16.36188120518579 48.184914168775),"5., Wiedner Hauptstraﬂe 116",5,,
MULTIMEDIAOGD.401,401,POINT (16.360021211271995 48.182784179646774),"5., Wiedner Hauptstraﬂe 131",5,Hollgasse,
MULTIMEDIAOGD.402,402,POINT (16.349801259317438 48.18150419226706),"5., Siebenbrunnenfeldgasse 13",5,,
MULTIMEDIAOGD.403,403,POINT (16.35213125474581 48.18625416833686),"5., Kohlgasse 37",5,Arbeitergasse,
MULTIMEDIAOGD.404,404,POINT (16.35271125666565 48.18960415228886),"5., Spengergasse 54",5,,
MULTIMEDIAOGD.405,405,POINT (16.363551215950885 48.19856410281668),"4., Rechte Wienzeile gegen¸ber von 17",4,,
MULTIMEDIAOGD.406,406,POINT (16.360611221480507 48.192464133461655),"5., Strauﬂengasse 21",5,,
MULTIMEDIAOGD.407,407,POINT (16.36726119823186 48.199404096284844),"4., Resselgasse 6",4,Technische Universit‰t,
MULTIMEDIAOGD.408,408,POINT (16.363981204930425 48.192254131902274),"4., Kleine Neugasse 2",4,,
MULTIMEDIAOGD.409,409,POINT (16.366471202963297 48.1993840967326),"4., Operngasse 20",4,B‰renm¸hlendurchgang,
MULTIMEDIAOGD.410,410,POINT (16.348731276557853 48.189934153218985),"6., Br¸ckengasse 2",6,Mollardgasse,
MULTIMEDIAOGD.411,411,POINT (16.350331274501983 48.194494129750474),"6., Gumpendorfer Straﬂe 72",6,,
MULTIMEDIAOGD.412,412,POINT (16.338831325421967 48.19054415613811),"6., Wallgasse 11",6,,
MULTIMEDIAOGD.413,413,POINT (16.375791130253898 48.180204182556174),"10., Raaber Bahn Gasse 16",10,,
MULTIMEDIAOGD.414,414,POINT (16.375681131617032 48.18107417880981),"10., Landgutgasse 19",10,,
MULTIMEDIAOGD.415,415,POINT (16.373541138620663 48.17828419281547),"10., Laxenburger Straﬂe 28",10,Gudrunstraﬂe,
MULTIMEDIAOGD.416,416,POINT (16.358491205794586 48.173504224763875),"10., Inzersdorfer Straﬂe 113",10,,
MULTIMEDIAOGD.417,417,POINT (16.37341114310042 48.18141417845137),"10., Landgutgasse 29",10,Laxenburger Straﬂe 6,
MULTIMEDIAOGD.418,418,POINT (16.380291066477955 48.149774324963545),"10., Stockholmer Platz 7",10,,
MULTIMEDIAOGD.419,419,POINT (16.56163014042324 48.12001435501852),"30., Flughafen ",30,Plaza West zu Pier West/,
