FID,OBJECTID,SHAPE,TEXT13ID,LAENGE,SE_ANNO_CAD_DATA
OEFFGRUENLINGOGD.39,39,"LINESTRING (16.320101681375863 48.190237568714664, 16.320108414862947 48.19010127761976)",Gustav-Jäger*,15.163164,
OEFFGRUENLINGOGD.40,40,"LINESTRING (16.32023142560285 48.19070297960607, 16.320311149713554 48.19082438082483)",Gustav-Jäger*,14.743285,
OEFFGRUENLINGOGD.41,41,"LINESTRING (16.360554688269694 48.215462884607525, 16.36037799798197 48.21553674792482)",Sigmund-Freu*,15.48783,
OEFFGRUENLINGOGD.42,42,"LINESTRING (16.359519002730323 48.21498462377186, 16.359765083032396 48.21488186412323)",Votivpark,21.563836,
OEFFGRUENLINGOGD.43,43,"LINESTRING (16.363958964922805 48.209860879957674, 16.36392460683292 48.20991561535627)",Minoritenpla*,6.600319,
OEFFGRUENLINGOGD.44,44,"LINESTRING (16.36433567334496 48.209459115840346, 16.364416873653475 48.2094953796993)",Minoritenpla*,7.258259,
OEFFGRUENLINGOGD.45,45,"LINESTRING (16.362034948267347 48.20959571747807, 16.362120983208555 48.20963012927091)",Volksgarten,7.451839,
OEFFGRUENLINGOGD.46,46,"LINESTRING (16.363142607457675 48.20833430648513, 16.36326133361426 48.20841387615592)",Volksgarten,12.496079,
OEFFGRUENLINGOGD.47,47,"LINESTRING (16.3036013699507 48.19644046934232, 16.303766362886908 48.19645428977496)",Matzner-Park,12.361848,
OEFFGRUENLINGOGD.48,48,"LINESTRING (16.303753524971903 48.196013417212015, 16.303847504780325 48.19602128924145)",Matzner-Park,7.041353,
OEFFGRUENLINGOGD.49,49,"LINESTRING (16.3801394846879 48.24595457350114, 16.380197481689162 48.24589472363196)",Friedrich-En*,7.927446,
OEFFGRUENLINGOGD.50,50,"LINESTRING (16.380558537015727 48.24437613223649, 16.38052333645344 48.24437848047057)",Friedrich-En*,2.627456,
OEFFGRUENLINGOGD.51,51,"LINESTRING (16.38232421518849 48.245044627661876, 16.382363074732773 48.24500845428105)",Friedrich-En*,4.95068,
OEFFGRUENLINGOGD.52,52,"LINESTRING (16.355577733283813 48.20757375652897, 16.35560076681591 48.20765488277108)",Schmerlingpl*,9.18188,
OEFFGRUENLINGOGD.53,53,"LINESTRING (16.3558388751236 48.207049130787865, 16.355887958634362 48.20697693588098)",Schmerlingpl*,8.817835,
OEFFGRUENLINGOGD.54,54,"LINESTRING (16.355757990501633 48.207052371433136, 16.355604044803496 48.207023594364315)",Schmerlingpl*,11.881324,
OEFFGRUENLINGOGD.55,55,"LINESTRING (16.37730382298036 48.23746863971803, 16.377401383052078 48.23752957630456)",Park Leithas*,9.921317,
OEFFGRUENLINGOGD.56,56,"LINESTRING (16.374671329269876 48.24387619779615, 16.374725937552824 48.24381648759948)",Forsthauspark,7.780381,
OEFFGRUENLINGOGD.57,57,"LINESTRING (16.346443105298103 48.20443170527743, 16.346439979683012 48.204290042242164)",Karl-Farkas-*,15.753982,
OEFFGRUENLINGOGD.58,58,"LINESTRING (16.379556676788543 48.20211236487312, 16.37944260411449 48.20199625737798)",Stadtpark,15.446221,
OEFFGRUENLINGOGD.59,59,"LINESTRING (16.35561884915103 48.187504620094835, 16.355678891532886 48.18744350909431)",Bacherpark,8.130605,
OEFFGRUENLINGOGD.60,60,"LINESTRING (16.357935230365868 48.22335534393445, 16.357828110237673 48.22333043345423)",Liechtenstei*,8.427598,
