FID,OBJECTID,SHAPE,ANGEBOT,OEFFNUNGSZEITEN,STANDORT,BEZIRK,WASSER,WEBLINK1,SE_ANNO_CAD_DATA
SPIELPLATZOGD.157808,157808,POINT (16.30517369365075 48.15190861716154),"Kleinkinder- Kinder- Jugendspielplatz,<br>Seilbahn,<br>Sandspielplatz",0:00-24:00,Parkanlage Riegerm¸hle,23,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157810,157810,POINT (16.317959401916685 48.14840320732802),"Kinder- Jugendspielplatz,<br>Fuﬂballplatz",0:00-24:00,Parkanlage Rˆﬂlergasse,23,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157813,157813,POINT (16.293773134574185 48.14338931309151),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Seilbahn,<br>Sandspielplatz",0:00-24:00,Parkanlage Reklewskigasse,23,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157814,157814,POINT (16.333012056201827 48.149956737078895),"Tischtennisplatz,<br>Skaterpark",0:00-24:00,Inzersdorfer Schubertpark,23,Pumpbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157816,157816,POINT (16.275695665692204 48.13497275366848),"Kleinkinderspielplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Elisenstraﬂe,23,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157817,157817,POINT (16.2882973332469 48.14070419728465),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Steinergasse,23,Trinkbrunnen+Tr‰nke und Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157820,157820,POINT (16.289966054680928 48.15434674262768),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Tullnertalgasse,23,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157821,157821,POINT (16.31251679243089 48.13034698545822),"Kinder- Jugendspielplatz,<br>Fuﬂballplatz",0:00-24:00,Parkanlage Siedlung Wienerflur,23,"Trinkbrunnen, Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157823,157823,POINT (16.267568713196447 48.14951972824466),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,÷lzeltpark,23,Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157825,157825,POINT (16.352671384394863 48.21612864746245),"Kleinkinderspielplatz,<br>Sandspielplatz",keine Angabe,Parkanlage Altes AKH,9,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157827,157827,POINT (16.32207404230385 48.218577894055535),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Skaterpark,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Clemens-Hofbauer-Platz,17,Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157828,157828,POINT (16.32117714007054 48.22425690402407),"Kleinkinderspielplatz,<br>Sandspielplatz",0:00-24:00,Clemens-Krauss-Park,17,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157829,157829,POINT (16.314378002539005 48.22503049799338),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Dr.-Josef-Resch-Platz,17,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157830,157830,POINT (16.301974274825135 48.23549018144587),Basketballplatz,0:00-24:00,Hans-Bock-Park,17,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157831,157831,POINT (16.31504369902496 48.23211895294387),"Kleinkinderspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Herbeckstraﬂe,17,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157832,157832,POINT (16.303614768614395 48.22920325628753),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Josef-Kaderka-Park,17,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157833,157833,POINT (16.32401189225326 48.22496263519882),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Skaterpark,<br>Basketballplatz",0:00-24:00,Lidlpark,17,2 Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157834,157834,POINT (16.3259442369253 48.214803140120715),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Lorenz-Bayer-Park,17,Trinkbrunnen+Tr‰nke und Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157836,157836,POINT (16.33074576195913 48.21755718062642),"Kleinkinder- Kinder- Jugendspielplatz,<br>Wasserspielplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Ortliebgasse,17,"Trinkbrunnen, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157838,157838,POINT (16.32567669215242 48.188600985698386),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Braunhirschenpark,15,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157839,157839,POINT (16.32919813979013 48.190178304600344),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Rodelh¸gel,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Dadlerpark,15,2 Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157840,157840,POINT (16.32582084876173 48.18708278394609),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Dreihausgasse,15,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157841,157841,POINT (16.326872811214447 48.18975248951946),"Kleinkinder- Kinder- Jugendspielplatz,<br>Volleyballplatz",0:00-24:00,Ernestine-Diwisch-Park,15,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157842,157842,POINT (16.31903207312869 48.196631854178236),"Kleinkinderspielplatz,<br>Fuﬂballplatz,<br>Tischtennisplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Forschneritschpark,15,2 Trinkbrunnen mit Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157843,157843,POINT (16.33319605566479 48.19441648933377),Kleinkinder- Kinder- Jugendspielplatz,0:00-24:00,Parkanlage Friedrichsplatz,15,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157845,157845,POINT (16.315266649132823 48.19128564755819),"Kleinkinderspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Heinz-Conrads-Park,14,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157849,157849,POINT (16.247080334482504 48.21040216873715),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Wolfersberg,14,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157852,157852,POINT (16.305984833423167 48.19808515969765),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Ludwig-Zatzka-Park,14,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157853,157853,POINT (16.303267695494984 48.1958527799125),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Tischtennisplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Matzner-Park,14,2 Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157855,157855,POINT (16.307328238886768 48.201125447193334),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Ordeltpark,14,2 Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157857,157857,POINT (16.31135954061664 48.19597689613855),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Reinlpark,14,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157858,157858,POINT (16.227669621309193 48.21681404135434),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Schˆffelplatz,14,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157859,157859,POINT (16.23963364472977 48.21365428702215),Fuﬂballplatz,0:00-24:00,Parkanlage Viktor-Kutschear-Platz,14,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157860,157860,POINT (16.316796517189424 48.18876103280633),"Kleinkinder- Kinder- Jugendspielplatz,<br>Volleyballplatz,<br>Basketballplatz",0:00-24:00,Auer-Welsbach-Park,15,"Trinkbrunnen+Tr‰nke, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157861,157861,POINT (16.27591785296723 48.173859567192466),"Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Basketballplatz","Nov.-M‰rz 6:00-21:30, April-Sep. 6:00-22:00",Friedrich-Julius-Bieber-Anlage,13,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157862,157862,POINT (16.28779517200488 48.16775486182728),"Kleinkinder- Kinder- Jugendspielplatz,<br>Tischtennisplatz,<br>Seilbahn,<br>Sand- und Matschbereich",0:00-24:00,Parkanlage Furtw‰nglerplatz,13,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
