FID,OBJECTID,SHAPE,ANGEBOT,OEFFNUNGSZEITEN,STANDORT,BEZIRK,WASSER,WEBLINK1,SE_ANNO_CAD_DATA
SPIELPLATZOGD.157928,157928,POINT (16.406420194469398 48.211113335233875),"Kleinkinder- Kinder- Jugendspielplatz,<br>Seilbahn,<br>Sandspielplatz",0:00-24:00,Prater - Avenue,2,nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157929,157929,POINT (16.39892303091062 48.2143105922426),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Prater - Schulverkehrsgartenwiese,2,nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157933,157933,POINT (16.398509530306086 48.213121267803714),Kinder- Jugendspielplatz,0:00-24:00,Prater - Laufbergerwiese,2,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157934,157934,POINT (16.400845667955895 48.21202766445471),"Kleinkinder- Kinder- Jugendspielplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Skaterpark",0:00-24:00,Prater - Zirkuswiese,2,nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157938,157938,POINT (16.404544482923804 48.20511588267919),"Kleinkinder- Kinder- Jugendspielplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Rodelh¸gel,<br>Seilbahn,<br>Sand- und Matschbereich",0:00-24:00,Prater - Jesuitenwiese,2,3 Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157944,157944,POINT (16.41762054841945 48.19900680128117),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sand- und Matschbereich",0:00-24:00,Prater - Wasserwiese,2,nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157948,157948,POINT (16.442736337664478 48.19225440273263),Kleinkinder- Kinder- Jugendspielplatz,0:00-24:00,Prater - Groﬂenzersdorfer Wiese,2,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157949,157949,POINT (16.43712359301092 48.200171324921776),Kleinkinder- Kinder- Jugendspielplatz,0:00-24:00,Prater - Untere Heustadelwiese,2,nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157950,157950,POINT (16.276174242128775 48.19628272463849),"Fuﬂballplatz,<br>Basketballplatz",0:00-24:00,Baumgartner-Casino-Park,14,"2 Trinkbrunnen, Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157951,157951,POINT (16.275298084657475 48.19661106610863),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Tischtennisplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Baumgartner-Casino-Park,14,"2 Trinkbrunnen, Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157952,157952,POINT (16.33259188631149 48.2035880316225),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00 - 24:00,Vogelweidpark,15,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157953,157953,POINT (16.332839757168365 48.20338853401023),"Kinder- Jugendspielplatz,<br>Skaterpark,<br>Basketballplatz",0:00 - 24:00,Vogelweidpark,15,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157954,157954,POINT (16.331746358999396 48.203652880798984),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Sandspielplatz",0:00 - 24:00,Vogelweidpark,15,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157955,157955,POINT (16.30774148217159 48.22129730227273),"Kleinkinderspielplatz,<br>Sandspielplatz",0:00-24:00,Kongreﬂpark,16,"2 Trinkbrunnen, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157956,157956,POINT (16.308148396652342 48.222131247172925),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Kongreﬂpark,16,"2 Trinkbrunnen, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157957,157957,POINT (16.30848667599958 48.22304393432088),"Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Kongreﬂpark,16,"2 Trinkbrunnen, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157958,157958,POINT (16.33287316804455 48.23576405916769),"Kleinkinderspielplatz,<br>Tischtennisplatz,<br>Sandspielplatz",0:00-24:00,T¸rkenschanzpark,18,"Trinkbrunnen, 2 Trinkbrunnen mit Auffangschale, Pumpbrunnen, Zierbrunnen, 3 Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157959,157959,POINT (16.3368770291275 48.23443248661712),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Skaterpark,<br>Sand- und Matschbereich,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,T¸rkenschanzpark,18,"Trinkbrunnen, 2 Trinkbrunnen mit Auffangschale, Pumpbrunnen, Zierbrunnen, 3 Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157960,157960,POINT (16.33369048290732 48.234429677500685),"Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,T¸rkenschanzpark,18,"Trinkbrunnen, 2 Trinkbrunnen mit Auffangschale, Pumpbrunnen, Zierbrunnen, 3 Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157961,157961,POINT (16.32950959938219 48.23461599464676),Basketballplatz,0:00-24:00,T¸rkenschanzpark,18,"Trinkbrunnen, 2 Trinkbrunnen mit Auffangschale, Pumpbrunnen, Zierbrunnen, 3 Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157963,157963,POINT (16.250363464807965 48.202182466550745),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Ferdinand-Wolf-Park,14,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157964,157964,POINT (16.252119764503803 48.201748042200435),Kinder- Jugendspielplatz,0:00-24:00,Ferdinand-Wolf-Park,14,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157965,157965,POINT (16.406570018408377 48.24722067334953),"Volleyballplatz,<br>Tischtennisplatz,<br>Basketballplatz",0:00-24:00,Parkanlage Dragonerh‰ufel,21,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157966,157966,POINT (16.34780857708512 48.23190273113547),"Kleinkinder- Kinder- Jugendspielplatz,<br>Tischtennisplatz,<br>Skaterpark,<br>Sandspielplatz",<Null>,W‰hringer Park,18,Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157967,157967,POINT (16.34853170467044 48.2323655219078),"Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,W‰hringer Park,18,Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157968,157968,POINT (16.35031700410813 48.23345306129941),"Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,W‰hringer Park,18,Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157969,157969,POINT (16.359625716782507 48.243513344037645),"Fuﬂballplatz,<br>Basketballplatz",0:00-24:00,Wertheimsteinpark,19,"Trinkbrunnen+Tr‰nke, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157971,157971,POINT (16.414405005377926 48.21945884305341),Fuﬂballplatz,0:00-24:00,Rechter Donaudamm 1,2,nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157972,157972,POINT (16.36122806039372 48.2521007986245),Kleinkinder- Kinder- Jugendspielplatz,0:00-24:00,Heiligenst‰dter Park,19,"3 Trinkbrunnen mit Auffangschale, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157973,157973,POINT (16.358200558058098 48.251517648428695),Basketballplatz,0:00-24:00,Heiligenst‰dter Park,19,"3 Trinkbrunnen mit Auffangschale, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157974,157974,POINT (16.3576637999868 48.252123346504625),Kleinkinderspielplatz,0:00-24:00,Heiligenst‰dter Park,19,"3 Trinkbrunnen mit Auffangschale, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157975,157975,POINT (16.357966534438738 48.25374861339468),Kinder- Jugendspielplatz,0:00-24:00,Heiligenst‰dter Park,19,"3 Trinkbrunnen mit Auffangschale, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157976,157976,POINT (16.35681026205181 48.25372049338838),"Fuﬂballplatz,<br>Basketballplatz",0:00-24:00,Heiligenst‰dter Park,19,"3 Trinkbrunnen mit Auffangschale, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157977,157977,POINT (16.334546354435652 48.240121551763814),"Kleinkinder- Kinder- Jugendspielplatz,<br>Tischtennisplatz,<br>Sandspielplatz",0:00-24:00,Hugo-Wolf-Park,19,2 Trinkbrunnen mit Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157978,157978,POINT (16.334074621543134 48.2391036853431),"Kleinkinder- Kinder- Jugendspielplatz,<br>Tischtennisplatz,<br>Sandspielplatz",0:00-24:00,Hugo-Wolf-Park,19,2 Trinkbrunnen mit Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157979,157979,POINT (16.33832878415285 48.24473795561656),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Tischtennisplatz,<br>Basketballplatz",7:00-19:00,Olympiapark,19,2 Trinkbrunnen+Tr‰nke und Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157980,157980,POINT (16.339194884520808 48.24470656718801),"Tischtennisplatz,<br>Sandspielplatz",7:00-19:00,Olympiapark,19,2 Trinkbrunnen+Tr‰nke und Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157981,157981,POINT (16.359498316369066 48.24253356850618),Kleinkinderspielplatz,0:00-24:00,Wertheimsteinpark,19,"Trinkbrunnen+Tr‰nke, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157982,157982,POINT (16.385542496856367 48.23791823238654),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Allerheiligenpark,20,"3 Trinkbrunnen+Tr‰nke und Auffangschale, Pumpbrunnen, Hundetrinkbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157983,157983,POINT (16.384678348070405 48.23866914074749),"Fuﬂballplatz,<br>Volleyballplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Allerheiligenpark,20,"3 Trinkbrunnen+Tr‰nke und Auffangschale, Pumpbrunnen, Hundetrinkbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157984,157984,POINT (16.38518149368284 48.238318411534685),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Basketballplatz",0:00-24:00,Allerheiligenpark,20,"3 Trinkbrunnen+Tr‰nke und Auffangschale, Pumpbrunnen, Hundetrinkbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157985,157985,POINT (16.344403606518693 48.15160201803344),Kinder- Jugendspielplatz,0:00-24:00,Draschepark,23,"Trinkbrunnen+Tr‰nke, Trinkbrunnen+Tr‰nke mit Auffangschale",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157988,157988,POINT (16.479531766567572 48.24636451027216),"Kleinkinder- Kinder- Jugendspielplatz,<br>Tischtennisplatz",0:00-24:00,Teich Hirschstetten,22,Trinkbrunnen+Tr‰nke mit Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157989,157989,POINT (16.47876389777976 48.24113535640514),Volleyballplatz,0:00-24:00,Teich Hirschstetten,22,Trinkbrunnen+Tr‰nke mit Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157990,157990,POINT (16.41796091600789 48.238436824005454),"Kleinkinder- Kinder- Jugendspielplatz,<br>Tischtennisplatz,<br>Sand- und Matschbereich,<br>Sandspielplatz",0:00-24:00,Donaupark,22,"3 Zierbrunnen, 5 Trinkbrunnen, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157991,157991,POINT (16.415820857722018 48.239936763781834),Rodelh¸gel,0:00-24:00,Donaupark,22,"3 Zierbrunnen, 5 Trinkbrunnen, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157992,157992,POINT (16.411348954119454 48.24222924926558),"Sand- und Matschbereich,<br>Basketballplatz",0:00-24:00,Donaupark,22,"3 Zierbrunnen, 5 Trinkbrunnen, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157993,157993,POINT (16.41332837552744 48.24235051226452),Skaterpark,0:00-24:00,Donaupark,22,"3 Zierbrunnen, 5 Trinkbrunnen, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157994,157994,POINT (16.405210460328366 48.239103497227525),"Kinder- Jugendspielplatz,<br>Skaterpark,<br>Basketballplatz",0:00-24:00,Donaupark,22,"3 Zierbrunnen, 5 Trinkbrunnen, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157995,157995,POINT (16.414238080056617 48.24163566331524),nein,0:00-24:00,Donaupark,22,"3 Zierbrunnen, 5 Trinkbrunnen, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157996,157996,POINT (16.415791468616685 48.2412967248099),Tischtennisplatz,0:00-24:00,Donaupark,22,"3 Zierbrunnen, 5 Trinkbrunnen, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157997,157997,POINT (16.34084288597732 48.14962908785827),Fuﬂballplatz,0:00-24:00,Draschepark,23,"Trinkbrunnen+Tr‰nke, Trinkbrunnen+Tr‰nke mit Auffangschale",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157998,157998,POINT (16.283144526664376 48.14576160490526),"Rodelh¸gel,<br>Sandspielplatz",0:00-24:00,Fridtjof-Nansen-Park,23,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157999,157999,POINT (16.282951106874343 48.14440737103867),"Fuﬂballplatz,<br>Volleyballplatz,<br>Sandspielplatz",0:00-24:00,Fridtjof-Nansen-Park,23,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158000,158000,POINT (16.282000074438763 48.14379813313551),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Skaterpark,<br>Rodelh¸gel,<br>Basketballplatz",0:00-24:00,Fridtjof-Nansen-Park,23,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158001,158001,POINT (16.387245505393206 48.18766344190871),Basketballplatz,0:00-24:00,Schweizergarten,3,"3 Trinkbrunnen+Tr‰nke, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158002,158002,POINT (16.38889624682475 48.18773638351575),"Kleinkinderspielplatz,<br>Sandspielplatz",0:00-24:00,Schweizergarten,3,"3 Trinkbrunnen+Tr‰nke, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158003,158003,POINT (16.38698951154945 48.18658143679001),"Kleinkinder- Kinder- Jugendspielplatz,<br>Rodelh¸gel,<br>Seilbahn,<br>Sand- und Matschbereich,<br>Sandspielplatz",0:00-24:00,Schweizergarten,3,"3 Trinkbrunnen+Tr‰nke, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158004,158004,POINT (16.38572363101373 48.185175312017925),Fuﬂballplatz,0:00-24:00,Schweizergarten,3,"3 Trinkbrunnen+Tr‰nke, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158005,158005,POINT (16.402360720750995 48.18407361717224),"Kleinkinderspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Seippgasse,3,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158006,158006,POINT (16.38094964913823 48.20358927301173),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Skaterpark,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Stadtpark,3,"Trinkbrunnen, Spielbrunnen, Zierbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158008,158008,POINT (16.367635333435803 48.1869693149532),"Fuﬂballplatz,<br>Tischtennisplatz,<br>Basketballplatz",Ballspielplatz: 7:00-22:00,Alois-Drasche-Park,4,2 Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158010,158010,POINT (16.342640889184175 48.18761027378047),"Volleyballplatz,<br>Basketballplatz",00:00-24:00,Parkanlage Mittelzone,5,2 Trinkbrunnen+Tr‰nke und Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158011,158011,POINT (16.345061031871847 48.18475510305549),"Tischtennisplatz,<br>Basketballplatz",00:00-24:00,Parkanlage Mittelzone,5,2 Trinkbrunnen+Tr‰nke und Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158012,158012,POINT (16.343161965985267 48.187824737070635),nein,0:00-24:00,Bruno-Kreisky-Park,5,"Trinkbrunnen+Tr‰nke, Trinkbrunnen+Tr‰nke mit Auffangschale",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158013,158013,POINT (16.344341494373865 48.18817985654317),Kleinkinder- Kinder- Jugendspielplatz,0:00-24:00,Bruno-Kreisky-Park,5,"Trinkbrunnen+Tr‰nke, Trinkbrunnen+Tr‰nke mit Auffangschale",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158014,158014,POINT (16.367556072242383 48.223972652982056),"Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz",00:00-24:00,Treppelweg - Roﬂauer L‰nde,9,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158015,158015,POINT (16.398879000728616 48.15084498174974),"Kleinkinder- Kinder- Jugendspielplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Skaterpark,<br>Seilbahn","Nov.-Jan.6:00-18:00, Feb.6:00-19:00, Mar.&Okt.6:00-20:00, Apr.&Sept.6:00-21:00, Mai-Aug.6:00-22:00",Kur-und Erholungspark Laaer Berg,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158016,158016,POINT (16.401540615423862 48.14633933052747),Rodelh¸gel,"Nov.-Jan.6:00-18:00, Feb.6:00-19:00, Mar.&Okt.6:00-20:00, Apr.&Sept.6:00-21:00, Mai-Aug.6:00-22:00",Kur-und Erholungspark Laaer Berg,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158017,158017,POINT (16.405397138663893 48.14805739186245),"Kleinkinder- Kinder- Jugendspielplatz,<br>Tischtennisplatz,<br>Seilbahn,<br>Sand- und Matschbereich","Nov.-Jan.6:00-18:00, Feb.6:00-19:00, Mar.&Okt.6:00-20:00, Apr.&Sept.6:00-21:00, Mai-Aug.6:00-22:00",Kur-und Erholungspark Laaer Berg,10,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158018,158018,POINT (16.389647453122556 48.156846368862475),Skaterpark,0:00-24:00,Volkspark Laaerberg,10,"Trinkbrunnen, Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158019,158019,POINT (16.385621999229095 48.15652803505987),"Kleinkinder- Kinder- Jugendspielplatz,<br>Seilbahn,<br>Sandspielplatz",0:00-24:00,Volkspark Laaerberg,10,"Trinkbrunnen, Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158020,158020,POINT (16.387236309755387 48.15484882557341),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Tischtennisplatz,<br>Seilbahn,<br>Sandspielplatz",0:00-24:00,Volkspark Laaerberg,10,"Trinkbrunnen, Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158021,158021,POINT (16.31309524102686 48.13069415388515),"Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz",0:00-24:00,Parkanlage Siedlung Wienerflur,23,"Trinkbrunnen, Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158022,158022,POINT (16.31378419982511 48.1308719071012),"Kleinkinder- Kinder- Jugendspielplatz,<br>Basketballplatz",0:00-24:00,Parkanlage Siedlung Wienerflur,23,"Trinkbrunnen, Trinkbrunnen+Tr‰nke",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158023,158023,POINT (16.354408529716455 48.17563308551803),Kleinkinder- Kinder- Jugendspielplatz,0:00-24:00,Martin-Luther-King-Park,10,2 Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158024,158024,POINT (16.353516760374447 48.17512524733408),Tischtennisplatz,0:00-24:00,Martin-Luther-King-Park,10,2 Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158025,158025,POINT (16.37720412563721 48.17098134643815),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Antonspark,10,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158026,158026,POINT (16.378301884496633 48.17122431595739),"Fuﬂballplatz,<br>Basketballplatz",0:00-24:00,Antonspark,10,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158027,158027,POINT (16.411140901296886 48.173740021626976),"Kleinkinder- Kinder- Jugendspielplatz,<br>Basketballplatz,<br>Sandspielplatz",6:00-20:00,Herderpark,11,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158028,158028,POINT (16.409387354632315 48.17182714183481),"Fuﬂballplatz,<br>Tischtennisplatz,<br>Basketballplatz",6:00-20:00,Herderpark,11,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158029,158029,POINT (16.410445412885764 48.171797863483626),nein,6:00-20:00,Herderpark,11,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158030,158030,POINT (16.460243834215124 48.15394317767952),"Kleinkinder- Kinder- Jugendspielplatz,<br>Volleyballplatz,<br>Skaterpark,<br>Wasserspielplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Am Leberberg,11,2 Trinkbrunnen+Tr‰nke und Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158031,158031,POINT (16.461844808271017 48.1533584852583),"Kleinkinderspielplatz,<br>Tischtennisplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Am Leberberg,11,2 Trinkbrunnen+Tr‰nke und Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158032,158032,POINT (16.410869662939714 48.18132666164964),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Hyblerpark,11,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158033,158033,POINT (16.41259794139497 48.18204272049318),"Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Basketballplatz",0:00-24:00,Hyblerpark,11,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158034,158034,POINT (16.426002203558877 48.16720082081642),Kleinkinder- Kinder- Jugendspielplatz,0:00-24:00,Parkanlage D¸rrnbacherstraﬂe,11,2 Trinkbrunnen+Tr‰nke und Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158035,158035,POINT (16.429143586338107 48.16485667677782),"Kleinkinder- Kinder- Jugendspielplatz,<br>Tischtennisplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage D¸rrnbacherstraﬂe,11,2 Trinkbrunnen+Tr‰nke und Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158036,158036,POINT (16.462394805744 48.15744883505983),"Kleinkinder- Kinder- Jugendspielplatz,<br>Basketballplatz",6:00-20:00,Parkanlage Paulasgasse,11,"2 Trinkbrunnen mit Auffangschale, Trinkbrunnen+Tr‰nke, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158037,158037,POINT (16.46254267911099 48.155652988176996),"Kleinkinderspielplatz,<br>Skaterpark,<br>Sand- und Matschbereich",6:00-20:00,Parkanlage Paulasgasse,11,"2 Trinkbrunnen mit Auffangschale, Trinkbrunnen+Tr‰nke, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.158038,158038,POINT (16.429238365235502 48.16947203096122),"Fuﬂballplatz,<br>Tischtennisplatz,<br>Sandspielplatz",7:00-20:00,Parkanlage BlÈriotgasse,11,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
