FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA
FRIEDHOFOGD.482103,POINT (16.50121972194307 48.2762318968589),Friedhof S¸ﬂenbrunn,"22., Friedhofweg",482103,
FRIEDHOFOGD.482104,POINT (16.36023582197112 48.17848400389812),Evangelischer Friedhof Matzleinsdorf,"10., Triester Straﬂe 1",482104,
FRIEDHOFOGD.482105,POINT (16.26171576198674 48.17826861825653),Friedhof Ober St. Veit,"13., Gemeindeberggasse 26",482105,
FRIEDHOFOGD.482106,POINT (16.382423513771965 48.273098888466535),Friedhof Jedlesee,"21., Audorfgasse 47",482106,
FRIEDHOFOGD.482107,POINT (16.36545583771228 48.14469595522826),Islamischer Friedhof,"23., Groﬂmarktstraﬂe 2A",482107,
FRIEDHOFOGD.482108,POINT (16.440192381510137 48.15418711536922),Zentralfriedhof Halle 2,"11., Simmeringer Hauptstraﬂe 234",482108,
FRIEDHOFOGD.482109,POINT (16.311977351863337 48.12646158713537),Friedhof Siebenhirten,"23., Pollakgasse 3",482109,
FRIEDHOFOGD.482110,POINT (16.31170607808273 48.22797850282559),Friedhof Dornbach,"17., Alszeile 28",482110,
FRIEDHOFOGD.482111,POINT (16.317166238061816 48.226819683095954),Friedhof Hernals,"17., Leopold-Kunschak-Platz 7",482111,
FRIEDHOFOGD.482112,POINT (16.438719546791315 48.151263650534325),Zentralfriedhof Ehrengr‰ber,"11., Simmeringer Hauptstraﬂe 234",482112,
FRIEDHOFOGD.482113,POINT (16.27464376464484 48.15374996598046),Friedhof Mauer,"23., Friedensstraﬂe 6-16",482113,
FRIEDHOFOGD.482114,POINT (16.299720321646227 48.17626577452161),Friedhof Hietzing,"13., Maxingstraﬂe 15",482114,
FRIEDHOFOGD.482115,POINT (16.39324275139843 48.299606440951585),Friedhof Strebersdorf,"21., Anton-Haberzeth-Gasse 6",482115,
FRIEDHOFOGD.482116,POINT (16.442389920229566 48.145498413923015),Zentralfriedhof Halle 3,"11., Simmeringer Hauptstraﬂe 234",482116,
FRIEDHOFOGD.482117,POINT (16.44133578062892 48.15834428736455),Feuerhalle Simmering,"11., Simmeringer Hauptstraﬂe 337",482117,
FRIEDHOFOGD.482118,POINT (16.292434073741944 48.1768848525687),Friedhof Lainz,"13., W¸rzburggasse 28",482118,
FRIEDHOFOGD.482119,POINT (16.43846619923842 48.15105433340149),Zentralfriedhof,"11., Simmeringer Hauptstraﬂe 234",482119,
FRIEDHOFOGD.482120,POINT (16.31763730223796 48.230598499151576),Friedhof Gersthof,"18., Mˆhnergasse 1",482120,
FRIEDHOFOGD.482121,POINT (16.308849203913308 48.2441360052906),Friedhof Pˆtzleinsdorf,"18., Starkfriedgasse 67",482121,
FRIEDHOFOGD.482122,POINT (16.327066717018987 48.16533916731045),Friedhof Altmannsdorf,"12., St¸ber-Gunther-Gasse 1",482122,
FRIEDHOFOGD.482123,POINT (16.296750798872697 48.21351480497563),Friedhof Ottakring,"16., Gallitzinstraﬂe 5",482123,
FRIEDHOFOGD.482008,POINT (16.32059166429663 48.2485599193632),Friedhof Sievering,"19., Nottebohmstraﬂe 51",482008,
FRIEDHOFOGD.482009,POINT (16.428063684711503 48.15195966998651),Zentralfriedhof Tor 11,"11., Mylius-Bluntschli-Straﬂe 111",482009,
FRIEDHOFOGD.482010,POINT (16.47931775319629 48.215813560522825),Friedhof Aspern,"22., Langobardenstraﬂe 180",482010,
FRIEDHOFOGD.482011,POINT (16.452121882317122 48.14867684453708),Zentralfriedhof Neuer Israelitischer Friedhof,"11., Simmeringer Hauptstraﬂe 244",482011,
FRIEDHOFOGD.482012,POINT (16.49299222843716 48.25225281686454),Friedhof Breitenlee,"22., Breitenleer Straﬂe 231",482012,
