FID,OBJECTID,SHAPE,ADRESSE,ZEITRAUM,STELLPLATZANZAHL,SE_ANNO_CAD_DATA
TAXIOGD.255,255,"LINESTRING (16.310687988544956 48.21376867148119, 16.31054474615843 48.214009182313156, 16.31051104340827 48.214068255448936)","16., Weinheimergasse ggü. 5",,7,
TAXIOGD.256,256,"LINESTRING (16.312685901563267 48.19941242543465, 16.31299322472929 48.19968849750453)","14., Poschgasse 1 3",,6,
TAXIOGD.257,257,"LINESTRING (16.312990295965037 48.199687517783445, 16.313334206941974 48.199998830456686)","14., Poschgasse 3 7",Mo.-Fr. (w.) v. 7-19h,8,
TAXIOGD.258,258,"LINESTRING (16.29377871468435 48.1988990575975, 16.293809040235864 48.198934018536995, 16.293852849973046 48.19897687482041, 16.293895389143923 48.1990108363541)","14., Heinrich-Collin-Straße 30",,3,
TAXIOGD.259,259,"LINESTRING (16.294155667107475 48.19853330868004, 16.294408716603765 48.198522680734165)","14., Heinrich-Collin-Straße 9",v. 7-20h,3,
TAXIOGD.260,260,"LINESTRING (16.44381350751035 48.250181379803465, 16.444022624102562 48.25043446565141)","22., Wagramer Straße 154",,,
TAXIOGD.261,261,"LINESTRING (16.471007837300593 48.169630193243165, 16.471099869969425 48.16977990803643)","11., Landwehrstraße ggü. 5",Mo.-Sa.(w.)v.9-20h,4,
TAXIOGD.262,262,"LINESTRING (16.430266627698625 48.2063178017332, 16.430401123678326 48.206221239568755)","2., Wehlistraße (Bereich Simon-Wiesenthal-Gasse)",,3,
TAXIOGD.263,263,"LINESTRING (16.367201900298035 48.24609082174556, 16.367411732384923 48.246009833392414)","19., Adolf-Raupenstrauch-Gasse",v. 7-19h,3,
TAXIOGD.264,264,"LINESTRING (16.457031612410127 48.221359262135266, 16.457254150778944 48.22120241752497)","22., Schickgasse ggü. 25",,4,
TAXIOGD.265,265,"LINESTRING (16.404565007884628 48.18566502956954, 16.40475965526704 48.18549465501356)","11., Rinnböckstraße 3",,4,
TAXIOGD.266,266,"LINESTRING (16.390685318391508 48.21189499197926, 16.390645239670363 48.21179976208898)","3., Radetzkystraße 25",v. 8-19h,2,
TAXIOGD.267,267,"LINESTRING (16.256281952935286 48.2021018286519, 16.256685223789628 48.20196552259005)","14., Linzer Straße 419",,6,
TAXIOGD.268,268,"LINESTRING (16.256281952935286 48.2021018286519, 16.256685223789628 48.20196552259005)","14., Linzer Straße 419",,6,
TAXIOGD.269,269,"LINESTRING (16.369512276121046 48.20256429144926, 16.369285028027658 48.20261611539788)","1., Opernring Kärntner Straße",von 7-21.30h (Omnibusse) und 21.30-24h (Taxi),,
TAXIOGD.270,270,"LINESTRING (16.402734298900302 48.14195497648919, 16.40275338300392 48.14194729864365, 16.402783902298555 48.14192427723902, 16.402797894323545 48.14191575022882, 16.403166941530323 48.141838859738534)","10., Kurbadstraße ggü.12",,,
