FID,SHAPE,MERKMAL,SUBMERKMAL,SE_SDO_ROWID,SE_ANNO_CAD_DATA
RADWEGEOGD.16057654,"LINESTRING (16.457404482472036 48.15933276831398, 16.457392044043775 48.15932496630567, 16.457355953743498 48.15930231441338, 16.457306348138466 48.15927117814067, 16.457094001367345 48.159186838358174, 16.456538417531934 48.15902433835305, 16.45596479239596 48.158864876214736, 16.455540304251652 48.15878679813457, 16.455314954107394 48.158755960465214, 16.455167212765442 48.15873574393254, 16.45494881451227 48.1587058696127, 16.454420584435674 48.15866110675201, 16.454408057066345 48.158661119651555, 16.453930900689635 48.158661304196706)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16057654,
RADWEGEOGD.16057655,"LINESTRING (16.394006526034353 48.25395840597339, 16.394050853988137 48.25388401063965, 16.394125613240163 48.25373607228934, 16.3941996428638 48.25358635362052, 16.394227250299863 48.25351651717997, 16.394245120928005 48.2534579810016, 16.394266471577602 48.253404533156264, 16.394296535215457 48.25335143162445, 16.394363583871478 48.25328071182471)",Markierte Anlagen,Mehrzweckstreifen,16057655,
RADWEGEOGD.16057656,"LINESTRING (16.346552399764235 48.21169349532822, 16.34655244012824 48.21169348633135, 16.346425583679217 48.21142696721651, 16.34627922387397 48.21111944081974, 16.34627770280801 48.21111624837885)",Markierte Anlagen,Radfahren gegen die Einbahn,16057656,
RADWEGEOGD.16057657,"LINESTRING (16.331291341356557 48.155704751262526, 16.331297470637715 48.155700974347276, 16.331321207384363 48.15569469803185, 16.3317636314914 48.15554992391518, 16.332123042149647 48.15543194519801, 16.332373983204533 48.155353262480084, 16.33254737030264 48.15529427211348, 16.332725192461396 48.15523393262422, 16.332961481882826 48.15514868311571, 16.333219275213867 48.15506460277636, 16.333464703233812 48.15496568269966, 16.333777332768637 48.154858849378215, 16.334201383600647 48.15470345344434, 16.33483953858064 48.15445830565407, 16.335598381261626 48.154176192545556, 16.336156822882803 48.153973665139326, 16.336688783178143 48.15378219687513, 16.337259177978492 48.15358263180954, 16.33764853273892 48.1534361268133, 16.337792608540678 48.15339133827376, 16.33790415933551 48.153349427925676, 16.33799178686857 48.153311384978146, 16.338060866969766 48.153270914107765, 16.33809312152401 48.15323413109286, 16.338090700655552 48.1531919527303, 16.33803398132683 48.15312450424503, 16.337964843214785 48.15304576939221)",Getrennte Führung,Verkehrsberuhigte Bereiche,16057657,
RADWEGEOGD.16057658,"LINESTRING (16.4448172603346 48.244063669270815, 16.445457118784585 48.243813934757085, 16.445622186065112 48.24375192288146, 16.445852929786273 48.243665224900084)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16057658,
RADWEGEOGD.16057659,"LINESTRING (16.38275016311501 48.213664948747684, 16.382760987424735 48.213671374466166, 16.3827826294075 48.213676923449775, 16.382816000178604 48.21367733255993, 16.38297691820524 48.213662653094595)",Markierte Anlagen,Radfahrerüberfahrt,16057659,
RADWEGEOGD.16057660,"LINESTRING (16.406201509367254 48.257963849580285, 16.407255817994848 48.25737073613183, 16.407775040078924 48.257075862416485)",Markierte Anlagen,Radfahren gegen die Einbahn,16057660,
RADWEGEOGD.16057661,"LINESTRING (16.340535119206578 48.17874351351563, 16.341772999764583 48.17905529859238, 16.34182981252951 48.17905775090112, 16.341849256615067 48.179058586292015, 16.341889744489187 48.17905619204607, 16.341946100818664 48.179065164407035, 16.341989038556203 48.17908490232174, 16.342001438570357 48.17910313993651)",Getrennte Führung,Radfahren in Wohnstrassen,16057661,
RADWEGEOGD.16057662,"LINESTRING (16.384797029500596 48.16026317893939, 16.384853682593295 48.16027289459402, 16.385040954930577 48.16030187213459)",Markierte Anlagen,Radfahrerüberfahrt,16057662,
RADWEGEOGD.16057663,"LINESTRING (16.38137237226391 48.22261764391904, 16.38143623812147 48.222610271319084, 16.381489867671245 48.222593747698134, 16.382293096246173 48.222182305373)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16057663,
