FID,SHAPE,MERKMAL,SUBMERKMAL,SE_SDO_ROWID,SE_ANNO_CAD_DATA
RADWEGEOGD.16054283,"LINESTRING (16.385843963475995 48.2724408827842, 16.38571945405412 48.27271027026866, 16.385553354642553 48.2731304084538, 16.38534745805067 48.273663003846664, 16.385340228326044 48.273681685561364, 16.385340053611124 48.27368211730385)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054283,
RADWEGEOGD.16054284,"LINESTRING (16.4051616027122 48.2404510928711, 16.406165802992632 48.24031905934855, 16.407559479447013 48.24013177352593, 16.407886704675263 48.24009316890156, 16.408138995558904 48.240092651279646, 16.40843279170639 48.24012052526685, 16.408685143954234 48.240163263351064, 16.408925415656316 48.24023100943236, 16.409143361053832 48.24031369779661, 16.40985652818001 48.240718022877715, 16.409890091717383 48.24072774987811, 16.40992975781067 48.24073080004787, 16.410032851976904 48.240718188349845)",Getrennte Führung,getrennter Geh- und Radweg,16054284,
RADWEGEOGD.16054285,"LINESTRING (16.52873792650573 48.21842664456936, 16.52845997863455 48.217724797708264)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054285,
RADWEGEOGD.16054286,"LINESTRING (16.38003953582031 48.219623062611646, 16.380017619321315 48.21950381270842, 16.37999638029968 48.21946845073212)",Markierte Anlagen,Radfahrerüberfahrt,16054286,
RADWEGEOGD.16054287,"LINESTRING (16.397074552197388 48.26812206659744, 16.397137107865394 48.268111232690785)",Getrennte Führung,baulicher Radweg,16054287,
RADWEGEOGD.16054288,"LINESTRING (16.358296637798446 48.181536820716076, 16.357995748650616 48.18178010014537, 16.35785066310009 48.18190472878984)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054288,
RADWEGEOGD.16054289,"LINESTRING (16.386005024518173 48.22046753821268, 16.38591158839502 48.2205228597128, 16.385801729343147 48.22061526703364, 16.384785381793215 48.2211531334092)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054289,
RADWEGEOGD.16054290,"LINESTRING (16.26225687242591 48.188296817836665, 16.26230593321968 48.18743559657127, 16.26228683210324 48.18741000762487, 16.26224543884494 48.18738013259005, 16.262237805623787 48.18737611671704, 16.262200835596765 48.187356658644205, 16.26216582639878 48.18732039350849, 16.262102451610502 48.18705174352852)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054290,
RADWEGEOGD.16054291,"LINESTRING (16.366947807477864 48.19991536647303, 16.367913187994414 48.19958469316612, 16.36798406458706 48.199558863044345, 16.36808305874238 48.199537431711555, 16.368130578998873 48.199527786754494, 16.36818895370579 48.19951594440548)",Getrennte Führung,Radfahren in Wohnstrassen,16054291,
RADWEGEOGD.16054292,"LINESTRING (16.37158512437286 48.19782428771747, 16.37173843911915 48.19785264972647, 16.371938363863915 48.197899981621966, 16.372161311072713 48.197975364703346, 16.37228743650036 48.19801684659186, 16.3724265085102 48.19806656201099, 16.372660769044025 48.19815938733585)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054292,
RADWEGEOGD.16054293,"LINESTRING (16.451224082257998 48.22225581198481, 16.450306584986343 48.22245189688243)",Markierte Anlagen,Radfahren gegen die Einbahn,16054293,
RADWEGEOGD.16054294,"LINESTRING (16.45395364297919 48.20534546308465, 16.454266087134137 48.205285760250845, 16.454581636964818 48.20522545981521, 16.454609904024483 48.2052200887177)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054294,
RADWEGEOGD.16054295,"LINESTRING (16.5296980810942 48.156112870833276, 16.5294599645003 48.15634170063254, 16.527837075833588 48.15829520223779, 16.526114918566538 48.160369156200005, 16.52479795813222 48.162019825941684, 16.524390427374403 48.16261821301599, 16.52388151144385 48.16350611318519, 16.52348917546043 48.16437749817125, 16.5233102671437 48.164913949345085, 16.523284216568477 48.16506226348502, 16.52322796992182 48.16519876469273, 16.523100629097904 48.16528912929813, 16.522921055796917 48.16538913850873, 16.51230708115482 48.17057362822334, 16.51215494139483 48.17065174285758, 16.512089039335198 48.17066444332815, 16.512027759244035 48.17064878099946, 16.5120040751789 48.17061100967271, 16.511850638289435 48.169814146521894, 16.51180328198098 48.16974175139602, 16.511741906253814 48.16969774236164, 16.511671235287743 48.16969154608998, 16.511586498965354 48.16970427504773, 16.51150656751509 48.16974220466514, 16.51032646699185 48.170361520727106, 16.510114878415248 48.17046895980071, 16.50964932160141 48.17068390977443, 16.509454112332012 48.170761384393025, 16.50924710141151 48.1708278597422, 16.5090540901796 48.170859662696934, 16.508922339775648 48.17089766848432, 16.50890420565856 48.17090646416241)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054295,
RADWEGEOGD.16054296,"LINESTRING (16.355841455044477 48.2205540640965, 16.35571394589593 48.22048818411427)",Markierte Anlagen,Radfahrerüberfahrt,16054296,
RADWEGEOGD.16054297,"LINESTRING (16.497618366079774 48.254620419867656, 16.49765492667987 48.25463289589069, 16.4976834977424 48.254661228988205, 16.49768831425201 48.25480078625246, 16.49769081559249 48.25504749064478, 16.49770358079675 48.25531197795579, 16.497724568160265 48.255425000790986, 16.497788241786925 48.255541165134005)",Markierte Anlagen,Mehrzweckstreifen,16054297,
RADWEGEOGD.16054298,"LINESTRING (16.34704915181806 48.19357634337251, 16.34713127921116 48.193631238972834, 16.34809741898059 48.19408930934872)",Markierte Anlagen,Radfahren gegen die Einbahn,16054298,
RADWEGEOGD.16054299,"LINESTRING (16.469079874818714 48.150285199292185, 16.469059505980344 48.150323552181426, 16.46912686353753 48.15093176998654, 16.46925454635496 48.15174000002466, 16.469327453537858 48.15218012696898, 16.46938777848746 48.15238014820736, 16.469489813232464 48.15252009993252, 16.46958382998595 48.152594652850965)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054299,
RADWEGEOGD.16054300,"LINESTRING (16.427159080206003 48.154043275617745, 16.42709149197398 48.15403713281057, 16.427019875143394 48.15405575160513, 16.42698066868428 48.15410062303563, 16.42692769289824 48.154202729470676, 16.426904763856747 48.154301718452274, 16.426879534127814 48.15441463081585, 16.42678504183163 48.15456315722403, 16.426662723507583 48.154656037196865, 16.42651495652208 48.154738109181565, 16.426360183280938 48.15477998659928, 16.4262053691578 48.15479867021803, 16.426036660013185 48.15479570873214, 16.42571534320518 48.15475111042588, 16.425437941991987 48.15470957076145, 16.42521372189997 48.154689644962964, 16.425065367095137 48.15469745817556, 16.42491180731172 48.15473437741615, 16.42480947705642 48.15478395539087, 16.424749822047975 48.1548347684017, 16.424683544508017 48.15490334817956, 16.424645751106524 48.15498205936029, 16.42463074505047 48.155079791703976, 16.42464984936252 48.155160995123325, 16.42469552748941 48.155251072383706, 16.42471460573648 48.15531705021914, 16.42472426092006 48.15541348650152, 16.424707335722935 48.15549726278767, 16.42464870474491 48.15559693533463, 16.42455787675437 48.15571630090571, 16.424380007226024 48.15596136916369, 16.424308116324873 48.156073102685305, 16.42427363199736 48.15618555389688)",Getrennte Führung,baulicher Radweg,16054300,
RADWEGEOGD.16054301,"LINESTRING (16.351435780447733 48.20419116969943, 16.352310463621816 48.20419768629673)",Markierte Anlagen,Radfahren auf Busspuren,16054301,
RADWEGEOGD.16054302,"LINESTRING (16.354894359362643 48.184892006306235, 16.355100772174655 48.18498826262721, 16.355517460469848 48.18518256314794, 16.35551763532558 48.18518263506403)",Getrennte Führung,Radfahren in Wohnstrassen,16054302,
RADWEGEOGD.16054303,"LINESTRING (16.315119325067123 48.16468019718841, 16.315065465052704 48.164731322961075, 16.31495465331146 48.16486512216634, 16.31483649577488 48.165011780246495, 16.314643148507198 48.16522722254378, 16.314445289218728 48.165427168299686, 16.314333360775137 48.16552392350711, 16.31425196406555 48.165582876800364, 16.31414214766731 48.165643002736644)",Markierte Anlagen,Mehrzweckstreifen,16054303,
RADWEGEOGD.16054304,"LINESTRING (16.356060735548652 48.22808717566761, 16.356075208410527 48.22799343758826, 16.356136396633453 48.22778979510764, 16.356221757368274 48.22751719789356, 16.356307111667878 48.22723058928097)",Markierte Anlagen,Mehrzweckstreifen,16054304,
RADWEGEOGD.16054305,"LINESTRING (16.361832017775075 48.213403249111245, 16.361858422097747 48.213411552875435, 16.361887008941114 48.213425189092305, 16.3619360129736 48.21344837145237, 16.36198706370504 48.213474287253106, 16.362054438394026 48.21350429123198, 16.362546552309766 48.213732029795516)",Getrennte Führung,baulicher Radweg,16054305,
RADWEGEOGD.16054330,"LINESTRING (16.474594909912753 48.247604415062106, 16.474514380095926 48.2476502690448, 16.47416112149703 48.24781095124038, 16.473821272054128 48.2479667779834)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054330,
RADWEGEOGD.16054331,"LINESTRING (16.276046987794096 48.19575867956172, 16.278332177831015 48.19508168155039, 16.27855119998616 48.1950090633116, 16.278558201683634 48.195002609696914, 16.278563183670812 48.194998007670684, 16.278574087254544 48.19499054876793, 16.278576245032003 48.19498551365561, 16.27858486457249 48.19497571537825, 16.278586893973586 48.19496519435039, 16.278587145009613 48.19495721750875)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054331,
RADWEGEOGD.16054332,"LINESTRING (16.3634943806435 48.186279024933505, 16.363573869193566 48.18636770597563)",Markierte Anlagen,Radfahrerüberfahrt,16054332,
RADWEGEOGD.16054333,"LINESTRING (16.39042964263373 48.1758312970141, 16.390709597681834 48.17577876969803)",Markierte Anlagen,Radfahrerüberfahrt,16054333,
RADWEGEOGD.16054334,"LINESTRING (16.361722631878784 48.19390215615473, 16.361770041889635 48.193949018114274)",Markierte Anlagen,Radfahrerüberfahrt,16054334,
RADWEGEOGD.16054335,"LINESTRING (16.373771844752568 48.15708210341966, 16.373763463536438 48.1570278858202, 16.373770177330137 48.156952726963745, 16.373813672277446 48.1567328904828, 16.37384573250723 48.156591460962694, 16.37385484147847 48.1564946095689, 16.373861636225623 48.156357945778375, 16.373877598328505 48.15618577358207, 16.373882278316835 48.156079606620224, 16.373956968400613 48.154911564394354, 16.37396240287494 48.15440683380096, 16.373981503368487 48.154008093244435, 16.37403002143445 48.15387917679517, 16.374058748978527 48.153777984103286, 16.374116035787218 48.15334851885412, 16.37408887631465 48.15313410146333, 16.374034690850536 48.15290343317018, 16.373969746068145 48.15271673646119, 16.373865138892064 48.152454167596346, 16.3737280894958 48.15213679531108, 16.37356781858066 48.15170942479881, 16.373536131738177 48.151696089129516)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054335,
RADWEGEOGD.16054336,"LINESTRING (16.37050985546128 48.21521720886027, 16.3703929304494 48.2151508472991, 16.36917383244638 48.21459696510998)",Markierte Anlagen,Radfahren gegen die Einbahn,16054336,
RADWEGEOGD.16054337,"LINESTRING (16.462997839361037 48.23658094460779, 16.46295065305478 48.236525437109556)",Markierte Anlagen,Radfahrerüberfahrt,16054337,
RADWEGEOGD.16054338,"LINESTRING (16.415971896758585 48.28576237085469, 16.41597461157052 48.28577510313524, 16.415990153462246 48.28579591125738, 16.416011246938087 48.285799439857044, 16.416012068643685 48.28579927741072, 16.416054487282842 48.28579074947105, 16.416622949644214 48.28563881960578, 16.416648901884855 48.2856388014202, 16.416675266136785 48.28564372012775, 16.41669924390623 48.28565626661455, 16.416712979150994 48.28568480993468)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054338,
RADWEGEOGD.16054339,"LINESTRING (16.383277732624705 48.22011145559391, 16.383827535757934 48.22138124215076)",Markierte Anlagen,Radfahren gegen die Einbahn,16054339,
RADWEGEOGD.16054340,"LINESTRING (16.280371122272545 48.13616379596605, 16.280508858016255 48.13614390650049, 16.280875723209892 48.13602368103253, 16.281189202380794 48.135895703682195, 16.281891485585128 48.13560406057524, 16.28232390741757 48.135433148175764, 16.282554232776842 48.13533958148885, 16.282590346914198 48.13533959829366, 16.282618114785976 48.135355385441386, 16.282641738176626 48.13537735804136)",Getrennte Führung,gemischter Geh- und Radweg,16054340,
RADWEGEOGD.16054341,"LINESTRING (16.36816069704 48.19616758855554, 16.368047364252607 48.19622235274367)",Markierte Anlagen,Radfahrerüberfahrt,16054341,
RADWEGEOGD.16054342,"LINESTRING (16.355252192320883 48.21149980076967, 16.355164601313557 48.210675114465225)",Getrennte Führung,Radfahren in Wohnstrassen,16054342,
RADWEGEOGD.16054343,"LINESTRING (16.351700182978465 48.19638757263968, 16.350416290697787 48.197946332758065)",Markierte Anlagen,Mehrzweckstreifen,16054343,
RADWEGEOGD.16054344,"LINESTRING (16.326135161591917 48.20241816240839, 16.3254418656955 48.2024323277375, 16.325344298199493 48.202403054864035)",Markierte Anlagen,Radfahren gegen die Einbahn,16054344,
RADWEGEOGD.16054345,"LINESTRING (16.482041182885425 48.23806396402227, 16.483616329754376 48.23851863356859)",Markierte Anlagen,Mehrzweckstreifen,16054345,
RADWEGEOGD.16054346,"LINESTRING (16.393962277185125 48.19958173531122, 16.394071152660466 48.19946925653584, 16.394214470903997 48.19929075920398, 16.394323606967994 48.19913627285399, 16.394355469545705 48.199048698985244, 16.394429474193224 48.19894683151926, 16.3948489123216 48.19834110612429, 16.3951144804983 48.19794576412141)",Markierte Anlagen,Mehrzweckstreifen,16054346,
RADWEGEOGD.16054347,"LINESTRING (16.383381662130105 48.23333360691488, 16.383802237704888 48.23295894076183, 16.383820558331465 48.23294490385589)",Getrennte Führung,baulicher Radweg,16054347,
RADWEGEOGD.16054348,"LINESTRING (16.39247242894696 48.21418322667645, 16.392400623317123 48.214166642517554, 16.392348284915624 48.21415909591011, 16.391753640498898 48.214084796210784, 16.391717482602203 48.21407066746977, 16.391652592750535 48.21406562672266)",Markierte Anlagen,Mehrzweckstreifen,16054348,
RADWEGEOGD.16054349,"LINESTRING (16.38876264269578 48.22570818261403, 16.388783325811808 48.22561325043281)",Markierte Anlagen,Radfahrerüberfahrt,16054349,
RADWEGEOGD.16054350,"LINESTRING (16.40016313256748 48.15816425450531, 16.40007188130106 48.15813313473777, 16.399910276350454 48.15808940948512, 16.399426731254483 48.15789651094337, 16.399322738130675 48.1578321765144, 16.399035006591458 48.1577147746785, 16.398505633639704 48.15749935125553, 16.398359081329104 48.15744063287169, 16.398293015348077 48.15740481254696, 16.398259394567066 48.15738986596662)",Getrennte Führung,baulicher Radweg,16054350,
RADWEGEOGD.16054351,"LINESTRING (16.482573127405463 48.222367200232156, 16.482479489732707 48.22238265285784)",Getrennte Führung,baulicher Radweg,16054351,
RADWEGEOGD.16054352,"LINESTRING (16.378962023930782 48.220145270876316, 16.379378695691667 48.21989084204234, 16.379628751657744 48.21972040811331, 16.379872253850777 48.21955186469681, 16.380003912071952 48.21946339369741)",Markierte Anlagen,Mehrzweckstreifen,16054352,
RADWEGEOGD.16054353,"LINESTRING (16.329533770496226 48.199871084775, 16.33036303189953 48.20010357578139, 16.3305609615382 48.20016699638601)",Markierte Anlagen,Mehrzweckstreifen,16054353,
RADWEGEOGD.16054354,"LINESTRING (16.36243375658265 48.22233134387117, 16.36352122098133 48.222051321130266)",Markierte Anlagen,Radfahren gegen die Einbahn,16054354,
RADWEGEOGD.16054355,"LINESTRING (16.26900711248638 48.137856956742546, 16.269260737686064 48.137892537969535, 16.26954244817553 48.13792525704026, 16.269710388439297 48.137932818531404, 16.269894468700326 48.13792734880072, 16.26995602501298 48.13792268072761, 16.269959666524063 48.13792240402982, 16.27006162879593 48.13791467443081, 16.2702560801761 48.13788924497513, 16.27042985612384 48.13785112285064, 16.270623930743636 48.137804648262254, 16.27076335869342 48.13777057104084)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054355,
RADWEGEOGD.16054356,"LINESTRING (16.356324036319712 48.22244104994919, 16.356364360108678 48.22289160885737, 16.356364619893863 48.223310078237255)",Getrennte Führung,Radfahren in Fußgängerzonen,16054356,
RADWEGEOGD.16054357,"LINESTRING (16.382819783264896 48.186169523704045, 16.382898665674524 48.18612336000643, 16.38301862972791 48.186008458747324, 16.38336184901952 48.18567076678014, 16.38347712574841 48.18556483319547, 16.38375643791698 48.18530547027798, 16.384034361857232 48.18504585543941, 16.384168173160322 48.18491719655435, 16.384274502057867 48.18479543784405, 16.384297852715566 48.184771578043005, 16.384363083559034 48.18467873168559, 16.384486717486993 48.184469389577764, 16.384585160717535 48.184315555095615, 16.38468426017954 48.18415946295042, 16.384812826751144 48.18397824017027)",Getrennte Führung,gemischter Geh- und Radweg,16054357,
RADWEGEOGD.16054358,"LINESTRING (16.267429254774253 48.16063030516526, 16.26601112284701 48.16109074067537)",Markierte Anlagen,Radfahren gegen die Einbahn,16054358,
RADWEGEOGD.16054359,"LINESTRING (16.299951407953657 48.16670331351878, 16.30001885292317 48.166666561312255, 16.30046609119717 48.16643372169452, 16.300508927249506 48.16636776951048, 16.30057205160803 48.16631795745216)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054359,
RADWEGEOGD.16054360,"LINESTRING (16.288941280320294 48.1416674098074, 16.28892372047729 48.14165023443284, 16.288902562768566 48.141629532213024, 16.28886714778845 48.14159490253605, 16.288331094862627 48.140173067954464, 16.288325505538282 48.140158253694125)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054360,
RADWEGEOGD.16054361,"LINESTRING (16.329803354457813 48.20306188272674, 16.32974198977544 48.20255843185469)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054361,
RADWEGEOGD.16054362,"LINESTRING (16.34970348320009 48.225119009447226, 16.34967763996148 48.225059513829216, 16.34963830628182 48.22498184464232)",Markierte Anlagen,Radfahrerüberfahrt,16054362,
RADWEGEOGD.16054363,"LINESTRING (16.39389090619288 48.21782048194234, 16.393950509592095 48.217834921940145, 16.39397190592666 48.21784673717149, 16.393997626947773 48.21787491777447, 16.39402379447502 48.217893304592856, 16.394026419738843 48.217894337482726, 16.394029259988294 48.21789508248295, 16.394057413852572 48.21789685792147, 16.39418440466179 48.21789503112208)",Getrennte Führung,baulicher Radweg,16054363,
RADWEGEOGD.16054364,"LINESTRING (16.291296040387127 48.16245719286705, 16.2912635489785 48.162412151011495, 16.29123344747897 48.162370428587344)",Markierte Anlagen,Radfahrerüberfahrt,16054364,
RADWEGEOGD.16054365,"LINESTRING (16.415048157940284 48.20008068587577, 16.414970570295157 48.20011015588871, 16.4149226620774 48.200168410680384, 16.414875908466406 48.20022524373581, 16.414783297157953 48.200274140219, 16.414677098167136 48.20032259626116, 16.41454751298163 48.20038482775546, 16.414432456681833 48.20044749885793, 16.414321287718476 48.20050126394018, 16.414227749729072 48.20056068263623, 16.41411942921713 48.20063018366701, 16.414027659769957 48.20070291091843, 16.41392018440392 48.200797861912314, 16.413833131305893 48.200876251520874, 16.413713385200406 48.20095250478652, 16.413611948502723 48.20103827835589, 16.41349838767363 48.201113088312134, 16.41341452422356 48.201166384453956, 16.413316262740693 48.20121726205044, 16.413254440022357 48.2012565138853, 16.41314354832646 48.201317741980986, 16.413006166383436 48.20138672184591, 16.41290412826892 48.20144951759052, 16.412888853869713 48.201463701064924)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054365,
RADWEGEOGD.16054366,"LINESTRING (16.35109139716244 48.19001759004225, 16.350910554318 48.19029889404275, 16.35084921164901 48.190350271142385)",Markierte Anlagen,Mehrzweckstreifen,16054366,
RADWEGEOGD.16054367,"LINESTRING (16.406609206326404 48.175010955951265, 16.406564324516392 48.174893199159534, 16.406548602552142 48.174772582608426, 16.4065827026628 48.174695615614255, 16.406656142403435 48.17464653944044, 16.406661289306967 48.1746445307888, 16.40738915302458 48.17462523159375)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054367,
RADWEGEOGD.16054368,"LINESTRING (16.41819052862168 48.163132278253194, 16.418220052053165 48.16308398139452, 16.41823665002926 48.163048068480045, 16.41839185833211 48.16290559427837, 16.418903769772108 48.16250909180671, 16.41931997690452 48.16218698560624, 16.419538629654657 48.16202113536673, 16.419802083195243 48.16182175221528, 16.419999080638693 48.16167432604926, 16.420097916887034 48.16158942948371, 16.420313656317568 48.161387831708, 16.420434506703966 48.16127654150271, 16.42057961125935 48.161168416946495, 16.42090750730573 48.160917965105895, 16.421080113603267 48.16077819033734, 16.42126243633625 48.16062149179564, 16.421442116088723 48.160444218361185, 16.421601585572862 48.16027953225124, 16.421853524948858 48.16002906223084, 16.421863788678397 48.1600175342114, 16.421890754208853 48.159986109636314, 16.421909234733935 48.15996080680515)",Getrennte Führung,baulicher Radweg,16054368,
RADWEGEOGD.16054369,"LINESTRING (16.434437144027505 48.203204242919426, 16.434526761801763 48.20316573830764, 16.438620031314553 48.20025608240716)",Markierte Anlagen,Radfahren auf Busspuren,16054369,
RADWEGEOGD.16054370,"LINESTRING (16.221797302408252 48.21071488183668, 16.221373723368583 48.21073347168754, 16.220406618090777 48.210786147264486, 16.220364357286506 48.21078547522557)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054370,
RADWEGEOGD.16054371,"LINESTRING (16.294630864524237 48.185620959378134, 16.294635155278343 48.18563678897881, 16.294639530240886 48.185715031506646, 16.29465404032959 48.18589975732032, 16.29468349823825 48.18639412479376, 16.294685509455782 48.186435107583115, 16.294706522268854 48.18686240959134, 16.294709691785528 48.18691804273407)",Markierte Anlagen,Radfahren gegen die Einbahn,16054371,
RADWEGEOGD.16054372,"LINESTRING (16.382592749602605 48.146387585996585, 16.382390674330804 48.14642688730722)",Markierte Anlagen,Radfahrerüberfahrt,16054372,
RADWEGEOGD.16054373,"LINESTRING (16.2485393718099 48.20371543809749, 16.247901513201164 48.20365394102069, 16.246698784621664 48.20354600262515, 16.2453165258066 48.203432325325025, 16.245152012144967 48.20342212299963)",Markierte Anlagen,Mehrzweckstreifen,16054373,
RADWEGEOGD.16054374,"LINESTRING (16.463916927293376 48.17652373763943, 16.451649028691897 48.180076246462065, 16.450715904141006 48.180349378868975, 16.447410617412533 48.1813147320597, 16.44572864471562 48.181809564263474)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054374,
RADWEGEOGD.16054375,"LINESTRING (16.39922157245377 48.25237760281314, 16.399403957617157 48.25244482487785, 16.399874676991203 48.25264181939476, 16.39998012056872 48.25268871383483, 16.400055243738475 48.252728781303944, 16.400111317004527 48.252783194351494, 16.400134164501022 48.25282276927957, 16.40016845017929 48.25288823797446, 16.40057496552383 48.253392065229505)",Markierte Anlagen,Radfahren gegen die Einbahn,16054375,
RADWEGEOGD.16054376,"LINESTRING (16.30202169909709 48.19319176197519, 16.30203865678659 48.1935829172613)",Markierte Anlagen,Radfahren gegen die Einbahn,16054376,
RADWEGEOGD.16054377,"LINESTRING (16.36488961560567 48.21493253944442, 16.36538272345752 48.21515822411425, 16.365427504333155 48.215179409573665)",Getrennte Führung,getrennter Geh- und Radweg,16054377,
RADWEGEOGD.16054378,"LINESTRING (16.34315859873249 48.18026794826914, 16.342224374194203 48.18001490599976, 16.342129139526595 48.1799890465687)",Getrennte Führung,getrennter Geh- und Radweg,16054378,
RADWEGEOGD.16054379,"LINESTRING (16.41950119696364 48.284876520985996, 16.419534675707407 48.28493109353887, 16.420404736145727 48.28615709354635, 16.420792124150843 48.28672723822414, 16.42097625052137 48.28702234437398, 16.421356987100154 48.28769311524801, 16.421718765509034 48.28831867284945, 16.42181631816281 48.28847409000768, 16.421979895977824 48.28894763192183, 16.422061590873458 48.289216013420706, 16.422075276759436 48.28926095944449)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054379,
RADWEGEOGD.16054380,"LINESTRING (16.390357688651996 48.17590298906966, 16.390336642310285 48.17584874286506)",Getrennte Führung,gemischter Geh- und Radweg,16054380,
RADWEGEOGD.16054582,"LINESTRING (16.35057240510747 48.257063005968206, 16.350519311219564 48.25704089862783, 16.35045204834126 48.257013208323045, 16.35015878089033 48.25689249432065, 16.35005791412081 48.25685096752103)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054582,
RADWEGEOGD.16054583,"LINESTRING (16.447273537691323 48.22756114677204, 16.447161450793296 48.22755648877541)",Markierte Anlagen,Radfahrerüberfahrt,16054583,
RADWEGEOGD.16054584,"LINESTRING (16.397889562423046 48.2433437894276, 16.39790615142994 48.24325600763096, 16.397972401161383 48.243151921545966, 16.398041882298596 48.243048193403645, 16.39811835230106 48.242934658941174, 16.398187825115805 48.242824545593805, 16.39824683116876 48.24274330578992, 16.398295732721767 48.24265649568855, 16.39833924078941 48.24256312350676, 16.3983972957804 48.242475229225654, 16.398446446293512 48.24237214136705, 16.39849237417494 48.24227624973482, 16.398542327611725 48.24216947421472, 16.398579654221304 48.24208635745495, 16.398615613111815 48.24198579476477, 16.398662584571955 48.241863013047755, 16.398699866398616 48.24174356404491, 16.398723997033727 48.24165919538371, 16.398743405610052 48.24156673547837, 16.398776413812435 48.24147588691272, 16.39879235273255 48.24140869957102, 16.398791437832966 48.24132110702916, 16.39878086001803 48.241258430715874, 16.398771487193873 48.241190267937, 16.39878677289615 48.241139448437835, 16.398832359307427 48.241095986758914, 16.39889842071036 48.24106177679174, 16.398949136776697 48.24102964360064, 16.39896015193168 48.24100967283507)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054584,
RADWEGEOGD.16054585,"LINESTRING (16.386021760271536 48.223987802634795, 16.386346910441706 48.22474954269934)",Markierte Anlagen,Radfahren gegen die Einbahn,16054585,
RADWEGEOGD.16054586,"LINESTRING (16.316297652293304 48.19461571225374, 16.316696664735264 48.19534581196137, 16.317210726674503 48.196286405863894, 16.317213778057813 48.19629200013179)",Markierte Anlagen,Radfahren gegen die Einbahn,16054586,
RADWEGEOGD.16054587,"LINESTRING (16.218376321864234 48.24842953993254, 16.218383651645635 48.248398071525834, 16.21834945863143 48.24836530158727, 16.218140467630167 48.248254957769944, 16.2172169059303 48.247844775240374, 16.21564499158646 48.247183692657856, 16.2155798768919 48.24712632030554, 16.215567941189807 48.24706011844716, 16.215602430245795 48.2470000895394, 16.215626292549185 48.2469815527353, 16.215639242101346 48.24697150299646, 16.215780186343572 48.246926657929, 16.216392957960718 48.246747335916716, 16.2165338151479 48.246739307663255, 16.21674200638109 48.246743615735845, 16.21688895184801 48.2467519428548, 16.216926056070324 48.24673622535531, 16.216934735735922 48.24673254716809)",Getrennte Führung,Verkehrsberuhigte Bereiche,16054587,
RADWEGEOGD.16054588,"LINESTRING (16.47683618455189 48.203856150246246, 16.47739635729423 48.20360437314049)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16054588,
RADWEGEOGD.16054589,"LINESTRING (16.39660037204398 48.20579207771124, 16.396646881060857 48.2058144102558, 16.396690598706922 48.20583124942014, 16.39674710126821 48.20583993399683, 16.39773062702633 48.20592052005153, 16.397835254820382 48.20591868322227, 16.397862152283928 48.20592148363006)",Getrennte Führung,getrennter Geh- und Radweg,16054589,
RADWEGEOGD.16054590,"LINESTRING (16.308821739676564 48.20310116771885, 16.308743643795673 48.20287527634941, 16.30864525359873 48.20258873003528, 16.30857805172818 48.202471595732064, 16.308557729456016 48.202437084017994, 16.308589027519623 48.202424537010494)",Getrennte Führung,baulicher Radweg,16054590,
RADWEGEOGD.16054591,"LINESTRING (16.359676371989746 48.22180437806366, 16.359695106540066 48.221806775385055, 16.360203264353867 48.22194896846205, 16.360472755770882 48.222024382095434, 16.360591888979815 48.22203076884839, 16.36061519882699 48.22203202291237, 16.360879387413522 48.222048855310945)",Markierte Anlagen,Radfahren gegen die Einbahn,16054591,
RADWEGEOGD.16054592,"LINESTRING (16.405242619988233 48.27010199928932, 16.405244186183957 48.27010466929181, 16.405705302626103 48.27089054795356, 16.40597575396236 48.27133314905887)",Getrennte Führung,baulicher Radweg,16054592,
