FID,SHAPE,BEZIRK,ADRESSE,WEITERE_INFORMATION,TERMINE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,STANDORT_ID
MOBPROBLEMSTOFFOGD.227867,POINT (16.38419647963932 48.23815607773125),20,Allerheiligenplatz ggü 4,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227867,,20M4
MOBPROBLEMSTOFFOGD.227868,POINT (16.335074189660453 48.22899706122628),18,Türkenschanzstraße vor 1,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227868,,18M4
MOBPROBLEMSTOFFOGD.227869,POINT (16.324351512200664 48.23475298895152),18,Bischof-Faber-Platz ggü 9,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227869,,18M3
MOBPROBLEMSTOFFOGD.227870,POINT (16.31541340858549 48.22252173918295),17,Sautergasse vor 62,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227870,,17M3
MOBPROBLEMSTOFFOGD.227871,POINT (16.334911321194763 48.21938233888354),17,Pezzlgasse vor 22,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227871,,17M2
MOBPROBLEMSTOFFOGD.227872,POINT (16.307756666692683 48.21643241175649),16,Musilplatz ggü 15,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227872,,16M3
MOBPROBLEMSTOFFOGD.227873,POINT (16.32921951271813 48.18434982627194),15,Diefenbachgasse ggü 52,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227873,,15M3
MOBPROBLEMSTOFFOGD.227874,POINT (16.333045600683253 48.191705759393344),15,Clementinengasse vor 27,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227874,,15M2
MOBPROBLEMSTOFFOGD.227875,POINT (16.30060614779419 48.19803185245138),14,Heinrich-Collin-Straße vor 1,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227875,,14M3
MOBPROBLEMSTOFFOGD.227876,POINT (16.331689969426108 48.19825600692366),15,Reithofferplatz ggü 5,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227876,,15M1
MOBPROBLEMSTOFFOGD.227877,POINT (16.28955551611993 48.17051718440756),13,Feldkellergasse ggü 30,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227877,,13M4
MOBPROBLEMSTOFFOGD.227878,POINT (16.27206530588034 48.19052129656927),13,Auhofstraße ggü 130,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227878,,13M3
MOBPROBLEMSTOFFOGD.227879,POINT (16.327055457349566 48.161071526815064),12,Am Schöpfwerk vor 29,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227879,,12M3
