FID,SHAPE,BEZIRK,BEZIRK2,WEBLINK1,ZEITRAUM,DAUER,WEBLINK2,GUELTIG_VON,SE_SDO_ROWID,SE_ANNO_CAD_DATA
KURZPARKZONEOGD.18289,"POLYGON ((16.40386797700367 48.18896549465648, 16.40292851318029 48.188220597978265, 16.402778779051577 48.18828939310213, 16.402607400795738 48.18815774193813, 16.40278273334951 48.188020224061724, 16.402705588499803 48.187957316351294, 16.402671219263695 48.187900139461945, 16.4026540980743 48.187868583217345, 16.402602626455845 48.187794239183404, 16.40321414125577 48.18726993913583, 16.40330401697523 48.187195512742754, 16.40400982894729 48.186800025920334, 16.40485254162332 48.18630714633339, 16.404963669686833 48.18623837163245, 16.405040657214546 48.18618391652384, 16.405263088474893 48.18597765839877, 16.405374215276947 48.185908883297635, 16.40544274485256 48.18586594432866, 16.40548548015366 48.185842985832885, 16.40552820775943 48.18581436160177, 16.406126940057135 48.185324407673384, 16.406293654463433 48.18519264528205, 16.40634928754069 48.18516113502784, 16.406524890319535 48.18523549132211, 16.4067904630669 48.18530970208842, 16.407385800233136 48.18558416681296, 16.407668567320943 48.18573858433525, 16.407968606325525 48.185933100082494, 16.408178509926195 48.18610473893607, 16.408448590676908 48.18631923714134, 16.408521476965205 48.18641083204674, 16.408675978699712 48.186679811437976, 16.408894454274208 48.186822755203316, 16.409408752729863 48.1872118342066, 16.41144882570607 48.18877928976347, 16.40996894280706 48.18976788485433, 16.409789286775357 48.1898824837472, 16.40870714832265 48.19055874237569, 16.408078424726213 48.19098002000197, 16.407388284660527 48.19144467952747, 16.407303763121504 48.19150156899249, 16.405337459869397 48.19276316824087, 16.40533225158357 48.19279087044117, 16.40529073223797 48.19282219179678, 16.405238827990583 48.19283265515972, 16.40517653418091 48.19281875317015, 16.40419407818668 48.19207632133395, 16.404116117993816 48.19211458862951, 16.40511942634078 48.19286051594967, 16.40514543676847 48.192898631494884, 16.40514023320124 48.192929930963594, 16.40510394054222 48.19294730964747, 16.404782231239558 48.1931662170886, 16.404797842994906 48.193173132518915, 16.40475630906895 48.19319402157479, 16.404699279237548 48.19319405564318, 16.40465769423304 48.19317672358916, 16.40364923876741 48.192403006311984, 16.401429639506627 48.19067867408834, 16.401424341021105 48.19063694863006, 16.40145027263222 48.19061615957742, 16.401481484886418 48.19062306658527, 16.402830516220416 48.18980984466735, 16.40354656543777 48.18939618864828, 16.403582865215654 48.18938573521036, 16.403619331510036 48.18939965325427, 16.403811238465863 48.1892849668429, 16.40383719582569 48.189284951540344, 16.40386840759137 48.18929185790199, 16.40464293057428 48.189874697785214, 16.404668906840165 48.1898886217534, 16.404679253640925 48.189881600876284, 16.404845234923688 48.18979120987969, 16.404840091602043 48.189766931299886, 16.404725626728617 48.18965935105159, 16.404704923857135 48.18966637811814, 16.404637453642994 48.18970113216822, 16.40461673202823 48.18969412982772, 16.403982496701424 48.1892188556319, 16.403977358360873 48.18919799442696, 16.404003288213453 48.189177204794106, 16.404075841319237 48.18912158386415, 16.40386797700367 48.18896549465648))",3,,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/bezirk06.html,Mo.-Fr. (werkt.) v. 9-22 Uhr,2 h,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/index.html,2012-10-01,18289,
KURZPARKZONEOGD.18290,"POLYGON ((16.294104237029 48.22860537699535, 16.29359313348535 48.2286513242347, 16.293380840918886 48.22869054569167, 16.293166795856703 48.22873264390928, 16.292768412173494 48.228862625443135, 16.292225283997496 48.22905046636661, 16.292131325754827 48.229060502837186, 16.29186765580933 48.22905086908539, 16.291692548451966 48.22904495611929, 16.291311494472613 48.22905191306395, 16.290979045393932 48.22904180083403, 16.29077822997957 48.229035786463555, 16.29059452491795 48.22901134256124, 16.290341381002825 48.22897158243479, 16.289977210516515 48.228913521230176, 16.289737261641136 48.22886989800716, 16.28951589605744 48.22881701886615, 16.289361424526646 48.22876569531616, 16.28924786772528 48.228717895546716, 16.28908306543741 48.228630864628755, 16.28877674288995 48.22846211761089, 16.288449831537775 48.2282907532375, 16.288307234390295 48.228210115525265, 16.288084068871285 48.228071528189446, 16.28790499701293 48.2279914143416, 16.287667383954545 48.227903631419586, 16.287169849190672 48.2278361522411, 16.286641234086098 48.22775849530082, 16.286607358006297 48.22771504383871, 16.286790701021555 48.22754892917644, 16.286915695803987 48.227594308121716, 16.28680188252882 48.22767861514765, 16.287083683099265 48.22772145295468, 16.287147179639955 48.22775529421148, 16.287798262830947 48.22784810877302, 16.28786891389137 48.22786027914922, 16.288491782482055 48.22819202585344, 16.288515174462965 48.2282219827034, 16.28887625254853 48.228415753849504, 16.289258715944236 48.22862967720572, 16.28935894717927 48.22867774134893, 16.28955081943042 48.22874796563993, 16.289750923433157 48.22879517047321, 16.290085341234487 48.228859335844064, 16.29077520053532 48.22896060257968, 16.291113574592202 48.228967030525574, 16.291565964793012 48.228960281721456, 16.29217584498551 48.22894145059633, 16.29233470145129 48.22890535866205, 16.292577853873375 48.228824512548336, 16.292930606434513 48.228697842033775, 16.29309325224211 48.22863558041806, 16.293442855145592 48.22857077999244, 16.293531841383047 48.22854958911042, 16.294065680322962 48.228516510645186, 16.294084069808456 48.228578030474054, 16.294104237029 48.22860537699535))",17,,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/bezirk17.html,Mo.-Fr. (werkt.) v. 9-19 Uhr,3 h,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/index.html,2014-03-31,18290,
