FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.30999974,30999974,POINT (16.374666743902697 48.20821486559394),1,Domgasse,1,299,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999975,30999975,POINT (16.372762016260186 48.206306093857265),1,Ballgasse,2,1061,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999976,30999976,POINT (16.36529986207023 48.21149934742132),1,Freyung,3-3A,195,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999977,30999977,POINT (16.368737494691445 48.20857367935479),1,Habsburgergasse,1-1A,175,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999978,30999978,POINT (16.38244280468799 48.21095275085892),1,Julius-Raab-Platz,ggü. 3,191,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999979,30999979,POINT (16.370555059016947 48.208013044192576),1,Spiegelgasse,1,176,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999980,30999980,POINT (16.37748528613284 48.20888042264276),1,Dr.-Ignaz-Seipel-Platz,1,1063,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999986,30999986,POINT (16.37553159124786 48.206534520218185),1,Kumpfgasse,10,1062,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999987,30999987,POINT (16.366803603802026 48.20958602610845),1,Wallnerstraße,5-7,194,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999988,30999988,POINT (16.387362177091724 48.21374295918852),2,Untere Donaustraße,# Fruchtgasse,2249,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999989,30999989,POINT (16.391712047548168 48.2140965434458),2,Franzensbrückenstraße,# Vivariumstraße,2248,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999990,30999990,POINT (16.396910425446432 48.213228703453325),2,Laufbergergasse,# Sportklubstraße,1072,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999993,30999993,POINT (16.413491748764894 48.19861833669118),2,Stadionallee,# Sillerweg,1179,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999994,30999994,POINT (16.38699833627035 48.222766967151884),2,Volkertplatz,9,0016,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999995,30999995,POINT (16.38754511149677 48.21652329465701),2,Praterstraße,51,2556,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999996,30999996,POINT (16.38133042322187 48.20975247072854),1,Biberstraße,16-18,3411,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999997,30999997,POINT (16.38747862262695 48.21462865325922),2,Czerninplatz,# Fruchtgasse,0275,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999998,30999998,POINT (16.388928972521345 48.22504569776469),2,Nordbahnstraße,# Marinelligasse,1084,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.30999999,30999999,POINT (16.370779146861544 48.205395134122085),1,Marco-d'Aviano-Gasse,2,ohne,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000000,31000000,POINT (16.398821195239766 48.21176013455379),2,Rustenschacherallee,# Sportklubstraße,2250,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000001,31000001,POINT (16.38603477536474 48.22686366252725),2,Taborstraße,95,1086,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000002,31000002,POINT (16.388479791772305 48.22709437199393),2,Nordbahnstraße ,12,1083,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000003,31000003,POINT (16.40313965253069 48.20442885845018),2,Friedensgasse,# Rustenschacherallee,2245,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000005,31000005,POINT (16.383660141437623 48.2180077437525),2,Odeongasse,# Große Mohrengasse,0269,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000007,31000007,POINT (16.411873924372443 48.197436090652786),2,Stadionallee ,ggü. 2,1074,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000008,31000008,POINT (16.385787013061535 48.22502565117057),2,Trunnerstraße,ggü. 5,0265,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000009,31000009,POINT (16.390382886386572 48.213944637127184),2,Untere Donaustraße ,# Waschhausgasse 1B,2247,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000010,31000010,POINT (16.402392642663294 48.20281614842348),2,Schüttelstraße,ggü. 83,2853,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000011,31000011,POINT (16.412435955015052 48.21282552699969),2,Trabrennstraße,4,2854,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000012,31000012,POINT (16.40044655190576 48.20337522813896),2,Paffrathgasse,# Schüttelstraße,2999,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000013,31000013,POINT (16.39006514397579 48.21845228692485),2,Heinestraße,ggü. 40,3438,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000014,31000014,POINT (16.389565408645623 48.22181508958279),2,Nordbahnstraße,42,3427,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000015,31000015,POINT (16.414125722816625 48.19901752939855),2,Stadionallee,# Klaschkaweg,3429,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000016,31000016,POINT (16.41958522404228 48.19889760802093),2,Lusthausstraße,1,1075,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000017,31000017,POINT (16.38440050092911 48.22566652790806),2,Trunnerstraße,# Taborstraße,2255,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000018,31000018,POINT (16.385732723534446 48.22304023839982),2,Volkertplatz,ggü 1,2256,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000019,31000019,POINT (16.40339735753274 48.222707998445834),2,Vorgartenstraße,# Ennsgasse,2553,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000021,31000021,POINT (16.402311932550244 48.22218940030205),2,Ennsgasse,ggü. 15,2552,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000022,31000022,POINT (16.401671231250877 48.222017386950014),2,Radingerstraße,# Ennsgasse,2551,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000025,31000025,POINT (16.405649765586407 48.22098635620619),2,Vorgartenstraße,# Jungstraße,2554,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000026,31000026,POINT (16.436150017502108 48.188468929815),2,Gärtnerstraße,# Kanalwächterhausweg,1177,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000027,31000027,POINT (16.40418819119864 48.223755846465124),2,Mexikoplatz,ggü. 19,2251,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000028,31000028,POINT (16.416488840325076 48.21604474518945),2,Offenbachgasse,5,1081,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000030,31000030,POINT (16.401204794816525 48.21887088318933),2,Stuwerstraße,# Molkereistraße,1080,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000032,31000032,POINT (16.404996722160572 48.21933718851205),2,Ilgplatz,ggü. 1,0012,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000033,31000033,POINT (16.39637953322105 48.21998833539971),2,Venediger Au,ggü. Höhe Ybbsstraße,2254,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000034,31000034,POINT (16.407931703576242 48.22112542532999),2,Engerthstraße,# Hillerstraße,0263,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000035,31000035,POINT (16.433565914542072 48.202689154008894),2,Otto-Futterknecht-Weg,beim Schranken,1182,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000036,31000036,POINT (16.396940564530333 48.21889031658239),2,Venediger Au,ggü. Höhe Stuwerstraße,2253,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000037,31000037,POINT (16.39956396198961 48.221644742820644),2,Ybbsstraße,# Harkortstraße,0011,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000038,31000038,POINT (16.43364707496747 48.18658218394305),2,Unterer Prater,,2149,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000039,31000039,POINT (16.431172412269767 48.187589582291174),2,Kanalwächterhausweg,(Beim Weg Nr. 5),2150,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000040,31000040,POINT (16.421460506953984 48.19163113793415),2,Belvedereallee,(Bei Busstation 80A-Lusthaus),1178,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000041,31000041,POINT (16.433565914542072 48.202689154008894),2,Lusthausstraße,1,1075,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000042,31000042,POINT (16.422711614281138 48.19018645048348),2,Kanalwächterhausweg,21,2148,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000043,31000043,POINT (16.40014073898831 48.22838138107703),2,Wehlistraße,# Haussteingasse,2549,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000044,31000044,POINT (16.401529468948684 48.22593546065599),2,Mexikoplatz,# Engerthstraße,1078,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000046,31000046,POINT (16.41193665963452 48.21929146687872),2,Kafkasteg,ggü. Wehlistraße,0264,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000047,31000047,POINT (16.395621208154967 48.220965091000075),2,Lassallestraße,3,2320,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000048,31000048,POINT (16.416411613786106 48.21479781572935),2,Engerthstraße,232-238,2550,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000049,31000049,POINT (16.443507869612265 48.19655174583447),2,Aspernallee,5 Schule,1181,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000050,31000050,POINT (16.405733641816884 48.22396671795475),2,Mexikoplatz,13-14,1079,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000051,31000051,POINT (16.399286818401865 48.227649901710954),2,Engerthstraße,158,2562,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000052,31000052,POINT (16.412809400819533 48.21962209662543),2,Kafkasstraße,# Handelskai,2563,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000053,31000053,POINT (16.399381571531247 48.22407033315431),2,Radingerstraße,7,2564,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000054,31000054,POINT (16.40740751740049 48.21888389219484),2,Sebastian-Kneipp-Gasse,9,2565,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000055,31000055,POINT (16.406378565333043 48.2222612592261),2,Engerthstraße,193,2995,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000056,31000056,POINT (16.42073831272372 48.21071625326078),2,Vorgartenstraße,,2996,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000057,31000057,POINT (16.397803551017407 48.23115699092709),2,Weschelstraße,ggü . 5,3424,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000058,31000058,POINT (16.400808767883323 48.22333412307504),2,Lassallestraße,38-40,3423,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000059,31000059,POINT (16.430975680258527 48.205590346827364),2,Grünlandgasse,# Wehlistraße,3425,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000060,31000060,POINT (16.416560418511857 48.21209002116096),2,Stewlla Klein Löw Weg,9,3436,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000061,31000061,POINT (16.292834491657093 48.227049712910464),17,Pointengasse,14,3675,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000063,31000063,POINT (16.314086893702967 48.22525251151888),17,Frauenfelderstraße,# Josef-Moser-Gasse,3676,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000065,31000065,POINT (16.26275073663564 48.13576476895062),23,Pfitznergasse,# Elisenstraße,3700,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000066,31000066,POINT (16.379777539630844 48.21612100043433),2,Karmeliterplatz,5,0018,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000067,31000067,POINT (16.373816718236434 48.22176655483289),2,Untere Augartenstraße,# Kraftgasse,0010,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000068,31000068,POINT (16.37997640085639 48.21966269262273),2,Castellezgasse,# Obere Augartenstraße,1070,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000069,31000069,POINT (16.374924256281588 48.215480101210844),2,Obere Donaustraße,ggü. 77,2430,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000070,31000070,POINT (16.340209143515885 48.25815558312855),19,Ringweg,# Trummelhofgasse,3356,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000072,31000072,POINT (16.38120253359099 48.22262124505107),2,Castellezgasse,25,1069,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000073,31000073,POINT (16.32031485437261 48.24100132658487),18,Wilbrandtgase,19,1240,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000074,31000074,POINT (16.350621311505023 48.200141580958494),7,Lindengasse,# Zollergasse,0082,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000075,31000075,POINT (16.38281165262591 48.21598125776428),2,Schmelzgasse,9,0013,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000076,31000076,POINT (16.33878932638432 48.250430386942064),19,Kaasgrabengasse,ggü. 18.,3565,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000077,31000077,POINT (16.345928674841566 48.202850441274215),7,Bandgasse,# Kandlgasse,0097,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000079,31000079,POINT (16.347100294725525 48.19910037293902),7,Richtergasse,ggü. 12,2667,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000080,31000080,POINT (16.34331342302138 48.206601242972674),7,Bernardgasse,# Schottenfeldgasse,0199,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000082,31000082,POINT (16.350828112060043 48.20228964047451),7,Siebensterngasse,# Stuckgasse,0078,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000083,31000083,POINT (16.349100496712804 48.19989097953876),7,Lindengasse,# Neubaugasse,0212,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000084,31000084,POINT (16.349440938485206 48.19935026978001),7,Neubaugasse,9,0075,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000085,31000085,POINT (16.347090319962447 48.20038348632048),7,Hermanngasse,# Ahorngasse,0072,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000086,31000086,POINT (16.34704516797487 48.20029262346133),7,Jenny Steiner Weg,2,2661,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000087,31000087,POINT (16.349166271264583 48.20102429375801),7,Zollergasse,# Mondscheingasse,085,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000088,31000088,POINT (16.343094608731388 48.20650885166506),7,Bernhardgasse,# Schottenfeldgasse,3160,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000089,31000089,POINT (16.37819982713727 48.21709071997692),2,Tandelmarktgasse,# Große Sperlgasse,0015,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000090,31000090,POINT (16.385620704327824 48.21754179783295),2,Odeongasse,# Zirkusgasse,0270,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000091,31000091,POINT (16.381059746543887 48.21706828619885),2,Taborstraße,# Glockengasse,0017,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000093,31000093,POINT (16.382584063641445 48.22494923729873),2,Scherzergasse,# Lampigasse,0364,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000094,31000094,POINT (16.383417057533016 48.21485902256745),2,Komödiengasse,# Praterstraße,0271,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000095,31000095,POINT (16.38441243319485 48.22137428872006),2,Heinestraße,13,1068,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000096,31000096,POINT (16.385619500954164 48.21643457805224),2,Nepomukgasse,# Weintraubengasse,0274,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000097,31000097,POINT (16.387262317670107 48.21989214237998),2,Heinestraße,# Fugbachgasse,1067,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000098,31000098,POINT (16.37628064561492 48.216969999821075),2,Im Werd,# Krummbaumgasse,0267,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000099,31000099,POINT (16.37682705914655 48.21901046366043),2,Im Werd,# Leopoldsgasse,0268,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000100,31000100,POINT (16.38324705415418 48.2149042381765),2,Komödiengasse,# Zirkusgasse,0272,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000101,31000101,POINT (16.378922490217413 48.218764466918515),2,Alexander-Poch-Platz,# Große Pfarrgasse,0266,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000102,31000102,POINT (16.373836126059256 48.22372519451223),2,Oberer Augartenstraße,# Rembrandtstraße,0009,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000103,31000103,POINT (16.379598348503222 48.21578176532141),2,Karmeliterplatz,2,0014,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000104,31000104,POINT (16.386194737295813 48.21594883261265),2,Nepomukgasse,# Praterstraße,0273,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000105,31000105,POINT (16.380436959687934 48.21269627548749),2,Praterstraße,# Große Mohrengasse,1071,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000106,31000106,POINT (16.38109181560222 48.21888059360593),2,Taborstraße,# Blumauergasse,3421,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000107,31000107,POINT (16.3791408017684 48.219257273439204),2,Alexander-Poch-Pl.,# Kleine Pfarrgasse,2238,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000108,31000108,POINT (16.373454018738837 48.22029562673412),2,Schreygasse,# Nestroygasse,1298,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000109,31000109,POINT (16.37653775343764 48.222113079423046),2,Obere Augartenstraße,ggü. 40,2851,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000110,31000110,POINT (16.377823040811442 48.22116157540138),2,Obere Augartenstraße,ggü. Malzgasse,2243,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000111,31000111,POINT (16.3875529949722 48.21921803819097),2,Rappiner-Friedmann-Platz,Heinestraße 30,2548,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000112,31000112,POINT (16.38582929744651 48.22027534970007),2,Heinestraße,# Rueppgasse,2547,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000113,31000113,POINT (16.385200485317036 48.220589499428144),2,Heinestraße,# Pillersdorfgasse,2242,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000114,31000114,POINT (16.384059187273998 48.21502153254752),2,Schrottgießergasse,# Weintraubengasse,2241,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000115,31000115,POINT (16.384268122519337 48.21500877374238),2,Weintraubengasse,# Schrottgießergasse,2244,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000117,31000117,POINT (16.37277234564042 48.2183834960397),2,Schiffamtgasse,# Obere Donaustraße,2239,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31000118,31000118,POINT (16.375426389071507 48.22258510242067),2,Obere Augartenstraße,# Untere Augartenstraße,2850,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
