FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.31003456,31003456,POINT (16.35070019480427 48.24791645086237),19,Paradiesgasse,2,1093,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003457,31003457,POINT (16.35313873912889 48.239118332323685),19,Gatterburggasse,17,1209,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003459,31003459,POINT (16.35420598025991 48.23273558902764),19,Döblinger Gürtel,3,1208,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003460,31003460,POINT (16.356102845894622 48.23620580590468),19,Guneschgasse,Skywalk,1211,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003462,31003462,POINT (16.354458106883115 48.236392040982814),19,Pantzergasse,# Guneschgasse,0183,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003463,31003463,POINT (16.351313296220262 48.23686059398209),19,Hardtgasse,# Kreindlgasse,0346,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003464,31003464,POINT (16.350538269291985 48.23495563380855),19,Billrothstraße 19,# Schegargasse ggü. 12,1207,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003465,31003465,POINT (16.350282106521814 48.233865769676946),19,Philipovichgasse,# Lißbauergasse,1214,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003466,31003466,POINT (16.35325612563842 48.22335976897755),9,Nußdorfer Straße,7,2969,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003467,31003467,POINT (16.35352927799824 48.24616966441728),19,Hannplatz,1,1212,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003468,31003468,POINT (16.353538716254647 48.23625531800632),19,Döblinger Hauptstraße,44,2517,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004379,31004379,POINT (16.424841529173413 48.15689166214128),11,Am Kanal  ggü 137 (Hundezone),,620,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004380,31004380,POINT (16.46994059951363 48.1543356163779),11,Flammweg (Hundezone),,625,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004381,31004381,POINT (16.46968413080547 48.15458155143552),11,Flammweg (Hundezone),,624,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004382,31004382,POINT (16.462377298024013 48.1549139994454),11,Leberberg 2/Svetelskystraße (Hundezone),,614,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004383,31004383,POINT (16.462207094568797 48.157951245457625),11,Leberberg 2/Paulasgasse (Hundezone),,613,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004384,31004384,POINT (16.287775307524434 48.184724023888975),13,Hügelpark,,750,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004385,31004385,POINT (16.28729737290975 48.18592306900541),13,Hügelpark,,749,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004386,31004386,POINT (16.315527419020093 48.20612457650165),15,Rohrauerpark,,674,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
