FID,OBJECTID,SHAPE,ZONE_NAME,RECHT_TXT,WEBLINK1,SE_ANNO_CAD_DATA
TEMPOZONEOGD.29169,29169,"POLYGON ((16.319692830114892 48.18357388214577, 16.319177625787724 48.18197867176276, 16.317536094957454 48.17975773222804, 16.319437490424104 48.18046515976114, 16.3206947023835 48.18041637550357, 16.320247414541324 48.17773804316543, 16.32004833144083 48.17590975563845, 16.31818197588337 48.176397021493244, 16.31572713970026 48.17698702797659, 16.314416162690733 48.17516346575119, 16.314311927858775 48.17472663593755, 16.315802878130686 48.17423141724107, 16.31672670681429 48.17390124590912, 16.3167359205698 48.17374831756162, 16.317632360713823 48.17322850302944, 16.318162978107292 48.172720855906256, 16.31953479598178 48.17267212903573, 16.319507708051635 48.17245105348313, 16.320079337627877 48.172533584299764, 16.32055903858547 48.175181814771776, 16.320647307307944 48.17568387362266, 16.323012330303648 48.175139806113435, 16.32361321726221 48.175037889490234, 16.32381919828559 48.17648029048183, 16.325990952101712 48.176213564120516, 16.32671179561182 48.17989566688567, 16.32687896161319 48.18008362968179, 16.326878463408157 48.18287580832787, 16.326759352578083 48.18289891132793, 16.32579925775949 48.1826606263645, 16.325419977213368 48.18260531060334, 16.324696173780538 48.18270876230252, 16.3243155461427 48.18266726533973, 16.319692830114892 48.18357388214577))",Bereich Aichholzgase,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29170,29170,"POLYGON ((16.320536950059687 48.185689072745056, 16.320315105366323 48.18533303726803, 16.32341129426908 48.18439454859425, 16.3233213665347 48.18411769154779, 16.324005387070724 48.183925176463276, 16.324154505474898 48.184604738183474, 16.3225767309357 48.18508725682432, 16.32146947420328 48.185428567020956, 16.320536950059687 48.185689072745056))",Bereich Rechte Wienzeile,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29162,29162,"POLYGON ((16.388206484740074 48.238768290581355, 16.386372528450597 48.24048289135553, 16.385421062748613 48.24002530905248, 16.3858482776826 48.239641001365015, 16.386239195635675 48.239837818666636, 16.387697571264166 48.23852721215178, 16.388206484740074 48.238768290581355))",Bereich Wehlistraße_Hellwagstraße,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29171,29171,"POLYGON ((16.338268358338503 48.187932670605434, 16.33812406422467 48.187754942305, 16.337952324789764 48.18725903091835, 16.337599497245332 48.18676822006304, 16.337144687356794 48.186402330199094, 16.336817869307517 48.18608428611484, 16.33709882942596 48.18564249595145, 16.337492149784847 48.18582735167468, 16.340470524482868 48.18674434863838, 16.340098475911653 48.187399427768774, 16.33956414223384 48.18754026550628, 16.338602463996214 48.187308065503025, 16.338268358338503 48.187932670605434))",Bereich Dunklergasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29172,29172,"POLYGON ((16.33552848803503 48.1843549438403, 16.33300899437215 48.18353892515366, 16.33365621816904 48.18256187515025, 16.33241825833492 48.18234082266696, 16.332588560821023 48.181931177851034, 16.33415569576385 48.18225494596094, 16.334493197957002 48.18136121666894, 16.336666498491972 48.18121678371215, 16.33793539499122 48.181632040818634, 16.33552848803503 48.1843549438403))",Bereich Migazziplatz,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29173,29173,"POLYGON ((16.45551500622646 48.22853561517451, 16.455154349158196 48.22817700808435, 16.454892612572447 48.22796320782806, 16.455503324272314 48.22775179716517, 16.456620565877582 48.227049134835745, 16.456877093511967 48.22730409920897, 16.457391577957047 48.22793425049587, 16.456120925562985 48.22838019396956, 16.45551500622646 48.22853561517451))",Bereich Genochplatz,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29174,29174,"POLYGON ((16.406349368248357 48.174922289011114, 16.406675431142215 48.17554317056659, 16.40491146533016 48.17665183770015, 16.400127137716346 48.177009458738524, 16.399762955348038 48.17524701547763, 16.406349368248357 48.174922289011114))",Bereich Brehmstraße,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29175,29175,"POLYGON ((16.465971577652553 48.14712035271574, 16.470540248311792 48.150218226722544, 16.470412891782058 48.15045768658343, 16.47053377951239 48.1508080219252, 16.471271763341512 48.15071647699405, 16.4715898093762 48.15135085633363, 16.472028483168142 48.15201531846046, 16.467023252880118 48.15414992649062, 16.46205440783366 48.14858212752955, 16.465971577652553 48.14712035271574))",Bereich Paul-Heyse-Gasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29176,29176,"POLYGON ((16.413852841708305 48.17472681708997, 16.41491352876996 48.17528120144109, 16.412569401178548 48.17742671718879, 16.407661214366552 48.17492699215316, 16.413216219505134 48.1747272461907, 16.41367526779119 48.17489758367622, 16.413852841708305 48.17472681708997))",Bereich Enkplatz,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29177,29177,"POLYGON ((16.426227560656546 48.154914521995444, 16.426918931198372 48.15456887909413, 16.427434288753574 48.154349907283546, 16.428439829648866 48.15585796590141, 16.430594801053136 48.158074697653426, 16.432058612643186 48.159438705560994, 16.429657814748214 48.160921631707346, 16.428688115008743 48.16161957414482, 16.42894999721899 48.16176931626722, 16.42641301500461 48.16430810926176, 16.4259266639945 48.16404606759704, 16.426691300267887 48.163158220345046, 16.425830388210684 48.16242161139785, 16.426520900917 48.16189621493529, 16.426156767931985 48.16160703517584, 16.425605085862774 48.161281856637046, 16.426467847780227 48.16056718896717, 16.424077398464515 48.15783664173581, 16.424104423127964 48.15746418327193, 16.424464380617014 48.156825466584884, 16.425648118904018 48.15536361294099, 16.426227560656546 48.154914521995444))",Bereich Weißenböckstraße,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29178,29178,"POLYGON ((16.475043479975476 48.163507803837554, 16.47621770906073 48.16437028750289, 16.478394642584203 48.169229585289145, 16.47782361491437 48.16921020006552, 16.47640895405118 48.16838820913109, 16.47483731619998 48.16505504455646, 16.474444904743322 48.16439252645007, 16.47402330758831 48.16405148766471, 16.475043479975476 48.163507803837554))",Bereich Fuchsbodengasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29179,29179,"POLYGON ((16.48437805458732 48.15968517492743, 16.48516486228893 48.161271025760776, 16.483900355627394 48.16172184516516, 16.478806872105977 48.162342243968226, 16.478536995573343 48.16118920316574, 16.47777891247786 48.16091945241397, 16.478181851857073 48.16005392072267, 16.479259780471722 48.16026834901276, 16.48437805458732 48.15968517492743))",Bereich Mannswörther Straße,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29180,29180,"POLYGON ((16.426195499363867 48.17655374174726, 16.426442613660093 48.17562929563312, 16.42735116569049 48.173669159508805, 16.428012968843365 48.1728552840006, 16.428785508398743 48.172152237842624, 16.43005851624691 48.17313090876785, 16.429036832699964 48.17359386599606, 16.431388457274167 48.17497831830283, 16.431388491551406 48.174996808355814, 16.426195499363867 48.17655374174726))",Bereich Holzergasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29181,29181,"POLYGON ((16.407035465874646 48.17508233359795, 16.412274565539803 48.177681915978674, 16.409891051262402 48.17980190650985, 16.408470658435032 48.17895739317309, 16.4086507888909 48.178060870935965, 16.40813730909867 48.17712162681731, 16.407164062537895 48.17548240785593, 16.407035465874646 48.17508233359795))",Bereich Geystraße,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29182,29182,"POLYGON ((16.403215829493778 48.172430699097625, 16.406603731789176 48.17406849574066, 16.40625568670927 48.17442570411528, 16.403005275729225 48.174606149842965, 16.40393571613689 48.17357187721037, 16.402017648109233 48.17268050547885, 16.403215829493778 48.172430699097625))",Bereich Hauffgasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29183,29183,"POLYGON ((16.438712667887184 48.159612640612295, 16.440293536732185 48.16303366284755, 16.43145406914886 48.16529987615455, 16.42975118567373 48.16283489672624, 16.42923220351004 48.16217023179689, 16.432257046998455 48.160982114704844, 16.438712667887184 48.159612640612295))",Bereich Neugebäudestraße,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29192,29192,"POLYGON ((16.342764779813688 48.227357694965455, 16.343397948711058 48.227160877196056, 16.34410474895118 48.227052597329205, 16.345326948625225 48.22705250521895, 16.347329484839594 48.22658989855718, 16.348890313771598 48.22640278528478, 16.34949472501043 48.22902974915929, 16.347388966863726 48.229236593585085, 16.344959279134788 48.22975827494433, 16.343015175109574 48.22782995516386, 16.342764779813688 48.227357694965455))",Bereich Michaelerstraße,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29193,29193,"POLYGON ((16.345939359338026 48.23081785679236, 16.347701730389346 48.230465061628784, 16.349718545724237 48.23008072447253, 16.349907221235394 48.230748181893, 16.35027486785782 48.23101260730124, 16.350445402506974 48.23170403269132, 16.351982829189073 48.23172076401641, 16.35204207738003 48.232093242649235, 16.350259665460907 48.232110410817114, 16.350303507065963 48.23235386765798, 16.34948353801426 48.23241693633843, 16.349087314136483 48.23095608230069, 16.346514406556732 48.231460105021554, 16.345939359338026 48.23081785679236))",Bereich Mollgasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29184,29184,"POLYGON ((16.46596357379518 48.16014610764308, 16.467697491603694 48.16028496030143, 16.46960947531427 48.160358585797404, 16.47037088431693 48.16033602485397, 16.470518880950348 48.161169967121424, 16.47134882208864 48.16255556387535, 16.469487188084628 48.163186035435814, 16.46913095593371 48.16327310736137, 16.46877438724099 48.16323019013764, 16.46846649663439 48.16320888048272, 16.46765681038369 48.163383128250494, 16.46686311014275 48.163470693166765, 16.466215027857398 48.163482265716986, 16.46555078758867 48.16350468068972, 16.46363936421994 48.16370180079128, 16.463098688353732 48.16455817915844, 16.46251677130598 48.16512211287601, 16.461708251863353 48.165794624157975, 16.460802186671646 48.16633723822203, 16.46041383358725 48.16655430628778, 16.458649351320314 48.16727115557446, 16.457160130675003 48.16792269384136, 16.455737110561312 48.169180755888675, 16.454704628064974 48.17117502467541, 16.452047987015646 48.17161103925678, 16.452050039220314 48.17252097274795, 16.449679186712558 48.17353952216773, 16.448376652453554 48.17482290442749, 16.446833556271113 48.1757681784274, 16.44616822890395 48.1760893363657, 16.4455821961321 48.1761255094249, 16.444063364855946 48.17598449380493, 16.442331167084838 48.175719009418884, 16.441984535496932 48.17557686761943, 16.440653273459507 48.17595203415861, 16.440367997296313 48.17534526838455, 16.439045366624057 48.17572959956445, 16.43727106157558 48.17292144723031, 16.435523827985758 48.169725058600164, 16.43450154025292 48.16981836218528, 16.432790153830958 48.17031667355772, 16.43236231941545 48.169732508302346, 16.43416200332454 48.16924723106936, 16.435029718224982 48.16914972894808, 16.435121153834576 48.16834099601287, 16.435304816507774 48.167145141122845, 16.436007486923355 48.16719982272103, 16.436108421710095 48.16596947717268, 16.43566184571986 48.16477415907184, 16.44467241021693 48.16263293421369, 16.447491948462847 48.161402854408735, 16.447725463374912 48.161265777466184, 16.456168804919333 48.16057412809111, 16.460138249940055 48.160309547924335, 16.464077596998184 48.160238893653826, 16.46596357379518 48.16014610764308))",Bereich Simmeringer Haide,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29185,29185,"POLYGON ((16.418021990914216 48.16363345738257, 16.418253465324895 48.164124152524, 16.418884865397473 48.16551214852876, 16.41922264286887 48.16688632409389, 16.419414812854985 48.168989883842, 16.41843049782986 48.169902202079754, 16.41948030166534 48.1705746337542, 16.41749082631243 48.17253950852708, 16.41511896410703 48.17147529523205, 16.41426046914141 48.17244358154171, 16.41136301326978 48.1704960886491, 16.412221585316107 48.16955586451798, 16.411256034168627 48.16905161083719, 16.41307815948391 48.167311345428516, 16.418021990914216 48.16363345738257))",Bereich Albin-Hirsch-Platz,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29186,29186,"POLYGON ((16.4223561711914 48.161923105493, 16.424342682926326 48.163920715175294, 16.421233316364 48.166220853597146, 16.423306582132568 48.16687042736734, 16.42278433234014 48.16739201696871, 16.421037108901817 48.16903565860861, 16.420146604996262 48.16893366468147, 16.420020676715747 48.16702453663638, 16.420156537143836 48.166678826993746, 16.4200103061212 48.165958539104444, 16.419738377834214 48.16559689420384, 16.422359011382675 48.16361623541601, 16.421686296934116 48.162719176352944, 16.4223561711914 48.161923105493))",Bereich Lorystraße,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29187,29187,"POLYGON ((16.416917704537006 48.159702758984885, 16.417168997752196 48.15987385844564, 16.417712784747145 48.159747936589795, 16.419749345234283 48.16148046078085, 16.417938343550087 48.16296195517543, 16.414052893495764 48.16592851663152, 16.413825683570384 48.16617451889067, 16.412953478356012 48.16550974951779, 16.412358196608725 48.16452870434134, 16.412495401101957 48.1635374044702, 16.413034618920374 48.162696076957644, 16.414465850695162 48.1615751261515, 16.416917704537006 48.159702758984885))",Bereich Mitterfeldsiedlung,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29188,29188,"POLYGON ((16.306254029407533 48.193515055359654, 16.305004482262763 48.19359293855053, 16.30498288541278 48.193607366802276, 16.301593805623 48.19340433270739, 16.301615780512687 48.192827002764226, 16.306154948780424 48.19268964263983, 16.306254029407533 48.193515055359654))",Bereich Pfadenhauergasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29189,29189,"POLYGON ((16.34178000880407 48.222040934351725, 16.34061205000627 48.22045309194425, 16.33954565632342 48.21786092292409, 16.341383503104595 48.217575841080354, 16.34311026068472 48.22181692180589, 16.34178000880407 48.222040934351725))",Bereich Leo-Slezak-Gasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29190,29190,"POLYGON ((16.34232722920763 48.22527235241485, 16.341990655905906 48.22252805588524, 16.343623751604255 48.22229525304704, 16.347778842313406 48.22333004330518, 16.348427427229673 48.2238916786505, 16.348607702759267 48.22449348083023, 16.347683056712793 48.22456580209476, 16.347803281829357 48.225207729968325, 16.345569687421385 48.22552891110343, 16.34542549493072 48.22504746566138, 16.34232722920763 48.22527235241485))",Bereich Kutschkergasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29191,29191,"POLYGON ((16.348007473624687 48.22610849875412, 16.347828229275088 48.22553695764659, 16.34881018891233 48.22536352788846, 16.348974006140455 48.22598871335218, 16.348007473624687 48.22610849875412))",Bereich Krütznergasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29089,29089,"POLYGON ((16.461295131575802 48.149035687671656, 16.466774936817387 48.155702545252616, 16.46629177511245 48.15968655863479, 16.458172230669838 48.15992382832517, 16.454302240932503 48.1600801124555, 16.447019572644493 48.16082671800554, 16.446766850658292 48.160283553356834, 16.444909697960124 48.1605052751141, 16.4445213020595 48.159845789250355, 16.453197930582537 48.15835591406951, 16.45144952117224 48.15701294773516, 16.449354536016724 48.15331065330809, 16.450491981405065 48.152979680505645, 16.450225789811316 48.15270084821548, 16.454965263009168 48.15142742561151, 16.461295131575802 48.149035687671656))",Bereich Thürnlhofsiedlung,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29090,29090,"MULTIPOLYGON (((16.412896901174143 48.17800356703534, 16.415618447930164 48.17859117645271, 16.417213313923824 48.17895050992643, 16.418658819230146 48.1790405276799, 16.421350691291412 48.17943530684187, 16.423656172731587 48.179810155245995, 16.42372138296403 48.18008182675169, 16.423767631273098 48.1802339567877, 16.424960549209374 48.18018125739139, 16.425008289743165 48.18090614604831, 16.422343522121764 48.18101173415715, 16.421509805169297 48.18278322973277, 16.42514565196361 48.18548392898449, 16.421702720478283 48.18629110552545, 16.42034595648785 48.187038508977096, 16.41972268385572 48.18557604746343, 16.417775538987993 48.185924388340034, 16.417406285842187 48.18559513892105, 16.41723028297038 48.185380361511655, 16.41706858186291 48.185100300999416, 16.416931076965895 48.18479525806208, 16.41655939473024 48.18498442142623, 16.41607798202707 48.185180494863516, 16.415548841276365 48.18531826930897, 16.415375423341896 48.18536116981829, 16.41436916484745 48.18426922016602, 16.415127910079438 48.183947669938696, 16.41422929231736 48.18266932321954, 16.410330573682 48.183671171756444, 16.40650806623335 48.184842848920226, 16.405569168033367 48.184379379639125, 16.412896901174143 48.17800356703534), (16.41493890938603 48.18098392287065, 16.41493893717738 48.180984507410905, 16.414939018771463 48.18098510090747, 16.414939167574126 48.18098567637146, 16.414939370165722 48.180986251798544, 16.414939626532487 48.18098681819552, 16.41493993666059 48.18098736656917, 16.41494030055004 48.180987896919426, 16.414940718214655 48.180988418239615, 16.414941176193384 48.18098892154566, 16.41494168791966 48.18098939783517, 16.414942253407297 48.180989856101355, 16.414942859181455 48.18099027836698, 16.414943505269726 48.18099068261853, 16.414944178211098 48.18099105987194, 16.41494489143898 48.180991401124864, 16.414945496950992 48.1809916525195, 16.414945644953388 48.180991706377235, 16.415089456883308 48.1810487684999, 16.41508960488601 48.181048822357475, 16.415090385255148 48.18104910061074, 16.41509117901625 48.18104934288196, 16.415092013063806 48.18104954915257, 16.415092847056073 48.18104971945032, 16.41509370788755 48.18104985375676, 16.41509456864988 48.181049943097115, 16.415095456265274 48.18105000543935, 16.41509633036427 48.18105002282475, 16.415097204407974 48.181050004237335, 16.41509809182979 48.18104994067458, 16.41509895231563 48.18104985015071, 16.415099812732326 48.18104971466073, 16.415100646199214 48.181049543216425, 16.41510147961079 48.18104933579929, 16.415102272625305 48.181049092437, 16.415103052137233 48.18104881311117, 16.41510380469937 48.18104849783094, 16.415104516878237 48.181048155598816, 16.41510518867387 48.1810477864148, 16.415105833519693 48.181047381276464, 16.41510643798226 48.18104694918618, 16.415106988628164 48.181046499146504, 16.415107498890816 48.1810460221549, 16.415107968770236 48.18104551821144, 16.415108384832987 48.18104499631853, 16.415108747092894 48.18104446546941, 16.415109055522315 48.18104390767762, 16.41510931016272 48.18104334992283, 16.415109390486695 48.18104311604386, 16.415939142920042 48.18062926795282, 16.417271223383995 48.18008774299229, 16.41727147872072 48.180087643886445, 16.41727197593295 48.18008743669104, 16.417272688084083 48.180087094445454, 16.41727335983738 48.180086716255516, 16.41727400465405 48.180086311104944, 16.41727460908709 48.18008587900322, 16.417275173150717 48.18008542894358, 16.417275683383732 48.18008495194232, 16.41727613978611 48.18008444799941, 16.41727655581907 48.18008392609858, 16.41727691804984 48.18008339524254, 16.41727722646419 48.1800828464381, 16.41727748106211 48.18008227968522, 16.41727768185785 48.18008170397713, 16.417277828865593 48.180081128307066, 16.41727790860993 48.18008053469805, 16.417277934580472 48.18007995012029, 16.417277906763044 48.180079365580525, 16.417277825143422 48.180078772085544, 16.417277676317227 48.18007819662448, 16.41727747370303 48.18007762120144, 16.417277217329293 48.18007706380282, 16.417276907167565 48.180076506442234, 16.417276610651722 48.18007607497707, 16.417276543260467 48.18007597609925, 16.417194779923452 48.179961712002815, 16.41719471253251 48.17996161312495, 16.417194294853406 48.17996109181287, 16.417193823414852 48.179960588525226, 16.417193311677963 48.17996011224566, 16.41719275964278 48.17995966297419, 16.41719215384812 48.179959231727125, 16.417191507755156 48.17995882748817, 16.417190834825035 48.17995845924102, 16.417190121596587 48.179958118002006, 16.41718936806984 48.179957803771075, 16.417188587705937 48.17995752553196, 16.417187793951825 48.1799572832752, 16.417186959913618 48.17995707701974, 16.417186125932155 48.17995690673712, 16.417185265113552 48.17995677244634, 16.41718440436589 48.179956683121624, 16.417183516766872 48.1799566207955, 16.417182642685777 48.179956603425914, 16.41718176867563 48.179956631022414, 16.417180894708057 48.17995668559855, 16.417180020811415 48.17995678514075, 16.4171791604185 48.179956920646255, 16.417178326976263 48.17995709210569, 16.417177493590795 48.1799572995379, 16.41717663339652 48.179957560948374, 16.4167102818999 48.18011391251424, 16.416709569603583 48.180114164824246, 16.41670883049789 48.18011447111236, 16.41616101720375 48.1803592809402, 16.415597594637365 48.18060931501669, 16.415596828721032 48.180609684268745, 16.415596371894054 48.18060992740183, 16.414944156298198 48.18097677865288, 16.414943699478666 48.18097703077656, 16.414943484516122 48.180977156829144, 16.414942839669916 48.18097756196662, 16.414942235206787 48.180977994056015, 16.414941671112935 48.18097844410417, 16.414941160849413 48.18097892109501, 16.414940704416207 48.18097942502859, 16.41494028835228 48.18097994692089, 16.414939926091083 48.180980477769516, 16.41493961766021 48.18098103556085, 16.414939363018256 48.18098159331526, 16.414939162192834 48.18098216901915, 16.41493901515635 48.18098274468618, 16.414938935383613 48.18098333829349, 16.41493890938603 48.18098392287065)))",Bereich Eisteichstraße Teil 1,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29091,29091,"POLYGON ((16.40993419996042 48.17022575284143, 16.414618971851567 48.173370881157645, 16.41374893594604 48.174220811295996, 16.40710213609378 48.17442518406561, 16.407201043353698 48.17394063055697, 16.407473719655655 48.17309112264251, 16.40802029165062 48.17229245242805, 16.40893998654398 48.1713091462239, 16.40993419996042 48.17022575284143))",Bereich Gottschalkgasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29092,29092,"POLYGON ((16.421364393459967 48.17252159939722, 16.425119015667605 48.171132894073125, 16.425949278274075 48.172009960582066, 16.426987117777664 48.17309011301142, 16.42583012256056 48.17613429574398, 16.425687997608215 48.176625142820875, 16.42494759943996 48.1764865268778, 16.423871980775054 48.176840787468144, 16.423516832723905 48.17634598105742, 16.42458517708988 48.17605876488618, 16.422538777035008 48.17270550580825, 16.42213879580688 48.17305689288026, 16.422264844353105 48.17409157770747, 16.421381004742305 48.17420310572404, 16.421158505233844 48.17330707711543, 16.421364393459967 48.17252159939722))",Bereich Kaniakgasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29093,29093,"POLYGON ((16.425767526322314 48.17075913448252, 16.423914104123334 48.16923611329998, 16.424811306760397 48.168912054125215, 16.426439389676307 48.16794992069532, 16.42786430281032 48.16926074331113, 16.429050942142855 48.16862229462714, 16.429576521474786 48.16902838964205, 16.427961937308524 48.169796536413685, 16.425767526322314 48.17075913448252))",Bereich Brambillagasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29094,29094,"POLYGON ((16.397371825010918 48.176820862677275, 16.397203580596766 48.17603555577078, 16.398752524212284 48.17584529699709, 16.398666909202735 48.175432644402804, 16.399496618853405 48.17537527132803, 16.399817814581425 48.177025863509535, 16.399371032276502 48.17705457403239, 16.399521187904853 48.17803641656425, 16.39968976927387 48.179581593005985, 16.39773288571302 48.178506062903516, 16.397371825010918 48.176820862677275))",Bereich Lilienthalgasse Teil 2,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
