FID,OBJECTID,SHAPE,ZONE_NAME,RECHT_TXT,WEBLINK1,SE_ANNO_CAD_DATA
TEMPOZONEOGD.29118,29118,"MULTIPOLYGON (((16.33052877497908 48.21839327454778, 16.330400158740055 48.21931550789924, 16.330683429495394 48.219750079922434, 16.33213778803267 48.22269712410005, 16.33359075950797 48.22437039444149, 16.332032651799345 48.22511741160878, 16.331191861900322 48.225311900993894, 16.330185988148585 48.22577700677581, 16.329171562494043 48.22624663575622, 16.32857704402298 48.22645281154617, 16.32861808637621 48.22678739529096, 16.328362417151688 48.22686033089465, 16.32803856777827 48.22638197222582, 16.327645450061475 48.225662222436455, 16.329303531335345 48.22479504126657, 16.328828081703833 48.2241744849279, 16.32821484969324 48.22289328918475, 16.32759330717576 48.22167692093372, 16.32607973781538 48.22208998117486, 16.32550421061281 48.22252610683092, 16.32498120596467 48.22325194009546, 16.324393924421887 48.22390855308991, 16.32328089262618 48.22429309895502, 16.321835671972092 48.22170648031159, 16.323766598110513 48.22098082020608, 16.326503703438096 48.21978522387959, 16.3286886395036 48.218811641196, 16.32965836896146 48.21853808229075, 16.33052877497908 48.21839327454778), (16.329619735331008 48.22282255526089, 16.329619062393846 48.222822771058915, 16.329616734021137 48.222823598298824, 16.329614499842233 48.222824533461804, 16.329612346401195 48.222825558560814, 16.3296103006133 48.22282668259049, 16.329608375938964 48.22282788756531, 16.329606572378243 48.22282917348527, 16.329604889931105 48.2228305403504, 16.329603355515086 48.22283197916901, 16.329601955674256 48.222833471954104, 16.329600717323903 48.2228350277003, 16.32959962700698 48.22283663741372, 16.3295986981828 48.22283829210196, 16.329597930852525 48.22283998277184, 16.329597325017293 48.222841700430266, 16.329596894136458 48.22284343608485, 16.329596638208926 48.22284519872867, 16.329596543779864 48.22284696138158, 16.329596637765736 48.222848724045036, 16.32959689325012 48.22285048671758, 16.329597323694667 48.22285222242046, 16.329597929098224 48.22285394014689, 16.329598696003753 48.2228556309029, 16.329599436035846 48.22285697991753, 16.329701468568842 48.22302746881655, 16.329701643488356 48.22302777459343, 16.329702733408066 48.22302938442815, 16.3297039848336 48.22303094031284, 16.329705384306695 48.22303244224675, 16.32970691837135 48.22303387224288, 16.329708587026442 48.22303523929429, 16.32971040373248 48.2230365254155, 16.32971232811354 48.22303773959737, 16.329714373631255 48.223038854861166, 16.329716513367952 48.22303988019861, 16.32971876078192 48.22304081561041, 16.32972108895771 48.22304165210191, 16.329723497896435 48.223042380679935, 16.329725974139834 48.22304300134381, 16.32972850422963 48.22304351409272, 16.329731074708636 48.2230439099328, 16.329733672117488 48.22304419785647, 16.329736309914427 48.22304437786444, 16.329738947726856 48.223044431968205, 16.329741787419835 48.22304443212406, 16.329744425245533 48.22304437830985, 16.329747063085577 48.22304420758459, 16.329749660565177 48.22304391994603, 16.32975224460082 48.22304351539572, 16.329754761358362 48.223043002923795, 16.329757237754315 48.22304238253177, 16.329757749185823 48.22304223866928, 16.330594017198397 48.22280171453167, 16.330595914866286 48.22280113006669, 16.330598243223154 48.2228002938138, 16.33060049084128 48.222799358632344, 16.330602630803284 48.22279833351418, 16.33060467656739 48.22279721846, 16.330606601218122 48.22279600447535, 16.330608418210833 48.22279471854031, 16.330610087171888 48.22279335165986, 16.330611621557583 48.22279192182096, 16.330613021368872 48.222790420030435, 16.33061427314567 48.22278886427395, 16.33061536342977 48.22278725455089, 16.330616292220267 48.222785599854426, 16.330617059516193 48.22278390917771, 16.33061765185843 48.22278219151323, 16.33061808270424 48.222780455854846, 16.33061835205457 48.22277869320936, 16.33061843299023 48.22277693055498, 16.330618352427603 48.222775167892934, 16.33061809690852 48.222773405222654, 16.33061766643013 48.222771669523546, 16.330617060994374 48.22276994280933, 16.330616294055638 48.222768261053226, 16.330615365615845 48.22276660626899, 16.33061509649685 48.22276618357802, 16.330493225992175 48.222578643503965, 16.330492405174258 48.222577456367866, 16.330491153735878 48.22257590049166, 16.330489767710375 48.22257439856781, 16.3304882201795 48.222572968581375, 16.330486551518664 48.222571601541176, 16.33048474826876 48.22257030643963, 16.330482810427835 48.22256910126309, 16.330480764912156 48.222567986012855, 16.330478625180827 48.2225669516964, 16.330476377772783 48.22256602529255, 16.330474049606256 48.222565188816276, 16.33047164067926 48.2225644602539, 16.330469164449937 48.22256383960605, 16.330466647834516 48.222563326874045, 16.330464063916732 48.222562922056575, 16.33046146652814 48.222562634149355, 16.33045882875243 48.22256246315118, 16.330456190964004 48.22256240906393, 16.330453553163817 48.222562462894466, 16.330450915350873 48.22256263363594, 16.33044831789955 48.22256292129037, 16.330445733893576 48.22256332585641, 16.33044321716644 48.22256383834348, 16.33044074080187 48.22256445875032, 16.330439004645477 48.22256498026856, 16.33043833171612 48.22256518707826, 16.329619735331008 48.22282255526089)))",Bereich Rosensteingasse Teil 2,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29119,29119,"POLYGON ((16.39094729882026 48.17899514656759, 16.395166527660326 48.176125339542914, 16.395710243846707 48.175790249770806, 16.397204554169626 48.17604015079235, 16.397475535262885 48.177304939662264, 16.39773288571302 48.178506062903516, 16.399690186405163 48.17958181760565, 16.39975786411031 48.180156680827224, 16.395627139043818 48.17782503739077, 16.39354379792643 48.17949110363572, 16.3962266396694 48.1810124268548, 16.395525079840795 48.181567799504926, 16.39094729882026 48.17899514656759))",Bereich Lilienthalgasse Teil 1,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29120,29120,"POLYGON ((16.3563819989922 48.192387033958504, 16.360740946978304 48.19504110796688, 16.360481923197074 48.195353802819625, 16.35955173461298 48.196476743330706, 16.358199193830757 48.19613574704984, 16.357446619330304 48.1958626313, 16.35551614379352 48.19513065832106, 16.355287067764316 48.19493395269043, 16.35507428902873 48.19457328890241, 16.35535177048664 48.193010233542175, 16.3563819989922 48.192387033958504))",Bereich Grüngasse Nord Teil 1,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29121,29121,"POLYGON ((16.360218580922158 48.19567172302683, 16.36073825834872 48.19504434609544, 16.361432949560502 48.19546233353715, 16.361096231198342 48.195741241451756, 16.360647011468238 48.195559019356516, 16.35982940992941 48.196535115026194, 16.35955596944018 48.196471643323136, 16.360218580922158 48.19567172302683))",Bereich Grüngasse Nord Teil 2,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29122,29122,"POLYGON ((16.472912231050824 48.20250999479002, 16.475137566882267 48.20420950960701, 16.474097094901694 48.20523402622319, 16.472300385471605 48.207787400414425, 16.469963375061504 48.20830181320126, 16.46950936738396 48.2084044676604, 16.467010146488523 48.20557300571449, 16.46470881184638 48.202913495349904, 16.4650275074741 48.2027611803698, 16.46836717309609 48.20062383195986, 16.469247279687774 48.19969914290506, 16.472912231050824 48.20250999479002))",Bereich Auhirschenweg,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29123,29123,"POLYGON ((16.498513492629115 48.23898656578313, 16.503015558012027 48.2381813608301, 16.50271249000656 48.236898723012374, 16.50468544110637 48.236551157442875, 16.505618779672925 48.24148571951785, 16.499921547333216 48.24244382081787, 16.499849219381513 48.24214817589756, 16.499242275123237 48.24074052615023, 16.498513492629115 48.23898656578313))",Bereich Eidechsengasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29124,29124,"POLYGON ((16.531027002556666 48.21647483476178, 16.531083687222527 48.21659325419844, 16.53426181753481 48.22426500366773, 16.529678455806494 48.224447227018956, 16.52965146759455 48.22437024428051, 16.527923446707526 48.21944090688565, 16.52626123526834 48.21944366883367, 16.52532112422322 48.218057493949985, 16.52504000547605 48.216422351001796, 16.52189170639257 48.216497989446474, 16.52165043581556 48.216071320567345, 16.520787026653178 48.21611146269223, 16.51973615645446 48.21543746260023, 16.519395267036305 48.21514302173544, 16.519292058555518 48.214807543150506, 16.520692616597106 48.21485034921314, 16.52590693457511 48.21513537602353, 16.526124154989514 48.21521092847227, 16.526197580539996 48.215236467274956, 16.52623049651165 48.215245379023365, 16.526695783892865 48.21537136087763, 16.52716933389821 48.21549938385023, 16.527599847875592 48.2158323994501, 16.528652399834844 48.21617022941672, 16.52909083083105 48.21627488327526, 16.53045788081781 48.21637211445301, 16.530982258600687 48.21638135649119, 16.531027002556666 48.21647483476178))",Bereich Simonsgasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29125,29125,"POLYGON ((16.284148858901414 48.13777813285762, 16.284777739505447 48.13834786113154, 16.285688633136015 48.1411714809295, 16.28670676633517 48.14368468122346, 16.287086844571075 48.146455312611785, 16.283447511168895 48.147184839751475, 16.28270880712524 48.14596033476352, 16.282142635856125 48.1456883477705, 16.281285707510857 48.14532097200792, 16.280859542543407 48.142984494312834, 16.28079053631065 48.14072382887158, 16.282811522418946 48.14039142876925, 16.282480630687157 48.13964333049844, 16.28212923957845 48.13784818707208, 16.282044491905165 48.13767546984828, 16.281004336840194 48.1379231263654, 16.280493157263585 48.136908485969435, 16.280709109885148 48.13665466012371, 16.281148912898082 48.13628433220988, 16.282258748012218 48.13587234376428, 16.282110625692205 48.13571235563193, 16.282703993227233 48.13550859728667, 16.283933966100605 48.13750140475485, 16.284275156995296 48.13740394311503, 16.28442137051569 48.13766750325562, 16.284148858901414 48.13777813285762))",Bereich Dirmhirngasse,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29126,29126,"POLYGON ((16.40306306580793 48.28338521163971, 16.402658361887678 48.283936727568666, 16.401476779438287 48.285246111573024, 16.400354126880053 48.283730020649244, 16.40205126253013 48.283128691503606, 16.401766815212152 48.28260591694109, 16.39835729369006 48.28315577091074, 16.39782086101898 48.28105158501022, 16.400532521584232 48.28024801414417, 16.39980525442427 48.27869883620359, 16.395584270947953 48.279888675447566, 16.39510496606113 48.27920221211026, 16.399003386778556 48.27803433686298, 16.396144165553835 48.27446902589994, 16.39722034559101 48.27357902547339, 16.400786118460218 48.27540889055243, 16.400274819989136 48.27802455981263, 16.40450469591231 48.27697717908332, 16.404811986520887 48.277728780346216, 16.405134908247078 48.27896527746394, 16.40528307790138 48.27946951950059, 16.403265184293538 48.279743665155415, 16.40127387153067 48.28020267570893, 16.40178812464726 48.281164557970236, 16.403105882968973 48.28071014746063, 16.403341961952513 48.28111692949086, 16.40201931038928 48.28159696671399, 16.40244029721187 48.28238435567049, 16.40306306580793 48.28338521163971))",Bereich Ödenburger Straße,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
TEMPOZONEOGD.29127,29127,"POLYGON ((16.411592887921916 48.28418787654838, 16.409405312934062 48.284644620245196, 16.407113766364407 48.2817478567211, 16.406419837130894 48.28111518352082, 16.40636556825016 48.28079199432833, 16.40619908484457 48.2800694133667, 16.405875433837533 48.27832174499012, 16.405553222926553 48.27762939300599, 16.406912153362587 48.27744718246108, 16.40849418005767 48.27704677856074, 16.41057195442048 48.28048413884948, 16.41153644439831 48.28217273614933, 16.40959090854484 48.28164952496771, 16.411592887921916 48.28418787654838))",Bereich Bernreiterplatz,"Die Informationen und Pläne zu den Tempo 30-Zonen haben keine Rechtsgültigkeit, sondern dienen lediglich der Veranschaulichung.",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
