FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
HYDRANTOGD.9278759,9278759,POINT (16.286237801994336 48.20117586629794),
HYDRANTOGD.9278760,9278760,POINT (16.410550172248143 48.16578068885652),
HYDRANTOGD.9278761,9278761,POINT (16.35939377823223 48.19917645121789),
HYDRANTOGD.9278762,9278762,POINT (16.333012603909523 48.25667458963551),
HYDRANTOGD.9278763,9278763,POINT (16.46931069941799 48.20146508036478),
HYDRANTOGD.9278764,9278764,POINT (16.36523065016288 48.15510852429475),
HYDRANTOGD.9278765,9278765,POINT (16.401868402873696 48.267329784969526),
HYDRANTOGD.9278766,9278766,POINT (16.412634807055746 48.2999974208753),
HYDRANTOGD.9278767,9278767,POINT (16.227771633712926 48.20946362455174),
HYDRANTOGD.9278768,9278768,POINT (16.523492661886785 48.20676179695336),
HYDRANTOGD.9278769,9278769,POINT (16.484523976500004 48.25390368663643),
HYDRANTOGD.9278770,9278770,POINT (16.40353528717406 48.19801536835647),
HYDRANTOGD.9278771,9278771,POINT (16.41953359857848 48.22653093429594),
HYDRANTOGD.9278772,9278772,POINT (16.285926430761112 48.19956142639243),
HYDRANTOGD.9278773,9278773,POINT (16.410170606084563 48.243226228129515),
HYDRANTOGD.9278774,9278774,POINT (16.32901036812587 48.20247621233724),
HYDRANTOGD.9278775,9278775,POINT (16.361876547855204 48.21804233643771),
HYDRANTOGD.9278776,9278776,POINT (16.498476687473563 48.25541671040478),
HYDRANTOGD.9278777,9278777,POINT (16.296277395521606 48.184357814445356),
HYDRANTOGD.9278778,9278778,POINT (16.353716831595868 48.19429237810912),
HYDRANTOGD.9278779,9278779,POINT (16.341205745961936 48.14439364898511),
HYDRANTOGD.9278780,9278780,POINT (16.34836626302843 48.24085112675988),
HYDRANTOGD.9278781,9278781,POINT (16.378724721260394 48.20760346872537),
HYDRANTOGD.9278782,9278782,POINT (16.30129016865542 48.23508013703185),
HYDRANTOGD.9278783,9278783,POINT (16.33314742907736 48.16113495869529),
HYDRANTOGD.9278784,9278784,POINT (16.379236427001636 48.235588891454924),
HYDRANTOGD.9278785,9278785,POINT (16.43875095370983 48.179054550953886),
HYDRANTOGD.9278786,9278786,POINT (16.321899407406498 48.179562992483106),
HYDRANTOGD.9278787,9278787,POINT (16.31189150688849 48.2257838541259),
HYDRANTOGD.9278788,9278788,POINT (16.39102676870897 48.218273397820916),
HYDRANTOGD.9278789,9278789,POINT (16.313998741519864 48.22336511984065),
HYDRANTOGD.9278790,9278790,POINT (16.391152873428375 48.211450230739295),
HYDRANTOGD.9278791,9278791,POINT (16.498714928304015 48.277408613481995),
HYDRANTOGD.9278792,9278792,POINT (16.385517025421734 48.1412834077581),
HYDRANTOGD.9278793,9278793,POINT (16.46274315855645 48.164474700525886),
HYDRANTOGD.9278794,9278794,POINT (16.351583821546782 48.20432716269745),
HYDRANTOGD.9278795,9278795,POINT (16.441243404412038 48.26357296194962),
HYDRANTOGD.9278796,9278796,POINT (16.216840730831215 48.205186984555404),
HYDRANTOGD.9278797,9278797,POINT (16.309475840721614 48.223017837050755),
HYDRANTOGD.9278798,9278798,POINT (16.311061557476222 48.16635100856366),
HYDRANTOGD.9278799,9278799,POINT (16.386084039658638 48.29194033400993),
HYDRANTOGD.9278800,9278800,POINT (16.464301699031495 48.16160322614042),
HYDRANTOGD.9278801,9278801,POINT (16.405641626307542 48.23126490948341),
HYDRANTOGD.9278802,9278802,POINT (16.418183303138438 48.16748390341083),
HYDRANTOGD.9278803,9278803,POINT (16.338082019567278 48.243106704327985),
HYDRANTOGD.9278804,9278804,POINT (16.459232077538637 48.256893442755704),
HYDRANTOGD.9278805,9278805,POINT (16.32419875927537 48.214304755567404),
HYDRANTOGD.9278806,9278806,POINT (16.424807111938886 48.16629388188514),
HYDRANTOGD.9278807,9278807,POINT (16.207671894771323 48.22626627090673),
HYDRANTOGD.9278808,9278808,POINT (16.36754493684865 48.2374547163905),
HYDRANTOGD.9278809,9278809,POINT (16.296595422385735 48.23955738136329),
HYDRANTOGD.9278810,9278810,POINT (16.377369766434683 48.270151445682785),
HYDRANTOGD.9278811,9278811,POINT (16.381595190693318 48.26540527869678),
HYDRANTOGD.9278812,9278812,POINT (16.247873523874535 48.2157196323898),
HYDRANTOGD.9278813,9278813,POINT (16.420684442286298 48.28647244535586),
HYDRANTOGD.9278814,9278814,POINT (16.384052260555162 48.2173282911847),
HYDRANTOGD.9278815,9278815,POINT (16.542719958915722 48.2106193818354),
HYDRANTOGD.9278816,9278816,POINT (16.30811315581648 48.205325785408405),
HYDRANTOGD.9278817,9278817,POINT (16.361248172501224 48.20386724812735),
HYDRANTOGD.9278818,9278818,POINT (16.352529653110146 48.25922461107932),
HYDRANTOGD.9278819,9278819,POINT (16.323323314930438 48.21592918753904),
HYDRANTOGD.9278820,9278820,POINT (16.287097048341117 48.16710341905711),
HYDRANTOGD.9278821,9278821,POINT (16.41295194220645 48.18043429953741),
HYDRANTOGD.9278822,9278822,POINT (16.385117302577275 48.14243687749575),
HYDRANTOGD.9278823,9278823,POINT (16.375555649022385 48.20384302348356),
HYDRANTOGD.9278824,9278824,POINT (16.26217967313991 48.191834911573366),
HYDRANTOGD.9278825,9278825,POINT (16.337881284067162 48.237907855120454),
HYDRANTOGD.9278826,9278826,POINT (16.341493992630806 48.18387740424087),
HYDRANTOGD.9278827,9278827,POINT (16.31661233716737 48.209896259983545),
HYDRANTOGD.9278828,9278828,POINT (16.46807494294088 48.24226588202874),
HYDRANTOGD.9278829,9278829,POINT (16.52042101795041 48.21115831371468),
HYDRANTOGD.9278830,9278830,POINT (16.284519365475028 48.14979616195154),
HYDRANTOGD.9278831,9278831,POINT (16.387565999838046 48.17429891060928),
HYDRANTOGD.9278832,9278832,POINT (16.337313923233012 48.204720883314586),
HYDRANTOGD.9278833,9278833,POINT (16.409950927236043 48.1810720885892),
HYDRANTOGD.9278834,9278834,POINT (16.347620812107994 48.22946985263903),
HYDRANTOGD.9278835,9278835,POINT (16.412802993634354 48.284316638272436),
HYDRANTOGD.9278836,9278836,POINT (16.389661506193075 48.19431253196898),
HYDRANTOGD.9278837,9278837,POINT (16.494030726810276 48.225669654300354),
HYDRANTOGD.9278838,9278838,POINT (16.301730918675457 48.1919561354962),
HYDRANTOGD.9278839,9278839,POINT (16.402002348122092 48.15965692168631),
HYDRANTOGD.9278840,9278840,POINT (16.480000943239112 48.21912938648171),
HYDRANTOGD.9278841,9278841,POINT (16.335086498221905 48.22063721434988),
