FID,SHAPE,BEZIRK,KREUZUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.442,POINT (16.439196597479597 48.238427919045705),22,Donaustadtstr.-Häuslerg.,442,
AKUSTISCHEAMPELOGD.443,POINT (16.327478449108135 48.191334832218374),15,Mariahilfer Str.-Rusteng./Dadlerg.,443,
AKUSTISCHEAMPELOGD.444,POINT (16.370713275701323 48.20042681474821),1,Lothringerstr.-Akademiestr.,444,
AKUSTISCHEAMPELOGD.446,POINT (16.34912058904911 48.20542341425926),7,Neustiftg.-Neubaug.,446,
AKUSTISCHEAMPELOGD.448,POINT (16.38548654826225 48.205794030281496),3,Landstr. Hptstr.-Invalidenstr.,448,
AKUSTISCHEAMPELOGD.451,POINT (16.39901086071274 48.18795840992236),3,Landstr. Hptstr.-Leberstr.,451,
AKUSTISCHEAMPELOGD.452,POINT (16.432048760463033 48.206022594438956),2,Handelskai-J.Böhm Platz,452,
AKUSTISCHEAMPELOGD.454,POINT (16.43124826162915 48.20551568487491),2,Wehlistr.-J. Böhm Platz,454,
AKUSTISCHEAMPELOGD.455,POINT (16.33898069744657 48.216956694195936),17,Hernalser Hptstr.-Veronikag.,455,
AKUSTISCHEAMPELOGD.456,POINT (16.352719303815814 48.23112477411222),9,Währinger Gürtel-Sobieskig.,456,
AKUSTISCHEAMPELOGD.458,POINT (16.345431167349183 48.18389117986886),12,Gaudenzd. Gürtel-Steinbauerg.,458,
AKUSTISCHEAMPELOGD.460,POINT (16.332244054017103 48.18203278132682),12,Arndtstr.-Grieshofg.,460,
AKUSTISCHEAMPELOGD.461,POINT (16.34596625309698 48.197085335620706),6,Mariahilfer Str.-Zieglerg.,461,
AKUSTISCHEAMPELOGD.463,POINT (16.3441737858757 48.196704974155224),7,Mariahilfer Str.-Schottenfeldg./Webg.,463,
AKUSTISCHEAMPELOGD.464,POINT (16.357268633288474 48.1985327886509),6,Gumpendorfer Str.-Stiegeng.,464,
AKUSTISCHEAMPELOGD.465,POINT (16.386456822990898 48.19454034053276),3,Rennweg-Fasang./Ungarg.,465,
AKUSTISCHEAMPELOGD.466,POINT (16.331610854923635 48.21420024055805),16,Ottakringer Str.-Haberlg./Kalvarienbg,466,
AKUSTISCHEAMPELOGD.467,POINT (16.363429444399753 48.186418812907846),5,Wiedner Hauptstr.-Anzengruberg.,467,
AKUSTISCHEAMPELOGD.468,POINT (16.31440222554399 48.18782705783079),14,Linke Wienzeile-Schönbr.Schloßbrücke,468,
AKUSTISCHEAMPELOGD.469,POINT (16.39550885168267 48.1563192892562),10,Laaer-Berg-Strasse-Bitterlichstr.,469,
AKUSTISCHEAMPELOGD.470,POINT (16.336742816559436 48.20417743012105),16,Neubaugürtel-Gablenzg.,470,
AKUSTISCHEAMPELOGD.471,POINT (16.320506445380545 48.152028629802494),23,Altmannsdorfer Str.-A.Baumgartner-Str.,471,
AKUSTISCHEAMPELOGD.472,POINT (16.414004609216384 48.17654977666169),11,Simmeringer Hptstr.-Enkplatz,472,
AKUSTISCHEAMPELOGD.473,POINT (16.335799610953355 48.175497019104746),12,Eichenstr.-Dörfelstr.,473,
AKUSTISCHEAMPELOGD.475,POINT (16.406432763259687 48.19448392737709),3,Schlachthausgasse-Markhofgasse,475,
AKUSTISCHEAMPELOGD.476,POINT (16.48875582647132 48.25135483006059),22,Breitenleer Straße-Ziegelhofstraße,476,
AKUSTISCHEAMPELOGD.478,POINT (16.35922933037777 48.21722248137212),9,Währinger Str.-Bergg.,478,
AKUSTISCHEAMPELOGD.479,POINT (16.320950704437603 48.19892333970969),15,Hütteldorferstrasse-Wurmsergasse,479,
AKUSTISCHEAMPELOGD.480,POINT (16.36835849572714 48.16498271367475),10,Laxenburger Str.-Raxstr./Grenzackerstr.,480,
AKUSTISCHEAMPELOGD.481,POINT (16.398946187582442 48.206106173217144),2,Wittelsbachstr.-Böcklinstr.,481,
AKUSTISCHEAMPELOGD.482,POINT (16.40102588331273 48.19047089015767),3,Landstr. Hptstr.-Schlachthg./Viehmarkt,482,
AKUSTISCHEAMPELOGD.483,POINT (16.333752076439318 48.18465092647202),15,Linke Wienzeile-Storcheng.,483,
AKUSTISCHEAMPELOGD.484,POINT (16.34050268197168 48.201843074884195),7,Westbahnstr.-Kaiserstr.,484,
AKUSTISCHEAMPELOGD.485,POINT (16.43328124399875 48.24289285501942),22,Siebeckstr.-Anton Sattler-G.,485,
AKUSTISCHEAMPELOGD.486,POINT (16.366779476774543 48.20008978954111),1,Rechte Wienzeile-Operng.,486,
AKUSTISCHEAMPELOGD.487,POINT (16.381498525980966 48.24615926821464),20,Handelskai-F. Engels-Platz,487,
AKUSTISCHEAMPELOGD.488,POINT (16.364101805085145 48.215608291987564),9,M.Theresien Str.-Liechtensteinstr.,488,
AKUSTISCHEAMPELOGD.489,POINT (16.360593774429983 48.19257809094554),5,Margaretenstr.-Straußeng.,489,
AKUSTISCHEAMPELOGD.491,POINT (16.373737446930836 48.1783478105481),10,Laxenburger Str.-Gudrunstr.,491,
AKUSTISCHEAMPELOGD.492,POINT (16.350688902731573 48.229105550428805),9,Währinger Gürtel-Pulverturmg.,492,
AKUSTISCHEAMPELOGD.494,POINT (16.361161250126628 48.21213868808325),1,Universitätsring-Grillparzerstr.,494,
AKUSTISCHEAMPELOGD.495,POINT (16.372544334484274 48.17342215490348),10,Laxenburger Str.-Davidg. /Arthaberpl.,495,
AKUSTISCHEAMPELOGD.496,POINT (16.34308816291168 48.20581118811549),7,Neustiftg.-Schottenfeldg.,496,
AKUSTISCHEAMPELOGD.497,POINT (16.33868352611861 48.21076661380666),16,Lerchenf. Gürtel-Neulerchenf. Str,497,
AKUSTISCHEAMPELOGD.500,POINT (16.32853949152541 48.183221142497295),12,Schönbrunner Str.-Theresienbadg.,500,
AKUSTISCHEAMPELOGD.502,POINT (16.32624768630274 48.137650506528495),23,Triester Str.-Erlaaer Str.,502,
AKUSTISCHEAMPELOGD.503,POINT (16.414032249314857 48.253163089466696),21,Donaufelder Str.-Fultonstr.,503,
AKUSTISCHEAMPELOGD.505,POINT (16.26015039689527 48.138393294619746),23,Breitenfurter Str.-Rodauner Str.,505,
AKUSTISCHEAMPELOGD.507,POINT (16.338148196735887 48.20861671646966),16,Lerchenf. Gürtel-Thaliastr.,507,
AKUSTISCHEAMPELOGD.508,POINT (16.347529858948374 48.165796521931),10,Triester Str.-Hertha-Firnberg-Straße,508,
AKUSTISCHEAMPELOGD.509,POINT (16.384677416145966 48.16026900326775),10,Altes Landgut-Ludwig-von-Höhnel-Gasse,509,
AKUSTISCHEAMPELOGD.511,POINT (16.421277198521786 48.2985351889249),21,Brünner Str.-Stammersdorfer Str.,511,
AKUSTISCHEAMPELOGD.512,POINT (16.33385143525759 48.2040453012803),15,Gablenzg.-Möringg/Neumayerg,512,
AKUSTISCHEAMPELOGD.513,POINT (16.351037389024587 48.18994418555711),6,Linke Wienzeile-Aniling.,513,
AKUSTISCHEAMPELOGD.514,POINT (16.27508082865657 48.19220373475631),13,Hietzinger Kai-Franz-Boos-G.,514,
AKUSTISCHEAMPELOGD.515,POINT (16.376569209232343 48.20038942193739),1,Lothringerstr.-Lisztstr.,515,
AKUSTISCHEAMPELOGD.516,POINT (16.27407773743909 48.19285349684731),14,Hadikg.-St.Veit Br./Hochsatzg.,516,
AKUSTISCHEAMPELOGD.518,POINT (16.29712375126451 48.17201679203251),13,Fasangarteng.-Stranzenbergg./-Brücke,518,
AKUSTISCHEAMPELOGD.519,POINT (16.35576035873659 48.18927177032146),5,Margaretenstr.-Ramperstorfferg.,519,
AKUSTISCHEAMPELOGD.520,POINT (16.33444797272341 48.224991026949745),18,Kreuzg.-Vinzenzg.,520,
AKUSTISCHEAMPELOGD.521,POINT (16.387686342904118 48.248624402904696),21,Floridsdorfer Brücke-Auffahrt Donauinsel,521,
AKUSTISCHEAMPELOGD.522,POINT (16.394943265995586 48.191899589879576),3,Rennweg-Oberzellerg.,522,
AKUSTISCHEAMPELOGD.524,POINT (16.338856148704924 48.18848094401409),15,Sechshauser Gürtel-Linke Wienzeile,524,
AKUSTISCHEAMPELOGD.526,POINT (16.37283780702121 48.19991192848732),1,Lothringerstr.-Dumbastr.,526,
AKUSTISCHEAMPELOGD.528,POINT (16.391573911430577 48.20176338423637),3,Landstr. Hptstr.-Rochusg./Kundmanng.,528,
AKUSTISCHEAMPELOGD.530,POINT (16.35317460051871 48.18652475919881),5,Reinprechtsd. Str.-Arbeiterg.,530,
AKUSTISCHEAMPELOGD.532,POINT (16.254467393168948 48.19903639660547),13,Wientalstr.-Stampferg./Bräuhausbr.,532,
AKUSTISCHEAMPELOGD.533,POINT (16.363628040016433 48.15273738135334),10,Laxenburger Str.-Fr.SchrekerG./P.A.Hans,533,
AKUSTISCHEAMPELOGD.534,POINT (16.420503953921962 48.21422722476999),2,Handelskai-Scandic Crown Hotel,534,
AKUSTISCHEAMPELOGD.535,POINT (16.39009047702068 48.210965283546294),3,Radetzkystr.-Löweng.,535,
AKUSTISCHEAMPELOGD.537,POINT (16.325464354743904 48.21596474776148),17,Rosensteing.-Maysseng.,537,
AKUSTISCHEAMPELOGD.538,POINT (16.29876963691867 48.1486978337882),23,Breitenfurter Str.-Hödlg.,538,
AKUSTISCHEAMPELOGD.539,POINT (16.337296338348303 48.20078366684424),15,Neubaugürtel-Märzstr.,539,
AKUSTISCHEAMPELOGD.541,POINT (16.420489764563335 48.256723782162695),21,Angyalföldstr.-Satzingerweg,541,
AKUSTISCHEAMPELOGD.542,POINT (16.44814430244333 48.26639413922506),21,Julius Ficker-Str.-Kürschnerg.,542,
AKUSTISCHEAMPELOGD.544,POINT (16.40210807754429 48.26517004778382),21,Brünner Str.-Katsushikastr.,544,
AKUSTISCHEAMPELOGD.547,POINT (16.289145795395378 48.2063773984737),14,Flötzersteig-Spiegelgrundstr.,547,
AKUSTISCHEAMPELOGD.548,POINT (16.40520058696053 48.1600027214309),10,Bitterlichstr.-Männertreug.,548,
AKUSTISCHEAMPELOGD.213,POINT (16.380842645104718 48.2189759644891),2,Taborstr.-Obere Augartenstr.,213,
AKUSTISCHEAMPELOGD.214,POINT (16.378545815977212 48.242440572937554),20,Marchfeldstr.-Leystr.,214,
AKUSTISCHEAMPELOGD.215,POINT (16.34949988405767 48.213272164208945),8,Laudong.-Kochg.,215,
AKUSTISCHEAMPELOGD.216,POINT (16.353133162697247 48.195380823138976),6,Magdalenenstr.-Kaunitzg.Corneliusg.,216,
AKUSTISCHEAMPELOGD.217,POINT (16.415990311670683 48.289316439656034),21,Brünner Str.-Anton Schall-G.,217,
AKUSTISCHEAMPELOGD.218,POINT (16.361340069539303 48.20256765877302),7,Mariahilfer Str.-Getreidem./Babenberger,218,
AKUSTISCHEAMPELOGD.219,POINT (16.326962627370875 48.18305879100148),12,Schönbrunner Str.-Ruckerg.,219,
AKUSTISCHEAMPELOGD.220,POINT (16.359545395437532 48.18013711034819),10,Triester Str.-Gudrunstr.,220,
AKUSTISCHEAMPELOGD.223,POINT (16.41171309309802 48.188863112703245),3,Baumg.-Litfaßstr.,223,
AKUSTISCHEAMPELOGD.224,POINT (16.303233678220042 48.18756735005273),13,Hietzinger Hptstr.-Kennedybr./Ed.Klein G.,224,
AKUSTISCHEAMPELOGD.225,POINT (16.26885552781539 48.150540178810104),23,Endresstr.-Speis.Str./Maurer Hptpl.,225,
AKUSTISCHEAMPELOGD.227,POINT (16.35494905874115 48.19284499641534),5,Rechte Wienzeile-Pilgrambrücke,227,
AKUSTISCHEAMPELOGD.228,POINT (16.34456386893197 48.24455465930259),19,Billrothstr.-Hohenauerg.,228,
AKUSTISCHEAMPELOGD.229,POINT (16.397030678956277 48.21793151688086),2,Ausstellungsstr.-Venediger Au,229,
AKUSTISCHEAMPELOGD.230,POINT (16.349919559762778 48.229187123688796),18,Währinger Gürtel-Sternwartestr.,230,
AKUSTISCHEAMPELOGD.231,POINT (16.35545454965896 48.17581176385686),10,Triester Str.-Davidg. /Kundratstr.,231,
AKUSTISCHEAMPELOGD.232,POINT (16.26543641078545 48.194330683103125),14,Hadikg.-Deutschordenstr.,232,
AKUSTISCHEAMPELOGD.234,POINT (16.330254416429224 48.17436597455306),12,Eichenstr.-Meidlinger Hptstr.,234,
AKUSTISCHEAMPELOGD.235,POINT (16.361192163246866 48.14798670651775),23,Laxenburger Str.-Ober Laaer Str.,235,
AKUSTISCHEAMPELOGD.237,POINT (16.332149247276863 48.206851758222534),16,Koppstr.-Kirchstetterng.,237,
AKUSTISCHEAMPELOGD.241,POINT (16.384225500547743 48.18840172707796),3,Landstr. Gürtel-Jacquing.,241,
AKUSTISCHEAMPELOGD.242,POINT (16.383125721801836 48.28740809694267),21,Prager Str.-Rußbergstr.,242,
AKUSTISCHEAMPELOGD.243,POINT (16.3676496377402 48.198234258307),4,Wiedner Hauptstr.-Schaurhoferg./Paniglg.,243,
AKUSTISCHEAMPELOGD.244,POINT (16.39326163338505 48.26583479202805),21,Prager Str.-Koloniestr./O`Brien G.,244,
AKUSTISCHEAMPELOGD.245,POINT (16.40243782612141 48.1974398133867),3,Erdbergstr.-Droryg.,245,
AKUSTISCHEAMPELOGD.249,POINT (16.29812879600011 48.137312131881465),23,Brunner Str.-Perfektastr.,249,
AKUSTISCHEAMPELOGD.251,POINT (16.370188641562457 48.21744274414187),1,Franz Josefs-Kai-Schottenring,251,
AKUSTISCHEAMPELOGD.253,POINT (16.35427652225331 48.22464443643446),9,Nußdorfer Str.-Alserbachstr.,253,
AKUSTISCHEAMPELOGD.255,POINT (16.30854773187294 48.159481262803254),12,Breitenfurter Str.-Kirchfeldg.,255,
AKUSTISCHEAMPELOGD.256,POINT (16.339953764784788 48.195912714427095),6,Mariahilfer Gürtel-Mariahilfer Str.,256,
AKUSTISCHEAMPELOGD.257,POINT (16.345131631355066 48.16990565797069),10,Wienerbergstr.-Köglerg.,257,
AKUSTISCHEAMPELOGD.261,POINT (16.311412085558988 48.19327396381454),14,Linzer Str.-Reinlg.,261,
AKUSTISCHEAMPELOGD.263,POINT (16.36221740797233 48.185014445317684),5,Wiedner Hauptstr.-Klieberg.,263,
AKUSTISCHEAMPELOGD.264,POINT (16.28564256200234 48.16959701700945),13,Speisinger Strasse-ON 44,264,
AKUSTISCHEAMPELOGD.266,POINT (16.43375982825267 48.15888876446039),11,Simmeringer Hptstr.-1.Tor,266,
AKUSTISCHEAMPELOGD.269,POINT (16.415193711165557 48.18553751707698),3,Döblerhofstr.-Modecenterstr.,269,
AKUSTISCHEAMPELOGD.270,POINT (16.387462720496607 48.213811658052926),2,Untere Donaustr.-Fruchtg.,270,
AKUSTISCHEAMPELOGD.275,POINT (16.38228714315462 48.15248303265422),10,Favoritenstr.-ON 243,275,
AKUSTISCHEAMPELOGD.276,POINT (16.371472209088413 48.20191918286869),1,Kärntner Ring-Akademiestr.,276,
AKUSTISCHEAMPELOGD.278,POINT (16.395790025028127 48.26019987417973),21,Prager Str.-Hermann-Bahr-Str.,278,
AKUSTISCHEAMPELOGD.280,POINT (16.386480111431087 48.16768619822085),10,Laaer-Berg-Strasse-Absbergg.,280,
AKUSTISCHEAMPELOGD.282,POINT (16.37528933242787 48.20020135963616),1,Lothringerstr.-Schwarzenbergpl./Rennw,282,
AKUSTISCHEAMPELOGD.283,POINT (16.448972084568084 48.25731587973635),22,Wagramer Str.-Rennbahnweg,283,
AKUSTISCHEAMPELOGD.284,POINT (16.44636287057784 48.25365336267798),22,Wagramer Str.-Eipeldauer Str.,284,
AKUSTISCHEAMPELOGD.285,POINT (16.34403443729053 48.21060619836566),8,Josefstädter Str.-Albertg./Skodag.,285,
AKUSTISCHEAMPELOGD.287,POINT (16.339406303020443 48.210337710549624),8,Lerchenf. Gürtel-Sanettyg.,287,
AKUSTISCHEAMPELOGD.289,POINT (16.303349381691564 48.13678931928895),23,Perfektastr.-Ed.Kittenbergerg.,289,
AKUSTISCHEAMPELOGD.290,POINT (16.350832527967793 48.19032921120227),6,Mollardg.-Grabnerg./Aniling.,290,
AKUSTISCHEAMPELOGD.292,POINT (16.42594897922352 48.16797724901342),11,Kaiser-Ebersd.-Str.-Geringerg.,292,
AKUSTISCHEAMPELOGD.294,POINT (16.355835749867886 48.275360290880776),19,Heiligenst. Str.-Bloschg./Kahlenb.Dorf,294,
AKUSTISCHEAMPELOGD.295,POINT (16.36063941851635 48.21038738057113),1,Universitätsring-Burgtheater,295,
AKUSTISCHEAMPELOGD.297,POINT (16.44688816796856 48.26236528323535),21,Aderklaaer Str.-Kürschnerg./Sebaldg.,297,
AKUSTISCHEAMPELOGD.298,POINT (16.313425255076844 48.18805334567155),14,Hadikg.-Schönbr.Schloßbrücke,298,
AKUSTISCHEAMPELOGD.299,POINT (16.377255698748925 48.213024370350986),2,Obere Donaustr.-Marienbr./Lilienbrunng,299,
AKUSTISCHEAMPELOGD.300,POINT (16.386377964073795 48.28111103958039),21,Prager Str.-Einzingerg.,300,
AKUSTISCHEAMPELOGD.301,POINT (16.345974284095295 48.284577747107335),19,Heiligenst. Str.-Wr.Schüttau/Kuchelau.H,301,
AKUSTISCHEAMPELOGD.302,POINT (16.45549159554753 48.2288114314261),22,Erzherzog Karl-Str.-Stadlauer Strasse/Genochp,302,
AKUSTISCHEAMPELOGD.303,POINT (16.391116168751047 48.212731415497565),3,Dampfschiffstr.-Franzensbrücke,303,
AKUSTISCHEAMPELOGD.305,POINT (16.343546741661466 48.22199886168643),18,Währinger Gürtel-Kreuzg./Kutschkerg.,305,
AKUSTISCHEAMPELOGD.306,POINT (16.3643810390576 48.17000540860829),10,Neilreichg.-Troststr.,306,
AKUSTISCHEAMPELOGD.307,POINT (16.351510579518106 48.205259531761044),7,Neustiftg.-Kircheng./Kellermg.,307,
AKUSTISCHEAMPELOGD.308,POINT (16.36460860779552 48.19946199506388),6,Linke Wienzeile-Millöckerg.,308,
AKUSTISCHEAMPELOGD.309,POINT (16.451517613932975 48.26088136377602),22,Wagramer Str.-Lieblg.,309,
AKUSTISCHEAMPELOGD.312,POINT (16.411699999360458 48.27085847737139),21,Shuttleworthstr.-Divischg.,312,
AKUSTISCHEAMPELOGD.313,POINT (16.398136541898925 48.22715746130727),2,Vorgartenstr.-Hausteinstr.,313,
AKUSTISCHEAMPELOGD.314,POINT (16.410918332133008 48.21717663704429),2,Vorgartenstr.-Elderschplatz,314,
AKUSTISCHEAMPELOGD.315,POINT (16.415294241241057 48.214201660786614),2,Vorgartenstr.-Trabrennstrasse,315,
AKUSTISCHEAMPELOGD.316,POINT (16.406055247095033 48.21789713047608),2,Ausstellungsstr.-Sebastian-Kneipp-Gasse,316,
AKUSTISCHEAMPELOGD.318,POINT (16.34937132400557 48.21512324286734),8,Alser Str.-Kochg./Skodag.,318,
AKUSTISCHEAMPELOGD.319,POINT (16.28711252642989 48.19082228463276),13,Hietzinger Kai-Baumgartbr./St.Veit.G.,319,
AKUSTISCHEAMPELOGD.320,POINT (16.342046332773826 48.157602289134154),10,Triester Str.-Computerstr.,320,
AKUSTISCHEAMPELOGD.322,POINT (16.41114532913304 48.174545020841265),11,Geiselbergstr.-Lorystr.,322,
AKUSTISCHEAMPELOGD.323,POINT (16.37844589086239 48.202478087577035),1,Lothringerstr.-Johannesg./Intercont,323,
AKUSTISCHEAMPELOGD.325,POINT (16.38533347322336 48.239752246929136),20,Engerthstr.-Hellwagstr.,325,
AKUSTISCHEAMPELOGD.326,POINT (16.38481047715133 48.2428978154542),20,Handelskai-Stromstr.,326,
AKUSTISCHEAMPELOGD.327,POINT (16.38347689329582 48.225097538262304),2,Taborstr.-Nordwestbahnstr.,327,
AKUSTISCHEAMPELOGD.328,POINT (16.36681210350119 48.21593755802083),1,Schottenring-Börseg.,328,
AKUSTISCHEAMPELOGD.329,POINT (16.26897710262287 48.19954552944494),14,Linzer Str.-Deutschordenstr.,329,
AKUSTISCHEAMPELOGD.330,POINT (16.313024015689074 48.16288951981826),12,Breitenfurter Str.-Sagederg.,330,
AKUSTISCHEAMPELOGD.332,POINT (16.443624218570402 48.233743115222744),22,Donaustadtstr.-Erzherzog Karl-Str.,332,
AKUSTISCHEAMPELOGD.334,POINT (16.420724005957766 48.234247709345986),22,Wagramer Str.-Julius Payer-G./IAKW Kratochwjlestr.,334,
AKUSTISCHEAMPELOGD.336,POINT (16.354297449466685 48.1461279289594),23,Kolbeg.-J. Rindt Str.,336,
AKUSTISCHEAMPELOGD.338,POINT (16.30827266174859 48.20189259494476),14,Breitenseer Straße-Kendlerstr.,338,
AKUSTISCHEAMPELOGD.592,POINT (16.397779896415113 48.20332431454608),3,Erdberger Lände-Wasserg.,592,
AKUSTISCHEAMPELOGD.595,POINT (16.344679913545498 48.22685904105091),18,Gentzg.-Edelhofstr.,595,
AKUSTISCHEAMPELOGD.596,POINT (16.34194532724505 48.18874100066545),6,Margaretengürtel-Linke Wienzeile,596,
AKUSTISCHEAMPELOGD.599,POINT (16.365018295632375 48.19911232723138),4,Rechte Wienzeile-Faulmanng.,599,
AKUSTISCHEAMPELOGD.602,POINT (16.331297432027085 48.204391461592515),16,Gablenzg.-Vogelweidpl./Kirchstett,602,
AKUSTISCHEAMPELOGD.603,POINT (16.431777680978303 48.168259157542515),11,Florian Hedorfer Str.-Bleriotg.,603,
AKUSTISCHEAMPELOGD.604,POINT (16.40551552150104 48.22528085733371),2,Handelskai-Reichsbr.Rampe 400,604,
AKUSTISCHEAMPELOGD.605,POINT (16.341391792525407 48.20592989948051),7,Neustiftg.-Halbg.,605,
AKUSTISCHEAMPELOGD.607,POINT (16.24484631926547 48.137671159522235),23,Breitenfurter Str.-In der Klausen,607,
AKUSTISCHEAMPELOGD.608,POINT (16.294893480615908 48.197250345384056),14,Hütteldorfer Str.-Lützowg.,608,
AKUSTISCHEAMPELOGD.609,POINT (16.355687184982358 48.20684969797729),7,Lerchenf. Str.-Museumstr.,609,
AKUSTISCHEAMPELOGD.612,POINT (16.366725831484867 48.159113356845715),10,Laxenburger Str.-Sibeliusstr.,612,
AKUSTISCHEAMPELOGD.613,POINT (16.468814380287736 48.25161139880038),22,Breitenleer Str.-Zwerchäckerweg,613,
AKUSTISCHEAMPELOGD.614,POINT (16.350813779561985 48.170939290956525),10,Triester Str.-Windtenstr.,614,
AKUSTISCHEAMPELOGD.615,POINT (16.427910927179873 48.248399378008536),22,Dückeg.-Arakawastr.,615,
AKUSTISCHEAMPELOGD.617,POINT (16.297040408905122 48.18954113309403),14,Hadikg.-Jenullg.,617,
AKUSTISCHEAMPELOGD.618,POINT (16.375830663937734 48.19106593095407),4,Belvedereg.-St. Elisabeth-Pl.,618,
AKUSTISCHEAMPELOGD.619,POINT (16.428106437087823 48.25190264138115),21,Angyalföldstr.-Donaufelder Str.,619,
AKUSTISCHEAMPELOGD.620,POINT (16.354145759654315 48.167880574304625),10,Raxstr.-Windtenstr.,620,
AKUSTISCHEAMPELOGD.621,POINT (16.374205814576552 48.242317989897394),20,Adalbert Stifter Str.-Dresdner Str.,621,
AKUSTISCHEAMPELOGD.622,POINT (16.383938292489244 48.1991554658503),3,Neulingg.-Reisnerstr.,622,
AKUSTISCHEAMPELOGD.623,POINT (16.33094142982844 48.21817636059172),17,Hernalser Hptstr.-Hormayrg.,623,
AKUSTISCHEAMPELOGD.624,POINT (16.41178535385754 48.281926723771946),21,Brünner Str.-Gerasdorfer Str.,624,
AKUSTISCHEAMPELOGD.625,POINT (16.396146222830534 48.25592176126194),21,Floridsdorfer Hauptstr.-Leopold-Ferstl-G.,625,
AKUSTISCHEAMPELOGD.627,POINT (16.349665423641206 48.224568093535886),9,Währinger Gürtel-Währinger Str./Volksop,627,
AKUSTISCHEAMPELOGD.629,POINT (16.328592961616675 48.23176488302904),18,Gersthofer Str.-Gentzg.,629,
AKUSTISCHEAMPELOGD.630,POINT (16.34476833535575 48.22999647297273),18,Gymnasiumstr.-Sternwartestr.,630,
AKUSTISCHEAMPELOGD.632,POINT (16.326452285685523 48.17728681026044),12,Ruckerg.-Ratschkyg.,632,
AKUSTISCHEAMPELOGD.633,POINT (16.34313127675799 48.20430761537364),7,Burgg.-Schottenfeldg.,633,
AKUSTISCHEAMPELOGD.719,POINT (16.355910007039004 48.21282661339762),8,Landesgerichtsstr.-Grillparzerstr.,719,
AKUSTISCHEAMPELOGD.721,POINT (16.33226957885783 48.18786146376856),15,Sechshauser Str.-Arnsteing.,721,
AKUSTISCHEAMPELOGD.722,POINT (16.394909356397363 48.20997088054331),3,Weißgerberlände-Custozzag.,722,
AKUSTISCHEAMPELOGD.723,POINT (16.37998465241405 48.211470527109874),1,Franz Josefs-Kai-Dominikaner Bastei,723,
AKUSTISCHEAMPELOGD.725,POINT (16.361722318655175 48.244658946878914),19,Heiligenst. Str.-Barawitzkag./Gunoldstr,725,
AKUSTISCHEAMPELOGD.727,POINT (16.360054419215682 48.19747617011561),6,Linke Wienzeile-Köstlerg.,727,
AKUSTISCHEAMPELOGD.728,POINT (16.379179630675093 48.19192403115553),3,Prinz Eugen-Str.-Belvedereg.,728,
AKUSTISCHEAMPELOGD.729,POINT (16.342639504507655 48.18711094387327),12,Gaudenzd. Gürtel-Schönbrunner Str.,729,
AKUSTISCHEAMPELOGD.730,POINT (16.45472399871276 48.22450936379533),22,Langobardenstr.-Konstanziag.,730,
AKUSTISCHEAMPELOGD.735,POINT (16.396354182096832 48.20588381164883),3,Weißgerberlände-Rasumofskyg./Rotund.Br,735,
AKUSTISCHEAMPELOGD.738,POINT (16.33752943286374 48.20420665054663),7,Neubaugürtel-Burgg.,738,
AKUSTISCHEAMPELOGD.739,POINT (16.33454757130386 48.206481925139315),16,Koppstr.-Brunneng.,739,
AKUSTISCHEAMPELOGD.740,POINT (16.33479543265951 48.17128890850392),12,Wienerbergstr.-Erschließungsstr./Euro Plaza,740,
AKUSTISCHEAMPELOGD.742,POINT (16.47319040014143 48.16359126558778),11,Artillerieplatz-Zinnergasse,742,
AKUSTISCHEAMPELOGD.749,POINT (16.391755856589707 48.26916072421645),21,Prager Str.-Hopfeng/A.Dengler-G.,749,
AKUSTISCHEAMPELOGD.753,POINT (16.35795103358299 48.20513365999088),7,Museumstr.-Burgg./Bellariastr.,753,
AKUSTISCHEAMPELOGD.757,POINT (16.373689979561014 48.182020477753866),10,Laxenburger Str.-Columbuspl.,757,
AKUSTISCHEAMPELOGD.759,POINT (16.319007380548992 48.19909330913713),15,Hütteldorfer Str.-Johnstr.,759,
AKUSTISCHEAMPELOGD.760,POINT (16.33100485184387 48.14380855086969),23,Triester Str.-Goldhammerg.,760,
AKUSTISCHEAMPELOGD.761,POINT (16.361254593422807 48.144296662363914),23,Laxenburger Str.-Kolbeg.,761,
AKUSTISCHEAMPELOGD.763,POINT (16.328682207347413 48.14076033275967),23,Triester Str.-Hubermanng.,763,
AKUSTISCHEAMPELOGD.764,POINT (16.3350667564363 48.185521038655786),15,Linke Wienzeile-Stiegerg.,764,
AKUSTISCHEAMPELOGD.765,POINT (16.365433263674017 48.215297155624924),1,Schottenring-Wipplingerstr.,765,
AKUSTISCHEAMPELOGD.766,POINT (16.348270692466343 48.22622128113884),18,Gentzg.-Semperstr.,766,
AKUSTISCHEAMPELOGD.767,POINT (16.374152698316237 48.21404477127564),1,Franz Josefs-Kai-Salztorbrücke,767,
AKUSTISCHEAMPELOGD.768,POINT (16.369696948064117 48.21829125002142),9,Roßauer Lände-M.-Theresien-Str.,768,
AKUSTISCHEAMPELOGD.769,POINT (16.31774981427394 48.16152681299252),12,Altmannsdorfer Str.-Sagederg.,769,
AKUSTISCHEAMPELOGD.770,POINT (16.316607167121695 48.165606681795985),12,Altmannsdorfer Str.-Breitenfurter Str.,770,
