FID,SHAPE,BEZIRK,KREUZUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.196,POINT (16.343863811896615 48.240567428026544),19,Krottenbachstr.-Cottageg.,196,
AKUSTISCHEAMPELOGD.197,POINT (16.36828143634985 48.24427733604879),20,Brigittenauer Lände-Lorenz Müller-G.,197,
AKUSTISCHEAMPELOGD.198,POINT (16.338886306041243 48.19660621102912),15,Neubaugürtel-Westbahnhof-Ausfahrt,198,
AKUSTISCHEAMPELOGD.199,POINT (16.41087708460356 48.1793464996501),11,Simmeringer Hptstr.-Zippererstr.,199,
AKUSTISCHEAMPELOGD.202,POINT (16.471677490654077 48.251695641353486),22,Wr. Nordrandstr.-Breitenleer Str.,202,
AKUSTISCHEAMPELOGD.203,POINT (16.355706083120886 48.23267624845957),9,Liechtenwerder Pl.-,203,
AKUSTISCHEAMPELOGD.204,POINT (16.43921737345297 48.245613767187024),22,Wagramer Str.-Steigenteschg.,204,
AKUSTISCHEAMPELOGD.205,POINT (16.356765444043262 48.18295611067149),5,Reinprechtsd. Str.-Siebenbrunnenfeldg.,205,
AKUSTISCHEAMPELOGD.206,POINT (16.406731182672807 48.17468598260092),11,Geiselbergstr.-Leberstr.,206,
AKUSTISCHEAMPELOGD.207,POINT (16.430290879276146 48.25125111963705),22,Donaufelder Str.-Josef Baumann G.,207,
AKUSTISCHEAMPELOGD.208,POINT (16.348755691518807 48.209635050394944),8,Josefstädter Str.-Ledererg./Strozzig.,208,
AKUSTISCHEAMPELOGD.209,POINT (16.327571428572234 48.183998889388434),15,Linke Wienzeile-Fabriksg.,209,
AKUSTISCHEAMPELOGD.210,POINT (16.363758412710997 48.20390879464228),1,Burgring-Babenbergerstr.,210,
AKUSTISCHEAMPELOGD.87,POINT (16.376572206138658 48.21225669546596),1,Franz Josefs-Kai-Marienbrücke/Rotenturm,87,
AKUSTISCHEAMPELOGD.88,POINT (16.423518310081274 48.16733215039863),11,Simmeringer Hptstr.-Fickeysstr.,88,
AKUSTISCHEAMPELOGD.90,POINT (16.257838800384558 48.138069695150435),23,Breitenfurter Str.-Willerg.,90,
AKUSTISCHEAMPELOGD.91,POINT (16.334150757869455 48.240758781762004),19,Krottenbachstr.-Rodlerg.,91,
AKUSTISCHEAMPELOGD.92,POINT (16.375138564428045 48.198492758650914),3,Prinz Eugen-Str.-Gußhausstr.,92,
AKUSTISCHEAMPELOGD.97,POINT (16.330043519402384 48.18164989641244),12,Meidlinger Hptstr.-Niederhofstr./Arndtstr.,97,
AKUSTISCHEAMPELOGD.98,POINT (16.377247616287733 48.21620013034884),2,Hollandstr.-Kleine Sperlg.,98,
AKUSTISCHEAMPELOGD.103,POINT (16.416438464568127 48.174213727937016),11,Simmeringer Hptstr.-Grillg./Krauseg.,103,
AKUSTISCHEAMPELOGD.104,POINT (16.368199605802218 48.19953430552281),4,Wiedner Hauptstr.-Treitlstr./Karlspl.,104,
AKUSTISCHEAMPELOGD.105,POINT (16.361761986095885 48.22574961334408),9,Julius Tandler-Pl.-Porzellang.,105,
AKUSTISCHEAMPELOGD.106,POINT (16.37371108827068 48.18128077859037),10,Laxenburger Str.-Landgutg.,106,
AKUSTISCHEAMPELOGD.108,POINT (16.477331263996483 48.25148676758867),22,Breitenleer Str.-Süßenbrunner,108,
AKUSTISCHEAMPELOGD.109,POINT (16.375365321068283 48.18120603071796),10,Favoritenstr.-Landgutg.,109,
AKUSTISCHEAMPELOGD.110,POINT (16.42527437473944 48.2366935487024),22,Wagramer Str.-Arbeiterstrandbadstr.,110,
AKUSTISCHEAMPELOGD.111,POINT (16.36540181539176 48.24078760627772),20,Brigittenauer Lände-Dietmayerg.,111,
AKUSTISCHEAMPELOGD.114,POINT (16.32911530406113 48.20731251562828),16,Koppstr.-Haberlg.,114,
AKUSTISCHEAMPELOGD.116,POINT (16.38269483545743 48.18616412817823),3,Arsenalstr.-Schweizer Garten-Str.,116,
AKUSTISCHEAMPELOGD.117,POINT (16.40805415918502 48.18181856036717),11,Simmeringer Hptstr.-Molitorg.,117,
AKUSTISCHEAMPELOGD.118,POINT (16.382343154583598 48.22229555401852),2,Taborstr.-Heinestr.,118,
AKUSTISCHEAMPELOGD.119,POINT (16.251924146021693 48.20397632097694),14,Linzer Str.-Wolfersbergstr.,119,
AKUSTISCHEAMPELOGD.120,POINT (16.361588101236872 48.16593716133047),10,Raxstr.-Fernkorng.,120,
AKUSTISCHEAMPELOGD.121,POINT (16.337337708690598 48.20739731649636),16,Lerchenf. Gürtel-Hasnerstr.,121,
AKUSTISCHEAMPELOGD.122,POINT (16.289778203109094 48.15050151120258),23,Gatterederstr.-ON 11 -15,122,
AKUSTISCHEAMPELOGD.123,POINT (16.37734212370805 48.201357398599434),1,Lothringer Str.-ON 22,123,
AKUSTISCHEAMPELOGD.124,POINT (16.43422483129442 48.203375052131626),2,Wehlistr.-Praterbr.Unb.Gasse 4 Ri. Nord,124,
AKUSTISCHEAMPELOGD.125,POINT (16.366083768735308 48.19970164743362),1,Rechte Wienzeile-Getreidemarkt,125,
AKUSTISCHEAMPELOGD.128,POINT (16.42880279785192 48.16213827532454),11,Simmeringer Hptstr.-Fl.Hedorfer-Str/Weißenb,128,
AKUSTISCHEAMPELOGD.130,POINT (16.28826994708772 48.13821614849064),23,Breitenfurter Str.-Querg.,130,
AKUSTISCHEAMPELOGD.133,POINT (16.35430623744954 48.19162715091876),5,Rechte Wienzeile-Sonnenhofg.,133,
AKUSTISCHEAMPELOGD.134,POINT (16.39311246540376 48.219297880717775),2,Praterstern-Lassallestr.,134,
AKUSTISCHEAMPELOGD.136,POINT (16.38002452438038 48.201778004546675),3,Am Heumarkt-Johannesg./Beatrixg.,136,
AKUSTISCHEAMPELOGD.138,POINT (16.284060867251554 48.16824345949797),13,Speisinger Strasse-Wolkersbergenstr.,138,
AKUSTISCHEAMPELOGD.139,POINT (16.356401660421866 48.192074210936674),5,Schönbrunner Str.-Pilgramg.,139,
AKUSTISCHEAMPELOGD.141,POINT (16.36012557570789 48.20866817412273),1,Dr.Karl Renner Ring-Stadiong.,141,
AKUSTISCHEAMPELOGD.142,POINT (16.34468391780918 48.185828196771574),5,Margaretengürtel-Margaretenstr.,142,
AKUSTISCHEAMPELOGD.143,POINT (16.423224095720748 48.21225793856351),2,Handelskai-Meiereistr.,143,
AKUSTISCHEAMPELOGD.144,POINT (16.373038537641364 48.18812762073078),4,Favoritenstr.-Weyringerg.,144,
AKUSTISCHEAMPELOGD.145,POINT (16.27886216487712 48.20397102361547),14,Flötzersteig-Waidhausenstr.,145,
AKUSTISCHEAMPELOGD.146,POINT (16.371930790284065 48.19013516568175),4,Favoritenstr.-Rainerg./Belvedereg,146,
AKUSTISCHEAMPELOGD.147,POINT (16.363942275625682 48.18697626870811),5,Wiedner Hauptstr.-Kriehuberg.,147,
AKUSTISCHEAMPELOGD.148,POINT (16.373994671196556 48.185260903015305),10,Südtiroler Platz-Favoritenstr/LaxenbStr,148,
AKUSTISCHEAMPELOGD.150,POINT (16.321197192706652 48.20852584422516),16,Koppstr.-Brüßlg.,150,
AKUSTISCHEAMPELOGD.152,POINT (16.431256785606816 48.16560208685364),11,Kaiser-Ebersd.-Str.-Fl.Hedorfer-Str.,152,
AKUSTISCHEAMPELOGD.153,POINT (16.464401823012555 48.15448180314219),11,Svetelskystr.-Rosa-Jochmann-Ring,153,
AKUSTISCHEAMPELOGD.158,POINT (16.36217159320823 48.190129883218994),5,Mittersteig-Ziegelofeng.,158,
AKUSTISCHEAMPELOGD.159,POINT (16.384958904762467 48.2843261313123),21,Prager Str.-Mühlweg,159,
AKUSTISCHEAMPELOGD.161,POINT (16.335780468885837 48.18475661943041),12,Schönbrunner Str.-Längenfeldg.,161,
AKUSTISCHEAMPELOGD.162,POINT (16.352732628881945 48.17576709898773),10,Kundratstr.-K.F.J. Spital,162,
AKUSTISCHEAMPELOGD.163,POINT (16.399722728995375 48.188942774185634),3,Landstr. Hptstr.-Rennweg,163,
AKUSTISCHEAMPELOGD.165,POINT (16.382172387388394 48.15426029148488),10,Favoritenstr.-Alaudag.,165,
AKUSTISCHEAMPELOGD.168,POINT (16.36424691792925 48.187515247403326),5,Wiedner Hauptstr.-Hartmanng.,168,
AKUSTISCHEAMPELOGD.169,POINT (16.369396756442615 48.22387257787518),2,Obere Donaustr.-Scholzg.,169,
AKUSTISCHEAMPELOGD.2,POINT (16.290063547177084 48.19042017576438),13,Hietzinger Kai-Fleschgasse,2,
AKUSTISCHEAMPELOGD.3,POINT (16.290271182414244 48.190891459418175),14,Hadikgasse-Astgasse,3,
