FID,OBJECTID,SHAPE,GARAGE_ID,BETREIBER,BEZEICHNUNG,PLZ,ORT,ADRESSE,WEBLINK_BETR_DE,WEBLINK_BETR_EN,WEBLINK_WK_DE,WEBLINK_WK_EN,LONGITUDE,LATITUDE,PARK_AND_RIDE,BEHINDERTENPARKPL,SE_ANNO_CAD_DATA
GARAGENOGD.67152,67152,POINT (16.36394718561872 48.24999111327072),189-5-273,BOE Geb‰udemanagement GmbH,Parkgarage 12. Februar Platz,1190,Wien,12. Februar Platz,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-273.html,http://www.parkeninwien.at/en/garage-5-273.html,16.3641,48.250101,N,N,
GARAGENOGD.67153,67153,POINT (16.452846504549314 48.265432524767654),189-5-274,BOE Geb‰udemanagement GmbH,P+R Aderklaaerstraﬂe,1210,Wien,Julius Ficker Straﬂe 92,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-274.html,http://www.parkeninwien.at/en/garage-5-274.html,16.453135,48.265266,Y,Y,
GARAGENOGD.67154,67154,POINT (16.44116855540071 48.21274128717711),189-5-275,BOE Geb‰udemanagement GmbH,P+R Donaustadtbr¸cke,1220,Wien,Am Kaiserm¸hlendamm 113b,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-275.html,http://www.parkeninwien.at/en/garage-5-275.html,16.441178,48.212747,Y,Y,
GARAGENOGD.67155,67155,POINT (16.4064617648416 48.186451900688944),189-5-278,BOE Geb‰udemanagement GmbH,Garage Neu Marx,1030,Wien,Hermine Jursa Gasse 11,http://www.boe-parking.at/,http://www.boe-parking.at/,http://www.parkeninwien.at/garage-5-278.html,http://www.parkeninwien.at/en/garage-5-278.html,16.406534,48.186873,N,Y,
GARAGENOGD.67013,67013,POINT (16.37804412738201 48.21446726739153),189-3-230,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Lilienbrunngasse,1020,Wien,Lilienbrunngasse 6-12,http://www.bestinparking.at/de/garage/wien/lilienbrunngasse-6-12,http://www.bestinparking.at/,http://www.parkeninwien.at/garage-3-230.html,http://www.parkeninwien.at/en/garage-3-230.html,16.377963,48.214237,N,Y,
GARAGENOGD.67014,67014,POINT (16.350490122559854 48.19713581191928),189-3-240,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Generali Center,1060,Wien,Dambˆckgasse 4,http://www.bestinparking.at/de/garage/wien/damboeckgasse-4,http://www.bestinparking.at/de/garage/wien/damboeckgasse-4,http://www.parkeninwien.at/garage-3-240.html,http://www.parkeninwien.at/en/garage-3-240.html,16.350835,48.197251,N,N,
GARAGENOGD.67015,67015,POINT (16.26410672575064 48.1954317089933),189-3-245,BIP Garagengesellschaft Breiteneder GmbH & Co KG,P+R H¸tteldorf,1140,Wien,Deutschordenstraﬂe 3a,http://www.bestinparking.at/de/garage/wien/deutschordenstrasse-3a,http://parkandridehuetteldorf.at,http://www.parkeninwien.at/garage-3-245.html,http://www.parkeninwien.at/en/garage-3-245.html,16.264115,48.195438,Y,Y,
GARAGENOGD.67016,67016,POINT (16.376882434063358 48.19945947371183),189-3-246,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Schwarzenbergplatz,1030,Wien,Am Heumarkt 39 / Schwarzenbergplatz 5,http://www.bestinparking.at/de/garage/wien/schwarzenbergplatz-5,http://www.bestinparking.at/de/garage/wien/schwarzenbergplatz-5,http://www.parkeninwien.at/garage-3-246.html,http://www.parkeninwien.at/en/garage-3-246.html,16.376676,48.199458,N,Y,
GARAGENOGD.67017,67017,POINT (16.38331232329047 48.205196429504625),189-3-248,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Parkgarage Am Stadtpark,1030,Wien,Stadtpark 1,http://www.bestinparking.at/de/garage/wien/am-stadtpark-1,http://www.bestinparking.at,http://www.parkeninwien.at/garage-3-248.html,http://www.parkeninwien.at/en/garage-3-248.html,16.383377,48.206227,N,Y,
GARAGENOGD.67018,67018,POINT (16.315079521419108 48.20675279339675),189-3-257,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Rohrauer Park,1150,Wien,Gablenzgasse 107a,http://www.bestinparking.at/de/garage/wien/gablenzgasse-107,http://www.bestinparking.at/de/garage/wien/gablenzgasse-107,http://www.parkeninwien.at/garage-3-257.html,http://www.parkeninwien.at/en/garage-3-257.html,16.315088,48.206759,N,N,
