FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
SIRENEOGD.2647,2647,POINT (16.39675348751334 48.19927783642316),
SIRENEOGD.2648,2648,POINT (16.38798384435347 48.19276305418664),
SIRENEOGD.2649,2649,POINT (16.400996362799233 48.18999318775152),
SIRENEOGD.2650,2650,POINT (16.409168105594492 48.19606633608276),
SIRENEOGD.2651,2651,POINT (16.412920846599487 48.191564769861856),
SIRENEOGD.2652,2652,POINT (16.397466421018404 48.18181022520371),
SIRENEOGD.2653,2653,POINT (16.390494375295965 48.20319939292336),
SIRENEOGD.2654,2654,POINT (16.36528139815091 48.19789755015231),
SIRENEOGD.2655,2655,POINT (16.375088060298943 48.19381010854114),
SIRENEOGD.2656,2656,POINT (16.366394789305815 48.19082878726373),
SIRENEOGD.2657,2657,POINT (16.35418440653012 48.190558148048964),
SIRENEOGD.2658,2658,POINT (16.353643364962213 48.18046236161529),
SIRENEOGD.2659,2659,POINT (16.363470835994736 48.182831859594444),
SIRENEOGD.2660,2660,POINT (16.353854059729965 48.18544933763894),
SIRENEOGD.2661,2661,POINT (16.342064710101948 48.189491387677656),
SIRENEOGD.2662,2662,POINT (16.350904950249703 48.1970626803746),
SIRENEOGD.2663,2663,POINT (16.36098198227331 48.20207257214343),
SIRENEOGD.2664,2664,POINT (16.351069190511726 48.20119826798491),
SIRENEOGD.2665,2665,POINT (16.346240015867412 48.20535508764901),
SIRENEOGD.2666,2666,POINT (16.34456737571639 48.1983466532055),
SIRENEOGD.2667,2667,POINT (16.34412172035247 48.21463369357067),
SIRENEOGD.2668,2668,POINT (16.34085316703994 48.209490142472845),
SIRENEOGD.2669,2669,POINT (16.354276046659653 48.220650936384885),
SIRENEOGD.2670,2670,POINT (16.367556036959826 48.21933146595331),
SIRENEOGD.2671,2671,POINT (16.354295449394016 48.22564096443301),
SIRENEOGD.2672,2672,POINT (16.361339047406933 48.22617859042837),
SIRENEOGD.2673,2673,POINT (16.356082463784073 48.166811856104324),
SIRENEOGD.2674,2674,POINT (16.374009451382534 48.17850366356013),
SIRENEOGD.2675,2675,POINT (16.362007672199628 48.175538875555894),
SIRENEOGD.2676,2676,POINT (16.35012134328025 48.1693246421108),
SIRENEOGD.2723,2723,POINT (16.328383977829667 48.19982852101311),
SIRENEOGD.2724,2724,POINT (16.319979653979626 48.19877877739566),
SIRENEOGD.2725,2725,POINT (16.327260438512596 48.20934070987815),
SIRENEOGD.2726,2726,POINT (16.318530785691145 48.21287303853966),
SIRENEOGD.2727,2727,POINT (16.317945989012916 48.22055319975321),
SIRENEOGD.2728,2728,POINT (16.30693716680701 48.21644906844322),
SIRENEOGD.2729,2729,POINT (16.289856037752696 48.20681367542062),
SIRENEOGD.2730,2730,POINT (16.325788377033057 48.21331116335429),
SIRENEOGD.2731,2731,POINT (16.37065219628297 48.17404354273875),
SIRENEOGD.2732,2732,POINT (16.28593673273186 48.15275053731581),
SIRENEOGD.2733,2733,POINT (16.31222930993695 48.142531754915794),
SIRENEOGD.2734,2734,POINT (16.26728186033046 48.15410588729988),
SIRENEOGD.2735,2735,POINT (16.275230551135174 48.136242525855685),
SIRENEOGD.2677,2677,POINT (16.378363817300073 48.17011271839931),
SIRENEOGD.2678,2678,POINT (16.365633810201846 48.15531767913071),
SIRENEOGD.2679,2679,POINT (16.395620957411765 48.15528239830415),
SIRENEOGD.2680,2680,POINT (16.387034439748465 48.141271233332425),
SIRENEOGD.2681,2681,POINT (16.404606180005782 48.13759184652801),
SIRENEOGD.2682,2682,POINT (16.386907816426124 48.17236880641362),
SIRENEOGD.2683,2683,POINT (16.380219569700593 48.161838506111444),
SIRENEOGD.2684,2684,POINT (16.390821419480513 48.148027939031934),
SIRENEOGD.2685,2685,POINT (16.364551294477266 48.16572701224932),
SIRENEOGD.2686,2686,POINT (16.414261059612667 48.175864498366835),
SIRENEOGD.2687,2687,POINT (16.43389976830969 48.169159122986734),
SIRENEOGD.2688,2688,POINT (16.47136413916665 48.171690945914534),
SIRENEOGD.2689,2689,POINT (16.470866854475254 48.15836830437141),
SIRENEOGD.2690,2690,POINT (16.45374514054593 48.157662343655076),
SIRENEOGD.2691,2691,POINT (16.413872693265347 48.164102686165506),
SIRENEOGD.2692,2692,POINT (16.43091532066888 48.184331400763476),
SIRENEOGD.2693,2693,POINT (16.340168900958023 48.17809131164016),
SIRENEOGD.2694,2694,POINT (16.31993740268846 48.174364811302134),
SIRENEOGD.2695,2695,POINT (16.325304813922905 48.1610403335399),
SIRENEOGD.2696,2696,POINT (16.296286941351035 48.16279879278011),
SIRENEOGD.2697,2697,POINT (16.307905248080836 48.16754175497472),
SIRENEOGD.2698,2698,POINT (16.334531924138073 48.171478293852786),
SIRENEOGD.2699,2699,POINT (16.32526194739668 48.17763717067959),
SIRENEOGD.2700,2700,POINT (16.329754798630283 48.18080941423783),
SIRENEOGD.2701,2701,POINT (16.30044928685484 48.18822365524373),
SIRENEOGD.2702,2702,POINT (16.297174301233248 48.1752219969314),
SIRENEOGD.2703,2703,POINT (16.28200574750254 48.18623265144488),
SIRENEOGD.2704,2704,POINT (16.280052397282354 48.17691600010578),
SIRENEOGD.2705,2705,POINT (16.28458129465205 48.16809575490395),
SIRENEOGD.2706,2706,POINT (16.268711503361704 48.16560388943266),
SIRENEOGD.2707,2707,POINT (16.268126234930286 48.188062511346814),
SIRENEOGD.2708,2708,POINT (16.28739886103768 48.17065591810952),
SIRENEOGD.2709,2709,POINT (16.314083586085047 48.19397453605785),
SIRENEOGD.2710,2710,POINT (16.30623274587884 48.20087153696998),
SIRENEOGD.2711,2711,POINT (16.280977925934007 48.19571936512457),
SIRENEOGD.2712,2712,POINT (16.268269889673256 48.19947065102861),
SIRENEOGD.2713,2713,POINT (16.261199852106248 48.209921290888786),
SIRENEOGD.2714,2714,POINT (16.255772623644788 48.20214518213972),
SIRENEOGD.2715,2715,POINT (16.245505444626787 48.20696068894424),
SIRENEOGD.2716,2716,POINT (16.22322061638761 48.20950817114582),
SIRENEOGD.2717,2717,POINT (16.297958767606367 48.19458482917635),
SIRENEOGD.2718,2718,POINT (16.33627611057831 48.20179603652558),
SIRENEOGD.2719,2719,POINT (16.334095317847673 48.194114574092296),
SIRENEOGD.2720,2720,POINT (16.33115622302785 48.18549683680421),
SIRENEOGD.2721,2721,POINT (16.32171746228721 48.188806627848),
SIRENEOGD.2722,2722,POINT (16.317042440962908 48.203841584024936),
SIRENEOGD.2736,2736,POINT (16.261964467826452 48.141713270341164),
SIRENEOGD.2737,2737,POINT (16.23911687307945 48.138149679523515),
SIRENEOGD.2738,2738,POINT (16.34116259986122 48.240321078264486),
SIRENEOGD.2739,2739,POINT (16.35533409707185 48.20885496654914),
SIRENEOGD.2740,2740,POINT (16.375136952215907 48.18735297085838),
SIRENEOGD.2741,2741,POINT (16.387197891265313 48.21392841756498),
SIRENEOGD.2742,2742,POINT (16.4167194048005 48.22917656865758),
SIRENEOGD.2743,2743,POINT (16.30692308778944 48.224900204958466),
SIRENEOGD.2744,2744,POINT (16.38408484391555 48.15200049032444),
SIRENEOGD.2745,2745,POINT (16.461044647623137 48.152523801919735),
SIRENEOGD.2746,2746,POINT (16.45072956051681 48.26821376917824),
SIRENEOGD.2747,2747,POINT (16.28832354248299 48.23629243689205),
SIRENEOGD.2748,2748,POINT (16.40489404728689 48.20323879641873),
