FID,SHAPE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,BEZIRK,ADRESSE,ANZAHL,ART_KAT
FAHRRADABSTELLANLAGEOGD.4735153,POINT (16.350758012098986 48.20629375635743),4735153,,7,Lerchenfelder Straﬂe 33,8,0
FAHRRADABSTELLANLAGEOGD.4735154,POINT (16.343353089995833 48.21676131202291),4735154,,9,Zimmermannplatz 1,12,0
FAHRRADABSTELLANLAGEOGD.4735155,POINT (16.344309061978805 48.21676555505944),4735155,,9,Zimmermannplatz 10,16,0
FAHRRADABSTELLANLAGEOGD.4735156,POINT (16.342389393529956 48.21620754316842),4735156,,9,Kinderspitalgasse 15,8,0
FAHRRADABSTELLANLAGEOGD.4735157,POINT (16.349719918896728 48.225381112858926),4735157,,9,W‰hringer G¸rtel gg¸. 106-108 - U6,16,0
FAHRRADABSTELLANLAGEOGD.4735158,POINT (16.39687258659321 48.19093125837351),4735158,,3,Rennweg 89B,24,0
FAHRRADABSTELLANLAGEOGD.4735159,POINT (16.349723466817537 48.225412039880055),4735159,,9,W‰hringer Straﬂe U6,16,0
FAHRRADABSTELLANLAGEOGD.4735160,POINT (16.32116372069854 48.22174539858705),4735160,,17,Hernalser Hauptstraﬂe 138,6,0
FAHRRADABSTELLANLAGEOGD.4735161,POINT (16.349802257350362 48.22577210720546),4735161,,9,W‰hringer G¸rtel gg¸. 102 - U6,22,0
FAHRRADABSTELLANLAGEOGD.4735162,POINT (16.3495417890491 48.226245402533166),4735162,,18,W‰hringer G¸rtel gg¸. 97,12,0
FAHRRADABSTELLANLAGEOGD.4735163,POINT (16.35854923882372 48.21623588654789),4735163,,9,"Rooseveltplatz gg¸. 11, G¸nthergasse",8,0
FAHRRADABSTELLANLAGEOGD.4735164,POINT (16.349106948818957 48.22617819297434),4735164,,18,"W‰hringer G¸rtel, Gentzgasse",8,0
FAHRRADABSTELLANLAGEOGD.4735165,POINT (16.356816098455692 48.21553687714171),4735165,,9,Frankgasse†4,8,0
FAHRRADABSTELLANLAGEOGD.4735166,POINT (16.349037878046826 48.22618308407676),4735166,,18,Gentzgasse gg¸. 1,8,0
FAHRRADABSTELLANLAGEOGD.4735167,POINT (16.388120536563722 48.19837518803609),4735167,,3,Engelsberggasse 4,8,0
FAHRRADABSTELLANLAGEOGD.4735168,POINT (16.35112962516941 48.22582902929905),4735168,,9,"Sechsschimmelgasse 21, Lustkandlgasse",6,0
FAHRRADABSTELLANLAGEOGD.4735169,POINT (16.443869631454103 48.25102301276814),4735169,,22,"Kagraner Platz U1-Station, Doningasse",42,0
FAHRRADABSTELLANLAGEOGD.4735170,POINT (16.3587539831412 48.19657905733855),4735170,,5,Rechte Wienzeile gg¸. 43,6,0
FAHRRADABSTELLANLAGEOGD.4735171,POINT (16.35643317276054 48.20834894675695),4735171,,1,"Doblhoffgasse 6, Einfahrt Tiefgarage",10,0
FAHRRADABSTELLANLAGEOGD.4735172,POINT (16.3509275167322 48.22482532114646),4735172,,9,Fuchsthallergasse 17,6,0
FAHRRADABSTELLANLAGEOGD.4735173,POINT (16.350702156861985 48.224235120565524),4735173,,9,Bleichergasse 22,5,0
FAHRRADABSTELLANLAGEOGD.4735174,POINT (16.351923890761185 48.224686711368896),4735174,,9,Fuchsthallergasse 11,8,0
FAHRRADABSTELLANLAGEOGD.4735175,POINT (16.35654856537891 48.21541440226066),4735175,,9,Garnisongasse 3,8,0
FAHRRADABSTELLANLAGEOGD.4735176,POINT (16.36012925953824 48.21652640543927),4735176,,9,"T¸rkenstraﬂe 2, W‰hringer Straﬂe",8,0
FAHRRADABSTELLANLAGEOGD.4735177,POINT (16.360912914319456 48.212521851119355),4735177,,1,"Dr.-Karl-Lueger-Ring 1-3, Eingang rechts",8,0
FAHRRADABSTELLANLAGEOGD.4735178,POINT (16.370079776881063 48.21577875330905),4735178,,1,Eﬂlinggasse 16,6,0
FAHRRADABSTELLANLAGEOGD.4735179,POINT (16.36705204473341 48.212549668409885),4735179,,1,Renngasse 10,6,0
FAHRRADABSTELLANLAGEOGD.4735180,POINT (16.305417226176875 48.18982381794951),4735180,,14,Penzinger Straﬂe 57,6,0
FAHRRADABSTELLANLAGEOGD.4735181,POINT (16.371965271667282 48.21572614533939),4735181,,1,Franz-Josefs-Kai 49,8,0
FAHRRADABSTELLANLAGEOGD.4735182,POINT (16.36997749843934 48.210019287837255),4735182,,1,Milchgasse 2,6,0
FAHRRADABSTELLANLAGEOGD.4735183,POINT (16.372831830033874 48.21483866857761),4735183,,1,Franz-Josefs-Kai 43,6,0
FAHRRADABSTELLANLAGEOGD.4735184,POINT (16.372881720298103 48.21303048622075),4735184,,1,Salztorgasse 2,8,0
FAHRRADABSTELLANLAGEOGD.4735185,POINT (16.368519508897798 48.21149527269615),4735185,,1,Am Hof 11,4,0
FAHRRADABSTELLANLAGEOGD.4735186,POINT (16.368873997638936 48.21380675850261),4735186,,1,"Renngasse 20, Bˆrsegasse",8,0
FAHRRADABSTELLANLAGEOGD.4735187,POINT (16.372371045193724 48.21534210862377),4735187,,1,"Franz-Josefs-Kai 47, Heinrichgasse 5",8,0
FAHRRADABSTELLANLAGEOGD.4735188,POINT (16.369703819912203 48.212308688239766),4735188,,1,Wipplinger Straﬂe 14,6,0
FAHRRADABSTELLANLAGEOGD.4735189,POINT (16.366228728648846 48.215503117910856),4735189,,1,"Schottenring 16, Bˆrsegasse",14,0
FAHRRADABSTELLANLAGEOGD.4735190,POINT (16.374527495894046 48.21431000785838),4735190,,1,Donaukanal - Salztorbr¸cke,6,0
FAHRRADABSTELLANLAGEOGD.4735191,POINT (16.355959110944365 48.209332100874924),4735191,,1,Rathausstraﬂe 6,4,0
FAHRRADABSTELLANLAGEOGD.4735192,POINT (16.43023199647884 48.24724125541824),4735192,,22,Tokiostraﬂe 4,18,0
FAHRRADABSTELLANLAGEOGD.4735193,POINT (16.331730014682968 48.2668775003301),4735193,,19,Krapfenwaldgasse 65-73,24,0
FAHRRADABSTELLANLAGEOGD.4735194,POINT (16.37642484848096 48.201702757020676),4735194,,1,Betthofenplatz 1,10,0
FAHRRADABSTELLANLAGEOGD.4735195,POINT (16.37795204251111 48.21287741310193),4735195,,2,"Obere Donaustraﬂe 97-99, 2 Stk. Erweiterung, 28.10.2010",12,0
FAHRRADABSTELLANLAGEOGD.4735196,POINT (16.369811878743143 48.215765072744624),4735196,,1,Esslinggasse 12,6,0
FAHRRADABSTELLANLAGEOGD.4735197,POINT (16.374063920558836 48.20239656786045),4735197,,1,"Hegelgasse 14, Schwarzenbergstraﬂe",8,0
FAHRRADABSTELLANLAGEOGD.4735198,POINT (16.39737830444748 48.27322314831383),4735198,,21,"Koloniestraﬂe 77, S-Bahn Jedlersdorf",6,0
FAHRRADABSTELLANLAGEOGD.4735199,POINT (16.376354369937832 48.21216308118087),4735199,,1,"Rotenturmstraﬂe, Schwedenplatz",16,0
FAHRRADABSTELLANLAGEOGD.4735200,POINT (16.37366730428785 48.201662521518806),4735200,,1,K‰rntnerring 17,6,0
FAHRRADABSTELLANLAGEOGD.4735201,POINT (16.378698531434555 48.206880885528136),4735201,,1,Zedlitzgasse 6,10,0
FAHRRADABSTELLANLAGEOGD.4735202,POINT (16.374781811388527 48.2014056027983),4735202,,1,"Schubertring 13, Schwarzenbergplatz ONr. 1",8,0
FAHRRADABSTELLANLAGEOGD.4735203,POINT (16.37772860882522 48.20609107346251),4735203,,1,Liebenberggasse 3-5,6,0
FAHRRADABSTELLANLAGEOGD.4735204,POINT (16.382214636851053 48.20960944237404),4735204,,1,"Stubenring †8-10, Georg-Coch-Platz",10,0
FAHRRADABSTELLANLAGEOGD.4735205,POINT (16.37196325493492 48.203258466653054),4735205,,1,Walfischgasse 11,4,0
FAHRRADABSTELLANLAGEOGD.4735206,POINT (16.388333006749715 48.209359906265504),4735206,,3,"Obere Viaduktgasse 28, Hetzgasse",8,0
FAHRRADABSTELLANLAGEOGD.4735207,POINT (16.384661408844067 48.208941832742255),4735207,,3,Vordere Zollamtsstraﬂe 5,6,0
FAHRRADABSTELLANLAGEOGD.4735208,POINT (16.38696548738492 48.209916774858385),4735208,,3,Hintere Zollamtsstraﬂe 13,8,0
FAHRRADABSTELLANLAGEOGD.4735209,POINT (16.390360025576644 48.210446043587325),4735209,,3,Lˆwengasse 12B,8,0
FAHRRADABSTELLANLAGEOGD.4735210,POINT (16.387730263743215 48.20958677082397),4735210,,3,Hetzgasse 2,6,0
FAHRRADABSTELLANLAGEOGD.4735211,POINT (16.38257649824898 48.20963490907011),4735211,,1,Stubenring 1,24,0
FAHRRADABSTELLANLAGEOGD.4735212,POINT (16.382302530798814 48.20960292296952),4735212,,1,"Stubenring  gg¸.†8-10, Georg-Coch-Platz",10,0
FAHRRADABSTELLANLAGEOGD.4735213,POINT (16.355044644986254 48.201892502614015),4735213,,7,Stiftgasse 2a,6,0
FAHRRADABSTELLANLAGEOGD.4735214,POINT (16.34684068950992 48.2068101384249),4735214,,7,Lerchenfelder Straﬂe 63,8,0
FAHRRADABSTELLANLAGEOGD.4735215,POINT (16.378519752170643 48.205722809963895),4735215,,1,Liebenberggasse 7,6,0
FAHRRADABSTELLANLAGEOGD.4735216,POINT (16.37445801547051 48.2060411672745),4735216,,1,Weihburggasse 18,6,0
FAHRRADABSTELLANLAGEOGD.4735217,POINT (16.377959559947747 48.20428050011027),4735217,,1,"Stadtpark gg¸., Weihburggasse",8,0
FAHRRADABSTELLANLAGEOGD.4735218,POINT (16.371269271772363 48.20220927548696),4735218,,1,K‰rntner Ring 7,16,0
FAHRRADABSTELLANLAGEOGD.4735219,POINT (16.45051182991573 48.27700205745968),4735219,,21,"Schererstraﬂe, gg¸. Oberhummergasse",26,0
FAHRRADABSTELLANLAGEOGD.4735220,POINT (16.377858010552448 48.20513579774752),4735220,,1,Gartenbaupromenade gg¸. 4,8,0
FAHRRADABSTELLANLAGEOGD.4735221,POINT (16.36157228283208 48.22009319559428),4735221,,9,Porzellangasse 20,6,0
FAHRRADABSTELLANLAGEOGD.4735222,POINT (16.39318636914579 48.21965742651119),4735222,,2,"Praterstern, Lassallestraﬂe (Pos.5)",12,0
FAHRRADABSTELLANLAGEOGD.4735223,POINT (16.37862973482697 48.20698705752125),4735223,,1,"Zedlitzgasse 9, Stubenbastei",8,0
FAHRRADABSTELLANLAGEOGD.4735856,POINT (16.41546702993486 48.18059651800233),4735856,,11,"Fuchsrˆhrengasse gg¸. 25, Wilhelm-Otto-Straﬂe",6,0
FAHRRADABSTELLANLAGEOGD.4735857,POINT (16.388817206362955 48.225054508441055),4735857,,2,"Nordbahnstraﬂe 26, Marinelligasse",6,0
FAHRRADABSTELLANLAGEOGD.4735858,POINT (16.367787798102423 48.20297779471885),4735858,,1,Opernring 4,8,0
FAHRRADABSTELLANLAGEOGD.4735859,POINT (16.31210377080297 48.197585053062696),4735859,,14,Reinlgasse †27,8,0
FAHRRADABSTELLANLAGEOGD.4735860,POINT (16.35733156492289 48.23539734514757),4735860,,9,"U6-Station Spittelau, bei Skywalk",12,1
FAHRRADABSTELLANLAGEOGD.4735861,POINT (16.351311555702967 48.23684736531589),4735861,,19,Hardtgasse 19,10,0
FAHRRADABSTELLANLAGEOGD.4735862,POINT (16.341032843538112 48.181341634657485),4735862,,12,"Herthergasse, Hans-Weiner-Dillmann-Platz",8,0
FAHRRADABSTELLANLAGEOGD.4735863,POINT (16.32766072585885 48.23620305760466),4735863,,18,"Rimplergasse 18, Scherffenberggasse",6,0
FAHRRADABSTELLANLAGEOGD.4735864,POINT (16.36822380000231 48.20244632914257),4735864,,1,Opernring 5,6,0
FAHRRADABSTELLANLAGEOGD.4735865,POINT (16.31225827345468 48.20235421884812),4735865,,15,Schanzstraﬂe 50,6,0
FAHRRADABSTELLANLAGEOGD.4735866,POINT (16.40992705994422 48.18275782885666),4735866,,11,Molitorgasse 11,6,0
FAHRRADABSTELLANLAGEOGD.4735867,POINT (16.39104315088837 48.21885606588454),4735867,,2,"Praterstern, gg¸. Nordbahnstraﬂe (Pos.2)",24,0
FAHRRADABSTELLANLAGEOGD.4735868,POINT (16.392679192096214 48.219002534726),4735868,,2,"Praterstern Nord, Richtung Lassallestraﬂe (Erweiterung 14 Stk.)",36,0
FAHRRADABSTELLANLAGEOGD.4735869,POINT (16.393115201161883 48.21832059258654),4735869,,2,"Praterstern, 3. Posiotion - Ausstellungsstraﬂe",20,0
FAHRRADABSTELLANLAGEOGD.4735870,POINT (16.392999211518816 48.21774709320892),4735870,,2,"Praterstern, (Pos.1)",10,0
FAHRRADABSTELLANLAGEOGD.4735871,POINT (16.288496593784732 48.146384030301434),4735871,,23,Lastenstraﬂe 9,10,0
FAHRRADABSTELLANLAGEOGD.4735872,POINT (16.316509714804134 48.141546494165304),4735872,,23,"Erlaaer Straﬂe, U 6 - Station",18,1
FAHRRADABSTELLANLAGEOGD.4735873,POINT (16.28368805237788 48.13453453846607),4735873,,23,"Franz-Parsch-Straﬂe, Frˆhlichgasse",42,0
FAHRRADABSTELLANLAGEOGD.4735874,POINT (16.307230030541337 48.19693744972852),4735874,,14,"Amortgasse, M‰rzstraﬂe",8,0
FAHRRADABSTELLANLAGEOGD.4735875,POINT (16.293801801236032 48.13303332295013),4735875,,23,"Siebenhirtenstraﬂe†18, (Liesinger Friedhof)",8,0
FAHRRADABSTELLANLAGEOGD.4735876,POINT (16.316709832541164 48.15005424730181),4735876,,23,"Anton-Baumgartner-Straﬂe U6, Erlaaer Schleife U6 - Erilaweg",14,0
FAHRRADABSTELLANLAGEOGD.4735877,POINT (16.354267857591385 48.14593493797719),4735877,,23,"Jochen-Rindt-Straﬂe, Kolbegasse",8,0
FAHRRADABSTELLANLAGEOGD.4735878,POINT (16.2449540616475 48.20447741553685),4735878,,14,"Samptwandnergasse 6, H¸tteldorfer Friedh.",8,0
FAHRRADABSTELLANLAGEOGD.4735879,POINT (16.325817179369196 48.16403615740235),4735879,,12,Thorvaldsengasse gg¸. 19,4,0
FAHRRADABSTELLANLAGEOGD.4735880,POINT (16.26823028009094 48.15067128416386),4735880,,23,Maurer Hauptplatz 5,8,0
FAHRRADABSTELLANLAGEOGD.4735881,POINT (16.332862602866093 48.17027737489332),4735881,,12,Wagenseilgasse 8,8,0
FAHRRADABSTELLANLAGEOGD.4735882,POINT (16.281462053888017 48.13236855576464),4735882,,23,Perchtoldsdorfer Straﬂe †gg¸. 23,8,0
FAHRRADABSTELLANLAGEOGD.4735883,POINT (16.31255761173594 48.13630997097309),4735883,,23,"Lembˆckgasse U6, U 6 - Station",12,0
FAHRRADABSTELLANLAGEOGD.4735884,POINT (16.289886466004855 48.139297613377515),4735884,,23,Breitenfurter Straﬂe 361,8,0
FAHRRADABSTELLANLAGEOGD.4735885,POINT (16.31698987948735 48.151319826696934),4735885,,23,"Anton-Baumgartner-Straﬂe, Aufgang U6/Wohnpark Alt Erlaa",30,1
FAHRRADABSTELLANLAGEOGD.4735886,POINT (16.374655257517865 48.22309479912745),4735886,,2,Obere Augartenstraﬂe 26-28,6,0
FAHRRADABSTELLANLAGEOGD.4735887,POINT (16.304240935033754 48.188051584767074),4735887,,14,"U4 Kennedybr¸cke, Hadikgasse",8,0
FAHRRADABSTELLANLAGEOGD.4735888,POINT (16.26281170919721 48.132636085685206),4735888,,23,"Beethovenstraﬂe gg¸. 5, (Endstelle Linie 60 )",8,0
FAHRRADABSTELLANLAGEOGD.4735889,POINT (16.260671997314446 48.19774165538592),4735889,,14,"U4 H¸tteldorf, Bahnhof (Erweiterung)",40,0
FAHRRADABSTELLANLAGEOGD.4735890,POINT (16.24431980515152 48.137362000865274),4735890,,23,"Fritz-Steinbach-Gasse, Breitenfurter Straﬂe 537 Post",6,0
FAHRRADABSTELLANLAGEOGD.4735891,POINT (16.316223130081376 48.15107384803642),4735891,,23,Anton-Baumgartner-Straﬂe †44,6,0
FAHRRADABSTELLANLAGEOGD.4735892,POINT (16.22805913120487 48.20742343262266),4735892,,14,"Hauptstraﬂe 9, bei Kirche Mariabrunn",8,0
FAHRRADABSTELLANLAGEOGD.4735893,POINT (16.31687596060893 48.15115481727613),4735893,,23,"Anton-Baumgartner-Straﬂe, Wohnpark Alt Erlaa",16,0
FAHRRADABSTELLANLAGEOGD.4735894,POINT (16.413044875324783 48.181072009572354),4735894,,11,"Eisteichstraﬂe 2, Sackgasse Hyblerpark",8,0
FAHRRADABSTELLANLAGEOGD.4735895,POINT (16.28371948409867 48.133959170837684),4735895,,23,Franz-Parsche-Gasse 8,24,0
FAHRRADABSTELLANLAGEOGD.4735896,POINT (16.341852013609238 48.18204275254471),4735896,,12,Fockygasse 31,4,0
FAHRRADABSTELLANLAGEOGD.4735897,POINT (16.320092537328033 48.15018513323485),4735897,,23,Putzendoplergasse 4,8,0
FAHRRADABSTELLANLAGEOGD.4735898,POINT (16.268141232742906 48.15086357061231),4735898,,23,Maurer Hauptplatz 4,8,0
FAHRRADABSTELLANLAGEOGD.4735899,POINT (16.314718373082936 48.17278717786707),4735899,,12,Altmannsdorfer Str.†21-23,4,0
FAHRRADABSTELLANLAGEOGD.4735900,POINT (16.25578819000908 48.20320340333434),4735900,,14,"Bujattigasse 1, Endstation Linie 49 29.04.1992 / 4 Stk. Erweiterung",16,0
FAHRRADABSTELLANLAGEOGD.4735901,POINT (16.294751216985944 48.14729135123994),4735901,,23,"Kirchenplatz gg¸. 7, Atzgersdorf",12,0
FAHRRADABSTELLANLAGEOGD.4735902,POINT (16.244847835108928 48.13778631080132),4735902,,23,Kalksburg - Kirchenplatz gg¸. 2,6,0
FAHRRADABSTELLANLAGEOGD.4735903,POINT (16.27867353731256 48.13391290211965),4735903,,23,Elisenstraﬂe 1,10,0
FAHRRADABSTELLANLAGEOGD.4735904,POINT (16.26910452487245 48.150462262539605),4735904,,23,Endresstraﬂe 119,8,0
FAHRRADABSTELLANLAGEOGD.4735905,POINT (16.28721578422087 48.13653946427301),4735905,,23,Frˆhlichgasse 42,8,0
FAHRRADABSTELLANLAGEOGD.4735906,POINT (16.30946152184415 48.12990023347563),4735906,,23,"Basler Gasse, U/6 - Station",8,0
FAHRRADABSTELLANLAGEOGD.4735907,POINT (16.266965648990205 48.15134495413207),4735907,,23,MAURER_HAUPTPLATZ 12,8,0
FAHRRADABSTELLANLAGEOGD.4735908,POINT (16.31674981841824 48.15075929025976),4735908,,23,"E.-Bergner-Weg, Anton-Baumgartner-Straﬂe",30,1
FAHRRADABSTELLANLAGEOGD.4735909,POINT (16.28129155480431 48.19412610002412),4735909,,14,"Guldengasse †3, Baumgartenstraﬂe",6,0
FAHRRADABSTELLANLAGEOGD.4735910,POINT (16.34968672882899 48.14713989790331),4735910,,23,"Kolbegasse†34, (Inzersdorfer Friedhof)",8,0
FAHRRADABSTELLANLAGEOGD.4735911,POINT (16.34501897822289 48.22777766507134),4735911,,18,Edelhofgasse 10,6,0
FAHRRADABSTELLANLAGEOGD.4735912,POINT (16.345436256902303 48.22671293307715),4735912,,18,Gentzgasse†27,8,0
FAHRRADABSTELLANLAGEOGD.4735913,POINT (16.336626261900676 48.223840632728745),4735913,,18,"Johann-Nepomuk-Vogl-Platz, Teschnergasse",6,0
FAHRRADABSTELLANLAGEOGD.4735914,POINT (16.342043677871803 48.220657179909),4735914,,18,Klettenhofergasse 5,8,0
FAHRRADABSTELLANLAGEOGD.4735915,POINT (16.333703034542914 48.22782925180934),4735915,,18,Lacknergasse †87,6,0
FAHRRADABSTELLANLAGEOGD.4735916,POINT (16.358759757543517 48.22504204393583),4735916,,9,Alserbachstraﬂe 23,8,0
FAHRRADABSTELLANLAGEOGD.4735917,POINT (16.382580790724443 48.21772954149966),4735917,,2,Rotensterngasse†9-11,8,0
FAHRRADABSTELLANLAGEOGD.4735918,POINT (16.36999627394179 48.21359106423144),4735918,,1,Salzgries 23,5,0
FAHRRADABSTELLANLAGEOGD.4735919,POINT (16.346090927594044 48.2107491095697),4735919,,8,Hamerlingpark 5-6,12,0
FAHRRADABSTELLANLAGEOGD.4735920,POINT (16.33686648627204 48.20630359733033),4735920,,16,"Lerchenfelder G¸rtel gg¸.†19, Koppstraﬂe",8,0
FAHRRADABSTELLANLAGEOGD.4735921,POINT (16.366087032507295 48.213452982680444),4735921,,1,Rockhgasse 6,6,0
FAHRRADABSTELLANLAGEOGD.4735922,POINT (16.361398400412384 48.21259976985614),4735922,,1,"Dr.-Karl-Lueger-Ring zw. ONr.8 und ONr. 10, Mˆlker Bastei",40,0
FAHRRADABSTELLANLAGEOGD.4735923,POINT (16.30962163462362 48.21378746983115),4735923,,16,Ottakringer Straﬂe 200,8,0
FAHRRADABSTELLANLAGEOGD.4735924,POINT (16.31683177012945 48.151662794546645),4735924,,23,Wohnparkstraﬂe - gg¸. Stiege 1-2,26,1
FAHRRADABSTELLANLAGEOGD.4735925,POINT (16.319628863280546 48.21024266188349),4735925,,16,"Schuhmeierplatz, Arltgasse",6,0
FAHRRADABSTELLANLAGEOGD.4735926,POINT (16.319736118661098 48.211239336576966),4735926,,16,Schuhmeierplatz 17,8,0
FAHRRADABSTELLANLAGEOGD.4735927,POINT (16.31894819390409 48.2112098143904),4735927,,16,Schuhmeierplatz 18,8,0
FAHRRADABSTELLANLAGEOGD.4735928,POINT (16.319487493201326 48.210115577046835),4735928,,16,Schuhmeierplatz 7,8,0
FAHRRADABSTELLANLAGEOGD.4735929,POINT (16.308498014305904 48.209130361640135),4735929,,16,Wiesberggasse 5,16,0
FAHRRADABSTELLANLAGEOGD.4735930,POINT (16.316020368925148 48.209542870490715),4735930,,16,"Pfenninggeldgasse†1A, Koppstraﬂe",8,0
FAHRRADABSTELLANLAGEOGD.4735931,POINT (16.317876406072894 48.21441402431793),4735931,,16,Familienplatz†4,12,0
FAHRRADABSTELLANLAGEOGD.4735932,POINT (16.33865423737651 48.20843396477961),4735932,,7,"Lerchenfelder G¸rtel, U/6-Station Thaliastraﬂe",8,0
FAHRRADABSTELLANLAGEOGD.4735933,POINT (16.333437423788133 48.21145087773995),4735933,,16,"Neulerchenfelder Straﬂe 46-48, 2 Stk. Erweiterung 20 01 2011",10,0
FAHRRADABSTELLANLAGEOGD.4735934,POINT (16.372358470928113 48.21120319534018),4735934,,1,Hoher Markt gg¸. 8-9,6,0
FAHRRADABSTELLANLAGEOGD.4735935,POINT (16.30898092530946 48.20364518507683),4735935,,14,"U/3-Station Kendlerstraﬂe, Kendlerstraﬂe - Steinbruchstraﬂe",14,0
FAHRRADABSTELLANLAGEOGD.4735936,POINT (16.292070160987667 48.21013264838542),4735936,,16,Waid‰ckergasse 6,4,0
FAHRRADABSTELLANLAGEOGD.4735937,POINT (16.311602082664056 48.21278810144098),4735937,,16,Weinheimergasse†2,6,0
FAHRRADABSTELLANLAGEOGD.4735938,POINT (16.336687899399667 48.21389170599829),4735938,,16,Brunnengasse gg¸.†72,8,0
FAHRRADABSTELLANLAGEOGD.4735939,POINT (16.367495485261813 48.21061683442846),4735939,,1,"Am Hof 3, Irisgasse",8,0
FAHRRADABSTELLANLAGEOGD.4735940,POINT (16.36745345451342 48.21064323188657),4735940,,1,Am Hof 3,8,0
FAHRRADABSTELLANLAGEOGD.4735941,POINT (16.37163724141542 48.20960187150568),4735941,,1,"Bauernmarkt 4, Brandst‰tte",8,0
FAHRRADABSTELLANLAGEOGD.4735942,POINT (16.37279440387308 48.210111321583796),4735942,,1,"Bauernmarkt 13, Landskrongasse",8,0
FAHRRADABSTELLANLAGEOGD.4735943,POINT (16.376610868707136 48.201732674831135),4735943,,1,"Beethovenplatz 1, Kantgasse",16,0
FAHRRADABSTELLANLAGEOGD.4735944,POINT (16.376913173803953 48.20159299351338),4735944,,1,"Beethovenplatz 1, Lothringergasse",18,0
FAHRRADABSTELLANLAGEOGD.4735945,POINT (16.359835114214356 48.20638891358243),4735945,,1,"Bellariastraﬂe 2, Dr.-Karl-Renner-Ring",14,0
FAHRRADABSTELLANLAGEOGD.4735946,POINT (16.36794168841216 48.214292400143336),4735946,,1,Bˆrseplatz 5,4,0
FAHRRADABSTELLANLAGEOGD.4735947,POINT (16.371209471118192 48.2011630263725),4735947,,1,"Bˆsendofer Straﬂe 10, Akademiestraﬂe",6,0
FAHRRADABSTELLANLAGEOGD.4735948,POINT (16.363890295888165 48.20398511491324),4735948,,1,"Burgring, Babenbergerstraﬂe",6,0
FAHRRADABSTELLANLAGEOGD.4735949,POINT (16.362362673939547 48.205239187292904),4735949,,1,"Burgtor, Burgring",8,0
FAHRRADABSTELLANLAGEOGD.4735950,POINT (16.36813642211466 48.216681335456954),4735950,,1,"Deutschmeisterplatz, Schottenring",6,0
FAHRRADABSTELLANLAGEOGD.4735951,POINT (16.355533761541466 48.208426812727254),4735951,,1,Doblhoffgasse 9,10,0
FAHRRADABSTELLANLAGEOGD.4735952,POINT (16.41416340074505 48.25309529134488),4735952,,21,"Donaufelder Straﬂe 46, Fultonstraﬂe",10,0
FAHRRADABSTELLANLAGEOGD.4735953,POINT (16.36121456270005 48.21357137830203),4735953,,1,"Dr.-Karl-Lueger-Ring 1A, Eingang links",12,0
FAHRRADABSTELLANLAGEOGD.4735954,POINT (16.360873704086906 48.212408635576615),4735954,,1,"Dr.-Karl-Lueger-Ring 1-3, Universit‰t links",8,0
FAHRRADABSTELLANLAGEOGD.4735955,POINT (16.361561164539104 48.21282879888971),4735955,,1,Dr.-Karl-Lueger-Ring 10,8,0
FAHRRADABSTELLANLAGEOGD.4735956,POINT (16.36116071091832 48.211531172495874),4735956,,1,"Dr.-Karl-Lueger-Ring 4, erneuert",6,0
FAHRRADABSTELLANLAGEOGD.4735957,POINT (16.361253386891867 48.21363492452059),4735957,,1,"Dr.-Karl-Lueger-Ring 1A, Eingang rechts",20,0
FAHRRADABSTELLANLAGEOGD.4735958,POINT (16.36051147123205 48.2065924402159),4735958,,1,"Dr.-Karl-Renner-Ring, U-Bahnstation Bellaria U2/U3-Volkstheater",12,0
FAHRRADABSTELLANLAGEOGD.4735959,POINT (16.372458985747166 48.20084516892176),4735959,,1,"Dumbastraﬂe, Bˆsendorfer Straﬂe 12",20,0
FAHRRADABSTELLANLAGEOGD.4735960,POINT (16.371115961825552 48.21635776364576),4735960,,1,"Eﬂlinggasse 17, Franz-Josefs-Kai",8,0
FAHRRADABSTELLANLAGEOGD.4735961,POINT (16.355729909382042 48.20708103120878),4735961,,1,Auerspergstraﬂe gg¸. 1,6,0
FAHRRADABSTELLANLAGEOGD.4735962,POINT (16.35774218497436 48.2117079815564),4735962,,1,"Felderstraﬂe 4, Ebendorferstraﬂe",8,0
FAHRRADABSTELLANLAGEOGD.4735963,POINT (16.37437609700089 48.20351876878968),4735963,,23,"Fichtegasse, Schellinggasse",16,0
FAHRRADABSTELLANLAGEOGD.4735964,POINT (16.355653138004698 48.21031836295122),4735964,,1,Friedrich-Schmidt-Platz gg¸. 2,8,0
FAHRRADABSTELLANLAGEOGD.4735965,POINT (16.376987000526572 48.21172116705565),4735965,,1,Franz-Josefs-Kai 21,6,0
FAHRRADABSTELLANLAGEOGD.4735966,POINT (16.376502442231523 48.21190113004823),4735966,,1,Franz-Josefs-Kai 23,8,0
FAHRRADABSTELLANLAGEOGD.4735967,POINT (16.376102932122986 48.211925902213785),4735967,,1,Franz-Josefs-Kai 25,8,0
FAHRRADABSTELLANLAGEOGD.4735968,POINT (16.375390351246608 48.21210267520033),4735968,,1,Franz-Josefs-Kai 27,8,0
FAHRRADABSTELLANLAGEOGD.4735969,POINT (16.370811151697794 48.209031642152944),4735969,,1,"Freisingergasse, Goldschmiedgasse",8,0
FAHRRADABSTELLANLAGEOGD.4735970,POINT (16.356475693573458 48.21184634863647),4735970,,1,"Friedrich-Schmidt-Platz 9, Rathausstraﬂe",8,0
