FID,SHAPE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,BEZIRK,ADRESSE,ANZAHL,ART_KAT
FAHRRADABSTELLANLAGEOGD.4734471,POINT (16.36383031581515 48.21633943026347),4734471,,9,Kolingasse 14,8,0
FAHRRADABSTELLANLAGEOGD.4734472,POINT (16.362019816609767 48.17647647075429),4734472,,10,"Quellenstraﬂe 144, Bernhardtstalgasse",8,0
FAHRRADABSTELLANLAGEOGD.4734473,POINT (16.380563697250626 48.17040652405121),4734473,,10,"Friedrich-Knauer-Gasse 2, Kennergasse",8,0
FAHRRADABSTELLANLAGEOGD.4734474,POINT (16.28247534044716 48.135430071216604),4734474,,23,Breitenfurter Straﬂe gg¸. 358,12,0
FAHRRADABSTELLANLAGEOGD.4734475,POINT (16.320694700093288 48.224665449841545),4734475,,17,Richthausenstraﬂe 2-4,8,0
FAHRRADABSTELLANLAGEOGD.4734476,POINT (16.287836571452345 48.13785209907523),4734476,,23,Breitenfurter Straﬂe 381A,8,0
FAHRRADABSTELLANLAGEOGD.4734477,POINT (16.35043019402534 48.21508538898289),4734477,,9,Alser Straﬂe 8,10,0
FAHRRADABSTELLANLAGEOGD.4734478,POINT (16.403253063095303 48.188237531787124),4734478,,3,Helmut-Qualtinger-Gasse,30,0
FAHRRADABSTELLANLAGEOGD.4734479,POINT (16.30684494993359 48.22811109889115),4734479,,17,Alszeile†73,6,0
FAHRRADABSTELLANLAGEOGD.4734480,POINT (16.337816089722104 48.21889519399478),4734480,,17,Syringgasse 11,6,0
FAHRRADABSTELLANLAGEOGD.4734481,POINT (16.35624773756793 48.22188155423106),4734481,,9,Boltzmanngasse gg¸. 10,8,0
FAHRRADABSTELLANLAGEOGD.4734482,POINT (16.319039651330666 48.221722342261685),4734482,,17,Redtenbachergasse 79,12,0
FAHRRADABSTELLANLAGEOGD.4734483,POINT (16.322581954527532 48.22093288890169),4734483,,17,"Hernalser Hauptstraﬂe†123, Wichtelgasse",4,0
FAHRRADABSTELLANLAGEOGD.4734484,POINT (16.328728046700988 48.18499272807639),4734484,,15,Pillergasse †10,6,0
FAHRRADABSTELLANLAGEOGD.4734485,POINT (16.28182301953799 48.18734322698972),4734485,,13,"Hietzinger Hauptstraﬂe, Hummelgasse",8,0
FAHRRADABSTELLANLAGEOGD.4734486,POINT (16.2834506638092 48.17686454531496),4734486,,13,Lainzer Straﬂe 144,8,0
FAHRRADABSTELLANLAGEOGD.4734487,POINT (16.329696314424375 48.19757815367765),4734487,,15,"Benedikt-Schellinger-Gasse 13, U/3 Benedikt-Schellinger-Gasse†11",6,0
FAHRRADABSTELLANLAGEOGD.4734488,POINT (16.32941110048643 48.20257330593423),4734488,,15,Kriemhildplatz 10,6,0
FAHRRADABSTELLANLAGEOGD.4734489,POINT (16.332847379804537 48.18953885845699),4734489,,15,Herklotzgasse 31,4,0
FAHRRADABSTELLANLAGEOGD.4734490,POINT (16.364600900744488 48.22713021911021),4734490,,9,"Friedensbr¸cke, U-Bahnstation",16,0
FAHRRADABSTELLANLAGEOGD.4734491,POINT (16.35726949634471 48.227133379643995),4734491,,9,Lichtentalergasse†gg¸. 4,8,0
FAHRRADABSTELLANLAGEOGD.4734492,POINT (16.28436120202376 48.18948680344408),4734492,,13,Feldm¸hlgasse †26,10,0
FAHRRADABSTELLANLAGEOGD.4734493,POINT (16.3629742771433 48.21851488208997),4734493,,9,"Berggasse 19, links von Einfahrt",6,0
FAHRRADABSTELLANLAGEOGD.4734494,POINT (16.28919439197667 48.16366258377418),4734494,,13,Gallgasse †71,6,0
FAHRRADABSTELLANLAGEOGD.4734495,POINT (16.337514977232008 48.18932287700287),4734495,,15,Ullmannstraﬂe 2,8,0
FAHRRADABSTELLANLAGEOGD.4734496,POINT (16.349354852504103 48.206235948252356),4734496,,7,Neubaugasse 88,6,0
FAHRRADABSTELLANLAGEOGD.4734497,POINT (16.374053825716995 48.20366264980695),4734497,,1,Fichtegasse 2A,8,0
FAHRRADABSTELLANLAGEOGD.4734498,POINT (16.329615735925987 48.221337848050894),4734498,,17,Lacknergasse 27,6,0
FAHRRADABSTELLANLAGEOGD.4734499,POINT (16.331044233040164 48.218812001727905),4734499,,17,Hormayrgasse 2-4,14,0
FAHRRADABSTELLANLAGEOGD.4734500,POINT (16.32880041419616 48.22014871526274),4734500,,17,"Rˆtzergasse 45, Lacknergasse",10,0
FAHRRADABSTELLANLAGEOGD.4734501,POINT (16.34137882222496 48.20786757044945),4734501,,7,Enzingergasse 2,6,0
FAHRRADABSTELLANLAGEOGD.4734502,POINT (16.327170158874825 48.220771826736424),4734502,,17,"Rˆtzergasse, Rosensteingasse",8,0
FAHRRADABSTELLANLAGEOGD.4734503,POINT (16.29863268318697 48.18700593728271),4734503,,13,Auhofstraﬂe 4,8,0
FAHRRADABSTELLANLAGEOGD.4734504,POINT (16.364022063270177 48.216424081395104),4734504,,9,"Kolingasse†gg¸. 16, Peregringasse",8,0
FAHRRADABSTELLANLAGEOGD.4734505,POINT (16.331570816079342 48.20117461008767),4734505,,15,Vogelweidplatz 15,8,0
FAHRRADABSTELLANLAGEOGD.4734506,POINT (16.356930633146337 48.20549498003252),4734506,,7,Neustiftgasse 1,8,0
